00-00	INSAN AQLARININ UMUMIY BEYANNAMESI
01-01	Buetuen insanlar serbestlik, menlik ve uquqlarda musaviy olip duenyaga keleler. Olar aqil ve vicdan saibidirler ve biri-birilerinen qardashsasina munasebette bulunmalidirlar
02-00	2 -nci madde
02-01	Er kes irqi, tuesue, cinsi, tili, dini, siyasiy ve diger aqideleri, milliy ya da istimaiy, bir de-bir tabaqaga mensuepliginden, serveti ve diger er angi alindan qatiy nazar mezkuer Beyannamede ilan etilgen tekmil aqlar ve buetuen serbestliklerge malik olmalidir.
02-02	Bundan gayri mensuep olgan memleketnin ya da hududnin siyasiy, uquqiy ve halqara statusina, bu hududnin mustaqil, oezueni idare etmegen ve ya da mustaqilligi er angi bir shekilde sinirlangan olip-olmamasindan qatiy nazar insanga nisbeten is bir farq koesterilmemelidir.
03-00	3-nci madde
03-01	Er kes yashamaq, serbestlik ve shahsiy havfsizliq aqqina maliktir.
04-00	4-nci madde
04-01	Is bir kimse qulliq ya da esaret altinda bulunmamalidir; qulliq ve qul ticaretinin buetuen seshitleri yasaqtir.
05-00	5-nci madde
05-01	Is kimse iskence ve yahut zalimane, ve ya da onin degerligini aqsimlagan munasebet ve cezaga ogratilmamalidir.
06-00	6-nci madde
06-01	Er kes qayerde olsa olsun, kendisinin uquq subyekti olaraq qabul etiluev aqqina maliktir.
07-00	7-nci madde
07-01	Qanun qarshisinda er kes birdir ve farqsiz olaraq uquq tarafindan musaviy qorsalanilmaq aqqina maliktir. Er kes, ishbu Beyannameni bozgan er tuerlue aqsimlav ve boeyle aqsimlavni qizishtiruvdan qorsalanilmaq musaviy aqqina maliktir.
08-00	8-nci madde
08-01	Er kes onin, anayasa ya da qanun teminlegen, esas aqlari bozulgan taqdirde, selahiyetli milliy mahkemeler tarafindan bu aqlari tiklenmek aqqina maliktir.
09-00	9-nci madde
09-01	Is kimse esassiz yaqalanmaz, tutuvlanmaz yahut suerguen etilmez.
10-00	10-nci madde
10-01	Er kes, onin aqlari ve borcuni belgilemek em de ona qarshi koesterilgen cinaiy qabaatlanuvnin delilligini tesbit etmek isuen, tolu musaviylik esasinda, onin ishi mustaqil ve bitaraf mahkeme tarafindan ashkar ve adaletli tarzda baqilmaq aqqina maliktir.
11-00	11-nci madde
11-00	Cinaiy susi olmasinda qabaatlangan er kes, onin qabaati qanuniy tertip ile, ashkar mahkeme esnasinda ve buetuen qorsalav imkanlari teminlengen alda belgilenmegence, qabaatsiz, dep tanilmaq aqqina maliktir.
11-01	Is kimse, nasildir areket esasinda cinayet etkeni ya da areketsizligi isuen, olar yapilgan vaqitta milliy yahut halqara uquq boyunca cinayet sayilmasa, mahkuem etilmez. Yapilgan cinayetke kesilmek ihtimali olgan ceza, o berilgen vaqitqa koere, daa da qatti ola bilmez.
12-00	12-nci madde
12-01	Kimse, onin shahsiy ve aileviy oemuerine, meskenine tiyilmemezlik, yazishmaq sirina yahut onin namus ve itibarina esassiz kirishmek, qast etmek areketlerine ogratila bilmez. Er kes, boeyle kirishmek yahut qastlardan qanun qorsalavi aqqina maliktir.
13-00	13-nci madde
13-00	Er kes, devlet sersivesinde serbest yuermek ve yashagan yerini sesip almaq aqqina maliktir.
13-01	Er kes, er angi, shu cuemleden, oez memleketini terk etmek ve oez memleketine qaytmaq aqqina maliktir.
14-00	14-nci madde
14-00	Er kes, taqipke ograganda bashka memleketlerde siginaq bulmaq ve ondan faydalanmaq aqqina maliktir.
14-01	Bu aq, taqip asilinda siyasiy olmagan cinayetke ya da Birleshken Milletlernin maqsadi ve mevamlarina zit kelgen areketke esaslangan taqdirde, ishletile bilmez.
15-00	15-nci madde
15-00	Er kes vatandashliq aqqina maliktir.
15-01	Kimse oez vatandashligindan yahut, vatandashligini denishtirmek aqqindan esassiz marum etilmez.
16-00	16-nci madde
16-00	Sagina yetken erler ve qadinlar, irq, milliy ya da diniy alametlerine baqmadan, evlenmek ve aile qurmaq aqqina malikler. Olar, evlenecekte, evli olganda ve ayrilishqanda ayni aqlarni qullanmaqtalar.
16-01	Nikah yaliniz evlenecek eki tarafnin da serbest ve tolusinen raziligi ile olabilir.
16-02	Aile cemiyetnin tabiiy ve esas birlemidir em de cemiyet ve devlet tarafindan qorsalanmaq aqqina maliktir.
17-00	17-nci madde
17-00	Er kes, shahsiy ve bashqalarnen beraberlikteki mal-muelk saibi olmaq aqqina maliktir.
17-01	Kimse esassiz alda oez mal-muelkuenden marum etilmez.
18-00	18-nci madde
18-01	Er kes fikir, itiqat ve din serbestligi aqqina malik; bu aq – em shahsiy tarzda, em de bashqalarnen beraberlikte, alem-ashkare ya da hususiy alda, oquvda, ibadet etuevde ve diniy merasimlerni becergende – oez dinini yahut itiqatlarini denishtirmek ve oez dinini yahut itiqatlarni izar etmek serbestligini isine almaqta.
19-00	19-nci madde
19-01	Er kes, tish qarishuvina ogramagan fikirler ve olarni serbest ifade etmek aqqina malik; bu aq, oez itiqatlarina riayet etmek serbestliginden ve istegen vastalarnen em de, sinirlardan qatiy nazar, maluemat ve gayelerni qidirmaq, almaq ve darqatmaq serbestliginden ibarettir.
20-00	20-nci madde
20-00	Er kes tins toplashuvlar ve birleshmeler serbestligi aqqina maliktir.
20-01	Kimse, qaysi bir birleshmege kirmek isuen mecbur etilmez.
21-00	21-nci madde
21-00	Er kes bivasta ya da serbest saylangan vekiller vastasinen oez memleketinin idaresinde ishtirak etmek aqqina maliktir.
21-01	Er kes oez memleketinin devlet qurumlarinla musaviy ishtirak etmek aqqina maliktir.
21-02	Halq iradesi uekuemet akimiyetinin temeli olmalidir; bu irade gizli ya da bashqa boeyle serbest saylav usullari vastasinen umumiy ve musaviy saylav aqqi ile oetkerilgen devriy ve asiq saylavlarda oez ifadesini tapmalidir.
22-00	22-nci madde
22-01	Er kes, cemiyetnin azasi olaraq, istimaiy qorsalav aqqina maliktir; degerligi ve shsahsiyetinin serbest inkishaf etmesi isuen zarur olgan iqtisadiy, istimaiy ve medeniy saalardaki aqlarnin milliy gayret ve halqara ishbirlik vastasinen ve er devletnin resurslari ve qurulishina koere teminlev aqqina maliktir.
23-00	23-nci madde
23-00	Er kes salishmaq, ishini serbest sesmek, adaletli, onaytli ish sharaitlerine malik olmaq ve ishsizlikten qorsalanmaq aqqina maliktir.
23-01	Er kes, is bir aqsimlavsiz, musaviy emegi isuen musaviy maash almaq aqqina maliktir.
23-02	Er salishqan insan, oezue ve qorantasi isuen insanga munasip yashayish teminlegen adaletli ve layiq odev, lazim olganda, bashqa qoshulgan istimaiy teminat vastalarini qullanmaq aqqina maliktir.
23-03	Er kes zenaat birliklerini meydanga ketirmek ve oez menfaatini qorsalamaq isuen zenaat birliklerine qoshulmaq aqqina maliktir.
24-00	24-nci madde
24-01	Er kes raatlanmaq, eglenmek, shu cuemleden ish saatlerinin aqilane sinirlanmasi ve oedenilgen devriy tatil aqqina maliktir.
25-00	25-nci madde
25-00	Er kes oezue ve qorantasinin sagligi ve abadanligi isuen gida, urba, mesken, tibbiy baqim ve kerekli istimaiy hizmetlerine saip olmaq aqqina maliktir. Er kes ishsizlik, hastaliq, saqatliq, tulliq, qartliq ya da ona bagli olmagan shartlardan asil olgan fuqarelik allarinda qorsalanuv aqqina maliktir.
25-01	Analiq ve balaliq ayrica qaygiruv ve yardim aqqini bere. Epsi balalar, nikah ile ya da nikahsiz duenyaga kelgenler, ayni istimaiy qoruvga maliktirler.
26-00	26-nci madde
26-00	Er kes tasil aluv aqqina maliktir. Is olmaganda, bashlangis ve umumiy tasil bedava olmalidir. Bashlangis tasil mecburiy olmalidir. Tehnikiy ve zenaat tasilden er kes faydalanmalidir, er kim elde etken neticelerine koere musaviy shekilde aliy tasil alabilir.
26-01	Tasil insan shahsinin tolu inkishafina, aqlari ve esas serbestliklerine saygi arttiruvga dogrultilmalidir. Tasil halqlar, irq ve diniy taqimlar arasinda oezara anlashuv, sabir ve dostluqqa, ve Milletler Birleshmesinin tinsliq saqlamaq faaliyetine qoltutmaq kerek.
26-02	Ana-babalarnin oez balalarina tasil seshitini saylavda uestuen olmaq aqqi bar.
27-00	27-nci madde
27-00	Er kes cemiyetnin medeniy oemuerine serbest qatilmaq, sanattan zevqlanmaq, ilmiy teraqqiyatta ishtirak etmek ve bundan faydalanmaq aqqina maliktir.
27-01	Er kes ilmiy, edebiy ya da bediiy eserlerinin mueellifi olaraq, ahlaqiy ve maddiy menfaati qorsalanmasi aqqina maliktir.
28-00	28-nci madde
28-01	Er kes, bu Beyannamede ifade etilgen aqlar ve ueriyetler tolusinen oemuerge kesirilgende, cemaa ve halqara tertip aqqina maliktir.
29-00	29-nci madde
29-00	Er kes yaliniz, onin shahsiyeti serbest ve tolu inkishaf ola bilecek, cemiyet oeguende borcludir.
29-01	Oez aqlari ve serbestliklerini oemuerge kesirgende, er kes yaliniz, qanun bashqalarnin aqlari ve serbestliklerini tanimaq ve uermet etmek em de demokratik cemiyetteki ahlaq, cemaa tertibi ve umumiy eyialliqnin adaletli talaplarini qanaatlendirmesini teminlemek maqsadinen belgilegen sinirlanuvlarga ogratila.
29-02	Bu aqqlar ve serbestlikler oemuerge kesirilgende Milletler Birleshmesinin maqsatlari ve printsiplerine zit olmasi is te muemkuen degil.
30-00	30-nci madde
30-01	Ishbu Beyannamedeki is bir madde, nasildir bir devlet, shahislar taqimi ya da ayri shahisqa, yuqarida koesterilgen er angi aqlar ve serbestliklerge zarar ketirilmesine dogrultilgan faaliyetke ya da areketke aq bere, dep izaa etilmez.
