00-00	Beehazaa Il Ch'et'aah
07-01	Tsi'di t'aa ajit'e ahejilt'e bee haz'aanii binahji' doo doo ho'doolch'iih da dooleel aheelt'eego haahochi' bee haz'aanii binahji' t'aa ajiltsoh ei hak'esti' haahochi'go binahji doo hodoolch'ii da dii doo bil adodzih da. Kwe'e bee ha'oodzihigii doo ooch'iid habizhdiyool laal da.
08-00	Tseebii Gone' Yisdzohigii
08-01	Tsi'di t'aa ajiltsoh bee hahaz'a t'aa doole'e ha hasht'e doolniilgo waashindoon aaji ya 'eehosinigii akot'eego bee haz'aanii bee ha'ahoot'i' yee bilaszihgo.
09-00	Nahast'ei Gone' Yisdzohigii
09-01	T'aa haida ei biniinaanii adingo doo bi'didool tsoolda doo doo yah'adoolt'eel da doo doo ch'i dinool cheel da.
10-00	Neeznaa Gone' Yisdzohigii
10-01	T'aa ajiltsoh bee ha'ahoot'i' t'aa aheel t'eego dine binaal ha baahwinit'iigo doo haajida ach'ihji niliigii binaal ei ha yaa nidaast'iidgo yee nidahodoo'aal bee ha ahoot'igii doo bee hoholnigii doo ha'at'iishii awaalyahji bee hak'ehast'ahigii.
11-00	La' Ts'aadah Gone' Yisdzohigii
11-01	Tsidi t'aa' ajiltsoh hak'ihodiit'anigii doo ajit'iigo hanitsahakees nlei bee hasaanii bee hahwinist'iin doo indah t'aa' aanii' aajit'iigo beehweehozingo bee ach'aah hazhdoodzihigii altso ajiilaago.
11-02	T'aa haiidah doo t'aa'aniiajit'iigo bee hak'iho doot'ah da doo ajit'iigo. T'aa doo ajiit'iigo bee hak'ehest'ahgo keyah t'aa nahwiiz'aandee' doo towonanidi bibeehazaanii k'izhniti' ho'di'niigo ahoodzaa yeedaa'. Aadoo aldo' bee haz'aanii yee nihodoo'aaligii doo bilaahgo yee ha ni'hodoo'aal da.
12-00	Naakits'aadah Gone' Biyi' Yisdzohigii
12-01	T'aa heiida bil haz'anigii ba' alchiniini dah bighan dah doo haii t'aaodah eii baa tii'doodaaldah. T'aa ajiltsoh bee haz'aanii bik'ehgo bee hahochi.
13-00	Taa'ts'adah Gone' Biyi' Yisdzohigii
13-01	T'aa ajiltoh ei t'aa hozhnizingoo nijighaago doo haghan azhooliilgo bee ha haza.
13-02	T'aa ajiltsoh ei keyah bii' hajineehgo bee ha haza aadoo t'aa hohakeyah bii' yah'anijineehgo aldo' beehahaza.
14-00	Diits'aadah Gone' Biyi' Yisdzohigii
14-01	T'aa ajiltsoh naanalahji keyah biish dinoocheelgo doo atihodooniilgo bee ha haza.
14-02	Akondi dii beehazaanigii ei doo choidoo'iil da awaalyahji naazt'i'igii bik'eezhoocheelgo. Aadoo aldo' keyah t'aasi'aandee beheehazaanii biliisihgo ei doo choii' doo'iilda.
15-00	Ashdla'ts'aadah Gone' Biyi' Yisdzohigii
15-01	T'aa ajiltsoh doone'e jilinigii bee hahaz'a.
15-02	Heiidah eii doone'e nilinigii doo baah doot'iildah.
16-00	Hastaats'aadah Gone' Biyi' Yisdzohigii
16-01	Dine doo saanii neeyanigii adoone'e niligii doo be'oodla' eii doo bich'aahgo adooyehgo bahaza. Alts'aaji aheelt'eego ahe'eskeh beehaz'aanii bik'esti' aadoo ba'alchini hoodooleelgo bee bahaza aadoo alts'a'it'aashgo bee ba ahoot'i''.
16-02	Ahidii' aashigii alts'aaji t'aabiniik'ehgo alhaadoot'ash.
16-03	Hooghan hazaadoo ei iina hadahaazt'i' dinetahji doo beehazaanii baanchi'.
17-00	Tsosts'idts'aadah Gone' Biyi' Yisdzohigii
17-01	T'aa ajiltsoh keyah t'aa adiighahago hweehodooleelgo bee hahaz'a doodaii' dikwijilt'eegodah keyah dajota'go beehahaz'a.
17-02	Heiidah ei t'aadoo biniinaanigo keyah doo bighah doot'aal dah.
18-00	Tseebiits'aadah Gone' Biyi' Yisdzohigii
18-01	T'aa ajiltsoh bee ba'ahoot'i' t'aa ho adahnahojit'aago doo nitsijikeesgo doo hwe'oodla' holoogo dii bee ha'ahoot'i'igii naanalahji' hwe'oodla'igii bee'izhdidoo'gaalgo bee haz'a. Dinetahji hwe'oodla'igii bee hweehozin doo aadoo bee nazhnitin doo. Aadoo aldo' aaji ba hozhdisin doo.
19-00	Nahast'eits'aadah Gone' Biyi' Yisdzohigii
19-01	T'aa ajiltsoh t'aadoole'e baa ntsijikeesgo bee hazdoodzihgo bee hahaz'a. Dii baa ntsijikeesigii ei heidah doo hani' iidooliilda. Aadoo bikah nazhnitaago doo nizhdiilaago bee hadeesdzih jinizingo beesh halne'e, naalkididah doodaii' naaltsoos biyi'ji' bee hazdoodzihgo bee hahaz'a.
20-00	Naadiin Gone' Biyi' Yisdzohigii
20-01	T'aa ajiltsoh alah nijidleehgo doo alhildajidliigo bee hahaz'a.
20-02	T'aa heidah ei doo iinizingo doo atah doolt'eeldah.
21-00	Naadiin La' Gone' Biyi' Yisdohigii
21-01	T'aa ajiltsoh bee ha'ahoot'i' hakeyah biwaashindoon atahjiliigo doodaii' naat'aanii ninadaji'nilgo.
21-02	T'aa ajiltsoh aheelt'eego ha'ahoot'i' hakah ana'aw'o' dooleel hakeyah bi'yi'di.
21-03	Dine ayisi beeboholniih biwaashindoon yee yahwiidool'aaligii. Dii bee ho'a'igii bee hadoodzih doo t'aa ba nahoo'aa gone' ei ana'a'ah dooleel. Aadoo t'aa altsoh aheelt'eego anida'ji'ah dooleel t'aadoo la' bil iishjana ajosini aadoo t'aahojinizingo anaji'ah doo.
22-00	Naadiin Naaki Gone' Biyi' Yisdzohigii
22-01	T'aa ajiltsoh dine bitah jilinigii bee ha ahoot'i' bee haa'ahayaa dooleeligii dii t'aa at'e keyah dahsi'anigii doo nahasdzaan yee alkah anajahigii ba bohoneedzanigii ha'at'iishii bee holonigii yee adoolwol beeso dah, aadoo bee a'dooniligii binahji' yee iliigo adaantsikees dooleel t'aa bi sizinigii yee hadidoo'niil.
23-00	Naadiin Taa' Gone Biyi' Yisdzohigii
23-01	T'aa ajiltsoh ndazhdoolnishgo bee hahaz'a, t'aa ho naanish jinizinigii, t'aa ho naanish hol ya'at'eeheigii dii naanish adinigii bits'aa ahat'i.
23-02	T'aa ajiltsho t'aadoo ho'dool chi'idi aheelt'eego hach'i'ni'iilyeedoo naanishigii biighahgo.
23-03	T'aa ajiltsoh ndajilnishigii bee ha ahoot'i beelt'eego hach'i' ni'iily'eego binahji' t'aaho doo ha alchini yee hinaadoo bila' ashdla'ii baah ilinigi' at'ao aadoo bi'ohjineelanigii ha biidoot'aal ahot'eedaa' dine bee bikah ana'awo' adee'.
23-04	T'aa ajiltsoh ei bee ha ahoot'i' naanish yee da'ahota'igii atah hazhdidooliilgo doo bee atah jidooghaalgo t'aaho jizinigii bee adaa'ahojilyaa doo biniye.
24-00	Naadiin Dii' Gone' Biyi' Yisdzohigii
24-01	T'aa ajiltsoh bee ha ahoot'i' haazhdoolyihgo doo niik'eh njighaadoo aadoo naanish ahee'iikeedigii bee ha'hazaanigii at'ao nijilnishdoo doo la' ajidah doo na'anishgo bee hoo' aahgo t'aa biniye hach'i' azlaadooleel.
25-00	Naadiin Ashdla' Gone' Biyi' Yisdzohigii
25-01	T'aa ajiltsoh bee ha ahoot'i' bik'ehgo' iina azhdooliiligii t'aa ho hats'iis yineelanigii doo ha'alchini t'aa hoolta'go. Jo ei ch'iyaan la, ee' la, hooghan la, doo azee' al'iiji bee aa'ahayanigii la doo dine bee bika'anawo' dee aadoo bee ha ahoot'i' haadidah naanish asdiingo nat'aa bee aa' ahayanigii t'aa holoodoo, azhashii dajitsaah ndi doo hach'i'anahoot'i' ndi, bil hijiinaanii haa 'adin siliigoda aadoo sa jizhliigo doodaii' hwe'iina' bi'oh siliigo t'aadoole'e bits'aadoo t'aa ho hwe'iina' doo bee hoholniih da siliigo dah.
25-02	Ama jiliigo doo alchini jiliigo bee ha ahoot'i' haa' ahayaadoo aadoo haka ana'awo'doo. Alchini t'aa ajiltsoh bima doo bizhe'e aheeskeego bi'dizhchinigii doodai bima doo bizhe'e doo aheeskeego bi'dzhchinigii da t'aa ajiltsoh ei dinetahgi haa hastihgo bee ak'i hozhdoodliil.
26-00	Naadiin Hastaa Gone' Biyi' Yisdzohigii
26-01	T'aa ajiltsoh iizhdooltahgo bee ha'ahoot'i'. Alchini t'oo ha' altaadoo t'aajiik'e 'iidooltah. Alchini yazhi ei t'aa iyisi t'aa iidooltah. Naanish bohoo'aah baa da'olta' daholoo doo aadoo hodahgo da'olta'igii daholoo doo t'aa altsoniba aadoo hodahgo oltaigii aldo' bizhneela nigi at'ao iizhdooltah.
26-02	Olta' ei holoodoo bila' asdla'ii yee hadidooniliji' aadoo yee bidziildoo binahji' bee ha adahazt'i'igii ya hodisin doo. Dii ei yee ak'i'diitaadoo bee ha'jolniidoo t'aa altsoji' k'eh bijinii doo naanala' doone'e doo oodlani danilinigii. Dii binahji t'ei ya keyah alhii' siniligii t'aadoo iits'a'i alyil dandlii doo.
26-03	Ama doo azhe'e ei altse alaaji' bee ba ahoot'i' ba' alchini yaa iidooltahigii yee yah hadoozih.
27-00	Naadiin Tsostsid Gone' Biyi' Yisdzohigii
27-01	T'aa ajiltsoh bee ha'ahoot'i' t'aa hozhnizinji' atah bilkeehojit'iinigii bil iina azhdooliil, bina' ach'aah doo lahdoo bee azhdoolwol bee naas bee idahwiidoo' aligii bee ak'ihwiizhdoodliil
27-02	T'aa ajiltsoh bee ha ahoot'i' doo aliinii doo a'l'inigii bee aa'ahyaago ei heishii iliishjani iiyiilaaigii bizhi' bikaadoo.
28-00	Naadiin Tseebii Gone' Biyi' Yisdzohigii
28-01	T'aa ajiltsoh beeha ahoot'i' dine alaa at'ego doo nahasdzaan t'aa si'aandee bibeehaza dii kwe'e bee ha'oodzi'igii t'aa at'e bee baa' akohoniidzii doo.
29-00	Naadiin Nahast'ei Gone' Biyi' Yisdzohigii
29-01	T'aa ajiltsoh bilkeehojit'inigii ei lahdoo naanish bee'aka azhdoolwol t'aa hwozhnizingo. Dii binahji t'aa' hojizinigi bee hazhdidooniil.
29-02	Dii bee ha ahoot'i'igii doo t'aa hwozhnizinji bee ndoo'nishgo ei t'aa la'i jinitinigo bee hoholniih beehazaanii yee hasaniji' at'ehigii, ei binahji' baa 'akohwiindzin doo dilzin, naanala' bee ba ahoot'i'igii doo t'aa binizinji' at'ehigii, ei bik'ehgo ada' ada' alinigii t'aa altsoni dine ba at'e.
29-03	Dii adahazt'i'igii doo t'aaniik'eh na'adahigii ei dii keyah alhii'siniligii binye alyaa ei bibehazaanii doo bee al'aa' a'teedah dooleel.
30-00	Tadiin Gone' Biyi' Yisdzohigii
30-01	Dii kwe'e ha' oodzi'igii ei heit'ao dah naana la' keyah da si'aniigii doodaii' dahjookahigii doodaii' la'jizi ei doo heit'ao dah ha'oodzigii jidoolchoolda.
