00-00	TENDAA NENSAABA ZAA YELESOOBO SOBIE MOOLOO
08-01	Ka nee zaang taa yeli a gaane a seree diibo zie, a feree la ka a tenga na seredirebe a di a seree velaa ka a yelmenge gaa a nee na deme nang kpe zie a seng le a tenga loo nang manne bing.
09-00	Dore 9
09-01	Neezaa ba seng ne ka ba dee bone nyogoo gaa te page kye ba di a seree, bee ka ba diguu bare ka o yi gaa teng-yuo a te kpeere.
10-00	Dore 10
10-01	Neezaa nang saa yeli, a feree la ka a tenga na seredirebe di o seree neng-yaga poo ka nonne boore kyebe a seree nga ba nang dire a na nye bone na yeli o nang saa poo.
11-00	Dore 11
11-01	Neezaa ba nang nyoge yeli kang poo a na di o seree ko na poge nye dogrong a poo, a feree la ka a seredirebe de ka o ba saa yeli, a ta le sang ba nang di o seree yeng poo a te nye bang ka o saa la yeli. A o seree diibo na meng poo a feree la ka ba k'o sori ka o bo bone na zaa nang na too song o ka o yeli faa o menge.
11-02	Ba kong too nyoge nee zaa nang saa yeli nang taa dogrong; yeli o nang e, bee o nang nage o vuo na poo, a yeli na o nang e, bee o nang nage nang da ba waa yelsaana nang booro dogrong a le sang onang da e a yeli bale, bee ka ba ko o dogrong nang waa tuo gang a dogrong na nang da bebe ka ba da ko o a le sang o nang saa a yeli bala.
12-00	Dore 12
12-01	Neezaa ba taa sori a bonno kpeere o to yele poo, bee o die yele poo, bee o yiri yele, bee o gama yele, bee ka o saa o to yosong ane o eveele. A feree la ka a loo guuro nee zaa a doone ama taaba poo.
13-00	Dore 13
13-01	Neezaa taa sori ka o yooro gere benee zaa o nang booro, bee ka o kpeere benee zaa o nang booro a tenga toribogri poo.
13-02	Neezaa taa sori ka o yi tenga kang zaa poo, bee o menge tenga poo a kye lee wa a o tenga poo.
14-00	Dore 14
14-01	Neezaa taa sori ka o yi tenga na poo ba nang booro o dogroo, bee o koobo a gaa tenne mine a na te nye popeelong.
14-02	A sobiri nga kyebe nee nang saa yeli yelmenge ka ba booro o ka ba di o seree ka a yele na o nang saa ba e votu yele bee yele nang ba tu a Tendaa Langkpong yele sobie ba nang manne bing le.
15-00	Dore 15
15-01	Neezaa taa sori a na waa enga kang paalong nee.
15-02	Neezaa ba taa sori a na yeli ka neekang ta be o tenga poo, bee ka o ta yi o tenga a gaa te kpeere teng-yuo.
16-00	Dore 16
16-01	Neezaa nang ta doo, bee poge, bale zaa poo, tenga zaa poo, puoru zaa poo, taa sori a na de poge, bee kuli sere a dogro bibiiri. Ba zaang na sengtaa a ba kultaa yele poo a ta le sang ba kultaa nang baare.
16-02	Neezaa ba taa sori a fere noba ka ba kultaa; banang nang kulo taa yong na pele poore a sage ka ba kultaa.
16-03	Doo ane o poge ane o bibiiri waa seng bombiri a tenga noba zie ka a fere ka a tenga noba ane a tenga nembere kaara ba zu.
17-00	Dore 17
17-01	Neezaa taa sori a na so boma o yong, bee ka o ne noba mine lang so boma.
17-02	Neezaa taa sori faa nee boma o nang so.
18-00	Dore 18
18-01	Neezaa taa a sori na teere yele a seng o nang booro le, a tuuro o yeng wuluu, a puoro puoru na zaa o nang booro; o la taa la a sori meng a na leere o puoru ane o teerong; o na too e la le o yong, bee a lang ne noba yeng poo, bee o yong zie. O la taa sori meng a na e ka o puoru yele saa noba zie. O taa sori na wullo noba a o puoru yele. O taa sori tuuro a o puoru nga sobie zaa a seng le o nang booro.
19-00	Dore 19
19-01	Neezaa taa sori ka o teere ka yeli kang waa ngaa bee o ba waa. O taa sori meng na yeli a yeli na yele. O la taa la a sori meng ka o teere ka yele mine waa ngaa, kye ka nee zaa ta fere o a o teerong na poo. O taa sori meng ka o bo a kye nye yelpaaba nang yire zie zaa waana, ka a gangnee toribogri bee ka a ba gangna o taa la a sori.
20-00	Dore 20
20-01	Neezaa taa la a sori ka o poo noba nang langtaa ane teerong velaa. O la taa la sori ka o kpe langne zaa.
20-02	Nee kontoo fere neezaa ka o kpe langne kang poo.
21-00	Dore 21
21-01	Neezaa taa sori k'o poo a tenga gobenente yele poo o menge bee ka o poo iri noba ka ba lee o zu.
21-02	Neezaa taa sori ka a tenga poo bone na zaa nang bebe ka ba de sonno ne a noba ba yeli zaa poo k'a tara o meng.
21-03	A gobenente fang a tenga poo na yi la tenga noba booro zie. A sobiri na a noba nang na mang tu ka ama nye eebo la ka ba manne bing ka ka vuo kang poo k'a noba mang taa neng-iri ka finnuu kyebe a neng-iri nga poo; k'a banang zaa nang ta noba a taa sori na iri a noba nang na lee ba zu a tenga gobenente poo. A neng-iri sang nee zaa ba taa sori na nye o tosoba nang booro k'o iri nee na.
22-00	Dore 22
22-01	Neezaa waa la a tenga zu noba nee. A feree la ka o tenga kaara o zu; o la taa la sori meng ka o nyere a o tenga tono ka a song o ka o nyere emmo a seng nengsaala; ka o enge ane o yeng yele meng kyene velaa.
23-00	Dore 23
23-01	Neezaa ta sori ka o taa toma tono. O taa sori meng ka o iri toma na o dang booro. Sori bebe meng la, ka ka o toma zie ane o toma zie yele veele. Sori bebe meng la ka o taa toma tono a ta yooro wee le.
23-02	Neezaa, ka gyegru kyebe taa sori ka o nyere san-yoo a seng banang zaa meng nang tono a tong-bale.
23-03	Neezaa nang tono toma taa sori a naa nyere a yoore ka a seng o ne o poge ane o bibiiri; ka a seng ba ka ba na too nye bone na zaa a nang fere nengsaala ka o taa waa nengsaala.
23-04	Neezaa taa sori ka o piili tontonema langne. O la taa l'a sori ka o kpe tontonema langne nang na song ka o guuro o toma.
24-00	Dore 24
24-01	Neezaa taa sori ka o nye penno kye ka o pennoo sang ka o taa sori a ere le o poo nang pelle. O la taa sori ka ka o ta tong toma a te gang gammo kang. O taa sori meng na nyere pennoo bebie a o toma zie kye nang nyere san-yoo a pennoo bebie na poo.
25-00	Dore 25
25-01	A feree la k'a tenga nye ka benee doo ane o poge ane o bibiiri nang kpeere seng ne ba eng-maarong nang booro le, ka ba nyere bondiri ane bonsuuri, ka ba kpeebo zie ane ba laafee yele veele. Ba taa l'a sori meng ka sang kang wa ta ka ba ba la taa san-yoo toma, bee ka ba beere, bee ka yeli kang e ka o kong la too tong toma bee ka o sere, bee ka poge kpi kye kyere o yong, bee ka o kore zuo a kong la too tong toma, bee ka yeli kang e ka o dee kong la too bo bondiraa o menge, a feree la ka a tenga na o nang be kaara o zu.
25-02	Bimamine ane bibiiri nang nang baara, a sengee la ka ba kaara ba zu kye sonno ba. Bibiiri zaa, ka ba ma ne ba saa de la taa kye doge ba bee ka baba de taa kye doge ba meng na nyere la a sommo nga bale.
26-00	Dore 26
26-01	Neeza taa sori ka o bang gane. A gane zanno piilu sang a da seng ka yoore kyebe. A feree la ka neezaa zanne gane belaa a ta taabo kang. A da ba seng ka neezaa wong tuo kye nye nuuri-toma zanno, bee gama-toma zanno. A da sengee la ka banang nang na too meng ta wong tuo kye nye zanno nang do yaga.
26-02	A da sengee la ka gane zanno kyaara nensaala mengemaalo yele a kye sonno nensaala mengesoobo sobie yele a kye sonno yelwongtaa ane kanyiri di-ko-taa, a e ka tenne ane bale la bale zaa ane puoru deme zaa nyoge taa baalong a kye e ka a Tendaa Langkpong yele kyene ka maarong be a tenga zu.
26-03	Saamine ane mamine taa a sori a na de wee dang iri benee ba nang booro ka ba bibiiri gaa zanne gane.
27-00	Dore 27
27-01	Neezaa taa sori ka o poo a tenga tengkoo yele poo a meng wong a noba nuuri-toma noo, kye nyere tono nensaala yeng nang song o ka o maale, bee ka o e ka bone na zaa waana ne noo bee tono.
27-02	Neezaa nang de o nuuri, bee o zu a tong ne toma ka a yire tono mine, a feree la ka a tenga ta veng ka neezaa finne o a toma na poo.
28-00	Dore 28
28-01	A da sengee la ka a yele ama ba nang manne bing a kye a nye eebo, ka benee zaa tenga zu kye nee nang kpeere na too so o menge kye kpeere ne popeelong.
29-00	Dore 29
29-01	Neezaa taa la fero toma o taaba zie benee o nang kpeere. A leng na song ka o menge nye maalo.
29-02	Neezaa nang so o menge, a wonno o mengesoobo noo, yeli zaa ba kyebe a na pigi a o mengesoobo nga sori see ka tenga nang manne bing le naane, a loo na meng na waa la loo nang na veng ka nensaala nye emmo kye so o menge, a sonno ka nensaaba ere eveele, a e ka marong be noba nang lang kpeere zie kye ere ka noba zaa kpeere velaa ba tenga poo, ka ba meng taa noore a ba tenga maalo yele poo.
29-03	Neezaa ba taa sori a e yeli nang ba toro a Tendaa zaa Lammo nang manne a nengsaaba meneesoobo sobie bing le.
30-00	Dore 30
30-01	Tenga zaa bee langne zaa bee neng-yeni zaa ba taa sori a willi a yele ama ba nang manne bing a kye; ka a waa seng nga a yele nga ko ba la sobiri ka ba tong tone zaa bee yeli zaa nang waana ne nensaala mengasoobo ane o yelisoore noo wommo ba nang manne bing a kye saabaro.
