00-00	BOIKANOKAKARETSO BJA DITOKELO TSA BOTHO
02-01	Mang le mang o swanetse ke ditokelo le ditokologo ka moka tse go boletswego ka tsona ka mo Boikanong bjo, ntle le kgethollo ya mohuta wo mongwe le wo mongwe bjalo ka morafe, mmala, bong, polelo, bodumedi, dipolitiki goba ka kgopolo, botso go ya ka setshaba goba maemo, diphahlo, matswalo goba maemo a mangwe le a mangwe.
02-02	Go feta fao, ga go kgethollo yeo e swanetsego go dirwa go ya ka maemo a dipolitiki, tokelo ya boahlodi, goba maemo a ditshabatshaba goba lefelo leo motho a dulago go lona, goba ke naga ye e ipusago, trasete, naga ya go se ipuse goba se sengwe le se sengwe seo se ka fokotsago maemo a go ikemela ga naga ya gabo.
03-00	Temana 3
03-01	Mang le mang o na le tokelo ya bophelo, tokologo le tshireletso ya gagwe.
04-00	Temana 4
04-01	Ga go motho ya a swanetsego go swarwa bjalo ka lekgoba goba mohlanka. Bokgoba le go gweba ka makgoba go tla thibelwa ka gohlegohle.
05-00	Temana 5
05-01	Ga go motho yo a swanetsego go goboswa goba a swarwa ka mokgwa wo mobe wa go nyefola seriti sa gagwe goba a otlwa gabohloko.
06-00	Temana 6
06-01	Mang le mang o na le tokelo ya go tsebja lefelong le lengwe le le lengwe bjalo ka motho pele ga molao.
07-00	Temana 7
07-01	Batho ka moka ba a lekana pele ga molao mme ba dumeletswe ntle le kgethollo go sireletswa ka go lekana pele ga molao. Ka moka ba swanetse go fiwa tshireletso ya go lekana maleba le kgethollo yeo e tshelago goba e robago Boikano bjo le maikemisetso a mangwe le a mangwe ao a bonalago a rata go kgetholla.
08-00	Temana 8
08-01	Mang le mang o na le tokelo ya go hwetsa phosollo ya nnete yeo e tlago ka bao ba tsebago ditokelo tsa botho maleba le ditiro tseo di phaelago ditokelo tsa batho ka thoko tseo a di fiwago ke molaotheo goba molao.
09-00	Temana 9
09-01	Ga go motho yo a swanetsego go no swarwa, go hlahlelwa goba go rakwa nageng ka mokgwa wo o sa kwesisegego.
10-00	Temana 10
10-01	Mang le mang o dumeletswe go fiwa tsebe ke lekgotla leo le sa kgethego mahlakore go bona ge eba ditokelo tsa gagwe le dinyakwa tsa setshaba go yena gammogo le molato wo mongwe le wo mongwe wo a pharwago ka wona ga se tsa maitirelo.
11-00	Temana 11
11-01	Mang le mang yo a pharwago ka molato o na le tokelo ya go se bonwe molato go fihla ge go laetswa gore o na le molato go ya ka molao le gona mo kgorong ya phatlalatsa yeo a nago le ditokelo ka moka tsa tshireletso.
11-02	Ga go motho yo a tla bonwago molato go ya ka tiro goba tlogelo yeo e sa bopego karolo ya molato wo a pharwago ka wona, ka tlase ga molao wa setshaba goba wa ditshabatshaba ka nako yeo molato o dirwa. Goba a fiwa kotlo ye boima go feta yeo a bego a tla e fiwa ka nako ya ge molato o dirwa.
12-00	Temana 12
12-01	Ga go motho yo a swanetsego go salwasalwa morago fao e bilego a se sa na sephiri ka boyena, ka lapeng, mangwalong a gagwe, goba fao go mo salasala morago go tshwenyanago le maemo le go tsebega ga gagwe. Motho yo mongwe le yo mongwe o na le tokelo ya go sireletswa ke molao maleba le go salasalwa morago ka tsela ye goba go hlaselwa.
13-00	Temana 13
13-01	Mang le mang o na le tokelo ya tokologo ya mosepelo le mo a dulago gona ka gare ga naga ye nngwe le ye nngwe.
13-02	Mang le mang o na le tokelo ya go tlogela naga ye nngwe le ye nngwe, go akaretswa le ya gabo, le go boela go yona naga yeo ya gabo ge a rata.
14-00	Temana 14
14-01	Mang le mang o na le tokelo ya go nyaka le go ipshina ka tshireletso dinageng tse dingwe maleba le tshekiso.
14-02	Tokelo ye e ka se diriswe ge tshekiso e tswelela mo molatong wo o sa amanego le dipolitiki goba mo molatong wo o thulanago le melao le maikemisetso a Ditshaba Kopano.
15-00	Temana 15
15-01	Mang le mang o na le tokelo ya go ba wa setshaba seo se itsego.
15-02	Ga go yo a ka amogwago, ka go rata, mohlobo wa gagwe goba a ganetswa ka tokelo ya go fetola mohlobo wa gagwe.
16-00	Temana 16
16-01	Basadi le banna ba ba godilego, ka ntle le go beelwa mellwane go ya ka mohlobo goba bodumedi, ba na le tokelo ya go nyala le go thea lapa. Ba loketswe ke ditokelo tse di lekanego tsa lenyalo, ka nako ya tseano le ge lenyalo le fediswa.
16-02	Lenyalo le tla diragatswa fela ka tumelelo ye e lokologilego le gona ya go tlala go tswa go banyalani.
16-03	Lapa ke tlhago le motheo wa sehlopha sa botee bja setshaba gomme le loketse go sireletswa ke setshaba le mmuso.
17-00	Temana 17
17-01	Mang le mang o na le tokelo ya go ba le phahlo a nnosi goba go di hlakanela le ba bangwe.
17-02	Ga go yo a ka amogwago phahlo ka mabaka a go se kwagale.
18-00	Temana 18
18-01	Mang le mang o na le tokelo ya kgopolo ye e se nago mellwane gammogo le letswalo le bodumedi, tokelo ye e akaretsa tokologo ya go ka fetola borapedi goba tumelo, le tokologo, a nnosi goba ka kopano le ba bangwe phatlalatsa goba sephiring, go tsweletsa pepeneneng bodumedi goba tumelo ya gagwe go ruteng, phethagatsong, borapeding le bohlokomeding.
19-00	Temana 19
19-01	Mang le mang o na le tokelo ya tokologo ya kgopolo le tlhagiso ya kgopolo ye: tokelo ye e akaretsa tokologo ya go ba le dikgopolo, ka ntle le thibelo le go nyakisisa, go amogela le go tswleletsa dikgopolo le dikakanyo ka sephatlalatsi se sengwe le se sengwe ntle le mellwane.
20-00	Temana 20
20-01	Mang le mang o na le tokelo ya go kgona go ka swara kopano ya khutso le go tsenela makgotla ao a a ratago.
20-02	Ga go yo a ka gapeletswago go ba leloko la lekgotla ge yena mong a sa rate.
21-00	Temana 21
21-01	Mang le mang o na le tokelo ya go tsea karolo mmusong wa naga ye, ka nnosi, goba ka boemedi bjo bo kgethilwego ka tokologo.
21-02	Mang le mang o na le tumelelo ye e tletsego ya go ipshina ka ditirelo tsa mmuso wa naga ya gabo.
21-03	Thato ya batho e tla ba motheo wa maatla a mmuso. Thato ye e tla tsweletswa ka go swara dikgetho tsa kgonthe kgafetsakgafetsa. Dikgetho tse di tla ba tsa kakaretso le gore mang le mang o tla ba le tokelo ya go bouta. Dikgetho tse di swanetse go dirwa ka kgetho ya sephiri goba ke mekgwa ye mengwe ya go bouta ye e swanetsego le gona e amogelegago.
22-00	Temana 22
22-01	Mang le mang, yo e lego leloko la setshaba, o na le tokelo ya tshireletso ya setshaba e bile o lokela go fihlelela ditumo tsa gagwe maitekong a setshaba le ka go somisana le ditshaba tse dingwe. Taba ye e ama gape le thulaganyo le dithuso tsa lefase le lengwe le le lengwe, tsa ekonomi, kgwerano le ditokelo tsa setho. Dintlha tse ka moka di swanetse go godisa seriti le botho bja gagwe ka mokgwa wo o lokologilego.
23-00	Temana 23
23-01	Mang le mang o na le tokelo ya go soma, go kgetha mosomo ka tokologo, ditlamo tse di kaone tsa mosomo, le tshireletso maleba le go hloka mosomo.
23-02	Mang le mang, ka ntle le kgethollo, o na le tokelo ya go amogela moputso wa go lekana le mosomo wo a o dirago.
23-03	Mang le mang yo a somago o na le tokelo ya go amogela moputso wo o kgotsofatsago wa go mo kgonisa go phela ka tlhompho gammogo le lapa la gagwe. Tokelo ye e swanetse go tlaleletswa, ge go kgonagala, ka dithuso tse dingwe tsa tshireletso ya setshaba.
23-04	Mang le mang o na le tokelo ya go thoma le go ba leloko la mokgatlo wa basomi go sireletsa dikgahlego tsa gagwe.
24-00	Temana 24
24-01	Mang le mang o na le tokelo ya go khutsa le go itketla, go akaretswa le nako ye e swanetsego ya diiri tsa mosomo le matsatsi a maikhutso ao a lefelwago ka mehla ge a le boikhutsong.
25-00	Temana 25
25-01	Mang le mang o na le tokelo ya maemo a bophelo a swanetsego bophelo le boiketlo bja gagwe gammogo le lapa la gagwe. Maemo a a bophelo a akaretsa dijo, diaparo, kago ya dintlo le tlhokomelo ya kalafo le ditirelo tse dingwe tse bohlokwa tsa setshaba, tokelo ya tshireletso maleba le tlhokego ya mosomo, bolwetsi, bofokodi, bohlologadi, botsofadi goba ditshitiso tse dingwe tsa bophelo tse di sa laolegego.
25-02	Botswadi le bongwana di swanetse go fiwa tlhokomelo ya moswananosi le thuso. Bana ka moka bao ba belegwago e ka ba ka lenyalong goba ka ntle ga lenyalo ba swanetse go amogela tshireletso ya setshaba ya go swana.
26-00	Temana 26
26-01	Mang le mang o na le tokelo ya thuto. Thuto e tla ba e sa lefelwe mefatong ya ka fase le ya go thoma. Thuto ya mathomo e tla ba ya kgapeletso. Thuto ya thekniki le thuto ya profesene di tla hwetswa gabonolo ka kakaretso. Thuto ya godimo le yona e tla hwetswa ke bohle go ya ka bokgoni bja bona.
26-02	Thuto e tla lebantshwa kgodisong ye e tletsego ya botho le tiisong ya tlhompho ya ditokelo tsa botho le motheo wa ditokologo. E tla tsweletsa kwesiso, kgotlelelo le segwera gare ga ditshaba, dihlopha tsa morafe goba tsa bodumedi gomme e tla thusa go tsweletsa gape le ditiro tsa Ditshaba Kopano mo phegelelong ya go lota khutso.
26-03	Batswadi ba na le tokelo ya pele ya go kgetha mohuta wa thuto ye e tla rutwago bana ba bona.
27-00	Temana 27
27-01	Mang le mang o na le tokelo ya go tsea karolo meetlong ya setshaba, go ipshina ka bokgabo, le go abelana ka tswelopele ya thutamahlale le dithutiso tsa yona.
27-02	Mang le mang o na le tokelo ya tshireletso ya setho le phisegelo ya didiriswa tse di tswago thutamahlaleng, dingwalong goba dipoelong tsa bokgabo tseo a lego mongwadi wa tsona.
28-00	Temana 28
28-01	Mang le mang o lokelwa ke bophelo bjo bo lokilego setshabeng le lefaseng ka bophara moo ditokelo le ditokologo tse di theilwego Boikanong bjo di kgonago go tsweletswa.
29-00	Temana 29
29-01	Mang le mang o na le ditshwanelo tseo a di phethago setshabeng fao go lego bonolo go tsweletsa le go godisa ka botlalo botho bja gagwe.
29-02	Mo tsweletsong ya ditokelo tsa gagwe le ditokologo, mang le mang ga a swanela go tshela mellwane ye e beilwego fela ke molao ka mabaka a go boloka kwesiso le tlhompho ya ditokelo le ditokologo tsa ba bangwe le go amogela dinyakego tse lokilego tsa setho. Ga di a swanela gape go tshela molao wa botho, polokego ya setshaba le maemo a bophelo ka kakaretso mmusong wa setshaba wa demokrasi.
29-03	Ditokelo tse le ditokologo ga di a swanela go ka somiswa thulanong le mehola le maikemisetso a Ditshaba Kopano.
30-00	Temana 30
30-01	Ga go selo mo Boikanong bjo se se ka kwesiswago bjalo ka seo se lebanego le mmuso ofe kapa ofe, sehlopha goba motho go dira mosomo ofe goba ofe wo o lebisitswego pshatlaganyong ya ditokelo le ditokologo tse di beilwego mokhwi.
