00-00	Declaracion Universalde los Drechos Humanos
11-01	Toa persona a la qu'acusen d'un delitu tien drechu a que se-y suponga la inocencia mientres nun se-y pruebe la culpabilida, acordies cola llei y en xuiciu publicu u s'aseguren toles garanties necesaries peles que se defender.
11-02	Naide nun sera condenau por aiciones o omisiones que, acordies col Drechu nacional o internacional, nun yeren delictives de la que se cometieron. Tampocu nun s'impondra una pena mas grave que la que yera d'aplicar nel momentu de que'l delitu se cometiere.
12-00	Articulu 12
12-01	Naide nun sera oxetu d'entrometimientos artibrarios na so vida privada, na so familia, nel so domiciliu o na so correspondencia, nin d'ataques al so honor o a la so bon nome. Toa persona tien drechu a protexese pela llei escontra d'entrometimientos o ataques talos.
13-00	Articulu 13
13-01	Toa persona tien drechu a treslladase llibremente pel territoriu d'un Estau y a escoyer la so residencia dientru d'el.
13-02	Toa persona tien drechu a salir de cualesquier pais, mesmamente del propiu, y a volver otra vegada.
14-00	Articulu 14
14-01	En casu de persecucion, toa persona tien drechu a buscar asilu y a disfrutar d'el en cualesquier pais.
14-02	Esti drechu nun podra invocase si ello se fai a la escontra d'una aicion xudicial orixinada daveres nun delitu comun o nun fechu contrariu a los oxetivos y principios de les Naciones Xunies.
15-00	Articulu 15
15-01	Toa persona tien drechu a una nacionalida.
15-02	A naide se-y quitara arbitrariamente la so nacionalida nin el drechu a camudala.
16-00	Articulu 16
16-01	Los homes y les muyeres, desque s'atopen n'eda de casase, tienen drechu, ensin restriccion nenguna por motivu de raza, nacionalida o relixon, a axuntase en casamientu y fundar una familia, disfrutando d'iguales drechos no referente al matrimoniu, demientres el matrimoniu y en casu de xebramientu del matrimoniu.
16-02	La xuntanza matrimonial namai podra realizase si ye col consentimientu llibre y plenu de los futuros esposos.
16-03	La familia ye l'elementu natural y el sofitu fonderu de la socieda, y tien drechu a la proteicion de la socieda y del Estau.
17-00	Articulu 17
17-01	Toa persona tien drechu a la propieda, de forma individual y en comuna.
17-02	A naide se-y quitara arbitrariamente la so propieda.
18-00	Articulu 18
18-01	Toa persona tien drechu a la lliberta de pensamientu, de conciencia y de relixon, algamando esti drechu la lliberta de camudar de relixon o de creyencia, y tamien la lliberta d'amosar la so relixon o la so creyencia, de forma individual y en comuna, lo mesmo en publico que privadamente, y per aciu de la ensenanza, la prautica, el cultu y el cumplimientu de los preceutos.
19-00	Articulu 19
19-01	Tou individuu tien drechu a la lliberta d'opinion y d'espresion, lo que lleva darreu nun pone-y a naide estorbises pola mor de les sos opiniones, y tamien drechu a dir en cata d'informaciones y d'opiniones, lo mesmo qu'a espardeles per cualesquier mediu d'espresion y ensin llendes de fronteres.
20-00	Articulu 20
20-01	Toa persona tien drechu a la lliberta d'aconceyase y d'asociase pacificamente.
20-02	A naide nun se-y podra obligar a pertenecer a una asociacion.
21-00	Articulu 21
21-01	Toa persona tien drechu a participar nel gobiernu del so pais, de manera direuta o per entemedies de representantes escoyios llibremente.
21-02	Toa persona tien drechu d'algamar, en condiciones d'igualda, les funciones publiques del so pais.
21-03	La volunta del pueblu ye l'encontu onde s'apoya l'autorida del poder publicu; esta volunta habra espresase n'eleiciones verdaderes celebraes periodicamente, per sufraxu universal, igual y per votu secretu o otru procedimientu asemeyau que garantice la lliberta del votu.
22-00	Articulu 22
22-01	Toa persona, desque ye miembru de la socieda, tien drechu a la segurida social y a llograr, gracies al esfuerzu nacional y a la collaboracion internacional, y acordies cola organizacion y los recursos de cada Estau, que se-y satisfaigan los sos drechos economicos, sociales y culturales, indispensables pa la so dignida y pal desendolcu llibre de la so personalida.
23-00	Articulu 23
23-01	Toa persona tien drechu al trabayu, a escoyelu llibremente, a disfrutar de condiciones equitatives y afayadices nel, y a la proteicion escontra'l desemplegu.
23-02	Toa persona tien drechu, ensin discriminacion nenguna, a igual salariu por trabayu igual.
23-03	Toa persona que trabaya tien drechu a una remuneracion equitativa y satisfactoria, que-y asegure, xunto cola so familia, una esistencia acordies cola dignida humana, a la que se-y pueda amestar, si fixere falta, cualesquier otru mediu de proteicion social.
23-04	Toa persona tien drechu a fundar sindicatos y a sindicase col oxetu de defender los sos intereses.
24-00	Articulu 24
24-01	Toa persona non solo tien drechu al descansu y a la folganza, sinon tamien a una duracion razonable del tiempu de trabayu y a vacaciones periodiques pagaes.
25-00	Articulu 25
25-01	Toa persona tien drechu a un nivel de vida amanosu que-y asegure, xunto a la so familia, la salu y el bienestar, sobre manera no referente a l'alimentacion, al vistiu, a la vivienda, a l'asistencia medica y a les ayudes sociales necesaries; d'otra miente, tien drechu a los seguros en casu de desemplegu, d'amalecimientu, d'invalidez, de viudeda, de vieyez o d'otros casos de perda de los medios de mantencion por circunstancies ayenes a la so volunta.
25-02	Les mas y los nenos tienen drechu a asistencia y procuru especiales. Tolos nenos, nacios dientru o fuera del matrimoniu, tienen drechu a una mesma proteicion social.
26-00	Articulu 26
26-01	Toa persona tien drechu a la educacion. La educacion ha ser gratuita, pelo menos la instruccion elemental y fundamental. La instruccion elemental ha ser obligatoria. Habra xeneralizase la instruccion tecnica y profesional, y no referente a los estudios superiores, el so llogru fadrase igual pa toos y d'acuerdu colos meritos que caun tenga.
26-02	La educacion llantara comu oxetivu desendolcar dafechu la personalida humana y afitar el respetu a los drechos humanos y a les llibertaes fundamentales, favoreciendo la comprension, la tolerancia y l'amista ente toles naciones y tolos grupos etnicos o relixosos, y faciendo espoxigar les actividaes que les Naciones Xunies entamen pal caltenimientu de la paz.
26-03	Los pas tendran drechu preferente a escoyer que mena d'educacion habra dase-yos a los fios.
27-00	Articulu 27
27-01	Toa persona tien drechu a andechar llibremente na vida cultural de la comunida, a disfrutar de les artes y a participar nel progresu cientificu y nos beneficios que d'el remanezan.
27-02	Toa persona tien drechu a que se-y protexan los intereses morales y materiales que-y correspuendan poles producciones cientifiques, lliteraries o artistiques de que seya autora.
28-00	Articulu 28
28-01	Toa persona tien drechu a que s'estableza un orde social y internacional u los drechos y llibertaes proclamaos nesta Declaracion aporten a ser efeutivos dafechu.
29-00	Articulu 29
29-01	Toa persona tien deberes pa cola comunida, darreu que ye namai nella onde pue desencolcar dafechu y llibremente la so personalida.
29-02	Nel exerciciu de los sos drechos y nel disfrutu de les sos llibertaes, toa persona habra sometese namai a les llendes marcaes pola llei col unicu fin d'asegurar la reconocencia y el respetu de los drechos y llibertaes de los demas, y de satisfacer le xustes esixencies de la moral, del orde publicu y del bienestar xeneral nuna socieda democratica.
29-03	Estos drechos y llibertaes nun podran exercese en nengun casu escontra de los oxetivos y principios de les Naciones Xunies.
30-00	Articulu 30
30-01	Nada de la presente Declaracion nun podra interpretase nel sen d'atribuyi-y al Estau, a un grupu o a una persona'l drechu d'entamar y desendolcar actividaes o realizar aiciones empobinaes a desaniciar cualesquier drechu o lliberta de les que nesta Declaracion se proclamen.
