00-00	Xipfumelelanu xa nthlanganu wa matiku ya misava mayelanu ni timhaka ta tinfanelo ta xumunhu
22-01	Wihi na wihi, svanga muhanyi wa tiku, a ni nfanelo ya ku kuma uvikeli mayelanu ni ta mahanyele; hi kolahu, a nga svi kota ku kombela ku pfuniwa mayelanu ni ta usiwana ni tin'wani ta mahanyele ya siku ni siku; a svipfunu lesvi sva koteka hikola ka ku tihinta ka minfumu ni ku seketeliwa hi matiku man'wani.
23-00	ARTIGO 23
23-00	Munhu ni munhu a ni nfanelo ya ku kuma ntirhu, ya ku kheta ntirhu, ya matirhele ni maholele ya ku yelana ni ntirhu wakwe, ni uvikeli mayelanu ni ku luza kumbe ku pfumala ntirhu.
23-01	Hin'kwavu vanhu, na ku nga na ku hambana, va ni nfanelo ya ku hola muholo wa kufana loko va tirha kufana.
23-02	A mutirhi wihi na wihi a fanela kuhola kuyenela , a ku kota ku hlayisa munti wakwe mayelanu ni lisima xa umunhu, na wu seketeliwa, loko svi kombela, hi svin'wani ni svin'wani svi nga mahiwaka e mavikeleni ya utomi la munhu ni munhu.
23-03	Munhu ni munhu a khululekile a ku vumba ni van'wani vanhu, a sindicato kumbe ku ti nghenisa e ka ma sindicato sva nga ndlela ya ku vhikhela ti nfanelo ta utirhi la vona.
24-00	ARTIGO 24
24-01	Munhu ni munhu a ni nfanelo ya ku wisa ni ku xuxa, ngopfu ngopfu ya ku yampsiseliwa a ntsengo wa svikhati sva ntirhu ni ku nyikiwa ma feria ya ku hakeliwa.
25-00	ARTIGO 25
25-00	Wihi na wihi a ni nfanelo ya ku nyikiwa mathsamelo ya mahanyelo ya ku yenela ku kota ku tendera ta mavabzi, ku yambala, xikhafu, munti, ku nyameliwa hi dokodela, ni tin'wani ta mahanyele; a ni nfanelo kambe ya ku pfuniwa loko a nga wu kumi ntirhu, loko a ni mavabzi, wu lima , wu felakazi, wu koxa, kumbe ku luzekeliwa hi lesvi svi nga mupfuna mahanyeleni ya siku ni siku.
25-01	A wu b'eleki ni wu tsonguana li fanela ku yamukela nseketelo yo karhi. Hin'kwasvu svivanana, nhambi lesvi svi psaliweke handle ka muthxadu, svi fanele ku kuma mapfunele ya ku fana.
26-00	ARTIGO 26
26-00	Wihi na wihi a ni nfanelo ya ku kuma ku djondza. A ku djondza y mahala, ngopfu ngopfu e ka mabuku lawa ya ku sangula. A wu djondzisi la ku sungula y nsindzisa. A wu djondzisi la ku tiva mintirhu li fanele ku yandzisiwa; a wu djondzi la svi kolwe le svi kulo li fanele ku pfuleliwa vanhu hin'kwavu hi ndlela ya ku fana.
26-01	A wu djondzisi ku laveka li kongometa ngopfu ngopfu a ku bzala moya wa ximunhu ni ku tiyisisa wu hloniphi la tinfanelo ni wu khululeki la wumunhu, ku fundhisa mahanyela ya ku twisisana, ku hlonipha mapimu ya vambe, ku twanana ni ma tiku ya vambe, ku bzala ntwananu xikarhi ka tixaka ni ma kereke ya ku hambana, ni ku yendla xa nthxumu ndzeni ka nthlanganu wa ma tiku ya misava a ku kota ku tiyisa kurhula a misaveni.
26-02	Ka nyikiwa e ka vapsali a nfanelo ya ku kheta a djondzo leyi va yi lavaka ku yi nyikiwa vana.
27-00	ARTIGO 27
27-00	Munhu wihi na wihi a khululekike a ku nghena ni ku hanya a mahanyelo ya siku ni siku ya mughanga wo karhi, ya ku tirhisa kumbe ku londzola a svi yendlo sva mughanga lowu ni ku pfunisela ku yandzisa wutivi ni ku londzola a mihandzu ya wutivi leli.
27-01	Hin'kwavu vanhu va ni nfanelo ya wu sirheli mayelanu ni hin'kwatu timhaka le t fambelanaka ni wu hambhi kumbe wu qambhi hi kola ka wu tivi, a matsalwa ni svi yendlo hin'kwasvu svo qambhiwa hi yena.
28-00	ARTIGO 28
28-01	Hin'kwavu vanhu vani nfanelo ya ku, e mahanyeleni ya siku ni siku, a misaveni hin'kwayu, ku ni nawu ni mafumele ya ku yelana ni svi leleto sva Xiphumelelanu lexi, a kuve kuta koteka ku vanhu va hanya ndzeni ka tinfanelo ni nkhululeko lesvi svi haxiwaka e ka papela leli.
29-00	ARTIGO 29
29-00	A munhu a ni ti n'sindzisa ndzeni ka ma hanyele ya tiku, handle ka ti nsindzisa leti a svi koteki a ku bzala ni ku hluvukisa a wu munhu lakwe.
29-01	A svi faneli ku a munhu a tsemeliwa ndzelekani e ka ku hanya ka ti nfanelo ni wu khululeki leli li haxiwaka hi xipfumelelanu lexi; ntsena svi nga koteka loko a mahanyele kumbe ma mahele lawa ma kongoma ku thikameza ti nfanelo ni wu khululeki la van'wani ndzeni ka nawu.
29-02	A ti nfanelo ni wu khululeki leli a li faneli ku hanyiwa hi ndlela ya ku djikisa a nkongometo ni ma sungulo ya Nthlanganu wa Matiku.
30-00	ARTIGO 30
30-01	Sva yalisiwa ku tirhisa xileleto xihi na xihi xa xipfumelelanu lexi hi ndlela ya ku a munhu, nthlanganu wa vanhu kumbe nfumu wa tiku lihi na lihi, a yendla svi yendlo le svi kongomaku ku hahlula ti nfanelo ni wu khululeki leli li haxiwaku e ka xipfumelelanu lexi.
