00-00	[Universal Declaration of Human Rights]
02-01	Kay niykashqayllapaqam yumbay runakunapaq; tukuy kastakunapaq, imalaya kaqpaqpis, ollqopaq, warmipaq, yumbay Iaya rimaqkunapaq, ima Iaya lutrinayuqpaqpis; kapuqkunapaqpis, mana nimayoqpaqpis ima Iaya partiduta sigiqkunapaqpis, tukuy pipaqmi kayqa.
02-02	Kay nishqaykunaqam yumbay Iaya Ilaqtakunapaqpis: yumbay nasyungunapaq, yumbay prubinsyapaqpis.
03-00	3. Kimsa kaq:
03-01	Yumbay runa, warmikunapis dirichuyuqmi shumaqta kawsanan kay pachapi. Atinllapapismi kriyiyta paykuna munashqambi. Chaymi yumbay runakuna dirichuyuq ama qesachadu kanambaqllapa.
04-00	4.Ch'usku kaq:
04-01	Mananam kanqachu kriyaduqa. Manam atinchiqchu randiyta ni randikuyta runa masinchiqta animaltashina.
05-00	5. Pichqa (sinku) kaq:
05-01	Manam pipis dirichuyuqchu runa masinda suq lastimata qesachanambaq, imata rurashpa.
06-00	6. Suqta (sayis) kaq:
06-01	Yumbay runakunam dirchuyua kay leykunarayku. Kay leykunata kasushun ama pitapis danachinanchiq.
07-00	7. Qanch'is (syiti) kaq:
07-01	Kay leykunaqam yumbaypaq. Chayri mana allichu kamachikuqkuna yanapanambaq kapuqkunatalla, pwidiqkunatalla. Yumbaytar chay awturidarkunaqa yanapanqallapa kapuq mana kapuqtapis. Ama akranqachu paykuna munashqanda.
08-00	8. Pusaq (uchu) kaq:
08-01	Yumbay runakuna, warmikunapis atinllapa dimandayta pitapis, mana allita tukuptinllapa. Juyiskunaqa yumbay llaqta masingunata washanqallapa ama ultrajanan chay uchayuq runakunaqa.
09-00	9. Isqon (nwibi) kaq:
09-01	Awturidarkuna mana surqoshpa juyismanda suq ordindaqa, manam atinllapachu karsilayta ni wichukuyta nasyunninmanda suq runataqa.
10-00	10. Ch'unga (dyis) kaq:
10-01	Yumbay runakuna, warmikuna dirichuyuq kanchiq allin juyisniyuq kananchiq. Chay juyiskunaqa allita uyashpa, shumaqta justisyata ruranqa; ama suqpaqllachu kanqa. Ashwanri yumbaypaq kanqa.
11-00	11. Ch'unga suqniyuq (unsi) kaq:
11-00	Suq dimandadu runapaqqa, juyiskunaqa ama dasqa yuyanqachu "uchayuqmi kay runaqa", nishpaqa. Puntataqa allitaraq rikanqallapa yach 'anambaq "uchayuqchu ichu mana?" nishpa. Chaymandaqa uchayuq kaptinqa, yach'ashpa allita, imatapis ruranqallapa.
11-01	Mushuq Ieyta rurashpaqam mana kasuqkunataqa atinchiq kastigayta. Chay mushuq ley kaptimbis manam kanchu dirichu kastigananchiqpaq runakunata unay tyimpupi mana kasukushpa tiyashqambaq, chay ley manaraq kashqanrayku chay tyimpupi. Chayshinallam mushuq kastigukunapis balin mushuq prisupaqila. Manam balinchu chay runa unaykunapi ima maluta rurashqanbaqqa.
12-00	12. Ch'unga ishkayniyuq (dusi) kaq:
12-01	Manam pipis mitikunqachu suq runapa wasinman ni ayllungunaman, ni kartanda kich'anqachu, dwinun mana munaptinqa. Ama nishumbischu suqkunata: "chay runaqami mainatural" nishpaqa.
13-00	13. Ch'unga kimsayuq (trisi) kaq:
13-00	Yumbay runakunam dirichuyuq purinambaq chay maykunata may munashqanda. Chaymi atin tiyayta may llaqtakunapipis.
13-01	Suq runa munashpa, atin lloqshiyta nasyunninmanda maytapis rinambaq. Chayshinallami atin kutimuyta chay nasyunninman.
14-00	14. Ch'unga ch'uskuyuq (katursi) kaq:
14-00	Qesachawaptinchiq kamachikuqkuna nasyunninchiqpi dirichuyuqmi kanchiq maskananchiq suq nasyunda, chaypi shumaqta tiyananchiq.
14-01	Mana allita tukuptinchiq, manana dirichuyuqchu kanchiq mitikananchiq suq nasyunman washakananchiq kastigunchiqmandaqa.
15-00	15. Ch'unga pichqayuq (kinsi) kaq:
15-00	Yumbay runakuna tukuy warmikuna dirichuyuq nasyunniyuq kanambaq. Peruwanukunata ama yanqa ninqallapachu: "Mananam peruwanuchu kangi" nishpaqa. Dirichuyuqpismi nasyunninmanda Iloqshinambaq.
15-01	Manam atinllapachu nigayta kambyanambaq nasyunninda.
16-00	16. Ch'unga suqtayuq (dyisisayis) kaq:
16-00	Yumbay kasta ichu lutrinayuq runa, warmi, ch'ayashpa idarninman atinliapa kasarayta paykuna mayqan munashqanwan ruranambaq suq aylluta. Oliqo, warmi, kasarashpa, akrakashpa chayshinallam dirichuyuq.
16-01	Manam pipis amalas suqkunata kasarachinanqachu. Suq runa warmiwan paykuna kikin munashpa, kasaranqallapa.
16-02	Ayllunchiqkuna ancha balin. Chaymi awturidarkuna yanapanqa imashinapis pullan shumaqta, kawsanambaq.
17-00	17. Ch'unga qanch'isniyuq (dyisisyiti) kaq:
17-00	Yumbay runam dirichuyuq ch'akrayuq, imayuq kananchiqpaqllapa. Sapalanlia manaqa suqkunawan ch'akrayuqqa atinchiq kayta.
17-01	Manam pipis yanqa qoch'ikunqachu suq runapa imandaqa.
18-00	18. Ch'unga pusaqniyuq (dyisyocho) kaq:
18-01	Yumbay runa atin yuyayta, kryiyta munashqambi. Chayrayku atin akrayta munashqan lutrinata. Munashpaqa atimbismi kambyayta lutrinandaqa. Chayshinam atin lutrinambaq rimayta, yach 'achikuyta kikin wasimbi manaqapis maypipis. Chayshinam atimbis adurayta Dyusninda may munashqambi.
19-00	19. Ch'unga isqonniyuq (dyisinwibi) kaq:
19-01	Yumbay runakuna atin yuyayta munashqanda. Atin parlayta yuyashqanda. Manam pipis pinchinqachu chay runakunata yuyashqanda rimaptin. Dirichuyuqpismi runakuna yach'anambaq yumbay nutisyakunata.
20-00	20. Ishkay ch'unga (beynti) kaq:
20-00	Yumbay runakuna shumaqta mana maqanakushpachu atin tandakayta suqkunawan.
20-01	Manam pitapis atinchiqchu kamachiyta amalas tandakanan suqkunawan.
21-00	21. Ishkay ch'unga suqniyuq (beynti uno) kaq:
21-00	Runapis, warmipis dirichuyuqmi karguyuq kanambaq llaqta masinguna akraptin. Paypis atin akrayta suqkunata karguyuq kanambaq.
21-01	Yumbay runakuna, warmikunam pulla dirichuyuq parlanambaqllapa kamachikuqningunawan. Chay kamachikuqkunaqa ama suqkunapaqllachu kanqa. Ashwan yumbay llaqta masingunapaq pullapaq kanqa.
21-02	Yumbay nasyumba gubyirnun kamachikunqa, llaqta masinguna munaptin kamachikunambaq. Chayri llaqta masinguna pakashpa ruranqa butasyunda, allita akrananllapa kamachikuqninda.
22-00	22. Ishkay ch'unga ishkayniyuq (beynti dos):
22-01	Yumbay gubyirnukuna yanapanqa mana nimayuq llaqta masingunata, amana padisinambaqilapa, mas allita mantyinikanambaqllpa imata rurashpa.
23-00	23. Ishkay ch'unga kimsayuq (beynti tres):
23-00	Dirichuyuqmi yumbay runakuna imata ruranambaq. Atimbismi munashqan trabajuta maskayta. Kapatasninguna shumaqta rikanqa ama wanunan, ama padisinan qeshyaywan chay trabajupi. Manam kanchu dirichu yanqaqa paykunataqa wichukunambaq chay trabajunmanda.
23-01	Yumbay runakuna pullan ruraq suq trabajupilla dirichuyuqmi pullalla ch'askinan pagunda. Manam allichu wakin achkata ch'askinambaq, wakinnataq ashlitatalla ch'askinambaqllapa.
23-02	Yumbay trabajadurmi dirichuyuq ch'askinan qellayta aypanan kawsanambaq, ama padisinan mana nimayuq kashpa. Mana aypaptin paypaq, ayllumbaq, gubyirnun yanapanqa imashinapis.
23-03	Yumbay runam dirichuyuq tandakanan sindikatuwan, chayshina washakanambaqllapa.
24-00	24. Ishkay ch'unga ch'uskuyuq (beynti kwatro):
24-01	Dirichuyuqmi yumbay runakuna samanambaq. Manam allichu qanch 'is (syiti) yumbay diyasninda trabaj anambaq. Atinllapapismi samayta bakasyunnimbi ganashpa.
25-00	25. Ishkay ch'unga pichqayuq (beynti sinko):
25-00	Suq trabajaq runata pagaranqallpa atinambaq randiyta mikunanda, trapunda, kamanda, ambinda paypaq, ayllumbaqpis. Dirichuyuqpismi qeshyashpa choqrikashpa qellayta surqonambaq Siguro Sosyalmanda.
25-01	Ukuyuq warmikuna, yumbay wambritukunapismi dirichuyuq ch'askinambaq Siguro Sosyalmanda ancha mana nimayuq kashpa, taytanguna kasadu kaptin, mana kasaduchu kaptimbis.
26-00	26. Ishkay ch'unga suqtayuq (beynti sayis):
26-00	Yumbay runakuna warmikuna dirichuyuq yach'akunan iskwilapi primaryata ushyanangaman mana pagarakushpachu. Alli kanman sekundaryatapis chayshinalla ushyanambaq. Yumbay wambrakuna yach'akunqallapa iskwilapi. Yumbay ancha allita yach'akuqkuna, pubri kashpapis, kapuq kashpapis dirichuyuqmi yaykunan unibersidaman.
26-01	Iskwilapi yach'akunqa allita yuyanambaq, shumaqta tiyanambaq Ilaqta masingunawan, suq llaqtamanda kaqkunawan, suq Iutrinayuqkunawan, yumbay nasyunmanda runakunawambis. Chayshinami yach'akunqallapa yanapanan Tandadu Nasyungunata ama pilyashpachu yumbay nasyunguna shumaqta kawsanambaqllapa.
26-02	Taytanguna akranqa ima laya munashqan iskwilata, chaypi wambranguna yach'akunambaq.
27-00	27. Ishkay ch'unga qanch'isniyuq (beynti syete):
27-00	Yumbay runakuna dirichuyuq Ilaqtamba kustumbringunata yach 'akunambaq. Kaptin llaqtambi biblyutika, atin liyiyta librungunata. Wakin runakuna yach'akushpa imata rurayta, yach'achinqa llaqta masingunatapis, chay suqkunapis yach'akunambaq.
27-01	Chay punta imata ruraq runaqam dirichuyuq rurashqanda randikushpa, gananambaq. Manam allichu paypa rurashqanda suqkuna kupyashpa randikunambaq.
28-00	28. Ishkay ch'unga pusaqniyuq (beynti ocho):
28-01	Yumbay nasyungunapa gubyirnun awturidarnindin kasunqa yumbay kay iskibridu dirichukunata, yumbay llaqta masinguna shumaqta kawsanambaq.
29-00	29. Ishkay ch'unga isqonniyuq (beynti nwibi):
29-00	Yumbay runakuna yanapanqa chay may tiyashqan llaqtanda. Chayshina ubligasyunninda rurashpa, shumaqta atinllapa kawsayta.
29-01	Yumbay runakuna atinllapa rurayta munashqanllapata, alli kaptin, mana danachiptin suqkunata.
29-02	Kay dirichukunaqa mana kuntranqachu Tandadu Nasyungunapa leyningunataqa.
30-00	30. Kimsa ch'unga (treynta):
30-01	Kay dirichukunata liyishpa, ama ni suq gubyirnu, ni pipis yach'achikunqachu paylla munashqandaqa, qoch'inambaq llaqta masingunapa dirichungunata.
