00-00	ADASAMMA YIEDIE HO ANODISEM
11-01	Obiara nni ho kwan se ogyina amammara anaa amanaman mmara so de asotwe a emfata ma obi wo bone bi a onii yee bere a na saa mmara no nni ho ho. Na se ekoba no se na asotwe bi wo ho ansa na asotwe foforo a emu ye den sene dada no reba a, ese se asotwe a onii yee saa bone no na ewo ho dada no ara na wode twe no.
12-00	Ahyedee 12.
12-01	Ense se obi fa ekwammone so de ne ho hyehye obi kokoamsem, n'afisem anaa n'abusuasem mu. Ense se obi gu obi din ho fi. Mmmara bo onipa biara ho ban sedee ebeye a, biribiara ntumi nsi ne yiedie ho kwan.
13-00	Ahyedee 13.
13-00	Obiara wo ho kwan se otumi ko baabiara, tumi tena baabiara wo oman biara mu.
13-01	Obiara wo ho kwan se otumi tu firi oman biara mu a ne man ka ho, sane ba ne man mu bio.
14-00	Ahyedee 14.
14-00	Se obi manfoo reteetee no ape no atore n'ase a, eye n'asedee se odwane ko dwankobea bi wo oman foforo bi mu kobo ne ho adwaa wo ho.
14-01	Se obi ye bone a emfa amanyo ho anaa entia Amanaman Nkabom Kuo nhyehyee a, enye onii no asedee se saa mmara yi bo ne ho ban firi saa bone no ho.
15-00	Ahyedee 15.
15-00	Eye obiara asedee se otumi ko oman foforo bi mu kodane honi.
15-01	Obiara ntumi mmo ne tirim, mfa asisie kwan so nsakra obi nkyi. Se obi pe se osakra ne nkyi nso a, eye n'asedee se osakra bere a akwansidee biara nni mu.
16-00	Ahyedee 16.
16-00	Eye mmarima ne mmaa a woanyinyini, aso awadee asedee, se woware wowo mma, bere a won nipasuo, won nkyi ne won nyamesom nsi won kwan wo won awadee anaa awaregyaee ho.
16-01	Se awaree no beso a, gye se awarefoo baanu no apene so, agye ato won ho so se wobeware.
16-02	Fidua a eye agya, ena ne mma no nnyinasoo no ye abusuabo nnyinasoo mfitiasee, na eye fidua no asedee se omanfoo bo won ho ban.
17-00	Ahyedee 17.
17-00	Eye obiara asedee se ope ono ara n'agyapadee. Otumi nso ne afoforo bom ne won pe agyapadee.
17-01	Ense se wode ahupoo anaa nneyee a ennam mmara kwan soo gye obi agyapadee firi ne nsam kwa.
18-00	Ahyedee 18.
18-01	Eye onipa biara asedee se odi n'ankasa tirim, dwene n'adwene, ko asore biara a ope. Saa tumi yi ma kwan ma obi tumi sesa n'asore ne ne gyidie wo badwam anaa kokoam a akwansidee biara mma mu, na emfa ho nso se woye nnipa bebree anaa oye okontekoro.
19-00	Ahyedee 19.
19-01	Eye onipa biara asedee se otumi ka n'adwene wo biribiri ho bere a akwansidee biara nni mu. Afei obiara nso tumi fo okwan biara so bo biribi ho dawuro de kyere n'adwene anaa otumi hwehwe nya biribi ho adwene a emfa ho se oye oman ba anaa onana.
20-00	Ahyedee 20.
20-00	Eye obiara asedee se odom asomdwoee kuo bi. Ekwan nso da ho se nnipa bi tumi bom hyia a enye bone so.
20-01	Ense se obiara hye obiara ma odom kuo bi a ompe.
21-00	Ahyedee 21.
21-00	Eye onipa biara asedee se worebu ne man anaa woreka mu asem a, oka bie. Onii no tumi ko mu tee anaa otumi fa abatoo a emu da ho kwan so ka bi.
21-01	Onipa biara wo ho kwan se biribiara a ne man mu aban beyo no, onya ne so ne dee pepeepe.
21-02	Dee omanfoo pe na ese se won aban yo. Wonam abatoo a dwinim biara nni mu, na obi nhunu ne yonko abatoo mu, na obiara a wadi mfee dunwotwe biara to bie so na ededi saa dwuma yi.
22-00	Ahyedee 22.
22-01	Eye oman biara asedee se ebo oman ba biara ho ban. Ese se enam oman no ahooden anaa nkabom bi a saa oman no ne oman foforo bi ayo so ma oman ba biara nya anigyee, di yie sedee oman ko no sikasem, nnobaee ne amammere a etumi ma onipa di mu no tee.
23-00	Ahyedee 23.
23-00	Eye onipa biara asedee se oye adwuma. Adwuma biara a obiara pe se oye no nso, ense se akwansidee biara ba ho. Ense se mmara no bo adwumayofoo ho ban firi adiyie mu, na ehwe ma wonya ahoto wo won nnwuma mu.
23-01	Dwuma koro a obi bedie no so akatua a efata na ese se wotua no a nyiyimu biara nni mu.
23-02	Eye onipa biara asedee se oye adwuma biara a ope, nya ne so ne n'akatua a ebetumi ama one ne hokafoo ne ne mma atena ase anigyee mu, se nnipa, na se eyere so koraa a, aban boa no kwan bi so de bo ne ho ban firi ahokyere bi mu.
23-03	Eye onipa biara asedee se ote anaa odom adwumayefoo kuo de bo n'adwuma anaa n'ankasa ho ban.
24-00	Ahyedee 24.
24-01	Eye onipa biara asedee se oye adwuma bi a, onya kwan gye n'ahome, na otumi ye adwuma nso kosi bere bi. Eto da a, woma onii no kwan ma odi afoofi a wotua no ka.
25-00	Ahyedee 25.
25-00	Eye onipa biara asedee se ono, ne hokafoo ne ne mma a eye fidua no nya ahoto wo won asetena mu. Nnooma a ede ahoto bre abusua anaa fidua no ne aduane, aduradee, adan, ayarehwe ne onipa asetenam ahiadee nyinaa, na mpo se ekoba no se obi adwuma see anaa odi dem, anaa odi kuna, anaa onyini ma no guro, anaa biribiara a ede ohaw beba n'asetena mu a enye ne mfomsoo no, eye n'asedee se onya asetena pa a efata.
25-01	Ese se woma mmaatan, ne titire no, won a woturu mma ne mmofra nyinaa nyia mmoa sononko. Abofra a wonam aware pa kwan so woo no ne sebe, mpena ba nyinaa ye mmofra a wohia hwe pa a nyiyimu biara nni mu.
26-00	Ahyedee 26.
26-00	Eye onipa biara asedee se oko sukuu kosua nwoma. Mofraberem nwomasua no ye adesua ahyesee a enni se wotua ho sika koraa. Eye nhye se abofra biara beko mfitiasee sukuu no bi. Ese se wobuebue mfiridwuma ne nsanodwuma bebree, na se obi tiri di boa no a, wakotoa so wo suapon bi mu, bere a nyiyimu biara nni mu.
26-01	Adesua ho mfasoo titire ara ne se onipa besua adee anya mpontuo wo n'asetena mu, ahunu n'asedee, na wate n'ahofadie ase yie. Eba no saa a, ebema nteasee, abodwokyeree, ne nnamfofa abeda aman ne aman, awosuo nu nyamesom mu gyidie ahodoo nyinaa ntam, na aboa ama botaee a Amanaman Nkabom Kuo de asi n'ani so pe se asomdwoee ba wiase afanan nyinaa no adi mu.
26-02	Eye awofoo nyinaa asedee a edi kan koraa se wokyere adesua koro a wope se won mma nya no daakye.
27-00	Ahyedee 27.
27-00	Eye onipa biara asedee se oma n'ani gye n'amammere ho, na ode ne ho hyehye emu dwumadie nyinaa mu, na onya mfasoo a efiri Abodeemunyansape mu ba nso.
27-01	Eye onipa biara a ode n'ankasa adwene atwere anaa aye biribi de ne din ato soo no asedee se oman no hwe bo ho ban ma no na ne bre anye kwa.
28-00	Ahyedee 28.
28-01	Eye onipa biara asedee se ode anigyee ne ahosepe tena ase asomdwoee mu wo ne man anaa oman foforo mu, sedee ebeye na dee woapae mu aka no Amanaman Nkabom Kuo Anodisem mu no bedi mu.
29-00	Ahyedee 29.
29-00	Eye onipa biara asedee se ode n'ahooden ne ne nyansa boa ma faako a otee tumpon, efiri se eho na ama waye sedee otee yi.
29-01	Ewom se, ese se onipa biara di ne ho so, ye dee ebema ne ho ato no dee, nanso sedee ebeye a, obi nnya anigyetrasoo a ede ohaw bema n'afefoo no nti, ese se onipa biara di ne man anaa fekuo a ofra mu mmara so, na ama ododoo amammuo asetena abo onipa yiedie ho ban.
29-02	Ense se obi toto saa asedee ne ahofadie ho nhyehyee ahodoo yi ase ma ne nneyee ne Amanaman Nkabom Kuo apedee no bo abira kwan biara so.
30-00	Ahyedee 30
30-01	Woanhwe oman anaa nnipakuo bi ho na eyee saa Anodisem yi. Ne saa nti, enni se obi begyina Anodisem yi so, aye biribi ama atia adwempa a efa onipa asedee ne n'ahofadie a Amanaman Nkabom Kuo nya de yee saa anodisem no.
