00-00	Detlaraziun Universala di Derc dles Porsones
02-02	Ala medema manira ne pol gni fat degoena desfarenzia por la posiziun politica, iuridica o internazionala dl paisc o dl teritore de chel che la porsona fej pert, anfat sce chesc e independent, sot a n’aministraziun de creta, nia autonom o sotmetue a val’ sort de limitaziun de sovranite.
03-00	Articul 3
03-01	Vigni porsona a le dert de vita, de liberte y de segurte dla porsona.
04-00	Articul 4
04-01	Degoena porsona ne po gni tignida te stlavite o sorvidu; la stlavite y le comerz de stlafs te bel anfat ci forma e proibis.
05-00	Articul 5
05-01	Degoena porsona ne po gni sotmetueda a tortoera, tratamenc croedi, inumans o umilianc o puniziuns.
06-00	Articul 6
06-01	Vigni porsona a le dert che al ti vegnes reconesciue indlunch suea personalite iuridica.
07-00	Articul 7
07-01	Doetes les porsones e anfat dan la lege y a le dert, zenza degoena desfarenzia, da gni defenuedes dala lege ala medema manira. Doetes les porsones a le dert da gni defenuedes ala medema moda cuntra de vigni sort de descriminaziuns, che va cuntra chesta detlaraziun y cuntra vigni impiziament a na te’ descriminaziun.
08-00	Articul 8
08-01	Vigni porsona a le dert de na poscibilite reala de recurs pro i tribunai statai competenc cuntra aziuns che violeia i derc fondamentai che ti vegn reconesciues a vigni porsona dala Costituziun o dala lege.
09-00	Articul 9
09-01	Degoena porsona ne po gni arestada, sarada ia o esiliada arbitrariamenter.
10-00	Articul 10
10-01	Vigni porsona a le dert, te na posiziun de avalianza plena, a n’audienza publica y valia dan n tribunal independent y imparzial, cun na determinaziun de sue derc y de sue doveis, scioeche de vigni acuesa penala te sue confrunc.
11-00	Articul 11
11-00	Vigni porsona che vegn incolpada de n reat a le dert da gni reconesciueda scioeche inozenta, cina che suea colpa ne e nia gnueda cumprovada alado dla lege te n prozes publich, olache ara a albue doetes les garanzies che va debojegn por suea defenueda.
11-01	Degoena porsona ne po gni condanada porvia de n’aziun o na tralascianza che ne e nia punibla tl moment dl’esecuziun, alado dl ordinament iuridich nazional o internazional. Implue ne pol nia gni de na sanziun plue alta co chera aplicabla tl moment che le reat e gnue eserzite.
12-00	Articul 12
12-01	Degoena porsona ne po gni sotmetueda a interferenzes arbitrares te suea vita privata, suea familia, suea ciasa y suea corespondenza o gni ofenueda te so onur y suea reputaziun. Vigni porsona a le dert da gni sconada dala lege cuntra chestes interferenzes o ofenuedes.
13-00	Articul 13
13-00	Vigni porsona a le dert da se moeie lediamenter te n stat y da se chiri fora suea residenza lediamenter.
13-01	Vigni porsona a le dert da s’un ji da n paisc, ince dal so, y da gni zoruch te so paisc.
14-00	Articul 14
14-00	Vigni porsona a le dert da chiri y da ciafe te d’atri paisc asil cuntra les persecuziuns.
14-01	Chesc dert ne podara nia gni ghire sce la porsona vegn veramenter chirida por reac che n’e nia politics o por aziuns cuntra i fins y i prinzips dles Naziuns Unides.
15-00	Articul 15
15-00	Vigni porsona a le dert da avei na zitadinanza.
15-01	A degoena porsona ne pol ti gni tut arbitrariamenter no suea zitadinanza, no le dert da barate zitadinanza.
16-00	Articul 16
16-00	Ei y eres cun n’ete adatada a le dert da se maride y mete soe familia, zenza limitaziun de raza, zitadinanza o religiun. Ai a i medemi derc por ci che reverda le matrimone, tratan le matrimone y canche al vegn deslie.
16-01	Les porsones po ma gni dades adoem cun le consens lede y plegn di nuec.
16-02	La familia e la basa naturala y fondamentala dla soziete y a le dert da gni defenueda dala soziete y dal Stat.
17-00	Articul 17
17-00	Vigni porsona a le dert da avei na propriete personala o deboriada cun d’atri.
17-01	A degoena porsona ne pol ti gni tut arbitrariamenter suea propriete.
18-00	Articul 18
18-01	Vigni porsona a le dert de liberte de pinsier, coscienza y religiun; chesc dert tol ite la liberte da mude religiun o fede, y da mostre, dassora o deboriada cun d’atri, tl publich o tl privat, suea religiun o suea fede tl insegnament, tla pratica, tl cult y tl’osservanza di rituai.
19-00	Articul 19
19-01	Vigni porsona a le dert de liberte de minunga y espresciun, cun lapro le dert da ne gni nia scintine por suea minunga, y da chiri, ciafe y de inant informaziuns y idees tres vigni meso y zenza tigni cunt de confins.
20-00	Articul 20
20-00	Vigni porsona a le dert da se incunte y se assozie en pesc.
20-01	Degoena porsona ne po gni sforzada da fa pert de n’assoziaziun.
21-00	Articul 21
21-00	Vigni porsona a le dert da to pert al govern de so paisc, sides diretamenter che tres rapresentanc chiris fora lediamenter.
21-01	Vigni porsona a le dert da ti rove pormez ales medemes condiziuns ai posc de laur publics te so paisc.
21-02	La orente popolara e la fondamenta dl’autorite publica; chesta orente mess gni a espresciun tres lites regolares y dertes, universales y valies, cun litaziun socreta o n’atra prozedoera ecuivalenta a na votaziun ledia.
22-00	Articul 22
22-01	Scioeche member dla soziete a vigni porsona le dert de segureza soziala, scioeche ince da realise tres mosoeres nazionales y la colaboraziun internazionala, tignin cunt dl’organisaziun y dles ressurses de vigni stat, i derc economics, soziai y culturai che va debojegn por suea dignite y le svilup lede de suea personalite.
23-00	Articul 23
23-00	Vigni porsona a le dert da podei laure, da se chiri fora lediamenter suea profesciun, da avei condiziuns de laur iuestes y dalvers y da gni defenueda cuntra la dejocupaziun.
23-01	Vigni porsona a le dert da ciafe le medemo paiament por le medemo laur zenza descriminaziuns.
23-02	Vigni porsona che laora a le dert da ciafe n paiament adate y dalvers che ti garantesces a d’era y a suea familia n’esistenza alado dla dignite umana, integrada sce al va debojegn, cun d’atres mosoeres de proteziun soziala.
23-03	Vigni porsona a le dert da mete soe sindacac y da ji lapro por defene sue interesc.
24-00	Articul 24
24-01	Vigni porsona a le dert da palse y da avei temp lede y dantadoet na limitaziun adatada dles ores de laur y feries periodiches paiades.
25-00	Articul 25
25-00	Vigni porsona a le dert da avei n standard de vita che garantesces suea sanite y so begnester y chel de suea familia, tignin cunt dantadoet dl’alimentaziun, dl guant, dl’abitaziun, dles cures mediches y di sorvisc soziai che va debojegn, scioeche ince la segureza tl caje de dejocupaziun, maratia, invalidite, vedovanza, vedleza o sce ara perd a val’atra moda i mesi de sostegn, porvia de condiziuns che ne depenn nia da d’era.
25-01	Les umes y i mituns a le dert da ciafe cures speziales y sostegn. Duec i mituns, nasciues tl matrimone o defora da d’el, mess ciafe la medema sconanza soziala.
26-00	Articul 26
26-00	Vigni porsona a le dert da ciafe n’istruziun. L’istruziun mess ester altamo por ci che reverda la scora elementara y la formaziun de basa debann. L’istruziun elementara mess ester obligatoria. Doetes les porsones mess podei ciafe n’istruziun tecnica y profescionala y ti rove pormez ala medema manira al’istruziun alta alado de suees capazites.
26-01	L’istruziun mess se oriente al svilup plegn dla personalite umana y al renforzament dl respet di derc dles porsones y dles libertes fondamentales. Ara mess porte pro ala comprenjiun, toleranza, amizizia danter doetes les naziuns y i grups raziai y religiusc y sostigni l’ativite dles Naziuns Unides por mantigni la pesc.
26-02	I geniturs a le dert de priorite da chiri fora l’istruziun de sue mituns.
27-00	Articul 27
27-00	Vigni porsona a le dert da to pert lediamenter ala vita culturala dla comunite, da se gode les erts y da to pert al progres scientifich y a sue benefizi.
27-01	Vigni porsona a le dert che i interesc morai y materiai che vegn da suea produziun scientifica, leterara y artistica vegnes scona.
28-00	Articul 28
28-01	Vigni porsona a le dert da avei n ordinn sozial y internazional, olache i derc y les libertes nominades te chesta detlaraziun po gni realisa deplegn.
29-00	Articul 29
29-00	Vigni porsona a doveis devers la comunite, deache ma dailo vara da se dauri al svilup lede y plegn de suea personalite.
29-01	Da eserzite sue derc y suees libertes mess vigni porsona ma gni sotmetueda a ches limitaziuns che vegn fates fora dala lege por garanti le reconesciment y le respet di derc y dles libertes di atri y por adempli i derc bojegns dla morala, dl ordinn publich y dl begnester general de na soziete democratica.
29-02	Chisc derc y chestes libertes ne po a degoena moda gni eserzita cuntra i fins y prinzips dles Naziuns Unides.
30-00	Articul 30
30-01	Degoena desposiziun de chesta detlaraziun ne po gni interpretada a na moda da ti de insaci dert a n stat, n grup o na porsona da eserzite n’ativite o n’aziun por to y ji i derc y les libertes nominades te chesta detlaraziun.
