00-00	dunya kishilik hoquqi xitabnamisi
02-02	uning ustige hemme adem ozi tewe doelet yaki zeminning siyasiy, memuriy yaki xelq'ara ornining oxshash bolmasliqi bilen perqlenmeydu. Bu zeminning musteqil zemin, wakaliten bashquruluwatqan zemin. aptonomiyisiz zemin yaki bashqa herqandaq igilik hoquqigha chek qoyulghan halettiki zemin bolushidin qet'iynezer.
03-00	3-madda
03-01	hemme adem hayatliqtin, erkinliktin we jismaniy bixeterliktin behrimen bolushqa hoquqluq.
04-00	4-madda
04-01	herqandaq ademni qul qilishqa yaki qul qatarida ishlitishke bolmaydu. herqandaq shekildiki qulluq tozumnimu, qullarni elip-setishnimu men'i qilish kerek.
05-00	5-madda
05-01	herqandaq ademni rehimsizlik bilen qiynashqa yaki wehshiy, insaniyetsiz yaki jaqaret xarakterlik muamilige yaki jazagha duchar qilishqa bolmaydu.
06-00	6-madda
06-01	hemme adem herqandaq jayda qanun aldidiki kishilik izzitini etirap qildurushqa hoquqluq.
07-00	7-madda
07-01	hemme adem qanun aldida babbarawer hemde qilche kemsitilmey, qanunning barawer qoghdishidin behrimen bolushqa hoquqluq. Hemme adem mushu xitabnamige xilap herqandaq kemsitishtin we mushundaq kemsitishke turtke bolidighan herqandaq qilmishning ziyankeshlikdin saqlinish uechuen, barawer qoghdashtin behrimen bolushqa hoquqluq.
08-00	8-madda
08-01	herqandaq adem ozining asasiy qanun yaki qanunlar bexsh etken asasiy hoquqi ziyankeshlikke uchrighanda, layaqetlik doelet soti arqiliq bundaq ziyankeshlik herikitidinunumluk qutulup qelishqa hoquqluq.
09-00	9-madda
09-01	herqandaq ademini herqandaq shekilde qolgha elishqa, nezer bent qilishqa yaki suerguen qilishqa bolmaydu.
10-00	10-madda
10-01	hemme adem musteqil hem xalis sotning adil we ochuq soraq qilish bilen oezining hoquqi we mejburiyitini mueyyenleshturushke hemde oezige qoyulghan herqandaq jinayi eyibni eniqliwelishqa puetuenley teng hoquqluq.
11-00	11-madda
11-01	jinayi ishlar bilen erz qilin'ghanliki adem aqlash jehette lazimliq barliq kapaletke erishken ashkara sotta jinayiti barliqi qanun boyiche delillengiche gunahsiz dep qarilisqa hoquqluq.
11-02	herqandaq ademning herqandaq qilmishi yaki qilmishsizliqi sadir bolghan waqtida doelet qanuni yaki xelq'ara qanun boyiche jinayi ishlar jinayitini shekillendurmigen bolsa, jinayi ishlar jinayitini oetkuezgen dep hoekuem chiqirishqa bolmaydu. jinayi jaza jinayet oetkuezgende tetbiq qilindighan qanundiki belgilimilerdikidin eghirlitiwetilse bolmaydu.
12-00	12-madda
12-01	herqandaq ademning xususiy turmushigha, ailisige, turalghu jayigha we xet-alaqisige xalighanche arilishiwelishqa bolmaydu. Uning sheni we shoehritige hujum qilishqa bolmaydu. bundaq arilishishtin yaki hujumdin saqlinish uechuen, hemme adem qanunning qoghdishidin behrimen bolushqa hoquqluq.
13-00	13-madda
13-01	hemme adem herqaysi doeletlerning zeminida erkin kochushke we olturaqlishishqa hoquqluq.
13-02	hemme adem herqandaq doelettin ketishke, jomlidin oez doeletidin ketishke hoquqluq hemde oezining doelitige qaytip kelishke hoquqluq.
14-00	14-madda
14-01	hemme adem ziyankeshliktin saqlinish uechuen, bashqa doeletlerde panah tileshke we panahlinishqa hoquqluq.
14-02	heqiqeten gheyriy siyasiy jinayet yaki birleshken doeletler teshkilatning asasiy meqsiti we prinsipigha xilap qilmish bilen eyiblengen ehwal astida, bundaq hoquqtin paydilinishqa bolmaydu.
15-00	15-madda
15-01	hemme adem doelet tewelikidin behrimen bolushqa hoquqluq.
15-02	herqandaq ademni doelet tewelikidin xalighanche mehrum qilishqa bolmaydu. uning doelet tewelikini oezgertish hoquqini inkar qilishqimu bolmaydu.
16-00	16-madda
16-01	yash qoramigha yetken er-ayallar irq. doelet teweliki we din jehettin herqandaq cheklimige uchrimay, toylishishqa we oey tutushqa hoquqluq. Ular nikah jehette, toy qilghan mezgilde we nikah toxtimi bikar qilin'ghanda, barawer hoquqqa ige bolushi kerek.
16-02	er terep bilen ayal terepning ixtiyar qilishi we tamamen maqul bolushi arqisidila toy qilishqa bolidu.
16-03	aile tebiiy we asasiy ijtimaiy birlik, u jem'iyet we doelet terpidin qoghdilishqa tegishlik.
17-00	17-madda
17-01	hemme ademning mueluekke ongche igidarliq qilish hoquqi shuningdek bashqilar bilen sherikliship igidarliq qilish hoquqi bolushi kerek.
17-02	herqandaq ademni mal-mueluekidin xalighanche mehrum qilishqa bolmaydu.
18-00	18-madda
18-01	hemme adem idiyiwi, wijdaniy we diniy erkinlik hoquqigha ige: bu hoquq shu ademning oezining dinini yaki etiqadini oezgertish erkinlikni shuningdek oezining dini yaki etiqadini diniy eqide, emeliyet, namaz-ibadet we emrimerup arqiliq yalghuz yaki oem, ashkara yaki mexpiy ipadilesh erkinlikni oez ichige alidu.
19-00	19-madda
19-01	hemme adem oez teshebbusini bildrush we pikir bayan qilish erkinlikidin behrimen bolushqa hoquqluq: bu hoquq mudaxilige uchrimay oez teshebbusini saqlap qelish erkinlikini we uchur hem pikirlerni herqandaq waste arqiliq we doelet ayrimisigha qarimay izdesh, qobul qilish we tarqitish erkinlikini oez ichige alidu.
20-00	20-madda
20-01	hemme adem tinch yol bilen yighin oetkuezuesh we teshkilatlargha oyushush erkinlikidin behrimen bolushqa hoquqluq.
20-02	herqandaq ademni melum bir teshkilatning tewelikige otushke zorlashqa bolmaydu.
21-00	21-madda
21-01	hemme adem doeletni idare qilishqa oezi biwaste qatnishish yaki oezi erkin tallighan wekili arqiliq qatnishish hoquqigha ige.
21-02	hemme adem oez doelitining hoekuemet ishlirigha barawer purset bilen qatnishish hoquqigha ige.
21-03	xelqning iradisi hoekuemet hoquqining asasi: bu irade qerellik we heqiqiy saylam bilen ipadilinishi kerek. saylam omumyuezluek we barawer awaz berish hoquqigha asaslinishi hemde yoshurun awaz berish yaki obdanla erkin awaz berish boyiche elip berilishi kerek.
22-00	22-madda
22-01	her bir adem jem'iyetning bir ezasi bolush suepiti bilen, ijtimaiy kapalettin behrimen bolushqa hoquqluq hemde oezining shexsiy izzet-hoermiti we kishilik ghururining erkin rawajlinishi uechuen zoeruer bolghan iqtisadiy, ijtimaiy jehettiki we medeniyet jehettiki her xil hoquqlardin behrimen bolushni emelge ashurushqa hoquqluq. bu emelge ashurush doeletning tirishchanliqi we xelq'ara hemkarliq arqiliq hemde herqaysi doeletlerning teshkilati we bayliq ehwali boyiche bolidu.
23-00	23-madda
23-01	hemme adem ishleshke, erkinkesip tallashqa, adil we muwapiq xizmet sharaitidin behrimen bolushqa hemde ishsiz qelishtin saqlinish kapalitidin behrimen bolushqa hoquqluq.
23-02	hemme adem herqandaq shekilde kemsitilmey, oxshash ish uechuen oxshash heq elish hoquqigha ige.
23-03	ishligen ademning her biri adil we muwapiq heqtin behrimen bolushqa, oezining we aile tawabiatining insaniy izzet-hoermetke layiq turmush sharaitigha ige bolushini kapaletke ige qilishqa, zoeruer tepilghanda. uninggha bashqa ijtimaiy kapaletni qoshumche qilishqa hoquqluq.
23-04	hemme adem oezining menpeitini qoghdash uechuen, ishchilar uyushmisini teshkillesh we uninggha qatnishish hoquqigha ige.
24-00	24-madda
24-01	hemme adem dem elish we bikar yueruesh hoquqidin, jumlidin ish waqtining chekini eqilge muwapiqlashturush hemde qerellik, maashliq dem elish hoquqidin behrimen bolidu.
25-00	25-madda
25-01	hemme adem ozining we aile tawabiatining salametliki we parawanliqini kapaletke ige qilish uechuen zoeruer bolghan turmush sewiyisidin, jumlidin yemeklik, kiyim-kechek, turalghu oey, dawalinishtin we zoeruer ijtimaiy mulazimetchiliktinbehrimen bolush hoquqigha ige: ishsiz qalghanda, kesel bolup qalghanda, mejruh bolup qalghanda, tul qalghanda, qerighanda yaki tizginligili bolmaydighan bashqa ehwal bilen tirikchilik iqtidarini yoqatqanda, kapalettin behrimen bolushqa hoquqluq.
25-02	anilar we balilar alahide etibardin we yardemdin behrimen bolushqa hoquqluq. barliq balilar nikahliq yaki nikahsiz tughulghanliqigha qarimay, okhshash ijtimaiy muhapizettin behrimen bolushqa tegishlik.
26-00	26-madda
26-01	hemme adem bilim elish hoquqigha ige. bilim elish heqsiz bolushi kerek. hech bolmighanda, bashlan'ghuch we asasiy basquchta shundaq bolushi kerek. bashlanghuch ma'arip mejburiyet xarakterida bolushi kerek. texnika ma'aripi we kespiy ma'aripni omumyuezluek tesis qilish kerek. aliy ma'aripning ishikini netijige qarap barliq kishilerge teng echiwetish kerek.
26-02	ma'aripning meqsiti ademning xasliqini toluq yetildurush hemde kishilik hoquqi we asasiy erkinlikke bolghan hoermetni kuecheytish. ma'arip herqaysi doeletler, irqlar, yaki herqaysi diniy guruhlar ara chushinishni, yol qoyushni we dostluqtin ilgiri suerueshi hemde birleshken doeletler teshkilatining tinchliqni qoghdash yolidiki turluk paaliyetlirini algha suerueshi kerek.
26-03	ata-anilar perzentlirining elishqa tegishlik bilim turlirini awwal tallash hoquqigha ige.
27-00	27-madda
27-01	hemme adem jem'iyetning medeniy turmushigha erkin qatniship, sen'ettin behrimen bolushqa hemde ilim-pen tereqqiyatidin we uningdin hasil bolghan parawanliqtin teng behrimen bolushqa hoquqluq.
27-02	hemme adem oezi ijad qilghan ilmiy, bed'iy eserlerdin we guzel sen'et eserliridin hasil bolghan meniwi we maddiy menpe'et munasiwiti bilen, qoghdilish hoquqigha ige.
28-00	28-madda
28-01	hemme adem mushu xitabnamide qeyt qilinghan hoquq we erkinlikning toluq re'allishishigha imkan beridighan bir xil ijtimaiy we xelq'ara tertipni telep qilishqa hoquqluq.
29-00	29-madda
29-01	hemme adem jem'iyet aldida mejburiyetni uestige alghan bolidu. chuenki, ularning xasliqi jem'iyet ichidila erkin we toluq rawaj tapalaydu.
29-02	hemme adem oezining hoquqi we erkinlikini yuerguezgende, qanunda belgilengen cheklimigila uchraydu. bundaq cheklimini belgileshtiki birdinbir meqset bashqilarning hoquqi we erkinlikining tegishlik derijide etirap qilinishi we hoermet qilinishigha kapaletlik qilish hemde demokratik jem'iyette exlaq. jamaet tertipi we omumiy parawanliqning orunluq ehtiyajigha layqlishish.
29-03	ashu hoquq we erkinliklerni yuerguezgende, herqandaq ehwalda birleshken doeletler teshkilatning asasiy meqsiti we prinsipigha xilapliq qilishqa bolmaydu.
30-00	30-madda
30-01	bu xitabnamining herqandaq bir maddisini herqandaq doelet, guruh yaki shexs mushu xitabnamide qeyt qilinghan herqandaq hoquq we erkinlikni buzush meqsitidiki pa'aliyet yaki heriketlerni elip berishqa hoquqluq dep sukut qilidighan menide chushendurushke bolmaydu.
