00-00	Delaracioe' Ki' DERECHO H Ki' la' la koeoe jmu guue kiae guia' su'
20-00	Ka-la ju' dsa e sia Derecho ki', na-jua e tiae ku siae' dsa tia' i hia' dsuu'.
20-01	A sia ta la i jni' ja sa jne dsa dsa i'.
21-00	Articulo 21
21-00	La-ju dsa e sia derecho e li jmo dsa-ta o-e li kae' dsa tae' fuu ki' dsa.
21-01	E-la juu' dsa sia derecho. E i' dsa o e jmo dsa tae' nacio' ki-dsa.
21-02	E-jua' dsa fuu e jae i jmo dsa tae', nia dsa fuu jua' e jae e li' la-jae na-juae e jna' dsa-dsa tae ni ta'. Fuu voto e a siae dsa jue na jmo dsa. vota'.
22-00	Articulo 22
22-01	La-ju dsa tiae' koe je fuu e ti' dsa –e jma o dsa na lu' ta' nacioe' ki' dsa, o nacioe' suu ki' dsa o li ae dsa nia kuu' sia nacio ki' dsa ma-jae' a e li' e sa' sia ji kae' dsa.
23-00	Articulo 23
23-00	La-ju dsa ti' e jno' dsa ta' i tu dsu-a e sia derecho e ko rue jmo-dsa-ta'
23-01	La-ju dsa sia derecho e rue li liae' dsa ta e jmo dsa'.
23-02	La-ju dsa jmo ta' e sia derecho ki' dsa e li lia' lo ja' l jmo dsa-ejae e a sia no jmo, ji kae Familia kia dsa nia e ma, h'iae dsa ni ta na jua na jmo ji' ji ka dsa.
23-03	La ju' dsa snia juu' dsa i tae' dsa sindicato e li jma ki' dsa.
24-00	Articulo 24
24-01	La ju dsa sia derecho e jia' dsa koe jmu. La-koe' koe su-ma' e –asia jmo dsa ta la ji sa ma te' dsa nia e tu dsa vacacioe'
25-00	Articulo 25
25-00	La-ju dsa sia Derecho ki'-dsa e tae' dsa e a sia e na-jmo ji kae' dsa La ma-nia dsa siae kiae dsa e sa dsoe'-dsa, e sa e li ku' dsa, e sia o-mu' nia la-ju e na-jmo j'I kae dsa nia la jae a sia eli' e-na.jmo', ki' dsa na-jua a sia tae' sia ki' dsa, e asiae e na-jmo' na-jua ka lu j'un' dsa o e ji' e-su. Eli' ji dsa.
25-01	Hi'e. Nia gui nia la ju si mi', e dsa jmo i' rue mi ma-jae asia e li ji dsa.; la-Ju gui lu-siae na-ji' osa' na-ji' guo se' jmi gui ko-nii derecho sia ki gui.
26-00	Articulo 26
26-00	La ju-dsa sia derecho ki' dsa e li tu dsa gui, a siae jma mae dsa ni tu ja dsa jnia dsa, e li tu dsa e eo gui e jnia dsa La ju gui-mi'. Na-jua jne h'uu dsa dsa jnia ni tu a sia jua' esa li dsa jnia dsa.
26-01	E-Ja ba dsa-jnia dsa ni tu mae-jae li-tu-dsa, ma-ja joe dsa e-ja e dsi li jmo-dsa nia ma-jae li kuu' dsa E-jae Dereco Humano, ma-ja jma o-dsa, nia ma-jae un dsi'-dsa e ji' dsa nia dsa tiae' nacioe' su' nia la ju dsa goo siae gua-uo' ma-jae ji dsa nia dsa na-kiae religioe su'. nia ma-ja ma-jnia dsa e ji tae ejmo Naciones Unidas.
26-02	Se'-jmi' gui-mi' e sia Dereco e jno' dsa e jae jne' dsa jma-tu gui jo dsa.
27-00	Articulo 27
27-00	La-ju dsa sia derecho. E-i' dsa nia e li kuu' dsa e jae lu tu dsa, nia-jma tu nia jue, li kuu'. la jue dsi li' siae.
27-01	La-ju dsa sia Derecho e jmo dsa ta i' e ti' dsa jua' e ki' Cientifico, mo-gui' o e ji e su.
28-00	Articulo 28
28-01	La-ju dsa sia Derecho, e ti tae dsa ni ta. La ru-lue' Derecho y chi toe ni declaracio ma-jae li' ti' la rutoe.
29-00	Articulo 29
29-00	La-ju dsa ti' ma-ti' e jae e jmo' dsa gee' fuu uu ji jae siae dsa.
29-01	La-ju dsa, ju i ja sa li jmo dsa eja e sa-ru jua' bu lee ki fuu goo-dsa ma-ja jmo dsa ki' Derecho, ki' Dsa suu- nia-jae jma ti loe' e ja e dsi' e a sia e sa dsi dsa-li' gee fu di' dsa.
29-02	La-ju Derecho ru toe ni mo-gui la, a sia e li jma-suu' ha.jua a sia la jae ru-toe – o – no lue la ja juae' Naciones Unidas.
30-00	Articulo 30
30-01	Ji-jua-e I ru-toe ni Declaracioe la a jne jua' tu chi-ni' Na-jua koe Estado, o koe siae' dsa o jae dsa li-jne' jmo' dsa o ki' dsa Derecho sa ru toe ni Declaracioe la.
