00-00	Delwara Pelelo Dalo Engen nge Leda (Iguk)
01-01	Leda pred lalengenia lebereinialo na lerewato engen ngedamia na engen pred ingi ngercadato ta leda alefidi. Lenngulu pred lananeinu denaca dame retereto na ara gengera ngennganta alerewadate alamedaide beran usilaga gengelengenia na gengorba.
02-00	Aduna 2
02-01	NGen ngangera ta leda pred alefidi ngen pred ingi ngercadato ta angefete edemetia eden na debereinialo engen ingi ngewerdeinu e-Delwara Pelelo Dalo idi eda gero geneng gederneinu alo, ngennga ngemcu, angeno, delenge, ole, erdia, ngen ngengamda ngetur, walla ngen ingi leda lomen lesecia, walla ngen ngalo irnung walla ngen ngengero ngeleda, walla langge ildi eda gertelo, delengenia walla ngen ngemen ingi ngakerenu, na ta dakarnediano aderte eleda lerrwa walla lerelda.
02-02	Na engen ngwana ngomen teng, debaperdeniano aderte defia engen ngengamda ingi eda geneng gengentu na ngelenge ngalganun walla rad irri Irnung Gorra geleyerlda walla irnung gerra geda geneng nde genngu gakemia etam gelerengu walla gefo edeng dengabera ngomen.
03-00	Aduna 3
03-01	Leda pred ngen ngarcadato ta alefidi edemetia eden, demetia dengera na debereinialo na deutaralo.
04-00	Aduna 4
04-01	Eda gero geneng gidi angideni gero ebai walla angidini ngebaya. NGen ngetemudu ngedidia leda lero lebai na ngedirldideidia leda radra pred relerengu.
05-00	Aduna 5
05-01	Eda gero geneng gidi angidini ngadena angeneini ngen ngibwa egangeno walla angemwedinialo walla angidini ngen ngero ngebarna ngeleda, walla angidenti ngen ngekera damia delerengu walla angebini engen epwaya.
06-00	Aduna 6
06-01	Leda pred ngen ngangera ta alidenti ngen ngercadato ta angidenti eda geneng nde genngu gefo alganun nenua.
07-00	Aduna 7
07-01	Leda pred larewato engen alganun nenua na lenngulu pred ngen ngarcadato ta alefidi ngen ngero ngemeladia edakemedia. Na lenngulu com ngen ngangera ta alefidi debereceniano derewato alganun nenua depeidia ledano dero, ngen ingi ngekera ngen nge Delwaro Pelelo Dalo idi na ngakia ngen ngedebwaidia engen ngedakarnediano.
08-00	Aduna 8
08-01	Leda pred ngen ngarcadato ta alefidi dakemia dengera eneleng nakemedia nirnung igi ldefau, nde eda geneng gidentu ngen ngeberangeno engen ingi ngero aduna engen ngercadato ta angefidi engen ingi ngefo itastur walla igalganun.
09-00	Aduna 9
09-01	NGen ngero ngangera ta eda geneng angendeni meremeren walla angedurwini liga lobelano walla lwalano dakemia dero, walla angemineni walla angeleldeneni irnung gelerengu angedweini nwaldang ngaberanga.
10-00	Aduna 10
10-01	Leda pred lerto ngen ngerewato ta deskinia eden adenweneini neleng nenua nakemedia nalmakema yero yeberta ngelenge ngomen ngeduru ilerua na yidurwatu yetere, ngennganta neleng nakemedia anelakemedeti ngennga ngedurwatu ingi ngercadato ta alefidi engen pred ingi lenngulu leskiniau.
11-00	Aduna 11
11-01	Eda geneng gendenu walla gesekinu ngennga ngeneng, genngu gumadeinia ta gero menna meldin na ngen ingi geskiniya angemasate almakema nenua isi yerewadato ta ayemanace liga ta angopete etam gelerengu.
11-02	Eda gero geneng gidi angakemeni ngennganta genngu gatodo walla gero getoda ngemerrianga ngeneng illi nde ngemerria ngakel ngumadeinu ta ngaro dekera ngen ngalganun yeleda lirnung iliga durri ildi eda giditau walla gero gebedia ngen ngakel. Na eda angerte gakemenia ngennga ngemenedialo engen ingi ngercadato ta angeyakemeni iliga ildi gefo giditau menna gakel.
12-00	Aduna 12
12-01	NGen ngero ngengera ta eda geneng angenti engen eda gomen meremeren walla angenti engen ngera gelerengu walla ekal isi gefau, walla angenti engen leda leyarrengenedia, na eda geneng angerte gedama damia deda gomen na dengera delerengu. Leda pred lerto ngen detem ta alganun ayerremotwe engen ingi ngederrentia engen ngeda geneng walla dedama eda.
13-00	Aduna 13
13-01	Leda pred ngen ngangen detem ta alakaldace alo irnung retereto lebereinialo, na ngen angerte ngeneng ngetritia eda ta angefete irnung igi gonato alo ereriang rirnung gelerengu.
13-02	Leda pred ngen ngangen detem alemamene na alerldete irnung ndewur egen, na alokorebata irnung egen ngen ngero ngeneng ngelederna.
14-00	Aduna 14
14-01	Leda pred ngen ngangen na ngarcadato ta nde lenanenia ngen ngibwa ngeberangeno irnung egen alegakonde ngen ta aldaldenete irnung gerto ngennganta aleweberdeini na alufidi demineniano.
14-02	NGen ingi ngercadato ta angidenti leda, ngaber ngamedata eda geneng nde gemameinu nalmakema ngennga ngerto ngerta ngangamda walla nde genngu getodo ngemerrianga ngeneng ngemelado engen ngalganun ye Leda ildi Lerreidu ngen na engen ingi ldekeru.
15-00	Aduna 15
15-01	Leda pred ngen ngangen detem ta eda geneng angerte jinsiya.
15-02	NGen ngafo menna ta eda geneng angemureini jinsiya ngaberanga walla angerte gebengenetia nde genngu gonata gemeledia jinsiya alo yilerengu.
16-00	Aduna 16
16-01	Orra na obwa nde lenngulu lermato iliga lengera lerewadato ta alemede alwade era egen, ngen ngangera ta lenngulu alemede na ngen angerte ngeneng ngeletritia, ngen ngarno ngen ngedelenge na ngemcu, walla ngen ngerdia ge Remwa. Lenngulu ndem lerto ngen ngerewato ta alemede beran, leda alerte lebentia engen engen iliga ldemedia walla iliga ldenedia.
16-02	NGen ngangera ta dema adengeneti na adideni cang cang nde leda ildi lemedia lengenecedu ngamda ngero na lero ledernadeidenia engen.
16-03	Era garo aduna yiwedenu alo eleda lirnung yeleda lerejan lerreidu ngen, na ngen ngarcadato ta lenngulu alebereceniano na arremujeni eleda lerewur na Irnung Gorra.
17-00	Aduna 17
17-01	Leda pred ngen ngangera ta eda geneng nangidi dwala walla angerte langge, gefo alesong gonto walla lerreidu ngen ledala lomen.
17-02	NGen ngero ngengera detem ta eda geneng angemameini dwala delerengu walla langge ellerengu ildi gertelo meremeren.
18-00	Aduna 18
18-01	Leda pred ngen ngangen detem ta eda geneng angefete gebereinialo engen ngengetera ngelerengu, na ngen ngara gemeto gelerengu, na dendia ngen ngerdia ge Remwa delerengu; na ngen ngelerengu ingi nganta ta, eda geneng angerewadate angemeledi ngen alo ngerdia gelerengu walla ngen ingi gendu nge Remwa nde gonata, na ngen angerte ngeneng ngemaderna ta garwata ngennga ngelerengu nge Remwa darrengeidiada walla didiaya ngemerria, na debungetiada Remwa gefo alesong walla lefo ldero ledala lwana, eda angerte geneng gebentia engen ngelerengu.
19-00	Aduna 19
19-01	Leda pred ngen ngangen detem ta eda geneng angebereini alo ta angangeidi ngen ingi gesadeinia engetera ngelerengu na angeyerwate; na ngen ingi nganta eda angendeci na angermotwe ngen ngengetera ngelerengu eda angerte geneng gemaderna walla gebentia engen ngelerengu, na ngen ngalerengu ta anggakonde na angelaldengete ngen ngengetera ngeleda lomen na ngen ngerweteinia imidia retereto na ta angeyerwatate ekal pred reriang ralo rero remetritia.
20-00	Aduna 20
20-01	NGen ngeda geneng detem ta angerebede gero getrintia engen ngederarraidia nengero deleda defo deutaraleda, na ngen ingi ngegakasaidia leda.
20-02	Eda gero geneng gidi angederneini engen ta angenti ero leneng engero ngeleda ngaberanga.
21-00	Aduna 21
21-01	Leda pred ngen ngangen detem ta alerebede engelenge ngakemia irnung egen, garno genngu durri walla ledala ildi lutenu ngennga ngengenetu.
21-02	Leda pred lerto ngen ngerewato detem ta alerrenti ingemerria ingi ngeleda pred irnung egen.
21-03	NGen ingi leda lonata detem ngen ngarcadato ta angerete iduna yengelenge ngedakemia, na donata idi ngen ngangera ta adefete ngennga ngedota leda ingiga ngelenginu na ngercadato, na ngenaco leda pred liga lerewato ngennganta alote leda ildi lelonata detemda ngamda ngero. Na nabereda nedota leda anefete ngennga ngewecenu ngennganta dota leda adefete ngennga ngedurwatu.
22-00	Aduna 22
22-01	Eda geneng gefo eleda lerewur, ngen ngalerengu detem ta angerte ngen ngemarmotwa igewur yilerengu na angelengini ta ngen angemidenti ngemerrianga ngeleda lirnung damediadiada d-Irnung Gorra lebate nano na ngen angefete ngennga ngarno Irnung Gorra gakerecu dwalada delerengu garno rad irri rebencia dwala engen ngedwala na defia engero ngeleda ngerrianga engen ingi ngengera ngamedata damia delerengu na debereinialo deminiadecia ngen nenua ngegangeno yilerengu.
23-00	Aduna 23
23-01	Leda pred ngen ngarcadato ta alidi ngemerria, na ta eda geneng angote ngemerria ingi gonato na ngercadatema nano ngennga ngedurwatu na ngengenetu. Na com ngen ngalerengu detem ta angebereceniano iliga gero gefidia ngemerria.
23-02	Leda pred ngen ngarcadato ta alepereni ingemerria engen dwalada derewato depeidiano dero engen.
23-03	Leda pred ildi lebedia ngemerria, ngen ngangera ta aleneini depera dengera dercadato ngemerria nano engen ta aderewadace eda na leda lera gelerengu ngennganta alerewadate lemetia demetia dame dercadato, na com ta angerejinti egorb, nde ngen ngefo ngematan nguneinia, ngennganta eda angefete idermotwa eleda lerewur.
23-04	Leda pred ngen ngangera na ngarcadato ta aletudi ngero ngengemerria pred engen ngennganta ngero ngen ingi angermotwe ngen engen ngengemerria.
24-00	Aduna 24
24-01	Leda pred ngen ngarcadato ta alerte liga ledemineniano, na ngiga ngepiano ngero ngemerriano. Na ta eda angendenti liga na sa yerewadato ngemerria nano na eda angerte noman nedemineniano nelenginu na nuperedenia.
25-00	Aduna 25
25-01	Leda pred ngen ngarcadato ta alefidi ngen ngedemetia dengera derewadaco eda geneng ta genngu na leda lera gelerengu alefidi dengera egangeno na alefete edengeranano na alerte ngesa, ndrenia, era, na alefidi nakim na debereceniano ngemerrianga pred ingi ngamedata ewur. Na nde eda geneng gero gerewadatia walla nde geyeniau walla gorra intelia walla nde gero ngen ngemamedata edemetia delerengu, ngen ngangera ta eda gakel angebereceniano angermujeni.
25-02	NGen ngangera detem ta nenggenia na nere nelengenu majen alefiditi debereceniano dengera. Na nere pred nelengenu ngennga ngedurwatu walla nelengenu alo, ngen ngarcadatota anefidi debereceniano dengera na damedata ngennga ngerewato.
26-00	Aduna 26
26-01	NGen ngangera detem ta eda geneng angefidi degria. Degria idi detwalalo dananong ngen ngarcadato ta degria aderte duperedenia. Na degria dananong idi adefete ngemanga enere pred. Na degria idi detiknoloji na dengorofa ngengemerria retereto adefete dwana alo. Na degria idi dorra dejama adefete ngennga ngerewato ngen ngarno ngelwa ingi nere nebegria narrepo.
26-02	NGen ngangera ta degria adetureini ngennga ngedamedata deborkwadata nenua deleda entam enen na ta adondece ngen ngedermotwa ngen ngengera ta angidenti leda ngennga ngedebereinialo eden. Na ngen ngalerengu com ta adema delengeta, na derenata ngen na ngelengenia eleda lalo pred, garno delenge retereto walla ngero ngerdia ge Remwa, ta ngemerria nge Leda ildi Lerreidu ngen angeraladate nenua engen ngermotwa deutaralo.
26-03	Apangenda lelengo nere ngen ngangera detem ta alote ngen ngedemeca nere enen nadegria idi lenngulu lonata ta nere anegri.
27-00	Aduna 27
27-01	Leda pred ngen ngangera detem ta eda geneng nangerebede engen ngengerria ngeleda lerewur , ta angerete nano ngorofanga pred na angerebede engen ngedeborkwadata nenua engen ngedelengeta retereto na engelwa ngelerengu.
27-02	Leda pred ngen ngangera detem ta eda geneng angermudenti ngen ngara gelerengu na ngangeno yilerengo na ngen ingi anggace ta angela engelwa ngakel ingi eda geminu engen ngedelengeta, ngedegria walla ngengorofa.
28-00	Aduna 28
28-01	NGen ngangera ta leda pred alefidi ngen ingi ngetorata ewur yeleda lirnung na lebate nano ngennganta eda geneng angerewadate gefidia ngen pred ingi ngengera ta leda alerte na ngen ngedebereinial pred ingi ngewerdeinu engen nge Delwara Pelelo Dalo idi angerinadeini ngopia.
29-00	Aduna 29
29-01	Leda pred lerto ngemerria igewur esen ingi ngenggitia eda geneng gorewadatia gufidia liga lengera ta angeburkwedeci etam nenua gelerengu ngen ngero ngeneng ngedernaidema.
29-02	Iliga eda geneng getoda ngemerrianga ngelerengu ngennga ingi ngercadato ta angerte engen ngedebereinialo delerengu, ngen ngangera ta leda pred alekaseideni ngennga ingi ngefo igalganun ikereng, ngennganta ngen angengeneti na angermujeni ingi ngengera ta leda alerte lomen, na debereinialo eden, ta ngen angerenadaide ingi ngemama ngen ngedurwatu engen ingi ngetorata leda pred na engen ingi leda pred lonata ta angefete igewur yeleda yero dimugrati.
29-03	NGen ngero ngefia ngopia ta ngen ingi ngengera ta leda alerte na debereinialo eden alefete ngennga ngemelado engen ingi Leda ildi Lerreidu ngen lekeru ngero iduna.
30-00	Aduna 30
30-01	NGen pred ingi ngewerdeinu e-Delwara Pelelo Dalo idi angerte ngidi angemeledini alo ta angidi ngen ngamedata Irnung Gorra geneng, eda geneng walla leda engero alerte leberta ngelenge ta aletode ngennga ngeneng walla ngemerrianga ngeneng ngennganta alekere ngen ngeneng ingi ngewerdeinu e- Delwara Pelelo Dalo idi engen ingi ngercadato ta leda alerte na debereinialo eden.
