00-00	Declarason Universal di Diretu di Home
07-01	Tudu ngue sa igual pe cumpli lei di tela e sela lei se plotege tudu ngue se fe distinson. Sela tudu ngue sa plotegido se distinson contla qualque cua cu sa contla Declarason se e contla tudu cua cu ca plovoca mali se.
08-00	Artigo 8º
08-01	Tudu ngue te diretu di lecole ni stluvisu di tela de, contla qualque situason cu ca viola diretu maxi importanti cu sa ni Constituison e ni lei.
09-00	Artigo 9º
09-01	Ne ua ngue na ca po sa plesu fa e a na ca po manda ni ua ngue ba otlo tela se motivo fa.
10-00	Artigo 10º
10-01	Tudu ngue te memu diretu ni tlibunal, cu toca tlata tudu cua di ngue se cu justisa, se plijudique di qualque modo.
11-00	Artigo 11º
11-00	Tudu ngue cu sa cusado di fe qualque cua sa nocentxi ante cu a ca julgue publicamente ni tlibunal e sela a de possibilidade pe po defende ubue de contla cusason se.
11-01	A na ca po condena ua ngue fa, xi ni momento cue fe mali, pena cu ca castiga mali se na sa esclito ni livlu di justisa di tela de o ni livlu di justisa internacional. A na ca po de ua castigo maxi pesado fa, xi ni dja cue fe mali, pena se maxi pesado na tava sen fa.
12-00	Artigo 12º
12-01	A na ca po incomoda se motivo ua ngue ni vida de fa, ni familia de fa, ni ke de fa, ni cata de fa, e a na ca po toque ni honra ne reputason de fa. Sela lei di tela de plotege contla tudu mali se.
13-00	Artigo 13º
13-00	Tudu ngue te diretu di nda e coie ke de n'dentlu di tela de.
13-01	Tudu ngue te diretu di xe di tela andji e sa ne, di tela de tudaxi, e e te diretu di bila ba tela de ola e messe.
14-00	Artigo 14º
14-00	Tudu ngue cu sa plesseguido ni ua tela e te diretu di plocula ploteson ni otlo tela, e e sa obligado pa de ploteson.
14-01	Maji diretu se na ca vale fa xi qualque ngue comete ua clime o xi e na lispeta tudu mandamento di Nason Unida fa.
15-00	Artigo 15º
15-00	Tudu ngue te diretu di te ua nacionalidade.
15-01	A na ca po txila ua ngue nacionalidade de fa ne obligue muda nacionalidade de fa.
16-00	Artigo 16º
16-00	Tudu home cu muala te diretu di casa e di floma familia, ola cu nen ca te daji, se pia lasa, nacionalidade o religion. Tudu nen te memu diretu, ola nen sa casadu e ola casa ca blaga.
16-01	A na ca po obliga home cu muala casa fa.
16-02	Familia sa base di tudu sociedade e e te diretu di ploteson di sociedade e di Estado.
17-00	Artigo 17º
17-00	Tudu ngue, xi e sa ele tan o zuntadu cu otlo ngue, te diretu di propriedade.
17-01	A na ca po txila se motivo qualque ben di ua ngue fa.
18-00	Artigo 18º
18-01	Tudu ngue te diretu di pensamento, di cunxensa e di religion; diretu se ca implica liberdade di muda di religion o di convison, liberdade di manifesta religion o convison, ua ngue tan o zuntado cu otlo ngue, publicamente o non, ni tudu cua di tela.
19-00	Artigo 19º
19-01	Tudu ngue te diretu di liberdade di opinion e di fla. A na ca po plijudica ne ua ngue fa punda e manifesta opinion de e e ca po golo, lecebe e uanga , ni qualque xitu cue messe, tudu pensamentu de, tudu ideia de, modo cu e messe.
20-00	Artigo 20º
20-00	Tudu ngue te diretu di liberdade di reunion e di associason.
20-01	A na ca po obliga ne ua ngue di fe patxi de ua associason fa.
21-00	Artigo 21º
21-00	Tudu ngue te diretu di participa ni tudu assunto di tela de, e po sa ele me o e ca po manda ua ngue cue messe.
21-01	Tudu ngue te diretu di luta ni tudu situason di estado di tela de.
21-02	Vonte di povo sa base de autoridade di pode di Estado, vonte se ca manifesta ni eleson livli e justu cu ca realiza cu data mlacado za ni lei baseado ni voto secleto e cu tudu ngue te liberdade di voto.
22-00	Artigo 22º
22-01	Tudu ngue, cuma e sa memblo di sociedade, e te diretu di te seguransa social. Andeji e te diretu di pidji pe goza di diretu economico, social e cultural glasa a saclifisu di tudu ngue di tela de, e di coperason internacional.
23-00	Artigo 23º
23-00	Tudu ngue te diretu di tlaba, di coie tlaba cue messe e di tudu ploteson pa na txile di sluvisu fa.
23-01	Tudu ngue se discliminason cu ca fe ua casta di stluvisu, tudu ngue se, te ua migida di gelo se me.
23-02	Tudu ngue cu ca tlaba sela e lecebe gelu cu ca da pe vive baleladu cu familia de se passa aflison.
23-03	Tudu ngue cu messe, te diretu di junta glupu cu otlo ngue pa funda sindicato di defende interesse di glupo se.
24-00	Artigo 24º.
24-01	Tudu ngue te diretu di descanso, e goza felia tudu anu, e ola cu e ca lentla felia se, sela patlon o estado pague vencimento.
25-00	Artigo 25º.
25-00	Tudu ngue te diretu di te vida baleladu pe po goza di saoji ele cu familia de, te cume, lopa, ke, dotolo cu minjan. E te diretu di seguransa social, ola e sa se stluvisu, ni duentxi, xi e sofle acidente, xi e bila ve o n'otlo situason cu na ca de meio pe po vive, contla vonte de.
25-01	Maternidade cu mina piquina te diretu di zuda cu assistencia. Tudu mina piquina memu cu na sa mina di home o muala casadu fa, te diretu di ploteson social.
26-00	Artigo 26º.
26-00	Tudu ngue te diretu di educason. Estado toca paga ensino basico da tudu ngue. Ensino basico sa obligatorio. Ensino tecnico cu profissional toca zisti ni tudu xitu e tudu ngue cu messe fe cursu superior sela desse xi e te condison pe fe.
26-01	Sela educason contribui pa desenvolvimento di home, lefosa diretu cu liberdade maxi importanti di home se. Andeji e toca fe tudu cua pa zisti complenson, tolerancia cu amizade entre tudu nason cu tudu lasa o religion, e desenvolvimento di tudu cua cu Nason Unida ca fe pa tudu ngue te paz.
26-02	Tudu pe so ca coie que tipu de educason cu sa milho pa mina de.
27-00	Artigo 27º
27-00	Tudu ngue te diretu di participa ni cultura di region de, ni desenvolvimento cientifico e lucla cue.
27-01	Tudu ngue te diretu di proteson di interesse moral e material di tudu tlaba cientifico, literario e artistico cue fe.
28-00	Artigo 28º
28-01	Tudu ngue te diretu di fe pa zisti, ni plano social cu ni plano internacional, ua modo di diretu e liberdade cu sa ni Declarason se, sa cua vede.
29-00	Artigo 29º
29-00	Qualque ngue te obligason ni glupu de, e xi e na sa ni glupu se fa, e na ca desenvolve fa.
29-01	Ola qualque ngue ca goza diretu cu liberdade, sela e cumpli lei pa plomove lispetu di diretu cu di liberdade d'otlo ngue, pa moral, lei di govenu e gozo geral ni democracia sa cua vede.
29-02	Tudu diretu cu liberdade se na ca po zisti contla vonte di Nason Unida.
30-00	Artigo 30º
30-01	Tudu cua cu sa ni Declarason se na ca po plimiti qualque Estado, glupu o ngue di fe qualque cua cu ca po plijudica tudu diretu cu liberdade cu sa ni ducumento se.
