00-00	Aadmi ke hak ka Kahna, djaun sab manai djaun doeniya me rehe ke khatien hai.
26-01	Siettcha ke matlab hoi, apan man ekdam barhai kare ke, aur ‘insaan ke hak’ auro ohi aadjadi djaun reh ke chaahin, ieddjat dewe ke aur barhaawe ke khatien. Oho [siettcha] aage barhai, samdjhaawat, sahe aur sanghat sab des, jaat-paat aur alag dharm waala djhoend lage djaun hai aur Verenigde Naties ke karen shaant rakhe khatien, aage barhai. Mai-baap ke pehla hak hai, djaun rakam ke siettcha choene ke, okren larkan khatien.
27-00	Aadhiaai 27
27-00	Sab koi ke hak hai, djab le maange hai, samaadj ke sanskriti aur kalakari se bhaaglewe hai, aur djaun widjyaan ke phal hai, ohi lewe ke.
27-01	Sab koi rattcha ke hak hai, djab kouno kuchoe widjyaan, likhal, ki kuchoe kala ke kaam karies hai, ki banaais hai, tab oke ohi samaan aur ohi soch-samadjh ke khatien, rattcha paawe ke chaahin.
28-00	Aadhiaai 28
28-01	Sab koi ke hak hai, ego sambandhi pe djaun soemmat se hai aur djekar doesar des ke bhi iddjat kare hai. Ego sambandhi djaun sab hak aur aajadi djaun likhal hai ehi Kahna me, saamne lai sake hai.
29-00	Aadhiaai 29
29-00	Samaadj me, sab koi ke kartab hai, djaun apne se kar ke chaahin aur ohi karen se, djab le kouno maange hai, aapan man barhai ho sake hai;.
29-01	Ehi sab hak aur aadjadi djaun hai kouno ke, khali ohi samaan oke rokh pai, djaun kanoen me likhal hai aur djaun banwaail hai rattcha kare ke khatien, sab bole aur iddjat ke maaren, ohi hak aur aadjadi khatien djaun doesar manaai ke deil hai, aur djaun samaadj ke dharm, shaanth aur acchai khaatien, djaun me ego choenal samaadj ke djaroerat hai.
29-02	Ohi hak aur aadjadi ke lewe aur dewe na mag hai, djab le ‘Verenigde Naties’ ke sotch-bichaar aur karen ke khatien na hai.
30-00	Aadhiaai 30
30-01	Kuch na, djaun likhal hai ehi Kahna me, ohi rakam ke matlab hai, ki kouno des, djhoend ki khali ego manai ke, oke le kar sake hai aur kuchoe kar paawe hai djaun samadj-boedj ke ehi sab hak aur aadjadi djaun emma likha hai, chaphrahai ke dhar kar paawe hai.
