00-00	TUCUY RUNACUNAPAC HATUM RIMAY
05-00	Shayana 5
05-01	Mana pi nacaychinga, pingay macaycunatapes mana cungachum runacunaman.
06-00	Shayana 6
06-01	Tucuy runacunami paycunapac quiquin causayta charin taripa allichicunahuan.
07-00	Shayana 7
07-01	Tucuymi chasnallatac can taripa naupapi, tucuymi paypac alli maquipi churaringa. Tucuymi shuclla causaymanta huinarcanchic, mana pi cayta quichuchum.
08-00	Shayana 8
08-01	Tucuy runacunami taripa huasicunaman chayanga, chaypi mashcangapac mana chay shuccuna millayta mashcachum. Hatum quellacunami tucuy llactacunapi caytucuyta ricunga sinchi nahuihuan.
09-00	Shayana 9
09-01	Mana pi amsa ucuman apanga, shuctac allpacunamantapes pi surcunga.
10-00	Shayana 10
10-01	Tucuy runacunami shinallatac canga quiquin pura shina, caypica pay nishcacunata uyanga cuna, rucucuna cacpi, taripa cacpi, chaypimi quellacunata ricunga mana millayta uyashpa.
11-00	Shayana 11
11-00	Tucuy runacunami llaquita charishpa paypac millacunahuan mashcanga mana chaychu nishpa, imashina taripacuna nin. Yaya taripacuna mashcanga mitsata.
11-01	Mana pi amsa ucuman apanga pandari nishcamanta, imashina nin quiquin llactacunapac quellca, mashcanacungami haum llaquichi, tucuylla alli ricuyhuan ricushpa.
12-00	Shayana 12
12-01	Mana pi shuctac miticucpi urmanga quiquin causaypi, ayllucunapipes, alli shutipipes illaringa chasnacuna millayta cushca nishpaca.
13-00	Shayana 13
13-00	Tucuy runacunami maipipes puringallami, paypac allpa llactapi.
13-01	Tucuy runacunami llugshingalla shuctan llactacunaman, cutin paypac quiquin llactaman tigrangapac.
14-00	Shayana 14
14-00	Pi caticucpi, runacuna maypi miticunata mashcan, mana pi chaymantaca llugshichinga, mayjan llactapi cachum.
14-01	Cay miticunapi, masna taripa nicpi, runa millay cacpipes mana llacta cayahuan ricunga.
15-00	Shayana 15
15-00	Tucuy runacuna quiquin llactata charinga.
15-01	Mana piman quiquin llactata quichunga, nishpapes shuctala llactata mashcanga.
16-00	Shayana 16
16-00	Caricuna, huarmicuna, longocuna cashpa, mana pi munashpa shuctac carahuan, shuctac llactahuan tinguinacungallami yaya, mama cangapac, chasna causangallami alli tandarishca, tinguinacuymi cari, huarmi zapalla saquiricpi.
16-01	Cari, huarmi nicpila tinguinacunga cuna.
16-02	Ayllucuna naupamanta shamun, paycunami tucuy allpapi tandarishpa llactata ruran.
17-00	Shayana 17
17-00	Tucuy runacunami paycunapac quiquin allpata charinga, paycunala, hatum tandaripacpes.
17-01	Mana paycunapac allpacunata quichunga.
18-00	Shayana 18
18-01	Tucuy runacuna yuyay quishpita, Pachacamac yuyacta charin; chaylapitac saquingacuna Pachacamac yuyay shuctac yuyacunahuan. Caycunataca paylatac, tandarishca cacpipes chayshuc cuna uyachum yuyaycunapi cacharichum.
19-00	Shayana 19
19-01	Tucuy runacunami yuyanata, rimanata quishpichingalla. Mana pi paypac yuyaycunamanta caminga, quichunga. Rimay cunatapes cacharincunallami caycuna alli cacpi ushacunata catishpa imashinapes cachum.
20-00	Shayana 20
20-00	Tucuy runacunami quishpi tandaycuna ruranga mana pi pinachichum.
20-01	Mana pi cay tandaycunaman pina nishpa apanga.
21-00	Shayana 21
21-00	Tucuy runacunami llacta camayu cunapi curaga shina ruranga paylatac, shuctac cunapi shutipi.
21-01	Tucuy runacunami camayuc cunaman chayanga, mana shuccuna astahuan chayshu canahuan cachum.
21-02	Ayllucunapac quiquin yuyaycunahuan camayucunata purichinga; chaycunataca alli acllayhuan mashcanga; cay alli aclla tandarica huata, huata quipa ruraringa, acllapica upalla shitanga, ama shitay amsapi chingarichum.
22-00	Shayana 22
22-01	Tucuy runacunami ayllupac cashpa charingacuna sumac ricuy, llactacunallapitac quiquin pura mashcanga cuna, paycunapac ancha ministicuna, alli yuyaycunahuan tucuy causachum.
23-00	Shayana 23
23-00	Tucuy runacunami llangata charinga paycunalatacmi llanga mayta mashcanga, mana chasnalla shitashca causangapac.
23-01	Tucuy runacunami alli cullquita japinga, mana shuc cunaca alli, chayshuc cunaca yaricay puchu cunahuan.
23-02	Tucuy runacunami paypac llangacunamanta cullquita japinga, pay, huarmi, huahua ayllucuna micunapac, churanapac charichum.
23-03	Tucuy runacunami nishpaca tandarita ruranga, paylatac chaypi tandaringa shuctac cunahuan.
24-00	Shayana 24
24-01	Tucuy runacunami samayta charinga llanga quipaca, chasnallatac punllacunapi cayta, chayta puringa, rimanga shuyunata quichungapac, chaypacca cullquita japinga.
25-00	Shayana 25
25-00	Tucuy runacunami alli causayta charinga, paypac huarmi, huahuapes chasnallatac causanga, unguyta quichushpa, micunapes alli cachum, churanacuna, huasitapes tucuyllami charinga; mana llanga charishpa, unguyhuan, rucuyashpa, huacchayashpa hatum apucuna tucuyta chasna cachum ricunga.
25-01	Chichu huarmipes, llullu huahuacunapes alli causaytami charinga. Tucuy llullu huahuacuna, tinguy mana tinguy huinashca, chasnallatac shumay causayta charinga cuna.
26-00	Shayana 26
26-00	Tucuy runacunami yachachi huasiman chayanga. Yachayca mana cullquihuan randinachu, tucuypacmi yangalla huahua huasicunamanta hatum yachay huasiman ringa.
26-01	Yachachimi canga uma hatumhuan, aicha sinchiyachum, chaylapitac quishpita apachum tucuy llactacuna tandarichum sumaclla, quiquin pura alli causachum.
26-02	Yayacuna paycunalatac mashcanga manashca yachachita churi, hushushicunaman.
27-00	Shayana 27
27-00	Tucuy runacunami paypac ayllucunapac causayta causanga. Hatum yachanacunatapes ministishpa mashcanga paypac chayshu cunapapes.
27-01	Tucuy runacunami yachayuc manta japinga masna paymanta shuctac yachayuc cuchum.
28-00	Shayana 28
28-01	Tucuy runacunami paypac quiquin llactapi, chayshuc llactacunapipes quishpicunata, alli cunatapes hatum quellcapi nishcata taringa, ima shina llacta mama rurarca.
29-00	Shayana 29
29-00	Tucuy runacunami chayshuc cunahuan llactaman anchata cuyanga, paycunalatac quipaca quishipirichum.
29-01	Caytucuy nishcacunata tucuyllami yachan, chaymantami huaquichina mana chingarichum; ayllucuna, llactacuna sumaclla tiachum, mana chayshu cunaman quichushpa, camishpa, millashpa. Llactacuna alla shayarichum, quipa mana huacangapac.
29-02	Cay quishpi cunaca mana pi japingachu jarcangapac mana hatum llacta nishca cunata, paypac hatum tandari quipa.
30-00	Shayana 30
30-01	Mana ima cay rimaycunamanta rimanallachu, shuctac llactacunaca mana cayta japingachu quiquinta rurangapac, runacunapes, ayllucunapes mana shinallatac paypac causaypi churunga chayshuc cunaman quichusha nishpa caya sumac rimayta.
