00-00	manukkhii adhikaaraam baaree vishavaviaapii ailaananaamaa
11-02	kiseeee vii viakatii nuum kisee galatii karana karakee kisee damdda-yooga jurama daa dooshii nahiim mamniaa jaaeegaa joo kisee raashattarii jaam amtararaashattarii kaanuumna adhiina jurama karana dee sameem jurama dii suucii vica naa aaumdaa hooee . naa hii usa viakatii nuum usa toom vadha sazaa ditii jaa sakadii hai joo jurama karana sameem usa jurama laii niradhaarata kiitii gaii sii .
12-00	aarattiikala: 12
12-01	kisee vii viakatii dee nijii jiivana vica, ghara, parivaara jaam usa dee cittthii pattara vica aapahudarii dazalaamdaazii nahiim kiitii jaaeegii atee naa hii usa dee maanna sanamaana tee shooharata nuum dhakkaa pahumcaaiaa jaaeegaa . hareeka ajihee viakatii nuum ajihii dazalaamdaazii virudha kaanuumna heettha surakkhiaa mileegii .
13-00	aarattiikala: 13
13-01	hareeka viakatii nuum kisee vii mulaka vica kitee vii ghummanna phiranna tee ghara bannaaunna dii aazaadii hai .
13-02	hareeka viakatii nuum kisee vii deesha nuum chadda kee jaanna daa hakka haasala hai atee isa vica usa daa aapannaa mulaka vii shaamala hai atee usa nuum aapannee mulaka paratanna daa hakka vii haasala hai .
14-00	aarattiikala: 14
14-01	hareeka viakatii nuum kisee vii atiaacaara toom bacanna laii kisee duujee mulaka vica sharana lainna daa hakka haasala hai .
14-02	ukata adhikaara usa suurata vica nahiim liaa jaa sakadaa jadoom sambamdhita viakatii utee gairaraajasii kaaranaam karakee mukaddamaa cala rihaa hoovee jaam usa dee kamma yuu.aina.oo dee udeeshaam atee sidhaamtaam dee ulatta jaamdee hoonna .
15-00	aarattiikala: 15
15-01	hareeka viakatii nuum kaumiiata daa hakka haasala hai .
15-02	kisee vii viakatii nuum aapahudaree ddhamga naala usa dii kaumiiata toom vamcita nahiim kiitaa jaa sakadaa atee naa hii usa toom aapannii kaumiiata badalanna daa adhikaara khoohiaa jaa sakadaa hai .
16-00	aarattiikala: 16
16-01	sabha baalaga maradaam tee aurataam nuum kisee vii nasala, kaumiiata jaam dharama aadi dee bamdhanaam toom mukata hoo kee viaaha karana daa atee aapannaa parivaara sirajanna daa hakka haasala hai . unhaam nuum jithoom taka viaahaam daa sambamdha hai, baraabara hakka haasala hana atee shaadii dee sameem tee talaaka aadi dee sameem joo miladaa hai jaam ditaa jaamdaa hai, usa dee vii uha bakaaidaa hakkadaara hana .
16-02	viaaha taam hii hoo sakeegaa jeekara joorree vicoom doovaam dii puurii tee sutamtara sahimatii hooeegii .
16-03	parivaara samaaja dii buniaadii tee kudaratii ikaaii hai atee samaaja atee satteetta parivaara nuum surakkhiaa pradaana kareegii .
17-00	aarattiikala: 17
17-01	[missing]
17-02	hara ika nuum ikallee jaam milakee jaaidaada khariidanna daa hakka hai .
18-00	aarattiikala: 18
18-01	kisee vii viakatii nuum aapahudaree ddhamga naala usa dii jaaidaada toom vamcita nahiim kiitaa jaa sakadaa .
18-02	hara ika viakatii nuum vicaaraam dii aazaadii hai, zamiira dii aazaadii hai atee dharama dii aazaadii hai . isa adhikaara vica aapannaa dharama jaam vishavaasa badalanna daa hakka shaamala hai . isa vica usanuum ikallee jaam bhaaiicaaraka ruupa vica, gupata jaam pragatta ruupa vica aapannee dharama diiaam sikhiaavaam deenna daa, ravaaitaam kaaima rakhanna daa, paattha puujaa karana daa atee tiuhaara vagairaa manaaunna daa hakka vii shaamala hai .
19-00	aarattiikala: 19
19-01	hareeka viakatii nuum aapannii raaee rakkhanna atee pragatta karana daa hakka haasala hai . isa hakka vica bagaira kisee dazala amdaazii toom aapannii raaee rakkhanna dii aazaadii shaamala hai atee deesha kaala diiaam haddaam toom mukata hoo kee kisee vii maadhiama raahiim jaannakaarii tee vicaara mamganna, lainna tee jaannakaarii deenna daa hakka isa adhikaara vica shaamala hai .
20-00	aarattiikala: 20
20-01	hareeka viakatii nuum puraamana ikatttha karana atee sabhaavaam bannaaunna daa hakka haasala hai .
20-02	kisee nuum vii jabarana kisee sabhaa daa maimbara nahiim bannaaiaa jaa sakadaa .
21-00	aarattiikala: 21
21-01	hara ika viakatii nuum aapannee mulaka vica sidhee jaam sutamtara ddhamga naala cunnee numaaimdiaam raahiim sarakaara vica shamuuliiata daa hakka haasala hai .
21-02	hareeka bamdee nuum janataka seevaavaam taka raashattariikarana daa hakka haasala hai .
21-03	sarakaara dii sattaa tee usadii marazii lookaam dii marazii utee aadhaarata hooeegii . isa marazii daa pragattaavaa sameem sameem hoonna vaaliiaam gupata coonna paraciiaam raahiim nirapakkha coonnaam duaaraa jaam isa naala meela khaamdiiaam hoora sumtatara vidhiiaam raahii kiitaa jaaeegaa .
22-00	aarattiikala: 22
22-01	hareeka viakatii nuum samaaja daa maimbara hoonna tee naatee samaajaka surakkhiaa daa adhikaara hai atee uha raashattarii yatanaam raahiim jaam amtararaashattarii sahiyooga raahiim atee sabamdhita mulaka dee saadhanaam dii varatoom karadaa hooiaa aapannee aarathaka, samaajaka tee sabhiaacaaraka hakkaam dii puuratii karana daa hakkadaara hai joo usa dii shakhasiiata dee sutamtara vikaasa tee usadee maanna taana laii zaruurii humdee hana .
23-00	aarattiikala: 23
23-01	hareeka viakatii nuum kamma karana daa adhikaara aapannii marazii mutaabika naukarii dii coonna karana, naukarii diiaam sukhaaviiaam tee niaampuurana haalataam maananna daa adhikaara hai atee naala hii usa nuum beeruzagaarii viruddha surakkhiaa pradaana kiitee jaanna daa hakka hai .
23-02	hareeka viakatii nuum binaam kisee bheeda bhaava toom baraabara kamma laii baraabara tanazaaha lainna daa hakka hai .
23-03	jiharraa vii viakatii kamma karadaa hai usa nuum niaampuurana atee munaasiba meehanataanaa haasala karanna daa hakka hai . jisa naala uha isa hadda taka aapannii tee aapannee parivaara dii udara puuratii kara sakee jisa vica manukkhii shaana daa jhamddaa bulamda rahee atee jeekara loorra pavee taam usa nuum samaajaka surakkhiaa dee hoora saadhanaam raahiim iha mamjila haasala karana daa hakka hooeegaa .
23-04	hareeka viakatii nuum aapannee hittaam laii vapaaraka samgatthana bannaaunna tee inhaam vica shaamala hoonna daa hakka hai .
24-00	aarattiikala: 24
24-01	hara ika viakatii nuum aaraama tee vihala maananna daa hakka hai . isa vica kamma dee munaasiba ghamttiaam dii hadda shaamila hai atee sameem sameem tanakhaaha sameeta chuttiiaam lainna daa hakka vii shaamala hai .
25-00	aarattiikala: 25
25-01	hara ika viakatii nuum aapannii tee aapannee parivaara dii sihata tee bhalaaii laii ika camgeeree jiivana miaara maananna daa hakka hai . isa vica zuraaka, kaparraa, rihaaisha atee ddaakattarii sahuulata atee loorriimdiiaam samaajaka seevaavaam shaamala hana . isa toom ilaavaa isa vica beeruzagaarii, biimaarii, apamgataa, vidhavaapana, buddheepaa jaam beevassa haalataam vica roozii dii annahoomda toom samaajaka surakkhiaa dii sahuulata vii shaamala hai .
25-02	baccee dee jammanna maukee maataa atee bacapana vica baccee nuum visheesha dhiaana tee sahaaitaa praapata karana daa hakka haasala hai . saaree baccee bhaaveem uha viaaha toom pichoom paidaa hoonna tee bhaaveem viaaha toom pahilaam unhaam nuum ukata samaajaka surakkhiaa maananna daa hakka hai .
26-00	aarattiikala: 26
26-01	hareeka viakatii nuum vidiaa haasala karana daa hakka hai . vidiaa mufata hooeegii . ghatta toom ghatta praaimarii vidiaa mufata hooeegii . praaimarii vidiaa laazamii hooeegii . takaniikii tee kittaa sikhiaa taka hara ika dii pahumca hooeegii . isee tarhaam uceerii vidiaa yoogataa dee aadhaara utee hara ika nuum mila sakeegii .
26-02	manukkhii sakhashiiata dii mukammala prafulataa vidiaa daa udeesa hooeegaa atee saaree mulakaam, nasalii tee dhaaramika samgatthanaa vica manukkhii adhikaaraam pratii doosatii tee satikaara dii bhaavanaa nuum mazabuuta karanaa, vidiaa dii mamjila hooeegaa atee shaamtii kaaima rakhanna laii sampuuranna raashattara diiaam saragaramiiaam nuum aggee lai kee jaaeegii .
26-03	bacciaam nuum kisa kisama dii sikkhiaa deennii hai, isa dii coonna karana dii pahila maapiaam nuum mileegii .
27-00	aarattiikala: 27
27-01	hara ika viakatii nuum aapannee bhaaiicaaree dii sabhiaacaaraka jimdagii vica khullha kee bhaaga lainna daa hakka hooeegaa . usa nuum koomala kalaavaam daa aanamda maananna atee vigiaanaka unnatii tee isa toom milee faaidiaam vicoom hissaa lainna daa hakka hai .
27-02	hara ika viakatii nuum aapannii vigiaanaka, saahitaka jaam kalaatamaka kirata dee natiijee vajoom izalaakii tee maaika pakkhoom surakkhiaa lainna daa hakka haasala hai .
28-00	aarattiikala: 28
28-01	hara ika viakatii nuum samaajaka tee amtararaashattarii nizaama vica vicaranna daa hakka hai jithee isa ailaananaamee vica shaamala kiitee hakka tee aazaadiiaam nuum puurii tarhaam saakaara kiitaa jaa sakee .
29-00	aarattiikala: 29
29-01	hara ika bamdee dee bhaaiicaaree pratii karatavva hana jisa vica vicara kee hii usa dii shakhasiiata daa sutamtara tee mukammala vikaasa sambhava hai .
29-02	ukata adhikaaraam atee aazaadiiaam nuum isateemaala karadiaam hareeka viakatii utee sirafa kaanuumna mutaabika bamdashaam laaiiaam jaa sakadiiaam atee inhaam daa manooratha keevala eenaa hii hai taam joo hooranaam dee hakka tee aazaadiiaam nuum maanataa davaaii jaa sakee .
29-03	ukata adhikaaraam tee aazaadiiaam nuum kisee vii haalata vica unhaam udeeshaam tee sidhaataam laii nahiim varatiaa jaaeegaa joo yuu.aina.oo dee udeeshaam dee sidhaataam dii ulamghannaa karadee hoonna .
30-00	aarattiikala: 30
30-01	isa ailaananaamee vica ditii kisee vii galla jaam nukatee dii viaakhiaa baaree kisee satteetta, garuppa jaam viakatii nuum iha hakka nahiim miladaa ki uha kooii ajihii saragaramii karee jaam kooii ihoo jihaa kamma karee jisa daa manooratha ailaananaamee vica ditee hakkaam tee aazaadiiaam nuum tabaaha karanaa hooee .
