00-00	Universal Declaration of Human Rights
02-02	Eia ho’i, ‘a’ole e ho’okae ‘ia ke kanaka ma muli o ke kulana politika a me ke kuleana kuloko a kuwaho ho’i o kona aupuni nona mai ‘o ia, ina paha he aupuni ku’oko’a he ‘aina noho kahu ‘ia, a i ‘ole ho’i he ‘aina i kaupalena ‘ia kona ku’oko’a ‘ana.
03-00	Pauku 3
03-01	Ua noa i na kanaka apau ke ola, ka mohalu, a me ka maluhia.
04-00	Pauku 4
04-01	‘A’ole e noho kaua kaupa’a ke kanaka; ua papa ‘ia ka noho kaua kuapa’a, a me ka ho’okuapa’a ‘ana ma na ‘ano apau loa.
05-00	Pauku 5
05-01	‘A’ole e ho’omainoino ‘ia ke kanaka, ‘a’ole ho’i e ho’opa’i ‘ino ‘ia ke kanaka i ku like ‘ole i ke kulana kanaka.
06-00	Pauku 6
06-01	E ‘ike ‘ia na kanaka ma na wahi apau, he kanaka i ka malu o ke kanawai.
07-00	Pauku 7
07-01	Ua kau like ke kanawai ma luna o na kanaka apau, a e palekana ‘ia e ke kanawai me ka ho’okae ‘ole. Ua palekana ‘ia na kanaka i ka ho’okae ‘ole ‘ia, i papa ‘ia e keia Ho’ike, a ua palekana ‘ia ho’i i ka mea e ho’eu’eu ana i ka ho’okae.
08-00	Pauku 8
08-01	Ua noa i na kanaka apau ka ho’oponopono ‘ia ‘ana e ka ‘aha lunakanawai makaukau o ke aupuni, o na hana a ‘a’e ana i kona pono kivila i ho’ike ‘ia ma ke kumukanawai.
09-00	Pauku 9
09-01	‘A’ole e hopu, ho’opa’ahao, a ho’okuewa wale ‘ia ke kanaka me ke kumu ‘ole.
10-00	Pauku 10
10-01	Ua noa i na kanaka apau e ho’okolokolo pono ‘ia i mua o ka lehulehu e ka ‘aha lunakanawai ku’oko’a a kaulike ho’i, no ka ho’oholo ‘ana i ka pono kivila a me ke kuleana, a me na mea i ho’opi’i ‘ia ia ia.
11-00	Pauku 11
11-00	Ua noa i na kanaka apau i ho’opa’i ‘ia no ke kalaima, ka no’ono’o ‘ana i kona hewa ‘ole, a ho’oia pono ‘ia kona ‘a’e i ke kanawai, ma ka ho’okolokolo ‘ana i mua o ka lehulehu, a i malama ‘ia ho’i na mea apau e pono ai kona ‘ao’ao kuplae.
11-01	‘A’ole e ho’opa’i kalaima ‘ia ke kanaka i helu ‘ole ‘ia kana hana he kalaima ma ke kanawai aupuni a i ‘ole ma ke kanawai ma waena o na aupuni i ka wa i hana ‘ia ai. ‘A’ole ho’i e ho’oi ‘ia aku ka ho’opa’i ma luna o ka ho’opa’i e ku ana i ka wa i hana ‘ia ai ke kalaima.
12-00	Pauku 12
12-01	‘A ‘ole e ‘ake’ake’a kumu ‘ole ‘ia na mea pilikino, ka ‘ohana, ka home, a me ka ho’olaha ‘ike o ke kanaka, ‘a’ole ho’i e ho’ahewa wale ‘ia kona hanohano a me kona kulana. Ua noa i na kanaka apau ka palekana o ke kanawai i ke ‘ake’ake’a a me ka ho’ahewa wale ‘ia.
13-00	Pauku 13
13-00	Ua noa i na kanaka apau ka pono kivila o ka hele a noho ‘ana ma loko o ka palena o ke aupuni.
13-01	Ua noa i na kanaka apau ka ha’alele ‘ana i kela aupuni, keia aupuni, a me kona aupuni iho, a ua noa ka ho’i ‘ana i kona aupuni.
14-00	Pauku 14
14-00	Ua noa i na kanaka apau ka ‘imi ‘ana i na aupuni pu’uhonua, kahi e noho maluhia ai.
14-01	E ’au’a ‘ia keia pono kivila o ke kanaka i ho’opa’i ‘ia no ka hewa i pili ‘ole i ka politika, a me ka hewa i ku’e ‘e i ka pahuhopu a me na loina o Na Aupuni Hui Pu ‘Ia.
15-00	Pauku 15
15-00	Ua noa i na kanaka apau ka noho ‘ana maka’ainana o ke aupuni.
15-01	‘A’ole e ‘au’a wale ‘ia ka noho ‘ana maka’ainana o ke kanaka, a ‘a’ole ho’i e ‘au’a ‘ia ka noho ‘ana he maka’ainana o kekahi aupuni ‘e aku.
16-00	Pauku 16
16-00	Ua noa i na kane a me na wahine i lawa ai na makahiki, ka male ‘ana a me ka ho’okumu ‘ana i ‘ohana, me ke kaupalena ‘ole ‘ia ma muli o ko laua lahui, ke aupuni, a i ‘ole ko laua ho’omana. Ua kau like na pono kivila male i ka noho male ‘ana, a me ka wa e pau ai ka noho male ‘ana.
16-01	E male na kanaka wale no i koho la’ela’e e noho male.
16-02	‘O ka ‘ohana ke kumu pa’a o ke kaiaulu kanaka, a ua noa i ka ‘ohana ka palekana o ke kaiaulu a me ke aupuni.
17-00	Pauku 17
17-00	Ua noa i na kanaka apau ka ‘ona ho’okahi ‘ana i ka waiwai, a me ka ‘ona pu ‘ana ho’i me na kanaka ‘e a’e.
17-01	‘A ‘ole e ‘au’a kumu ‘ole ‘ia ka waiwai lewa a waiwai pa’a paha o ke kanaka.
18-00	Pauku 18
18-01	Ua noa i na kanaka apau ke ku’oko’a o ka mana’o, ka luna’ikehala, a me ka ho’omana; ua noa no ho’i ka ho’ololi ‘ana i kona ho’omana a i ‘ole kona mana’o, a ua noa ho’i i ke kanaka ho’okahi, a i ‘ole na kanaka he nui ka ho’ike ‘ana i ka paulele i ka ho’omana, i mua o ka lehulehu a i ‘ole ma kahi ka’awale, ma o ke a’o a me ka haipule ‘ana i kona akua.
19-00	Pauku 19
19-01	Ua noa i na kanaka apau ke ku’oko’a o ka mana’o a me ka ho’ike ‘ana i ka mana’o; ‘a’ole ho’i e ho’opilikia ‘ia, a ua noa ho’i ka ‘imi, ka loa’a, a me ka ho’olaha ‘ana aku i ka ‘ike ma na ‘ano apau, a i ‘o aku ho’i o na palena ‘aina apau.
20-00	Pauku 20
20-00	Ua noa i na kanaka apau ka hui maluhia ‘ana me na kanaka ‘e a’e.
20-01	‘A’ole e koi ‘ia ke kanaka e komo i ka hui.
21-00	Pauku 21
21-00	Ua noa i na kanaka apau ke komo ‘ana i ka hana a kona aupuni ma ona la, a i ‘ole ma o ka ‘elele i koho la’ela’e ‘ia.
21-01	Ua noa i na kanaka apau ke kokua o ke aupuni i ho’okumu ‘ia no na maka’ainana.
21-02	‘O ke kauoha a ka lehulehu ke kumu o ka mana aupuni; e kauoha ‘ia ka ‘i’ini o ka lehulehu ma o ke koho paloka ‘ana i malama maoli ‘ia i kela wa, keia wa; ua noa i na kanaka apau loa ke koho malu ‘ana i ‘ole ma ke ka’ina hana i kulike a ku’oko’a.
22-00	Pauku 22
22-01	Ua noa i na kanaka apau, na lala ho’i o ke kaiaulu, ka pono o ka lawelawe malama ola i ho’oko ‘ia ai ho’i, ma ke kako’o ‘ana o ke aupuni, a me ke kako’o ‘ana o na aupuni ‘e a’e, a i kulike me ka waiwai o ke aupuni, a me na pono a me na loina pa’a mau o ke kaiaulu, no ka hanohano o ke kanaka a me kona ulu la’ela’e ‘ana.
23-00	Pauku 23
23-00	Ua noa i na kanaka apau ka pono kivila o ka hana, ke ‘ano kupono o ka hana, a me ka palekana i ka nele i ka hana ‘ole.
23-01	Ua noa i na kanaka apau, me ka ho’okae ‘ole, ka uku ho’okahi i kulike i ka hana ho’okahi.
23-02	Ua noa i na kanaka hana apau ka uku kaulike e pono ai ka noho ‘ana ona a me kona ‘ohana i ku i ka hanohano kanaka, a ina he pono, e kupale ‘ia e ka lawelawe kaiaulu.
23-03	Ua noa i na kanaka apau ka ho’okumu a me ke komo ‘ana i na uniona kalepa i palekana ai kona pono.
24-00	Pauku 24
24-01	Ua noa i na kanaka apau ka ho’omaha a me ka luana ‘ana, a me na hola hana i kaupalena pono ‘ia, a e uku ‘ia o ia no kekahi mau la nui o ka makahiki.
25-00	Pauku 25
25-00	Ua noa i na kanaka apau ke kulana nohona e pono ai ke ola ona a me kona ‘ohana, ‘o ia ho’i, ‘o ka mea ‘ai, ka lole, ka hale, ka lawelawe olakino, a me na lawelawe kaiaulu e pono ai, a e malama ‘ia ho’i i ka wa po’ino o ka nele i ka hana ‘ole ka ma’i, ke kina, ka nohona kane make o na wahine, ka wa ‘elemakule, a me na po’ino ‘e a’e e kau mai ana i hiki ‘ole ke ‘alo a’e.
25-01	Ua noa i ka noho ‘ana makuahine a me ka noho ‘ana kamali’i ke kokua kuikawa. E palekana ‘ia na keiki apau loa i hanau ‘ia mai e na makau male a male ‘ole paha.
26-00	Pauku 26
26-00	Ua noa i na kanaka apau ka ho’ona’auao ‘ana. E manuahi ka ho’ona’auao ‘ana, ma ka li’ili’i loa, ma ke kula ha’aha’a a me na paepae kahua o ka ho’ona’auao. He koina pa’a ka ho’ona’auao ‘ana ma ke kula ha’aha’a. E noa ka ho’ona’auao ‘ana i na oihana loea like ‘ole, a e noa no ho’i ke kulanui i na kanaka apau i makaukau.
26-01	E kalele ka ho’ona’auao ‘ana i ka ulu kupono ‘ana o ke kanaka, a me ka ho’oikaika ‘ana i ka mahalo i ka pono kivila apau o kanaka. E paipai ‘ia ka ho’omaopopo le’a, ke ahonui, a me ka pili aloha i waena o na aupuni, na hui pili koko a me na hui ho’omana, a e ho’oholumua i ka hana o Na Aupuni Hui Pu ‘Ia no ka malama ‘ana i ka maluhia.
26-02	Ua noa i na makua ke koho mua ‘ana i ke ‘ano o ka ho’ona’auao ‘ana i ka laua mau keiki.
27-00	Pauku 27
27-00	Ua noa i na kanaka apau ke komo ‘ana i ka nohona ku’una o ke kaiaulu, ka luana ‘ana i na mea no’eau, a me ke ka’ana like ‘ana i ka loa’a mai o ka holumua ‘epekema.
27-01	Ua noa i na kanaka apau ka palekana ‘ana i na pono e loa’a mai ana mai ka hana ‘epekema, ka palapala, a i ‘ole ka mea no’eau ana i haku ai.
28-00	Pauku 28
28-01	Ua noa i na kanaka apau ka nohona i ho’onohonoho ‘ia ma kona aupuni a me na aupuni apau, kahi e ko ai na pono i helu ‘ia ma keia Ho’ike.
29-00	Pauku 29
29-00	He kuleana ko na kanaka apau i kona kaiaulu, kahi e ulu ai ke kanaka me ke ku’oko’a.
29-01	I ka ho’oko ‘ana i na pono kivila, e ‘ae na kanaka apau i na palena wale no i ho’okau ‘ia e ke kanawai no ka malama ‘ana i ka ho’omaopopo pono a me ka mahalo aku i na pono kivila o ha’i, i ku i ka pono a me ka maluhia o ke aupuni o ka lehulehu.
29-02	‘A‘ole loa e lilo keia mau pono kivila i mea e ku’e’e ana i ka pahuhopu a me na loina o Na Aupuni Hui Pu ‘Ia.
30-00	Pauku 30
30-01	‘A’ole loa e kuhikuhi ‘ia na mea o keia Ho’ike he mau mea kokua i ke Aupuni, ka hui, a i ‘ole ke kanaka, ma ke komo ‘ana a i ‘ole ma ka ho’oko ‘ana i ka hana nona ka mana’o e luku wale i na pono kivila i helu ‘ia mai ma luna a’e nei.
