00-00	ansani hqwq da 'almi mnshwr
02-02	is twn dkh kwyei di shkhs jhirrye di ksye mlk nal t'lq rkhda aye aws mlk dye siasi akhtiarat ia bin alaqwami hithit di wjh twn awhdye nal dwjial twn kwyei wkhra smlwk nhin kita jayeye ga bhanwin awhda mlk ia 'laqh azad aye tye bhanwin twliti ghir mkhtar ia siasi akhtiar dye lhaz nal kye gl da pabnd aye . .
03-00	df'h3
03-01	apni jan azadi tye that di hfazt da hr shkhs nwn hq hasl aye . .
04-00	df'h4
04-01	ksye wi shkhs nwn ghlam ia lwnddi bna kye nhin rkhia jaskda tye ghlam tye lwnddian khridn ia w btchn da ksye wi shkl wtch kwyei swda nhin kita ja skda . .
05-00	df'h5
05-01	ksye wi shkhs nwn nh tye kwyei jsmani athit dti jaskdi aye nh awhdye nal kwyei zalmanh tye ansanit swz slwk kita jaskda aye tye nh hi is trhan di kwyei bhirri sza diti jaskdi aye . .
06-00	df'h6
06-01	hr shkhs da ihh hq aye pyei qanwn hr than lwhdi shkhsit nwn tslim krye . .
07-00	df'h7
07-01	qanwn di nzr wtch sb brabr nin tye qanwn kwyei frq rkhye bghir hr ksye wi hfazt krye ga . . ansani hqwq dye is 'almi mnshwr twn htt kye wkhri qsm dye ksye slwk ia wkhrye slwk di trghib twn thfz da hr kwyei hqdar aye . .
08-00	df'h8
08-01	hr shkhs nwn baakhtiar qwmi 'daltan wtch qanwn tye ayein dian awhnan khlaf wrzian dye khlaf mwthr tcharh jwyei da hq hasl aye jnhan dye ntijye wtch awhdye ansani hqwq marye jandye hwn . .
09-00	df'h9
09-01	ksye wi shkhs nwn ksye di mn mrdi autye nh tye grftar ia nzr bnd kita ja skda aye tye nh hi wtn twn bahr kddhia ja skda aye . .
10-00	df'h10
10-01	hr shkhs nwn brabr da hq hasl aye pyei awhdye hqwq tye frayed tye krn lyei ia ihh fislh krn lyei pyei awhdye autye jhirrye jrm da alzam aye awh awhnye kita aye kh nhin, ksye ghir janbdar, azad tye khli 'dalt wtch mqdmh tchlaia jayeye . .
11-00	df'h11
11-01	hr shkhs da ihh hq aye pyei jye awhdye autye ksye fwjdari da alzam aye tye awhnwn awdwn tk bye gnah smjhia jayeye jdwn tk khli 'dalt wtch sfayei da pwra mwq' din twn b'd awhda mjrm thaht nhin hw janda . .
11-02	ksye wi shkhs nwn awhdye ksye isye f'l ia khta di wjh twn qabl sza mjrm nhin smjhia ja skda jhirri awhdye kwlwn ksye isye dwr wtch hwyei hwyeye js dwr wtch mlki ia bin alaqwami qanwn mwjb awh f'l ia khta qabl sza jrm nhin, tye nh hi awhnwn aws sza twn wdh kwyei sza dti ja skdi hye jhirri aws f'l ia khta wilye is qsm da f'l ia khta krn walye lyei mqrr aye . .
12-00	df'h12
12-01	ksye wi shkhs di thati zndgi, ghrilw zndgi, awhdye ghr dye andrwni m'amlat tye lwhdi kht w ktabt wtch nh tye mn mrdi da kwyei dkhl dta ja skda aye tye nh hi awhdi 'zt tye nik nami dl angli atthayei ja skdi aye . . hr shkhs da ihh hq aye pyei qanwn awhnwn is qsm di dkhl andazi ia nik nami tye 'zt dye nqsan twn mhfwz rkhye . .
13-00	df'h13
13-01	hr shkhs da ihh hq aye pyei awhnwn hr riast dye andr ak than twn drjye than jan awn tye rhn shn di azadi hwwye . .
13-02	hr shkhs nwn apnye mlk smit ksye wi mlk twn tchlye jan tye apnye mlk wtch waps awn da hq hasl aye . .
14-00	df'h14
14-01	ksye dye hthwn dkh tklif twn btchn lyei hr shkhs nwn ksye drjye mlk wtch pnah lin tye is pnah twn fayedh atthan da hq hasl aye . .
14-02	aye hq awhnan 'dalti karwayeian twn btchn lyei ast'mal nhin kita ja skda jhirrian khalsta ksye dye ghir siasi jrayem ia awhnan hrktan di wjh twn kitian jandian nin jhirrian aqwam mthdh dye aswlan dye khlaf nin . .
15-00	df'h15
15-01	hr shkhs nwn qwmit da hq hasl aye . .
15-02	ksye wi shkhs nwn awhdi qwmit nwn nh tye thbrdsti mhrwm kita jayeye ga tye nh hi qwmit tbdil krn twn rwkia jayeye ga . .
16-00	df'h16
16-01	hr balgh mrd tye balgh 'wrt nwn nsl, qwmit tye mthhb di pabndi twn bghir shadi krn tye apna ghr wsan da hq hasl aye . . shadi krn, shadi shdh zndgi gzarn tye shadi twrr din dye m'amlye wtch 'wrt tye mrd dwnhan dye hq brabr nin . .
16-02	shadi 'wrt tye mrd dwnhan di pwri tye azadanh mrdi nal hi hw skdi aye . .
16-03	knbh m'ashrye da ak qdrti grwp tye bhiadi akayei aye tye awhnwn ihh hq hasl aye pyei m'ashrh tye mmlkt awhdi hfazt krn . .
17-00	df'h17
17-01	hr shkhs nwn ksye nal sanjh ia ksye sanjh twn bghir jayeidaw rkhn da hq hasl aye . .
17-02	ksye kwlwn lwhdi jayeidaw khwhi nhin ja skdi . .
18-00	df'h18
18-01	hr shkhs nwn apni swtch, dmir tye mthhb dye m'amlye wtch azadi da pwra hq hasl aye . . is hq wtch mthhb ia 'qidh tbdil krn, khlye 'am ia nji twr tye atye aklian ia dwjian nal rl kye apnye 'qidye ia mthhb di tbligh krn, awhdye autye 'ml krn, awhdye mtabq 'badt krn tye apnye mthhbi frayed ada krn di azadi wi shaml aye . .
19-00	df'h19
19-01	hr shkhs nwn azadi nal apni kwyei ra' qayem krn awhdye autye qayem rhn tye apni ra' rwjian nwn wsn da hq hasl aye . . is hq wtch ihh wi shaml aye pyei awh apnye khialat, nzriat tye 'lm ksye wi wsilye nal mlk dian srhdan twn bahr wi phntcha skda aye tye bahrwn mngwa wi skda aye . .
20-00	df'h20
20-01	hr shkhs nwn pr amn twr tye dwjian nal rl ml kye bitthn tye anjmnan bnan di azadi da hq hasl aye . .
20-02	ksye shkhs nwn ksye anjmn wtch shaml hwn autye mjbwr nhin kita ja skda . .
21-00	df'h21
21-01	azadi nal tchnye hwyeye nmayendian dye thri'ye ia ksye thri'ye twn bghir apnye mlk di hkwmt wtch hsh lin da hr shkhs nwn hq hasl aye . .
21-02	apnye mlk wtch srkari mlazmt tk brabr di rsayei hr shkhs da hq aye . .
21-03	'wam di mrdi hkwmt dye aqtdar di asl bhiad aye . . is wastye 'wam wqtafwqta hqiqi antkhabat dye thri'ye apni mrdi da azhar kr dye rhn gye . . ihh antkhabat msawi rayeye dhndgi dye thri'ye hwn gye . . ra' khfih wwtt dye thri'ye ia azadi nal ra' din dye ihbw jye ksi dwjye triqye nal dti jayeye gi . .
22-00	df'h22
22-01	m'ashrye da ak rkn hwn di hithit nal hr shkhs nwn m'ashrti thfz da hq hasl aye . . awhnwn ihh hq wi hasl aye pyei awh mlk dye nzam tye wsayel dye mtabq qwmi kw shsh tye bin alaqwami t'awn nal awh aqtsadi, m'ashrti tye thqafti hqwq wi hasl kr lwye jhirrye awhdi 'zt tye shkhsit dye azadi nal wdhn phln lyei drwri nin . .
23-00	df'h23
23-01	hr shkhs nwn kwyei km kaj tye rwzgar da thri'h azadi nal tchkn, km kaj dian mnasb tye m'qwl shrtan tye bye rwzgari twn thfz da hq hasl aye . .
23-02	hr ksye nwn akw jyeye km dye akw jyeye m'awdye da hq hasl aye tye is slslye wtch ksye nal kwyei frq nhin rkhia jayeye ga . .
23-03	kwyei shkhs jhirra wi kwyei km krda yeye awhnwn awhdye ajhye mnasb tye m'qwl m'awdye da hq hasl aye jhirra awhdye apnye tye awhdye bal btchian dye ba'zt gzarye lyei kafi hwwye . . tye jdhye wtch, drwri hwdye tye, m'ashrti thfz dye dwjye thri'an nal wadha wi kita ja skye . .
23-04	apnye fayedye lyei hr shkhs nwn tjarti anjmnan btan tye awhnan wtch shaml hwn da hq hasl aye . .
24-00	df'h24
24-01	hr shkhs nwn aram tye wihlye wqt da hq hasl aye jdhye wtch awhdye km dye wqt di hd da mqrr kita jana tye wqtafwqta tnkhwah wye nal tchhttian di shaml nin . .
25-00	df'h25
25-01	hr shkhs nwn apni tye apnye bal btchian di sht tye bhlayei di khatr rhn shn dye mnasb m'iar da hq hasl aye . . ihdye wtch awhnan da khan pin, kprra lta, mkan, dwa darrw tye dwjian m'ashrti r'aitan tye shwltan twn dkh byerwzgari, iimari, m'thwri, rnddapye, brrhapye tye isye halat wtch rwzgar tchhutt jan dye khlaf thft da hq wi shaml aye jnhan autye awhda kwyei ws nhin . .
25-02	ztchh tye btchh da ihh hq aye pyei awhnan di khas twr tye wikh bhal tye mdd kiti jatye . . ihh hq smaj dye hr btchye nwn hasl aye bhanwin awh shadi nkah dye ntijye wtch pida hwia aye tye bhanwin ihdye bghir . .
26-00	df'h26
26-01	hr shkhs nwn t'lim hasl krn da hq hasl aye . . ghtt twn ghtt shrw' dye jiadi drjian wtch awhdi t'lim mft tye jiadi t'lim lazmi aye . . fni tye pishh wrlnh t'lim da 'am antzam drwri aye tye hr ksye nwn apni ahlit dye mtabq a'li t'lim hasl krn da brabr da hq hasl aye . .
26-02	t'lim da mqsd ihh dye pyei awh hr ansan di shkhsit nwn trqi dye kye mksl krye, ansan hqwq tye jiadi azadian dye ahtram da ahsas mdbwt bnayeye, sarian qwman, nslan tye mthhbandye lwkan wtch aps da slwk atfaq pida krye, ak dwjye nwn brwasht krn da jthbh tye dwsti wdhayeye tye aqwam mthdh da amn qayem rkhn da mqsd pwra krn wtch mdd diwye . .
26-03	ihh fislh krna mapian da hq aye pyei awhnan dye btchian nwn ks qsm di t'lim dti jayeye . .
27-00	df'h27
27-01	hr shkhs qwm di thqafti thndgi wtch azadi nal hsh lin, fnwn tye adbiat twn fayedh atthan tye sayens di trqi tye awhdye fayedian wtch hsyedar jn da hq hasl aye . .
27-02	hr shkhs nwn hq hasl aye kh awhdi ksye sayensi, 'lmi ia adli tsnif dye ntijye wtch jhirrye akhlaqi tye madi fayedye awhnwn hasl hwndye nye awh mhfwz rhn . .
28-00	df'h28
28-01	[Missing]
29-00	df'h29
29-01	[Missing]
30-00	df'h30
30-01	is mnshwr di ksye wi gl da kwyei isa mtlb nhin kddhia jayeye ga jdhi bna' autye ksye mlk, grwh ia shkhs nwn ksye iye km wtch shrik hwn ia kwyei isa km krn da hq ml jayeye jdhye ntijye wtch is mnshwr wtch bian kitye gyeye ansani hqwq tye azadian nwn nqsan phntchye . .
