00-00	ZAL'SHENGA NGAN KPANGSIR' ZOSIMDI NI NANGGBANG YINI ANDUNIA TINGGBANA SUNSUUNI
02-00	N-yi 2
02-01	Zaligu dinkam be litaafi ngo ni nyela din maani yigunaadam bukaata zang n chang behigu polo. Zaligu bi ti soli ni so gahimmi o kpee. Gbampielli ka soli ka o gahim Gbansabilli; doo di biehim paga; so mi di zang o daadiini din par' o n zang bobi o taba, o yaa zugu. So mi di tehi ni o behig' bee o buni bee o dogim dahibarka bee o bilichiinsi zugu o mali yiko din zhemdi o kpee bee n zagsir' o.
02-02	Din nyaanga di ka soli ka so zhem o kpee ni o ting viel' zugu. NGun ya-nim nya sumang-tali di pirim ni o ya nyags' zugu n lihi zhem ban na be Soomanji-tali waamaa dabtim ni.
03-00	N-ta 3
03-01	So di pirim o wogiritali zugu yeli ni o tum tuun sheli din gbarigir' behig' ka zal' shenga ngan be kpe bi ti o yelli. Di veeni ka kookali be sokam sanimi ka fawogili kani.
04-00	N-nahi 4
04-01	Zaligu bi lan n sagi ni so zang o ygunaadam kpee ning o bilaa; dama dabtim daawabu gariya ka di bi pora. Dinzugu, taali n nye li ni achiika ni nir' kohi dabili bee n da o.
05-00	N-nu 5
05-01	Zaligu bi lan sagi ni be ning so alaka bee fukumsi biegu din ka albarika di tooni ni di nyaanga.
06-00	N-yobu 6
06-01	Zang n chang dunia-yili loo bee dunia-yili zaligu polo, soli kani ka be tooi pii kagili ti so, ka pii dogu n ti so. Bang veeni nudirigu maa ka veeni nuzaa gba.
07-00	N-yopoin 7
07-01	Zang n chang zal' shenga ngan be kundi puuni, yelli din dir' tarima dir' bilchina. Sariya dol' la yelimangli, di bi doli zhiri.
08-00	N-nii 8
08-01	Sariya dibu shee, Gbampielli dini ka la di ko ka che Gbansabilli dini; dama ti zaa la yigunaadam-nima.
09-00	N-wei 9
09-01	Zaligu bi sagi ni yelwums' chogima zugu be ningim nir' fukumsi, bee n kpeh' o duu, bee n kar o o yaannim ting' ni, o ba-nim ting ni ka di ka soli.
10-00	Pia 10
10-01	Zaligu maa lan wuhi ni solibeni ka nir ni bo soya n tahi o sariya ben ni di li lugusheli ka zualinsi kani, be yi di o sariya ka di bi tigi o nini.
11-00	Piniyini 11
11-00	Kootu yi di nir' sariya, n yi kpeh o la sarika, o mali yiko din zabiri omang zugu, n bor loya-nima, ka be zaani o nyaanga; ka nagila ngun gba nyami ka lala nyela ninggbung-dugili.
11-01	Zaligu lan yeli ni di ka soli ka be ning nir fitiina ka di lan bi tum m birigi tinggban sheli puuni o ni zhia maa zal' sheli; bee zal' shenga ngan be litaafi ngo ni. Nir yi tum m-birigi zaligu, be darigi' o tibili la zaligu kundi ni bugsi ni be ningim o shem.
12-00	Pinaayi 12
12-01	Zaligu lan wuhi ni di ka soli, sal-nim zamba puuni, ka be vihi nir' ni be bang ashili sheli din nye o dahalali; bee o daaliwumma daashili; bee o yili puuni daashhiya; bee n vihi o washiika shenga ngan nye o dini; bee n bo daliri n filim n filim o yoli. Zal shenga ngan be litaafi ngo ni zhe la sokam nyaanga pa yino ko nyaang' ka nga zheya.
13-00	Pinaata 13
13-00	Zaligu lan wuhi ni sokam mali soli din gamdi o yubu ting ngan nuu be zal' shenga ngan zali ngo ni.
13-01	Sokam lan mali yiko din yiri o ya, n duri tingduya ka tiligir' o ya na ka taali sheli kani.
14-00	Pinaanahi 14
14-00	Zal' shenga ngan be kpe lan wuhi ni nir mali soli din zangdi o nyevili n zor tiligira ka ting sheli o ni zo n kuli maa nim tagi n deeg' o.
14-01	Laabida, ngunkam yi kpugi napong lala yi tummi n birigi o tinggbong zal' sheli bee Tinggbana zaasa Nanggban yini laginggu zal' sheli, o nye la o takahi bindi maa, dinzugu, o ni va o bini.
15-00	Pinaau 15
15-00	Zaligu din be kpe lan wuhi ni nir' mali yiko din kpehiri omang zuliya sheli ni o suhu ni gbaai.
15-01	Di di pirim sheb' bee so suhuyubu zugu n mong so yiko din ni che ka o tooi kali omang n kpehi zuliya shel' puuni o suhu ni yu.
16-00	Pinaayobu 16
16-00	Zaligu maa lan wuhi ni pag' kam ni doo kam: Kpungkpana waamaa Sagayelga mali yiko din kpugiri bal' sheli o suhu ni yu n namdi zuliya o yaa tariga. Zal' she nga din be kpe ni songdi doo shem, di songdi pag' gba la lala.
16-01	Zaligu lan kpangsi yeltog' sheli. Yeda ni yeda shee, doo mali soli din kpugiri o suhuyubu paga.
16-02	Zaligu lan wuh ni doo mini paga n yi lagim n nam tung. Ni dinzugu, nama dahilibarka puuni, ni be su doo mini pag' zaami.
17-00	Pinaayopoin 17
17-00	Nir mali yiko din zaani o dahalali azichi bee n nyar' sheb' pahiri omang zugu ka be kper' wolima ni.
17-01	Dunia yelwumsa ngun zugu ni ninvug' yino suhuyubu zugu, soli kani ka be ni tooi fa nir' daazhia.
18-00	Pisaayika 18
18-01	Behig' wuhiya ka dama soli kani ka so tooi bobi o kpee. Sokam mali soli din tumdi o yubu ka doli adiini sheli din par' o. O suhu yi ti lan je adiini sheli o ni doli maa, o lan mali yiko din loori adiini sheli din ta o yem. Limama-nim mali soli din kpangsir' be daadiini ka jemdi Naawuni be daahangkaya tariga ka taali sheli kani.
19-00	Pishiyinika 19
19-01	Zaligu lan kpangsi ni yigunaadam kam mali yiko din dir' o suhuyubu daalizama, ka di kun o ni bor' lugusheli, di yi pa alizan sheli din galim.
20-00	Pishi 20
20-00	Laginggu dinkam gbibi maaligu, litaafi ngo kpangsir' li ka zhe di nyaanga.
20-01	Soli kani ka nir' suhu bi gbaai minti sheli ka so tooi kum o yaa zugu mugsir' o ni o kpehi di ni.
21-00	Pishi-ni-yini 21
21-00	Zang n chang tinggbong puuni daalizama ni nye shenga zaa, soli kani ka di mong so di shaawar' sheli, dama zamaatu zaa shaawara n nye li.
21-01	Tinggbong kam mulichi ni yu sheli, dina n nye waazhibu. Be suhuyubu maa ka be maali tumdi tuma.
21-02	Litaafi ngo lan kpangsi ni gbaaibu yi yen gbaai din vootim' vootir' mangli n gbaai gbaaibu din ni zang n tum tuma.
22-00	Pishi-ni-ayi 22
22-01	Zaligu lan kpangsi ni sokam mali soli din kuuni o ting zugu; dama be zali tinggbong la ni so kam bukaata maani zugu. Ni dinzugu, tinggbong niima nyela tinggbong zaasa buni, ka di taada kam pa so saandi.
23-00	Pishi-ni-ata 23
23-00	Zal' shenga ngan be litaafi ngo ni lan wuhi ni sokam tumdi tuma ka bom o suhuyubu tuma din nye din ni song o ka song o mulichi. Sokam lan mali soli din duhiri o yee ka be nyar' tuun suma tir' o.
23-01	Nir' woligu bini ni nye sheli, di ka soli ka so tooi mong o li.
23-02	Tumtumdi kam veeni ka o dir' wahala ka be yori o la yo' shenga din ni sagi o mini o mulichi ka fukumsi ti yen ngmani di gbaairi o la ka be song o zaligu ni bugsi shem kundi ni.
23-03	Tinggbong kam mulichi mali yiko, songsim soli zugu, din zaani be dintoli laginggu sheli be ni booni Siliminsili ni ni Treid Yunions la ka di zabiri be tumtumdib' zugu.
24-00	Pishi-ni-anahi 24
24-01	Zaligu lan wuhi ni sokam vuhimi o daahangkali tariga ka tummi tuma saha, din nyaanga ka diemmi bee n kperimi kperigu saha.
25-00	Pishi-ni-anu 25
25-00	Zaligu lan wuhi ni be nam behigu la sokam zugu. Ni dinzugu, sokam mali yiko din bori alaafee soya; dama a laa fee n nye binshegukam. Sokam lan mali yiko din wolindi puzuri ni sutura zugu, ni yili zugu, ni dinkam nye din maani ka pahiri behigu. Zang n chang gu-mang daashiya mi polo, ni kongsim doro, gbariginsim, dakolim, kuriginsim ni dunia yili fukumsi kam, zal' shenga ngan be litaafi ngo ni songdi sokam-mi.
25-01	Zang n chang bia mini o ma shee, sokam mi ni bia dogibu to, dinzugu, bia kam, sheeje ni ngun mi o ba zaa, zal' shenga nang litaafi ngo ni zani yim ni bia la bia, ni dinzugu ban mali ba nim ni kuuni ka gamdi ka tinggbong nuu pa be zugu shem, ban zhi be banim gba mali yiko din gamdi lala.
26-00	Pishi-ni-ayobu 26
26-00	Zaligu lan wuhi ni daadam kam mali yiko din bohindi karong. Gommanti n su yiko ni be yo sikuru bihi zugu ban na piini karong; ka na bi karim n chang katinga la, zaa zugu. Talahi n nye li ni sokam tohi o bia sikuru. Tuun bangsim sikuru-nim bi kong ting kam puuni din dolisir' ban zuguri gor' ne n-ne la, ka be karindi n bangdi venyelingga.
26-01	Zal' shenga ngan be litaafi ngo ni yeliya, ni di veeni ka bangsim kam pahiri nir' la ninneesim, ka wuhiri bihi jilima ni suzuda ni behigu ni yurlim soya ni nye shenga; ka ti wumdi kpamb' yeligu, ka sugulo be sokam sani ka togsigu be dunia-yili zuliya kam sunsuuni; ni Musulim-nim ni Yisa Nyaanolib' ni chefirnim sunsuuni, ka Tinggbana Nanggbang Yini Laginggu la nia kam pali.
26-02	Ba-nim ni ma-nim mali yiko din piiri karongbangsim sheli be suhu ni yu ni be bihi karim. Zal' shenga ngan be kpe wuhiya ni bihi ba-nim ni be ma-nim yubu la ka zaligu ngo kpangsi n nyang binshegukam.
27-00	Pishi-ni-ayopoin 27
27-00	NGunkam suhu yu ni o kpangsi o kali soya bee o diem dien sheli, bee o wa wa sheli, bee o doli ninneesim so' sheli, soli beni ka di lan tooi ning o yubu ka taali kani.
27-01	NGunkam kpangsir' omang zang n chang bangsim polo, ni ngunkam lan kpangdi omang zang n chang o nya alifaani, soli kani ka so tooi gu di lan soli zang n chang o yubu maa polo.
28-00	Pihita-ayi-ka 28
28-01	Zal' shenga ngankam be litaafi bil' ngo ni nyela ti zaasa fali, dinzugu sokam ni tooi nyu bara n bahi nga.
29-00	Pihita-yini-ka 29
29-00	Bobigu shee, sokam mal' la o soli din kpangsir' o ka songd' o, ka o bebu mali dangko.
29-01	Soli kani ka so tooi yeli ni o yu omang n-ti yagi. Yelli yi zani, ka be yen vihi yelli maa, zaligu ni zali shem ka di ti soli ni di doli, n yuli maali yelli maa ka di ta sokam yem.
29-02	Di ka soli ka so tooi gbaai gbaaibu ka o gbaaibu maa tagi Yunaitid Neishins bee Tinggbana Nanggban Yini Laginggu ni bugsi shem litaafi bil' ngo ni.
30-00	Pihita 30
30-01	Ni di ti sokam lahabali ka dama be bi zali zal' shenga ngan be kpe ngo la nin yino ko sugu, sokam zugu ka be zali nga. Dinzugu, zal' shenga ngan be kpe maa ka bibielim soya zugu, bee tingngmong soli zugu. Dinzugu sokam lugim tibili venyelingga n wum ka di chib' o.
