00-00	CAAMBILIZYO CA MULAWO WA MASI OONSE WA LWAANGULUKO LWA MUNTU MATALIKO
21-01	Muntu oonse ulaangulukide kupegwa lugwasyo lweelene alugwasyigwa bana maleya mucisi.
21-02	Kuyanda kwabantu kweelede kuba ciiminizyo ca mfulumende; kuyanda ooku kweelede kutondezyegwa kwainda ciindi alimwi akusala kwamasimpe kweelede kucitwa abana maleya bamucisi bazumizyigwa amulawo kusala alimwi akuzumizyigwa kusala ngwayanda kakunyina kunyonganyizyigwa.
22-00	Kapango 22
22-01	Muntu oonse, muna maleya, ulaangulukide kuyobwedwa mali ngakoswedwa ku mali ngavwola ku nkampani yakabambwa mucisi antela kwiinda mukumvwana acisi cimbi kweelene amulawo wacisi. Alimwi ulaangulukide kulyeezyela buvubi, kuba abukkale alimwi akucita zyilengwa zyacisi zyitakonzyi kumusala akaambo ka ciimo cakwe alimwi alwaanguluko lwa kusumpula bukkale bwakwe.
23-00	Kapango 23
23-00	Muntu oonse ulaangulukide kujana mulimo, kulisalila mulimo ngwayanda, kububotu bujanwa amulimo ooyo alimwi akukwabililwa kupenzi lyakubula milimo.
23-01	Oonse, kakunyina kusalaula, ulakwabililwa kuvwozyegwa mali ayelene amulimo ngwabeleka.
23-02	Oonse ubeleka ulaangulukide kupegwa mali abikkilwa atala antela bbonasi alimwi akukwabililwa buumi bwakwe alimwi abwamukwasyi wakwe azyintu zyimbi zyeelede kukwabililwa.
23-03	Muntu oonse ulaangulukide kunjila antela kutalika mbunga ilwanina akukwabilila babelesi.
24-00	Kapango 24
24-01	Muntu oonse ulaangulukide kupumuna akulyookezya kubeleka, kusanganizya kupegwa mawoolo ayelede ciindi cakubeleka alimwi akubbadelwa mali waunka kukupumuna kwa mazuba manji.
25-00	Kapango 25
25-00	Muntu oonse ulaangulukide ku buumi abukkale bubotu antoomwe amukwasyi wakwe, mbuli kuli cakulya, zyakusama, ng'anda yakukkala alimwi amicelo yakusilikwa azyintu zyimbi ziyandika kumuntu, alimwi akukwabililwa buumi bwakwe wani kubeleka, kukwabililwa kumalwazi, bulema, kufwidwa, kucembaala alimwi azyimbi zyikonzya kusinkila muntu kubuumi zyatakonzyi kucita akaambo kakubula nzila yakuzyicita.
25-01	Bamatumbu alimwi abana balaangulukide kulugwasyo luyandika. Bana boonse, abe wamung'anda antela wamusyokwe, beelede kulangwa kabotu alimwi akukwabililwa kweelene.
26-00	Kapango 26
26-00	Muntu oonse ulaangulukide kuyiya, lwiiyo lweelede kupegwa biyo kakunyina kubbadela, kapati muma giledi akutalisya masyoonto alimwi aakati-kati. Kunjila cikolo kumagiledi akutalisya weelede kuba mulawo natayandi nayanda mwana. Lwiiyo lwa milimo ya maanza alimwi aiyandika kuba haanzyibwene wa mulimo umwi lweelede kuti lyoonse kaluliko alimwi lwiiyo lwa mabbuku mapati alwalo lweelede kupegwa kuli baabo bajisi maanu.
26-01	Lwiiyo lweelede kuba lwakusumpula bukkale bwa muntu alimwi akuyumya lwaanguluko alimwi akusala ciyanda muntu. Lupa bantu kumvwisisya, kuba sicamba alimwi akusumpula lumvwanoakati kamasi, kakunyina kusalaula cikanda, cikombelo alimwi akuyumya milimo ya mbunga ya masi oonse munyika ya United Nations kutontozya luumuno munyika.
26-02	Bazyali balaangulukile kusala lwiiyo ndobayanda antela ndobayeeyela kuba lubotu kubana babo.
27-00	Kapango 27
27-00	Oonse muntu ulaangulukide kakunyina kukasyigwa kutola lubazu mubuumi bukkala bana maleya, kuyiya zyilenwa zyacisi alimwi akwaabana busongo.
27-01	Oonse muntu ulaangulukide kukwabililwa ku zyintu zyayanda mbuli zya kulyaanzila, nyimbo azyisobano zyalilembela mukamwini.
28-00	Kapango 28
28-01	Oonse muntu ulizumizyilwe Kuba mumakamu alimwi amunkamu zyijatikizya masi manji oomo mujanwa lwaanguluko lwakazuminanwa akwaambilizyigwa amilawo ya mbunga eeyi.
29-00	Kapango 29
29-00	Muntu oonse ujisi mulimo kubuleya ooko nkwaangulukide kuliiba akusumpula buntu bwakwe.
29-01	Mukubelesya lwaanguluko anguzu zyapedwe, muntu oonse ulaangulukide kulikkalila kwakutaindilizya ku lwaanguluko ndwapedwe amulawo kutegwa awalo kalemeka lwaanguluko lwa bantu bambi alimwi abulemu buyandika kumuntu alimwi akuliiba kwa bana maleya.
29-02	Lwaanguluko alimwi akuliiba takweelede kwiindilizyigwa ku mizeezo yakabambwa ambunga ya masi oonse aamunyika ya United Nations.
30-00	Kapango 30
30-01	Kunyina cili mucizuminano eeci ceelede kwendelezyegwa amasi aambi, mbunga ya bantu antela muntu biyo, kuba anguzu zyakucita zyilengwa zyimbi zyikonzya kutyola milawo ya lwaanguluko lupedwe ku bantu lwapandulwa kale.
