00-00	ADASA NDZINOA HO DAWURBO
12-01	Onnyi de abotsirmu ara wodze oho hyehye obi no kokoamunsem, n'ebusuasem anaa n'efisem mu; anaade wogu n'enyimnyam na ne dzin ho fi. Oye obiara ne ndzinoa de mbra bo no ho ban tsia ndzeyee a otsetse dem yi.
13-00	Asempow 13
13-01	Oye obiara ne ndzinoa de okyinkyin na otsena oman bi n'asaase do bea biara a ope.
13-02	Oye obiara ne ndzinoa de ofi oman biara mu (noara ne man ka ho) na osan ba ne man mu bio.
14-00	Asempow 14
14-01	Obiara wo ndzinoa de ohwehwe na onya guansuma wo oman bi do fi atseetsee ho.
14-02	Onnyi de dem ndzinoa yi wobisa wo bon bi a ommfa manye ho anaa otsia Amanaman Nkabomu Kuw no ne nhyehyee a onyia no aye ma woridzi n'asem wo ho biara ho.
15-00	Asempow 15
15-01	Obiara wo ndzinoa de oye oman bi ba.
15-02	Onnyi de abotsirmu ara woma obi hwer n'amambaye, anaade womma no kwan mma onnsesa n'amambaye.
16-00	Asempow 16
16-01	Oye mbanyin na mbaa a hon enyi efifir hon ndzinoa de wowar na wowo mba, na awosu, amambaye anaa nyamesom nnsiw iyi ho kwan. Mbanyin na mbaa nyina hon ndzinoa a wowo no awar ho no ye per wo awar ber no mu nye awar no ngui no mu so.
16-02	Adze ara a owo de awar no gyina do nye asakuw ebien a worowar no hon pe a nhye nnyi mu.
16-03	Okun, oyer na mba bo mu kor de aboasee kuw a nyimpa kuw biara ne farbaa fi mu wo adasa mu, na oye hon ndzinoa de nyimpakuw no na oman no bo hon ho ban.
17-00	Asempow 17
17-01	Obiara wo ndzinoa de onya egyapadze a oye no nko nedze, anaade onye nkorofo bi bo mu nya dem egyapadze no.
17-02	Onnyi de abotsirmu ara wogye obi n'egyapadze fi ne nsamu.
18-00	Asempow 18
18-01	Obiara wo ndzinoa de oye n'adwen, osoa noara ne tsibowa, ofa nyamesom biara a ope. Dem ndzinoa yi ne fa bi nye kwan a obiara wo de osesa ne nyamesom anaa ne gyedzi na kwan so a ofa do dze ma ne gyedzi no da edzi wo bagua mu anaa nsumaa mu, de ono nko anaade nyimpa binom ka ho wo iyi mu.
19-00	Asempow 19
19-01	Obiara wo ho kwan de okyere n'adwen wo biribi ho. Dza oka dem ndzinoa yi ho nye de obiara botum aye n'adwen wo biribi ho a ntotoananmu biara nnyi mu. Dza oka ho bio so nye de otum anaa otsie asem nye nsusui biara a onam kwan biara do na efi mbea nyina, na oma nyimpa binom so tse.
20-00	Asempow 20
20-01	Obiara wo kwan de oko nhyiamu a oye asomdwee ase, na odom fekuw biara.
20-02	Onnyi de wohye obiara ma odom fekuw bi.
21-00	Asempow 21
21-01	Oye obiara ne ndzinoa de osuo mu ma wobu ne man de onoara dzi bano wo mu, anaade obosuo mu ma woeeyi ananmusifo.
21-02	Oye obiara ne ndzinoa de onya kyefa wo oman adododze biara a owo ne man mu no mu.
21-03	Owo de aban no tum gyina omamfo hon pe do. Dem pe yi wonam ambatow a no mu da ho a wotow no ne ber ano do da no edzi, akorofo a woaso ambatow no wo de woma wotow amba wo nsumaa mu a nhye biara nnyi mu.
22-00	Asempow 22
22-01	Ankorankor biara, de oye omamba bo, wo ndzinoa de oman no bo n'eyiedzi ho ban. Owo de wofa oman no no mbodzen do, anaa bataboa bi a dem oman no nye oman fofor bi ye do ma omamba biara n'eyiedzi ba mu de mbre oman kor no ne sikasem, n'asetsena na n'amambra no tum a oma n'enyimnyam dzi mu no tse.
23-00	Asempow 23
23-01	Obiara wo ndzinoa de oye edwuma. oye ne ndzinoa de ofa edwuma a ope de oye, na oye ne ndzinoa de woma no edwumaye mu nhyehyee pa, na wobo noho ban fi fietsena ho.
23-02	Oye obiara ne ndzinoa de woma no akatua a ofata n'edwuma a oye a, nyimpa nyiyimu biarannyi mu.
23-03	Obiara a oye edwuma no wo ndzinoa de onya akatua a ose na otsen a obema onye n'ebusuafo enya asetsena a ofata nyimpa n'enyimnyam, na se ohia mpo a, owo de wodze asetsena mu nhyehyee ho ekyigyina bi foa akatua no do.
23-04	Oye obiara ne ndzinoa de otsew anaa odom edwumayefo kuw bi dua do dze bo n'eyiedzi ho ban.
24-00	Asempow 24
24-01	Obiara wo ahomgye na bondodziber ho kyefa; mber a woahyehye a omma edwumaye mmbor do, na akwanma ber a wotua odwumayenyi no kaw so ka iyi ho.
25-00	Asempow 25
25-01	Obiara wo ndzinoa de onye n'ebusuafo nya asetsena yi mu eyiedzi a obema woeenya ahoodzen nye asetsena pa, edziban, akataho, tsenabew, eduye na asetsena mu nhyehyee pa.
25-02	Oye obiara ne ndzinoa so de, ze ohwer n'edwuma, oyar, onya dzemdzi bi, no hokafo wu, mpanyinye ma oye mberew, anaade biribi ama ma onntum nnhwe noho a, onya asetsena mu ekyigyina. Owo de mbasiafo a wotur mba na mbofra nyina woma hon mboa soronko. Mbofra nyina, de wowoo hon wo awar ase, anaade wowoo hon wo sonmu, wo de woma hon asetsena mu bambo per.
26-00	Asempow 26
26-01	Oye obiara ne ndzinoa de ohu nwoma. Mbofraber mu nwomasua na ahyese nwomasua a otse dem no nnyi de wogye ho sika. Oye nhye de abofra biara nya mbofraber mu nwomasua. Owo de woma mfirdwuma, na nsaanodwuma ho adzesua nye dwumadzi horow ho nwomasua ye beberee. Suapon mu nwomasua so wo de oye beberee na obiara a no mbodzembo fata no woma no ho kwan.
26-02	Owo de nwomasua nyina no botae ye de ohwehwe nyimpa dasanyi no mu nyina no mpontu nye enyidzi kese a obeba nyimpa mu wo adasa hon ndzinoa ahorow a wowo no ho. Owo de otu ntsease, gyaamu-ma-onka na anyenkoye mpon wo aman, nyimpakuw na nyamesom ho ekuw nyina mu; na oboboa atow Amanaman Nkabomu Kuw no dwumadzi ako kan dze ama asomdwee eetsim.
26-03	Awofo wo ndzinoa de wobekyere nwomasua kor a owo de hon mba nya.
27-00	Asempow 27
27-01	Obiara wo ndzinoa de odze noho fora ne man m'amambra mu na onya enyigye fi oman no n'amandze nsaanodwuma mu na onya kyefa wo abodze nyansape na mfaso a odze ba no mu so.
27-02	Obiara wo ndzinoa a ofi abodzenyansape, nwomasua anaa amandze, nsaanodwuma adzeye bi a noara dze boboo adze no mu ba no ne bambo no mu.
28-00	Asempow 28
28-01	Obiara wo ho kwan de onya kyefa wo asetsena anaa amanaman nhyehyee a okitsa ndzinoa na fahodzi horow a woada no edzi wo dem Dawurbo wo Mpaamuka yi mu no mu.
29-00	Asempow 29
29-01	Obiara wo asodzi wo nyimpa kuw a otse hon mu no mu; ho nko ara nye bea a no mpontu a odzi mu botum aba a akwansiwdze bi nnyi ho.
29-02	Ber a obi dze ne ndzinoa na ne fahodzi ridzi dwuma no, owo de oye dza mbra hwehwe wo no ho ama binom so eenya hon kyefa nye hon fahodzi. Owo de onya no bo bra tsenenee na oye guadoadzeye de mbre ododow amambu mu eyiedzi adzeye ho ntsetsee tse.
29-03	Onnyi de wofa kwan biara a otsia Amanaman Nkabomu Kuw no ne nhyehyee do dze hwehwe ndzinoa na fahodzi ahorow yi.
30-00	Asempow 30
30-01	Onnyi de nyimpa biara ma nkyerease wo Dawurbo yi mu nsem yi ho a obema oman, nyimpakuw anaa ankorankor bi tum ma oaaye biribi a obesee ndzinoa na fahodzi ahorow a woada no edzi wo nwoma yi mu no.
