00-00	maanava baadhyategalla saarvatrika prakattane prastaavane
04-01	gulaamagiriyallaagali, daasatvadallaagali yaavanannuu irisalaagadu. gulaamatana haaguu vyaapaaragallu avugalla ellaa ruupagallalliyuu nisseedhisalpadduttave.
05-00	nibamdhane 5.
05-01	yaataneyaagalii, katthinnavuu amaanussavuu athavaa apamaanakaravuu aada vartanegaagali shikssegaagali yaavanannuu guripaddisalaagadu.
06-00	nibamdhane 6.
06-01	elleddeyalliyuu nyaayada samakssamadalli pratiyobbaniguu taanobba vyaktiyemdu gannisalpadduva hakkumttu.
07-00	nibamdhane 7.
07-01	kaayideya samakssamadalli ellaruu samaanaru mattu kaayideyimda samaanasamrakssanne paddeyalu yaava bheedabhaavavuu illade ellariguu baadhyateyumttu. ii prakattaneyannu ullamghisuva yaavudee viveecanege viroodhavaagiyuu imtha viveecaneya yaava prakattannege viroodhavaagiyuu samaanasamrakssanneyannu paddeyalu ellariguu baadhyateyumttu.
08-00	nibamdhane 8.
08-01	shaasanadimdaagali kaanuuninimdaagali, tanage koddalpatttta muulahakkugallannu ullamghisuva krtyagallige yoogya raassttriiya nyaaya sabhegallimda phaladaayakavaada pratikriyeyannu maaddisuva hakku pratiyobbaniguu umttu.
09-00	nibamdhane 9.
09-01	manabamdamte yaavanannu bamdhisaluu, sere athavaa gaddipaarige ollapaddisuvahaagilla.
10-00	nibamdhane 10.
10-01	tanna hakkugallannu upakrtigallannuu mattu yaavudaadaruu tanna meele aaroopisalpatttta doossaatmakavaada tappannuu nirnnaisuvudaralli svatamtravuu nisspakssapaatavuu aada nyaayasabheyimda sampuurnna samateyoddane anusamdhaanagollllalu pratiyobbaniguu baadhyateyumttu.
11-00	nibamdhane 11
11-01	shikssaarhavaada aparaadhavannu horisalpatttta pratiyobbaniguu bahiramga vicaaranneyalli tanna rakssannege agatyavidda ellaa jaamiinugallannittttukomddu, kaanuuniganusaaravaagi droohiyemdu tiirpaaguvavareguu taanu niraparaadhiyemdu bhaavisikollllalu hakkumttu.
11-02	aacaranneyalli tamda samayadalli shikssaarhavaada droohavaagi ruupisirada yaavudoo krtyada athavaa upeeksseyakaarannadimda yaavanannuu raassciiya athavaa amtara raassttriiya kaanuunina kellage shikssaarhavaada aparaadhavannu maaddida doossiyemdu bhaavisalaagadu. shikssaarhavaada droohavannu maaddida samayadalli yuktavaada damddakkimtaluu heccina damddavannu horisalaagadu.
12-00	nibamdhane 12.
12-01	yaavanannuu avana rahasya, kuttumba, maneya vyavahaara mattu kiirti gauravagalla vissayadalli anyaru icchaanusaaravaagi madhyasthike vahisuva sthitige guripaddisalaaguvudilla. imtaha madhyasthikegallige athavaa hallegallage viroodhavaagi kaanuuninimda samrakssanne homduva hakku pratiyobbaniguu umttu.
13-00	nibamdhane 13.
13-01	pratisamsthaanada gaddiyollage pratiyobbaniguu svatamtravaagi samcarisaluu, nivasisaluu hakkumttu.
13-02	pratiyobbaniguu tanna athavaa anya deeshagallannu tyajisaluu maralli tanna deeshakke baraluu hakkumttu.
14-00	nibamdhane 14.
14-01	upadravada deseyimda beere deeshagallalli aashrayavannu antteessisaluu anubhoogisaluu pratiyobbaniguu hakkumttu.
14-02	raajakiiyeetara droohagallimdaagali, yuktaraassttragalla uddeesha mattu suutragallige viruddavaada krtyagallimdaagali, yathaardhavaagi udbavisuva vyaajyagalla vissayadalli ii hakkannu aashisalaagadu.
15-00	nibamdhane 15.
15-01	raassttriiyatege pratiyobbaniguu hakkumttu.
15-02	icchaanusaaravaagi yaavanannuu avana jaatiiyateyimda tappisalaagadu. haaguu avana janaamgavannu badalaayisuva hakkannuu allagalleyalaagadu.
16-00	nibamdhane 16.
16-01	jaati janaamga athavaa matada yaava kattttalleyuu illade vayaskaraada striipurussaru lagnavaagaluu kuttumbavannu stthaapisaluu, hakkannu paddediddaare. vivaahakke heellidamteyee vivaaha samayadalliyuu adara vicchinnateyalliyuu avaru samaana hakkannu paddediddaare.
16-02	vivaahavaagaliruva vadhuuvarara svatamtra haaguu sampuurnna oppigeyimdalee vivaahavannu kaikollllalaaguvudu.
16-03	kuttumbavu samaajada naisargika haaguu muulasamghamaanavaagide. allade samaajadimdaluu, samsthaanadimdaluu, samrakssannepaddeyalu hakkulllladdaagide.
17-00	nibamdhane 17.
17-01	eekaagiyaagiyuu itararoddaguuddiyuu aastiyannu paddeyuva hakku pratiyobbaniguu umttu.
17-02	icchaanusaaravaagi yaavanannuu avana aastiyimda tappisalaagadu.
18-00	nibamdhane 18.
18-01	pratiyobbaniguu bhaavaneya amtahkarannada haaguu matada svaatamtryagallige baadhyateyumttu. eekaamgiyaagiyuu illave itararoddaguuddiyuu tanna matavannaagali, vishvaasavannaagali, badalaayisuva svaatamtryavannuu, bahiramgavaagiyuu goopyavaagiyuu tanna matavannaagali vishvaasavannaagali boodhisuva, ruuddhisuva, aaraadhisuva, aacarisuva svaatamtryavannuu ii hakku ollagomddide.
19-00	nibamdhane 19.
19-01	pratiyobbaniguu abhipraayapadduva, uccaarannegaiva svaatamtryagalla baadhyateyumttu. madhyasthike vahisadamte abhipraayagallannittttukolllluva svaatamtravannuu sarahaddugalla lakssyavilladeyuu yaava mukhaamtaravaagiyuu vartamaanavannuu bhaavanegallannuu anveessannagaiva, sviikarisuva, tillayapaddisuva svaatamtryavannuu ii baadhyate ollagomddide.
20-00	nibamdhane 20.
20-01	svatamtravaagi shaamtiyimda sabhe seeralu samghattisaluu pratiyobbaniguu hakkumttu.
20-02	imthadee kuuttakke seeriremdu yaavanannuu ottaayapaddisalaagadu.
21-00	nibamdhane 21.
21-01	tanna deeshada aaddalliteyalli svatah athavaa ommatadimda aarisalpatttta pratinidhiya mukhaamtara bhaagavahisalu pratiyobbaniguu hakkumttu.
21-02	tanna deeshadalli saarvajanika kaaryagallalli samanaagi sahakarisuva hakku pratiyobbaniguu umttu.
21-03	janagalla iccheyee sarakaarada adhikaarada tallahadiyaagiruttade. kaalakaalakke eerpadduva satyaatmakavaada, saarvatrikavaagiyuu samaanavaagiyuu matadaanamaaddaliruva cunaavanneyalli ii iccheyannu tilliyapaddisalaaguvudu mattu goopyavaagi matadaanamaadduva paddhatiyalliyee athavaa sadrshavaada iccaanusaaravaagi matadaanamaadduva paddhatiyalliyee idu jarugisalpadduvudu.
22-00	nibamdhane 22.
22-01	samaajada sadasyanaadudarimda saamaajika bhadratege pratiyobbaniguu hakkumttu. mattu tanna gauravakkuu tanna vyaktitvada naisargikaabhivrddiguu atyagatyavaada aarthika, saamaajika, haaguu saamskrtika hakkugallannu raassttriiya prayatnada muulakavuu, amtararaassttriiya sahakaarada muulakavuu mattu pratiraassttrada vyavasdhe mattu aadaayagalliganugunnavaagiyuu aanubhavisuva baadhyate pratiyobbaniguu umttu.
23-00	nibamdhane 23.
23-01	duddiyaluu, naukariyannu icchaanusaaravaagi aaydukollllaluu. duddimege yoogyavaada haaguu anukuulavaada karaarugalliguu, nirudyoogadimda samrakssasikollllaluu pratiyobbaniguu hakkumttu.
23-02	yaava taaratamyavillade pratiyobbaniguu samaana kelasakke samaana samballa paddeyuva hakkumttu.
23-03	pratiyobba kelasagaaraniguu ucitavuu laabhadaayakavuu aada pratiphalakkuu, tanaguu tanna kuttumbakku vimekollllalu, maanava gauravaarhavaada jiivanakkuu, agatyaviddalli itara samaaja samrakssegallimda puravanni paddeyaluu hakkumttu.
23-04	tanna svaarthagallannu kaapaaddikollllalu vaannijya kuuttagallannu eerpaddisuva haaguu avugallalli seerikolllluva hakku pratiyobbaniguu umttu.
24-00	nibamdhane 24.
24-01	viraama vishraamtigalliguu ucitaparimitiyulllla audyoogika samayakkuu veetana sameetavaada kaalakaalada rajegalliguu pratiyobbaniguu hakkumttu.
25-00	nibamdhane 25.
25-01	anna vastra, vasati mattu vaidyakiiya jatana sameetanaagi tanna mattu tanna kuttumbada ksseemaaroogyagallige ucitavaada jiivana mattttavannu paddeyaluu, agatyavaada samaaja seevegallannu homdaluu pratiyobbaniguu hakkumttu; mattu nirudyooga, kaayile, daurbalya, vaidhavya, muppugalla samdarbhagallalliyuu athavaa tanna vashavalladiruva itara upajiivanada abhaava samdarbhagallalliyuu rakssanne homdalu pratiyobbaniguu hakkumttu.
25-02	baannamtitana, mattu baalya iveradduu visheessa paraambarike mattu neravugallage baadhyate paddedive. vivaaha sambamdhadimda athavaa anya riityaa janisida ellaa makkallu omdee teranaada samaaja samrakssanneyannu anubhavisuvavu.
26-00	nibamdhane 26.
26-01	shikssannakke pratiyobbaniguu hakkumttu shikssannavu koneya pakssa praathamika haaguu muula darjegallalli dharmaarthavaagirabeeku. praathamika shikssannavu kaddddaayavaagirabeeku. shilpa shikssanna haaguu vrttishikssannagallu saamaanyavaagi odagisalaaguvuvu. mattu ucca shikssannavu yoogyateya meele sarvariguu samaanavaagi doreyalaaguvudu.
26-02	maanava vyaktitvada sampuurnna bellavannigeyattaluu, maanavana hakkugalliguu muula svaatamtryagalliguu iruva mannanneyannu balagollisaluu, shikssannavu calaayisalaaguvudu. ellaa janaamgagallalliyuu jaatiiya athavaa dhaarmika samsthegallalliyuu idu tilluvallikeyannu sahissnnuteyannuu maitriyannuu vrddhigollisuttade, mattu shaamtiyannu rakssisalu samyukta raassttragalla kaaryakalaapagallannu vardhisuttade.
26-03	tamma makkallige yaava riitiya shikssannavannu koddabahudoo aadannu aaydukollllalu maataapitrgallige aadyaadhikaaravumttu.
27-00	nibamdhane 27.
27-01	icchaanusaaravaagi janaamgada saamskrtika jiivanadalli paalugollllalu, kalegallannanubhavisaluu, vaijnaanika abhivrddhiyalliyuu adara phalagallalliyuu paalugollllalu pratiyobbaniguu hakkumttu..
27-02	tanna kartrtvadalliyaada yaavudee vaijnyaunika, saahitya athavaa kalaakaushala gramthadimda phalisuva naitika haaguu bhautika adaayagallannu samrakssisuva hakku pratiyobbaniguu umttu.
28-00	nibamdhane 28.
28-01	ii prakattaneyalli suucitavaada hakkugallannu svaatamtryagallannuu sampuurnnavaagi anubhavisa bahudaadamtha saamaajikavuu amtararaassttriiyavuu aada vyavasthege pratiyobbaniguu baadhyateyumttu.
29-00	nibamdhane 29.
29-01	keevala yaava kartavyagallimda tanna vyaktitvada niraatamkavuu, sampuurnnavuu, aada bellavannige saadhyavoo amtaha kartavyagallannu samaajakke sallisaloosuga pratiyobbaniguu baadhyateyumttu.
29-02	prajaaprabhutva samaajadalli keevala itarara hakku svaatamtryagallige sallatakka amgiikaara mattu mannannegallannu paddeyaloosugavuu, sadaacaarada yathaartha aakaamkssegallannu paddeyaluu, saarvajanika shistu haaguu saarvajanika yoogaksseemagallannu homdaluu pratiyobbanuu tanna hakkugallannuu svaatamtryagallannuu calaayisuvaaga keevala kaanuuninimda nishcitavaadamtha kattttallegallige adhiinanaagirabeeku.
29-03	samyukta raassttragalla uddeeshagalliguu tatvagalliguu viruddhavaagi yaava vissayadalliyuu ii hakkugalluu ii svaatamtryagalluu prayoogisalpaddalaaravu.
30-00	nibamdhane 30.
30-01	yaava praamtakkaagiyoo samghakkaagiyoo vyaktigaagiyoo embudaagiyuu, yaavudoo udyamadalli toddagiralembudaagiyuu, athavaa idaralliruva yaavudaadaruu hakkugallannuu svaatamtryagallannuu naashagollisalu uddeeshisiruva yaavudoo kaaryavannu maaddalembudaagiyuu ii prakattaneyalliruva yaava vissayavannuu vyaakhyaanisabaaradu.
