00-00	DECLARACION UNIVERSALA DELS DRETS HUMANS
14-00	Article 14
14-01	En cas de persecucion, tota persona a lo drech de cercar asil e de beneficiar de l'asil dins d'autres paises.
14-02	Aquel drech se poira pas invocar contra una accion judiciaria que s'aprendra vertadieeirament a de crimes de drech comun ou o a d'actes opausats a las finalitats e als principis de las Nacions Unidas.
15-00	Article 15
15-01	Tot individu a drech a un nacionalitat
15-02	Degun pot pas esser privat arbitrariament de sa nacionalitat ni del drech de cambiar de nacionalitat.
16-00	Article 16
16-01	Tanleu que son maridadors, l'ome e la femna sense cap de restriccion per rason de rasa, nacionalitat o religion, an lo drech de se maridar e de fondar una familha. An de dreches egals en so que pertoca al maridatge, pendent lo maridatge e al moment de sa dissolucion.
16-02	Los maridatge se poira pas contractar qu'ambe lo consentiment liure e plen dels futurs esposes.
16-03	La familha es l'element natural e fondamental de la societat e a drech a la proteccion de la societat e de l'Estat.
17-00	Article 17
17-01	Tota persona, individualament e collectivament, a drech a la proprietat.
17-02	Degun pot pas esser privat arbitrariament de sa proprietat.
18-00	Article 18
18-01	Tota persona a drech a la libertat de pensada, de consciencia e de religion; aquel drech implica la libertat de cambiar de religion ou de cresensa, emai la libertat de manifestar sa religion o sa cresensa individualament o en comun, tant en public coma en privat, per l'ensenhament, la practica, lo culte e l'acompliment dels rites.
19-00	Article 19
19-01	Tot individu a drech a la libertat d'opinion e d'expression, so qu'implica lo drech d'esser pas carcanhat per sas opinions e lo de cercaer, de recebre e d'espandir, sense consideracion de frontiras, las informacions e las ideas per quin mejan d'expression que sia.
20-00	Article 20
20-01	Tota persona a drech a la libertat de reuenion e d'associacion pacificas.
20-02	Degun pot pas esser obligat de far partida d'una associacion.
21-00	Article 21
21-01	Tota persona a lo drech de participar a la direccion del afars publics de son pais, sia directament, sia per l'intermediairi de representants causits liurament.
21-02	Tota persona a drech a accedir, dins de condicions d'egalitat, a las foncions publicas del sieu pais.
21-03	La volontat del poble es lo fondament de l'autoritat dels poders publics; aquela volontat se deu exprimir gracias a d'eleccions vertadieiras que se tendran periodicament, al sufragi universal egal amb lo vote secret o un autre procediment equivalent que garentisca la libertat de vote.
22-00	Article 22
22-01	Tota persona, coma membre de la societat, a drech a la seguretat sociala e a la satisfaccion dels dreches economics, socials e culturals indispensables a sa dignitat e al liure desvolopament de sa personalitat, gracias a l'efors nacional e a la cooperacion internationala, segon l'organisacion e los mejans de cada pais.
23-00	Article 23
23-01	Tota persona a drech al trabalh, a la causida liura de son emplec, dins de condicions equitablas e satisfasentas de trabalh e a la proteccion contra lo caumatge.
23-02	Tota persona a drech, sense cap de discriminacion, a un salairi egal per un trabalh egal.
23-03	Tota persona que trabalha a drech a una paga equitabla e satisfasenta que li assegure, a ela emai a la familha una existencia conforma a la dignitat umana e que sera completada, se per cas es necessari, per totes los autres mejans de proteccion sociala.
23-04	Tota persona a lo drech de fondar, ambe d'autres, de sindicats e de se sindicar per defendre sos interesses.
24-00	Article 24
24-01	Tota persona a drech al repaus e als lesers e, particularament, a una limitacion rasonabla de la durada del trabalh e a de vacansas periodicas pagadas.
25-00	Article 25
25-01	Tota persona a drech a un nivel de vida que li assegure la santat e lo benestar a ela e a la sia familha, mai que mai pel manjar, lo vestit, lo lotjament, los suenhs de santat e los servicis socials necessaris; a drech tanben a la seguretat en cas de caumatge, malautia, invaliditat, veusatge, vielhesa, e dins los autre cases que perd los mejans de se ganhar la vida sense o aver volgut.
25-02	Las maires e los pichons an drech a una ajuda e a una assistencia especialas. Totes los mainatges, nascut dins lo maridatge o fora maridatge, benefician de la meteissa proteccion sociala.
26-00	Article 26
26-01	Tota persona a drech a l'educacion. L'educacion deu esser a gratis, al mens en so que pertoca a l'ensenhament elementari e fondamental. L'ensenhament elementari sera obligatori. L'ensenhament tecnic e professional sera generalisat; l'ensenhament superior sera dubert a totes d'un biais parier, en foncion dels meritis de cadun.
26-02	L'educacion aura coma finalitat lo plen desvolopament de la personalitat umana e l'afortiment del respecte qu'es degut als dreches de l'ome e a las libertats fondamentalas. Deu favorir la compreneson, la tolerancia e l'amistat entre totas las nacions e totes los grops etnics o religioses, emai los desvolopament de las activitats de las Nacions Unidas per mantener la patz.
26-03	Son los parents qu'an, en primier, lo drech de causir la mena d'educacion que se donara als mainatges.
27-00	Article 27
27-01	Tota persona a lo drech de prene part liurament a la vida culturala de la comunitat, de gausir de las arts e de participar al progres scientific e als beneficis que ne son la consequencia.
27-02	L'autor de tota obra scientifica, literaria o artistica a drech a l'aparament dels interesses morals e materials que ne resultan.
28-00	Article 28
28-01	Tota persona a lo drech que s'establisca un ordre social e ont los dreches e las libertats enonciats dins aicesta Declaracion se poscan aplicar plenament.
29-00	Article 29
29-01	Tota persona a de devers als respecte de la comunitat, qu'es lo sol endrech ont lo desvolopament liure e complet de sa personalitat es possible.
29-02	Per profechar de sos dreches e de sas libertats, tota persona sera pas somesa qu'a las limitacions establidas per la lei unicament per assegurar la reconeissensa e lo respecte dels dreches e de las libertats dels autres e per tal de respectar las justas exigencias de la morala, de l'ordre public e del benestar general dins una societat democratica.
29-03	Aquestes dreches e libertats se poiran pas jamai aplicar contrariament a las finalitats e als principis de las Nacions Unidas.
30-00	Article 30
30-01	Res dins aicesta Declaracion se pot pas interpretar coma que un Estat, un gropament ou un individu auria quin drech que sia d'entreprene una activitat o de realisar una accion ambe la toca d'avalir los dreches e las libertats que s'i enoncian.
