00-00	Allgemeen Verklaren vun de Minschenrechten
05-01	Keeneen droeff uenner de Folter. Ok  keeneen grusig, unminschlich  orrer Straaf lieden orrer doerch so een Doon duuk nackt warrn.
06-00	Artikel 6
06-01	Elk un een hett dat Recht, oeverall as een Rechtspersoon to gellen.
07-00	Artikel 7
07-01	All Minschen suend gliek voer dat Gesett. Ahn een Uennerscheed hebbt se dat  up glieke Schuul doerch dat Gesett. All  se Anrecht up suelvig Schuul tegen jeedeen Minnachten, de tegen duesse Verklaren geiht. Dat gellt ok foer dat Uphissen foer so  Minnachten.
08-00	Artikel 8
08-01	Elk un een hett dat Anrecht up rejell Help bi de Gerichten binnen den Staat, de dat anlangt, wenn sien Grundrechten, de he na de Verfaten orrer na dat Gesett hett, doerch jichtenseen Doon inschraenkt warrn schuellt.
09-00	Artikel 9
09-01	Keeneen droeff ahn Grund  fastsett orrer ut dat Land wiest warrn.
10-00	Artikel 10
10-01	Elk un een hett bi’t Faststellen vun sien Rechten un Plichten dat glieke Anrecht up een Verfahren, dat gerecht un apen is, un up een Gericht, dat keen na den Willen is un frie is in’t Entscheden. Datsuelvige gellt foer een Beschulligen na dat Straafrecht.
11-00	Artikel 11
11-01	Elk un een, de beschulligt ward, wat maakt to hebben, wat uenner Straaf steiht, hett dat Recht, as truschullig to gellen. Dat gellt, bit em in een apen Verfahren sien Schuld na dat Gesett nawiest worrn is. Bi dit Verfahren mutt he all de Garantien hatt hebben, de foer sien Verdeffendeern nootwennig suend.
11-02	Vunwegen een Doon orrer Nichdoon, dat to een Tiet schehn is, as dat na dat Recht binnen den Staat un buten den Staat nich uenner Straaf stahn hett, droeff keeneen verurdeelt warrn. Liekster welt droeff keen Straaf fastsett warrn, de sworer is as de, de to de Tiet  hett, as dat Hanneln, wo Straaf up  schehn is.
12-00	Artikel 12
12-01	Keeneen mutt dat lieden, wat ahn Grund in sien privaat Leven, sien Familie, sien Huesung un sien Breefwessel rinmengeleert ward. Dat gellt ok foer dat Minneseren vun sien Ehr un sien Roop. Elk un een hett dat Anrecht up Schuul na dat Gesett tegen son Ingriepen orrer Behalen.
13-00	Artikel 13
13-01	Elk un een hett dat Recht, dat he in  Staat gahn kann, wohen he will. Ok kann elk un een blieven, woneem he will.
13-02	Elk un een hett dat Recht, elkeen  ok sien egen Land, to verlaten un wedder toruech tokamen.
14-00	Artikel 14
14-01	Elk un een hett dat Recht, in anner Laenner, vun wegen dat he verfolgt ward, Asyl to  un to kriegen.
14-02	Dit Recht gellt nich foer den Fall vun een Straaf verfolgen, de vunwegen een wohrhaftig Verbreken, dat nich politsch is, maakt worrn is. Ok gellt dat nich, wenn de Straafverfolgen vunwegen een Hanneln maakt worrn is, dat tegen de Malen un de Grundsaetz vun de Vereenten Natschonen geiht.
15-00	Artikel 15
15-01	Elk un een hett dat Recht, dat he een  tohoert.
15-02	Keeneen droeff dat Tohoeren to een Staat ahn Grund wegnahmen warrn. Ok droeff keeneen dat Recht afseggt warrn, sien Tohoern to een Staat to wesseln.
16-00	Artikel 16
16-01	Mannslueued un Fruunslueued, de heiraden koeoent, hebbt dat Recht, dat to doon un een Familie to gruennen. Dat droeff nich inschraenkt warrn vunwegen de Raas, dat Tohoern to een Staat orrer den Gloven. Se hebbt bi de Heiraat, in de Tiet vun de Eh un bi’t Uploesen vun de Eh glieke Rechten.
16-02	De Eh droeff bloots sloten warrn, wenn  Ehlueued frie in ehr Menen un sik eenig in ehrn Willen suend.
16-03	De Familie is vun’n Grund her de natueuerlich un luettste Deel vun de Sellschupp un hett Anrecht up Schuul doerch de Sellschupp un den Staat.
17-00	Artikel 17
17-01	Elk un een hett dat Recht up Egendoom, foer sik un ok mit anner Lueued tosamen.
17-02	Keeneen droeff ahn Grund sien Egendoom wegnahmen warrn.
18-00	Artikel 18
18-01	Elk un een hett dat Recht up de Frieheit vun de Gedanken, vun dat Geweten un vun den Gloven. Daarto hoert de Frieheit, sien Gloven un sien Oevertuegen to wesseln. Ok hett elk un een de Frieheit, sien Gloven orrer sien Oever tuegen alleen orrer mit anner tosamen to bekennen. Dat kann he apentlik doon foer all orrer privaat doerch Lehr, Utoeven, Gottesdeenst orrer anner Doon in duesse Richt.
19-00	Artikel 19
19-01	Elk un een hett dat Recht up frie Menen un daarup, sien Menen frie to seggen. Daarto hoert de Frieheit, sien Menen ahn Inschraenken kuennig to maken, ok hoert daarto, oever  draeger vun elkeen Aart oever all Scheden hen Informatschonen un Gedankengoot to soeken, to bekamen un wiedertogeven.
20-00	Artikel 20
20-01	Elk un een hett dat Recht, sik  to versammeln un sik in Verenigen  to doon.
20-02	Keeneen mutt dat lieden, dat he een Verenigen toslaan ward, ahn dat he dat will.
21-00	Artikel 21
21-01	Elk un een hett dat Recht, an de Saken, de all anlangt in’t Land, mittodoon. Dat kann he suelven doon, orrer doerch Vertreders, de frie waehlt worrn suend.
21-02	Elk un een hett dat Recht, dat he in sien Land glieken Togang hett na apentlik Aemter.
21-03	De Willen vun’t Volk is de Grundlaag foer dat Achten vun de apentlik Gewalt. Duesse Willen wiest sik doerch Wahlen, de stuettig doerchfoehrt ward, de nich verkehrt ward un de allgemeen un gliek suend un wo elk un een sien Stimm geheem afgeven kann. De Wahl kann ok anners doerchfoehrt warrn, wenn se man frie un na duesse Grundsaetz is.
22-00	Artikel 22
22-01	Elk un een hett as Maat vun de Sellschupp dat Recht up soziaal Sekerheit. Elk un een hett Anrecht up wirtschaftlich, soziaal un kulturell Rechten, de dat bruukt, dat sien Wueuerd bestahn blifft un dat Egen vun sien Persoon frie klaarkamen kann. Daarfoeoer  de Staat wat binnen den Staat doon, dat he dat rekent, wat sien Organisatschonen un sien Hanneln daarfoer doegen. Dat gellt ok foer de Tosamenarbeit vun de Staaten.
23-00	Artikel 23
23-01	Elk un een hett dat Recht up Arbeit, dat een sik frie sien Profeschoon utsoeken kann, wat dat bi sien Arbeit gerecht togeiht un wat een tofreden mit de Uemstaenn vun de Arbeit sien kann. He hett dat Recht up Schuul, wenn he sien Arbeit quiet geiht.
23-02	Elk un een hett dat Recht up datsuelvige Geld foer desuelvige Arbeit. Dat gellt ahn Uennerscheed.
23-03	Elk un een, de arbeit, hett dat Recht up een Verdeenst, de recht un billich is. De Verdeenst schall langen daarfoer, dat he un sien Familie een Leven foehren koeoent, wat de Wueuerd foer se as Minschen sekert is. Suenst mutt holpen warrn doerch anner Schuul foer de soziaal Sekerheit.
23-04	Elk un een hett dat Recht, Gillen foer de Schuul vun sien Arbeit to billen orrer Gillen bi totreden, dat een sien Interessen wahren kann.
24-00	Artikel 24
24-01	Elk un een hett dat Recht daarup, dat een sik verhalen kann un up Frietiet.  de Arbeits tiet mutt een Maat hebben,  sinnig is, un dat bruukt Feern, de betahlt ward un stuettig suend.
25-00	Artikel 25
25-01	Elk un een hett dat Recht, wat een Leven foer den Minschen un sien Familie foehrt warrn kann, dat Sundheit un Gootgahn garanteert. Daar to hoert Eten un Drinken, Tueuech, Huesung, Behanneln doerch den Dokter un wat anners wat noedig is an soziaal Deensten. Ok hoert daarto dat Recht up Sekerheit, wenn een sien Arbeit quiet geiht, krank orrer versehrt ward, Wittfru orrer Wittmann ward, old ward un anners wat mehr, wenn een ahn Schuld sien Uennerhalts middel quiet geiht.
25-02	Modders un Kinner hebbt Anrecht up suennerlich Foeddern un Help. All Kinner, eendoont wat se in de Eh orrer buten de Eh baren suend, hebbt suelvig soziaal Schuul.
26-00	Artikel 26
26-01	Elk un een hett dat Recht up Sik-Billen. Sik-Billen droeff keen Geld koesten, dat gellt tominst foer den Uennerricht in de Grundschool un foer dat, wat elk un een weten mutt. Elk un een mutt na de Grundschool hen. Uennerricht foer de Lehr tiet mutt apen foer elk un een maakt warrn. Dat gellt ok foer  Uennerricht an de Hoge School, wenn een daar dat Tueueg to hett.
26-02	Dat Maal foer Sik-Billen is, dat elk un een dat Egen vun sien Per soon heel un deel upfolden kann. Ok geiht dat daaruem, wat dat mehr ward mit dat An sehn vun de Minschenrechten un de Grund frieheiten. Sik-Billen mutt daar to bi draegen, dat Ver nimm, Toleranz un Fruend schupp mang de Nat schonen un mang Koppels vun Lueued vun ver scheden Raas orrer Glo ven foeddert ward. Daar to hoert, wat dat Doon vun de Ver een ten Nat  daarfoer, dat de Freden bestahn blifft, ok foeddert ward.
26-03	De Oellern hebbt allereerst dat Recht, de Aart vun Sik-Billen uttosoeken, de ehr Kinner hebben schuellt.
27-00	Artikel 27
27-01	Elk un een hett dat Recht, frie an dat Kultuurleven vun de Gemeenschupp mittodoon, sik an de Kuenst to hoegen un deeltohebben an dat Wiederkamen vun de Wetenschupp un wat daarvun maakt ward.
27-02	Elk un een hett dat Recht up Schuul an de Saken, de een sik utdacht orrer maakt hett, un ok an den Verdeenst daaran. Dat gellt foer de, de Warken foer de Wetenschupp, de Literatuur orrer de Kunst maakt hebbt.
28-00	Artikel 28
28-01	Elk un een hett dat Anrecht up een soziaal un internatschonaal Ornung, in de de Rechten un Frieheiten ut duesse Verklaren heel un deel anslaan.
29-00	Artikel 29
29-01	Elk un een steiht in de Plicht tegenoever de Gemeenschupp un bloots in de Gemeen schupp is dat Up folden vun dat frie Egen vun de Persoon heel un deel moeglich.
29-02	Elk un een is bi’t Utoeven vun sien Rechten un Frieheiten bloots inschraenkt doerch Gesetten, de egens daarfoer daar suend, dat An erkennen un dat Achten vun de Rechten un Frieheiten vun anner Minschen to sekern, wat dat henlangt mit dat gerechte Maat vun de Moraal, mit de apentlik Ornung un dat Goot gahn foer elk un een in een demokraatsch Sell schupp.
29-03	Duesse Rechten un Frieheiten droefft nienich utoeoevt warrn in Insaag to de Malen un Grundsaetz vun de Vereenten Natschonen.
30-00	Artikel 30
30-01	Keeneen vun de Artikels, de in duesse Verklaren fastleggt worrn suend, droeff so utleggt warrn, wat se foer een Staat, een Koppel Lueued orrer een Persoon jichtenseen Recht begruennt, wat to doon orrer wat to maken, wat daarup ruut loeoept, de Rechten un Frieheiten ut duesse Verklaren bikant to smieten.
