00-00	espitaskamikak askik kici itwewin ininiwi minikowisiwina oci
02-01	misiwe awena tipakenitakosiw misiwe anii minikowisiwina nesta tipenimitisowina ita ka masinaikateki kici itwewinik eka pakan kici ishi kanawapamikowisit tapiskoc ka otaskanesit etashaket nesta ka iskwewit nesta piko ka napewit ot ishikeshwewin ot ayamiawin okimawiwiniw eshi tipentakosit nesta piko kotak kekwaniw ka itenimawite nesta ka ocikwe otipinawewisiwina nesta ka ki ishi nitawikit nesta piko kotakiy kekwan᙮ mina maka eka pitoring kici ishi kanawapamit okimawiwininiw tipencikewininiw nesta piko eshinakwaninikwe askiniw ka oci tipentakosit nesta piko askiniw ka ocit kishaspin tipenimitisimakaninikwe nesta eka ka tipenimitisimakaninikwe nesta piko kotak kekwan eshi notepanikwe okimawiwinik᙮
03-00	nisto piskitasinaikan
03-01	misiwe awena ishi minikowisiw kici pimatisit nesta tipenimitisowininiw nesta eka kici oci nanisanisit᙮
04-00	nea piskitasinaikan
04-01	eka awena kici awakatit nesta piko tipenimit᙮ eka kici itakwak misiwe ka ishinakwak ininiw ka awakatit nesta maka eka kici atawakewi awakitit ininiw᙮
05-00	niyanan piskitasinaikon
05-01	eka awina mitoni kici kakwatakiit nesta piko kici akwatisistat nesta notaw kici totat nesta piko kwantaw kici totat nesta piko kici nanekaciit᙮
06-00	skotwas piskitasinaikan
06-01	misiwe awena e tipakenitakosit kici nisitawenimit misiwe piko taste e ininiwit otiskaw onashowewinik᙮
07-00	niswas piskitasinaikan
07-01	misiwe peyakwan kici ishi kanawapamit otiringkaw onashowewinik nesta e itestakosit eka kici manenimikowisit peyakwan inikok kici ishi kanawenimikowisit onashowewinik᙮ misiwe awena peyakwan kici ishi kanawenimikowisit piko kekwan ka pikonikatek oma kici itwewin nesta kici kanawenimikowisit ispi ka wi pikonikatek oma kici etwewin᙮
08-00	niyananew piskitasinaikan
08-01	misiwe awena e ishi minikowisit kici natamakot misiweskamik otapaskonikewi natamakewak ispi ka pikonikateki ka oci nipawimakak anii ominikowisiwina ka pakitinamat kici onaskonikewinik nesta piko onashowewinik᙮
09-00	shank piskitasinaikan
09-01	eka awena kwantaw kici makonikot okipaowewisiwa nesta kwastaw kici kipaot nesta piko kici ikatecishaot ot askik oci᙮
10-00	mitatat piskitasinaikan
10-01	misiwe awena e itenitakosit peyakwanot kici eshi kanawapamit ispi ka tipaskonikaniwak tipan ka tipankonikenici ispi ka natawi kiskenicikatenik ominikowisiwina nesta ot itenitakosiwina ispi ka tipeskonit ka wanishicikekwe᙮
11-00	peyakoshap piskitasinaikan
11-00	misiwe awena ka wanishicikot stawenitakosiw eka pitama nishwanacimikosiwinik kici ishi kanawapamit patima ka kiskenimawite tapwe wina ka totamokwe pici onashowewinik pici tipaskonikewikamikok kistinac ka ki ishi pakitinamat kici mashitamasot᙮
11-01	eka awena kici atamenitakosit wanishicikeweniniw piko kekwaniw ka ki totamokwe nesta piko ka oci totamokwe eka wanishicikewininiw eshi kanawapacikatenik pici kici onaskonikewinik misiweskamikak ka pimotemakak nesta piko espitaskamikak kici anashowewin mweci anima ispi ka itotamokwe᙮ nesta piko awasite ka maringkawanik itakitamakewininiw kici ishi tipaskonit ispic anima ke itakitamawitipane ispi ka wanishiciket᙮
12-00	nishoshap piskitasinaikan
12-01	eka awena kwantaw kici mikoringkaciit wina tepinawe nesta piko wicishanitok pici wikik nesta piko masinaamatowinik nesta piko kici manenimit okiringtenitakosiwinik nesta ot itatisiwinik᙮ misiwe awena e ntawenitakosit kici kanawenimikot onashowewininiw eka kici mikoringkaciit nesta piko eka kici kwanotat᙮
13-00	nistoshap piskitasinaikan
13-00	misiwe awena e tipenimitisot waitotet piko kici itotet nesta kici tashiket piko tanta eshi askiwak᙮
13-01	misiwe awena e pakitinikosit kici nakatak piko keko askiniw ashic ot askiy nesta mina kici kiwet anta ot askik᙮
14-00	neoshap piskitasinaikan
14-00	misiwe awena itenitakosiw pitoring askik kici itotet eka ke ishi mikoringkaciit nesta ke ishi sakaskenimot anta askik᙮
14-01	oma tipekenitakosiwin eka kici maskamit ispi ka tipaskonawite wanishicikewinik ka oci pasikomakak nesta ishicikewina naepac ka ocipaniki watotamomakak nesta nikanenitamowina mamawi itaskanesiwina eshi nipawimakaki᙮
15-00	niyanoshap piskitasinaikan
15-00	misiwe awena tipenawe ot itaskanesiwin kici pimotatotak᙮
15-01	eka awena kici mitakwenamat ot itaskanesiwin nesta piko kici mitakwenamat kotakiy itaskanenesiwininiw kici pimatisikatak᙮
16-00	skotasoshap piskitasinaikan
16-00	napewak nesta iskwewak ka tipetato piponesicik eka ka kipaamat ka otaskanesit nesta piko ot ayamiawin ishi minikowisiwak kii wikitocik nesta kici nitawikiiwecik᙮ peyakwan kici ishi minikowisicik wikitowinik mekwac ka wikitocik nesta maka ispi ka pikonakik owikitowiniwaw᙮
16-01	kata wikitowak patima ka tipenimitisocik nesta kakinaw e naskomitocik kata wikitowak aniki ka wi nishicik᙮
16-02	wicishanitowin e okwanima kwayask nesta ka oci nipawimakak oma ka pimatisinaniwak nesta e ntawenitakwak kici kanwenitakik ininiwak nesta kici askik᙮
17-00	niswasoshap piskitasinaikan
17-00	misiwe awena minikowisiw kici tipenawewisit kekwaniw nesta ashic kotakiya᙮
17-01	eka awena kici mitakwenamat otipinawewisiwin᙮
18-00	niyananewishap tiskitasinaikan
18-01	misiwe awena e minikowisit kici tiestak ot itenitamowin omamitonenitamowin nesta ot ayamiiwin᙮ oma minikowisiwin ashic otipenimitisowin kici apacitat ispi wa acitat ot ayamiawin nesta ot tapweyenitamowin e peyakot nesta piko kotakiya ininiwa  otiskaw ininik nesta piko wina tipenawe᙮ kici wapatiniwet ot ayamiawin nesta piko kici kiskinoamakit eshi tapweyenitak nesta kici pimotatotak ot tapweyenitamowin nesta maka eshi mamicimiwet nesta nosoneak ot tapweyenitamowin᙮
19-00	shankoshap piskitasinaikan
19-01	misiwe awena minikowisiw tipenawe ot itenitamowin kici apacitat nesta tipenawe ot ayamion kici apacitat᙮ e akoma minikowisiwin e tipenimitisit ot itenitamowin kici apacitat nesta eka kici mikoringkaciit nesta kici natawenitak nesta otitikot nesta kici apacitat anii witamakowina nesta itenitamowina piko ka ocipaniki tipacimowina nesta petakosiwina nesta eka kici kipiringkakonaniwak eshi kishipak askiy᙮
20-00	nishitana piskitasinaikan
20-00	misiwe awena e tipenimitisit kici itat nakiringkatowinik kayamenitamowin e apatak nesta piko mamawi wiciitowinik᙮
20-01	eka awina atoskam kici shikiit kici tipentakosit mamawi wiciitowinik᙮
21-00	nishitana peyak piskitasinaikan
21-00	misiwe awena e minikowisit kici ashicit okimawiwinik ot askik otaringkaw nesta piko anii tipenawe ka wawenapamat kici ayamiringtamakot᙮
21-01	misiwe awena e minikoisit peyakwanok kici ishi kanawapamit ispi ka wi apacitakwe ininiwi atoskewina ota askik᙮
21-02	ot itenitamowiniwaw ininiwak kata oci nipawimakan karingkiowin pici okimawiwinik nesta kata nokitaniwan aski askaw ka tapwemakak wawenapacikewin misiwenkamik ka pimotemakak peyakwanok ka pimotatocikatek pemawasinaikewin nesta katanok ka piciwepinikaniwak nesta piko ka nosoneikateki wawenapacikewina᙮
22-00	nishitana nisho piskitasinaikan
22-01	misiwe awena ka ashitakimikosit pimatisiwinik e minikowisik kici kanawinimikowisik nesta kici pisiskinitakosit misiweskamik eshi kocitaniwak nesta katakwaki wiciiwewina peyakwayek askik ka oci pimacionaniwak ininik nesta itaskanesiwi minikowisina ka kistenitakwaki wina tipinawe okistenitakosiwin oci nesta tipinawe ke oci nitawikit ot ishinakosiwinik᙮
23-00	nishitana nisto piskitasinaikan
23-00	misiwe awena e minikowisit kici apatisit keko piko apatisiwininiw waotinamasot kwayas kici totat eshi apatisit nesta kici kanawenimikowisit eka etakwaninik apatisiwininiw᙮
23-01	misiwe awena eka pitoring kici ishi kanawapamit peyakwanok kici ishi tipaamakosit nesta peyakwan kici ishinakwaninik ot apatisiwin᙮
23-02	misiwe awena ka apatisit kwayask nesta kici minwashininik ototisiwin wina oci nesta wicishana kici oci oci minwaashininik opimatisiwiniwaw kistenitakosiwinik nesta kici aniringke wiciikosit kishaspin stawenitakosikwe ka ocipanik ininiwi natamakewin᙮
23-03	misiwe awena e minikowisit kici oshitat nesta piko kici wicitwat apatisiwi mamawi natamakewinik apatisiwin oci ke oci natamakosit mekwac e apatisit᙮
