00-00	EWIADEAMRA NOLOBOLE MOO FALE SONLA NWO ADENLENYIANLE NE MO LA ANWO
01-01	Menli muala di be ti anwo na eza noko bese wo dibile nee adenlenyianle nu. Bele ndwenlenwo nee adwenle, yemoti owo ke bekile adiemayele bemaa be nwo ngoko.
02-00	Edwekekpoke 2
02-01	Sonla ko biala le adenle nyia adenlenyianle nee atianwolile ne mo moo beva bewula Sonla Nwo Adenlenyianle Nwo Nolobole ehye anu la amuala bie. Onle ke ngakyile anzee ngilehilenu anzee nyeyenu biala moo fale menli ekpunli, menli ngakyile, nrenya anzee raale, anee, Nyamenlezonlenle, maanyele anzee adwenle bie, Maanle anzee menli abohilele, agyapadee, awole anzee gyinlabele gyene biala anwo la bie ba.
02-02	Eza noko onke ke bekile ngakyile anzee nyeyenu biala wo maanyele, melazolile nu, anzee maanle zo gyinlabele nu wo maanle ne anzee eleka moo sonla ne de la anu. Saa maanle ne di o ti anwo o, saa maanle gyene a nea zo o, saa onli o ti anwo o, onle ke ngakyile anzee ngilehilenu biala ba nu.
03-00	Edwekekpoke 3
03-01	Owo ke awie biala nyia ngoane, fanwodi nee sonla nwo banebole.
04-00	Edwekekpoke 4
04-01	Onle ke beye awie biala kanra. Owo ke betua aanrayele nee aanra edonele wo adenle biala anu.
05-00	Edwekekpoke 5
05-01	Onle ke bekile awie biala nyane anzee beye ye atisesebe, amumuye anzee begua o nyunlu aze anzee betwi o nyunlu.
06-00	Edwekekpoke 6
06-01	Ke moo mela se la, eleka biala moo awie biala lua la owo ke benwu ke odaye ole sonla.
07-00	Edwekekpoke 7
07-01	Ke moo mela se la, menli kosooti se pepe moo onle ke ngakyile anzee ngilehilenu biala ba mela ne moo bo be nwo bane pepe la anu. Menli kosooti le adenle nyia be nwo banebole pepe moo ko tia ngilehilenu anzee nyeyenu moo tia Nolobole ehye nee debie biala moo maa zehae nyeyenu ne adenle la.
08-00	Edwekekpoke 8
08-01	Sonla biala le adenle ke saa awie ye debie moo tia anwoadenlenyianle ne mo moo maamule nwo mela anzee mela eva emaa ye la a, owo ke kooto ne mo pepe die ye.
09-00	Edwekekpoke 9
09-01	Onle ke bekye sonla, befa sonla besie anzee beye sonla befi maanle ne anu wo meke moo otefonle mela anzee mela emmaa adenle la.
10-00	Edwekekpoke 10
10-01	Wo awie biala adenlenyianle nee ye gyima ne mo anwo adwenlevale nwo anzee saa beka ke awie biala eye etane a owo ke kooto moo di o ti anwo na onli moguazo la di ye edweke wo bagua nu.
11-00	Edwekekpoke 11
11-00	Sonla biala moo bekeha ke yeye etane moo odi ke betwe o nzo la le adenle ka ke onze edweke ne anwo bie kyese bedi ye edweke wo bagua nu kooto na kooto ne bua ye fole ke moo mela se la. Wo kooto eke ne owo ke onyia ninyene moo ofa opepe odie o nwo la kolaa.
11-01	Onle ke bebua sonla biala fole wo nyelee etane biala moo wo meke moo oyele zohane nyelee ne la enee onle etane moo otia maanle anzee maanle maanle mela la anwo. Anzee onle ke betwe sonla ne anzo bemaa otela moo bepe bedo eke ne wo meke moo oyele etane ne la.
12-00	Edwekekpoke 12
12-01	Onle ke menli fa be nloa wulowula awie feabo, ye abusua, ye sua nu edweke nu anzee onle ke bekenga ye ahelata anzee bebo ye anyiemgba besekye ye anyunlunyia. Sonla zehae le adenle maa mela ne pepe die ye anzee bo o nwo bane wo zehae akposemadi ebela ne mo anwo.
13-00	Edwekekpoke 13
13-00	Sonla biala le adenle ofi eleka moo ode la okotenla eleka biala moo okulo la.
13-01	Sonla biala le adenle ofi maanle biala anu nee ye maanle nu oko maanle gyene nu na okola osia oba ye maanle nu.
14-00	Edwekekpoke 14
14-00	Sonla biala le adenle ke saa olenwu amanee wo ye maanle nu a okola onriandi oko maanle gyene nu omaa bemaa ye eleka otenla anzee bebo o nwo bane.
14-01	Saa amanee ne moo ahenle ne elenwu ye la envi anzee enlua maanyele ti anzee ye nyelee ne tia Maamgbole Koyele mela ne nee ye bodane ne mo a, yemo maanle gyene ne enle adenle ke okelie ye azie anzee okebo o nwo bane.
15-00	Edwekekpoke 15
15-00	Sonla biala le adenle ke oye ekulomani.
15-01	Onle ke bebu ekulomani biala ke ole eyevole la. Eza noko onle ke besi awie biala moo kponde ke okakyi ye ekulomaniyele la adenle wo meke moo mela emmaa adenle la.
16-00	Edwekekpoke 16
16-00	Mrenya nee mraale moo bekedwu agyalehole la, saa bele duzu menli o, saa bevi duzu maanle nu o, anzee saa beko duzu asone o, bele adenle begya be nwo na bebo edane. Be mu nwio bele adenle pepe wo agyale nwo, wo be agyale nee be ewolebole nu.
16-01	Owo ke menli nwio ne die to nu kolaa na beagya be nwo.
16-02	Kunli nee yele nee be mra a le ekpunli moo bo sua ekyekyele bo anzee ekpunli moo tele ye menli doonwo a, yemoti owo ke menli ekpunli ne nee maanle ne moo bewo nu la sinza be.
17-00	Edwekekpoke 17
17-00	Sonla biala le adenle ke onyia o ti anwo agyapadee, eza noko ole adenle ke o nee awie mo bo nu nyia agyapadee.
17-01	Onle ke awie biala hwele ye agyapadee wo meke moo mela emmaa adenle la.
18-00	Edwekekpoke 18
18-01	Sonla biala le adenle ke odwenle adwenle biala na osonle debie biala moo okulo la, eza ole adenle okakyi ye Nyamenlezonlenle ne anzee ye diedi ne nee fanwodi, yee akee noko ole o nwo adenle ke o ngome anzee o nee menli wo bagua anzee fealera nu okile ye asone anzee ye diedi ne wo ngilehilele, nyelee, ezonlenle nee boenleanle nu.
19-00	Edwekekpoke 19
19-01	Sonla biala le adenle ke odwenle na oka edweke moo okulo la; eza ole o nwo adenle ke ofa adwenle biala moo ngyegyele biala enle nwo na odua nolobole ndenle ne mo biala anu okponde, otie na oka edweke okile menli na omaa be adwenle moo ngyegyele biala enle nwo a.
20-00	Edwekekpoke 20
20-00	Sonla biala le adenle ko ayia anzee eku moo anzondwole wo nu la bie.
20-01	Onle ke behye sonla bemaa oko eku nu.
21-00	Edwekekpoke 21
21-00	Sonla biala le adenle boa wo ye maanle ne ebule nu, ole adenle otu o nwo osie eke omaa betu ye oko Melalile Ayia ne bie anzee oboa omaa betu menli beko Melalile Ayia ne.
21-01	Sonla biala le adenle nyia maanle gyimayele nwo nvasoe wo ye maanle ne anu.
21-02	Ezuavole ne ehuloledee ne a le Arane tumi ne a, bekile be ehuloledee ehye wo meke biala nee nohale emadole moo awie biala nyia adenle to ye dee wo feabo nu anzee wo ndenle biala anu moo ngyegyele biala enle nu la.
22-00	Edwekekpoke 22
22-01	Awie biala moo wo menli ekpunli avinli la owo ke maanle ne sinza ye eza owo ke maanle ne dua ye modenlebo nee maanle maanle moale zo, nee ke maanle ko biala ye maamule, agyapadee, ezukoa, menli nee maandee gyinlabele ne si de la azo maa sonla ko biala nyia ninyene moo hyia ye anyunlunyia nee ye boeyele nwo la.
23-00	Edwekekpoke 23
23-00	Sonla biala le adenle ye gyima moo okulo la, Akee noko ole adenle ke onyia gyima ne anwo ahunlundwole. Eza noko owo ke maanle ne boa maa awie biala nyia gyima moo gyima ne envi o sa a.
23-01	Sonla biala le adenle ke gyima moo okeye la onyia nwole ahatuale ke moo saa awie gyene a yele gyima zohane a anree okenyia ye la.
23-02	Sonla biala moo ye gyima la owo ke nyia nwole ahatuale kpale moo okola ofa onea o ye nee o mra amaa be tenlabele nu aye kpale a. Eza noko owo ke onyia ezinzale ne moo maanle ne fa sinza menli la bie.
23-03	Sonla biala le adenle boa gyimayele Eku nu wo ye ehulolendee ezinzale ti.
24-00	Edwekekpoke 24
24-01	Sonla biala le adenle ke odie ye enwomenle bie na odielie o nye, na onyia meke ezinra moo ofa oye gyima na eza noko onyia meke moo saa oye gyima dedee a ofa odie ye enwomenle bie na betua ye nwole kake la a.
25-00	Edwekekpoke 25
25-00	Sonla biala le adenle ke o nee o ye nee o mra nyia tenlabele kpale moo fale be ngoane, alee, edanle, dabele nee ayileyele nee ninyene moo hyia maa be la anwo. Owo ke benyia moale wo meke moo benye gyima, anwonyane kebo be, bengola gyima ye, kunli anzee yele kewu, bekeye mgbanyinli anzee olua ndenle bie azo bengola bennea be nwo la.
25-01	Owo ke mreladane nee ngakula nyia moale nee enleanle kpale. Kakula biala, saa begyale o nli anzee beangya o nli na beawo na beawo ye o, owo ke benea ye anzee besinza ye ke moo ofeta la.
26-00	Edwekekpoke 26
26-00	Sonla biala le adenle sukoa nwoma. Onle ke betua nwomazukoale nwo kake biala, bobo wo molebebo nwomazukoale dee ne anwo. Owo ke molebebo nwomazukoale ne ye nhye maa kakula biala. Owo ke menli nyia adenle sukoa mbulale nee milahyinli nee gyima nwo nwoma. Eza noko awie biala moo bo modenle la kola sukoa nwoma kpole.
26-01	Owo ke nwomazukoale maa awie biala tenlabele nu ye kpale na omaa sonla nwo adenlenyianle nee ye atianwolile ne mo enilile gyinla kpundii. Owo ke nwomazukoale maa ndelebebo, be kunlu elile nee agonwoleyele ba maanle maanle avinli, menli anzee asone asone avinli na oboa omaa Maamgbole Koyele gyima ne moo oledi moo ofale anzondwole nwo la di munli.
26-02	Awovolema le adenle ke bemaa be mra sukoa nwoma moo bekulo ke be mra ne mo sukoa la.
27-00	Edwekekpoke 27
27-00	Sonla biala le adenle ke odaye oye maandee nyelee biala moo beye wo maanle anzee sua ne azo la bie, na eza onyia ninyene edolole nee abodee nwo nrelebe nwo anyuhole nvasoe ne mo bie.
27-01	Sonla biala le adenle ke onyia debie moo okehele moo fale abodee nwo nrelebe, nwoma anzee debie moo okedolo la anwo banebole.
28-00	Edwekekpoke 28
28-01	Sonla biala le adenle ke o nee menli nee maanle maanle nu amra di ngitanwo amaa yeanyia adenlenyianle nee atianwolile ne mo moo wo Sonla Nwo Adenlenyianle Nwo Nolobole ehye anu la nwo nvasoe kpale.
29-00	Edwekekpoke 29
29-00	Sonla biala le gyima ye fa maa ye menli moo owo be avinli la amaa olua zo yeahola yeanyia anyuhole anzee yeali munli.
29-01	Saa sonla biala fa ye adenlenyianle nee atianwolile ne mo aye gyima a, enee ongile ke ole adenle obulu mela zo; owo ke odi o gonwo mo adenlenyianle nee atianwolile ne mo eni na obo ye ebela ke moo maanle ne moo owo nu la mela ne mo moo fale benwonilile, anzondwole nee ye boeyele ne se la.
29-02	Onle ke bedua adenlenyianle nee atianwolile ehye mo azo beye ninyene moo otietia anzee obulu bodane nee ndenle ne mo moo Maamgbole Koyele ne ehyehye edo eke la azo.
30-00	Edwekekpoke 30
30-01	Debie biala moo wo Sonla Nwo Adenlenyianle Nwo Nolobole ehye anu la engyi eke ne emmaa maanle ko, anzee menli ekpunli ko anzee sonla ko angome moo omaa ye adenle oye debie osekye adenlenyianle nee atianwolile ne mo moo behyehye bedo eke ne la a.
