00-00	COPIRNORO'SA' NAPORINSOPITA YA'IPI PIYAPI NOYA YA'HUECAISO MARE'
02-02	Nisha nisha nirihuarahuenta' ninosorocaso' ya'huerin. Nisha nisha hua'anenterinque ya'huepirehuahue', napopianachin nini'tehua', ya'huea'hua'.
03-00	3.
03-01	Co topinan queran tepacaso' ya'huerinhue'. Co topinan queran tashinan peique po 'mocaso' ya'huerinhue'.
04-00	4.
04-01	Co piyapinpoa' nipa'anacaso' ya'huerinhue'. Co topinan queran asacatacaso ya'huerinhue'. Piyapi inaora nohuanton sacachina'. Co sacatacaiso' nohuantohuachinahue', ama sacachinasohue'.
05-00	5.
05-01	Ama topinan queran ana 'inchinsohue'. Ama topinan queran chiniquen aparesichinsohue'.
06-00	6.
06-01	Ya'ipi copirnoro'sa' no'tequen sha'huitacaso' ya'huerin. Nisha nisha piyapi nipirinhue' napopianachin ninosorocaso' ya'huerin, tenehua'.
07-00	7.
07-01	Copirnoro'sa' no'tequen hua'anenchina'. Ya'ipi piyapi napopianachin noya ni 'ina'. Napopianachin a'paiina'. Ama topinan queran ana'inchinsohue'.
08-00	8.
08-01	A 'napitari topinan queran aparesitohuachinpoa', coiseque sha'huitacaso' ya'huerin. No'tequen ana 'inchin.
09-00	9.
09-01	Co topinan queran tashinan peique po'mocaso ya'huerinhue'. Co topinan queran a'na parti a'pacaso ya'huerinhue.
10-00	10.
10-01	A'napita sha'huirapihuachinpoa', Co topinan queran ana'intacaso' ya'huerinhue'. Coise noya natanchin. Ina queran no'tequen sha'huichin. Ya'ipinpoa' napopianachin nicatonpoa', no 'tequen sha 'huitinpoaso' ya'huerin.
11-00	11.
11-01	A'na piyapi sha'huirapihuachinpoa', Co a'naroachin ana 'intinpoaso' ya'huerinhue'. Co nimara naporinhue', ta'ton, coise noya natainpoa'. Ina queran oshaqueran yonquiina'. Tehuenchachi nitotaque huare' ana'intacaso' ya'huerin. Co tehuenchachi nitotohuachinhue', ama ana'inchinsohue'.
11-02	Copirno nani penenpachinpoa', no'tequen ana 'interinpoa'. Co penenpachinpoahue', Co ana 'intinpoaso' ya 'huerinhue'. Nasha penenpachinpoa', natecaso' ya'huerin. Iraca Co penenpachinpoarahue', Co natepatehuahue', Co ina are' ana 'intinpoaso' ya 'huerinhue'. Nani sha 'huitohuachinpoa', Co aquete ana'intinpoaso' ya'huerinhue'.
12-00	12.
12-01	Co ma'shanenpoa' niihuacaso' ya'huerinhue'. Co ninshiterehuaso' nise 'huatacaso' ya'huerinhue'. Co pinoinpoaso' ya 'huerinhue'. Inapo 'tohuachinpoa', coiseri ana'inchin.
13-00	13.
13-01	Ya'huerehua queran insequesona yapa patera, noya paacaso' ya'huerin.
13-02	A'na hua'an queran yapipihuatera, noya pipicaso'. Ya'huerehuaso parti yahuenantohuatera, noya hueantacaso.
14-00	14.
14-01	Copirno topinan queran no'huihuachinpoa', yata'ahuatehua', noya ta'acaso' ya'huerin a'na parti ya'huecasomare'.
14-02	Nipirinhue' Co noyahue' nipatehua', no'tequen ana 'intacaso' ya 'huerin, Co ta 'acaso' ya 'huerinhue'.
15-00	15.
15-01	Ya'ipinpoa' nisha nisha Copirno ya'hueterinpoa'. Ina catahuainpoaso' ya'huerin.
15-02	Co topinan queran a'painpoaso' ya'huerinhue'. Nipirinhue' a'na hua'anque yaya'conpachina, tananpichin pa'in.
16-00	16.
16-01	Quemapi mashotohuachina, noya sa'acaso'. Nisha sanapi yamapachina inanta' noya tenehua'. Nisha religion imarinso' mapachina, Co ina mare' copirnori naniterinhue' ana'intacaso'. sanapinta' payatohuachina, noya so'yacaso'. Nisha piyapi niponahue', noya macacaso'. Quemapi'sa', sanapi'santa' ma'sona nohuantohuachina, napoina.
16-02	Sanapi Co nohuantohuachinhue', Co so'yatacaso' ya huerinhue'. Quemapinta' Co nohuantohuachinhue', Co ma'caso' ya'huerinhue'.
16-03	A'na quemapi, sa'in, hui'ninpitarechachi a'na huentonaca' ninin. Noya ya'hueina'. Noya ya'huecaso' Copirnori catahuain.
17-00	17.
17-01	No'pa', ma'sha, inapita hua'anentacaso ya'huerin. A'naquen inaora no'pa' hua'anenterin. A'nanta' ya'ipi huenton no panen hua'anentopi. Cato chachi noya.
17-02	No'panen hua 'anentohuachina', Co incariteranta nanitennhue' ocoicaso.
18-00	18.
18-01	Yonquirehuaso mare' Co Copirno no'huiinpoaso ya'huerinhue'. Religion imarehuaso marenta' Co Copirno no'huiinpoaso' ya 'huerinhue'. Nisha yaimapatehua,, Co ina mare' aparesitinpoaso' ya'huerinhue'. Yose chinotacaso mare' niyontonpatehua', Co ina mare' Copirno ana'intinpoaso' ya'huerinhue'.
19-00	19.
19-01	Ma'sona teranta' yonquihuatehua', a'napita yaa'chintohuatehua', Co ina mare' Copirno ana'intinpoaso' ya 'huerinhue'. Nanan a 'pareso marenta' noya, quiricaquehue nipon, natioquehue nipon, noya a'pare', natane'. Ya'ipi parti inapotere' noya natanacaiso mare'.
20-00	20.
20-01	Piyapi yaniyontonpachina, niyontoina'. Noya niyontonacaiso' nipirinhue' Co niahuecaiso marehue' niyontoina'.
20-02	- Quiya pochin nateco' ana'intochinquema', itohuachinpoa', Co nohuantohuatehuahue', Co imacaso ya'huerinhue.
21-00	21.
21-01	Ya'ipi piyapi hua'ano'sa' huayonacaso' ya'huerin. Nisha nisha ninano queran huayonin. Inapita hua 'anenterinpoa'.
21-02	Ya'ipi piyapi naniterin ma'sha pa'anacaso'. Pahueretohuachina, ya'ipi piyapi naniterin ma'shaque pacacaso . Camionque, avionque, nanchaque, inapitaque nanitopi pacacaiso'. Napopianachin Copirno sirihuirinpoa'.
21-03	Ya'ipi piyapi Copirno huayoina'. Hua'ano'santa huayoina'. Catapini pi'ipi catapini pi ipi queran pochin huayoina'. Ya'ipi piyapi inahuara ninshitapi huayonacaiso mare.
22-00	22.
22-01	Piyapi sacatohuachina, no'tequen pahueretacaso' ya'huerin. Co sacatacaso' nanitohuachinhue', pi'pian pi 'pian catahuacaso' ya 'huerin. Copirno nanitohuachina, coriqui, ma'sha inapita quetacaso' ya'huerin. Co insonta' pahuantacaso' nohuanterehuahue'.
23-00	23.
23-01	Piyapi yasacatohuachina, sacachina'. Ma sacatosona yanipachina, inaque sacachina'. Asacaterinsopita piyapinenpita nosoroina'. Ama chini chin iquen asacachinsohue'. 8acato ya'huehuachina, asacachina.
23-02	No 'tequen pahueretacaso' ya 'huerin. Inachachi sacatohuachina, inachachi pahueretere'. Nisha nisha piyapi nipirinhue', inachachi pahuerecaso' ya'huerin.
23-03	No'tequen pahueretacaso' ya'huerin. Noya nanpicaiso mare' pahuerechina'. Pahuantohuachina, a'napita catahuacaso' ya'huerin.
23-04	Co noyahue' pahuerehuachina', sacatoro sa' naniterin niyontonacaiso . Ninontohuachina', a'na' acorin hua'an nontacaso mare. -Noya nosorocoi, no'tequen pahuerecoi, itohuachina, nataina', no'tequen pahuerechina'.
24-00	24.
24-01	Co nani tahueri asacatacaso' ya'huerinhue'. Chinotacasonta' ya'huerin. Pita tahueri Co sacatopirinahue', pahuerecaso' ya'huerin.
25-00	25.
25-01	Noya sacatohuachina, noya pahuerecaso' ya'huerin. Ya'ipi piyapi cosharo', pei ,nimirio, coton inapita nohuantopi. Co nohuanterehuahue' piyapi 'sa' pahuantacaiso'. Caniohuachina, Co naniterinhue' sacatacaso'. Mashoro'sa', queyorono'sa' inapita Co nanitopihue' aquete' canacaiso'. Napoaton inapita catahuacaso' ya'huerin.
25-02	Sanapi hua'huanpachina, hua'huinechachi a'napitari catahuaina'. Hua 'hua ma'paterinsonta' catahuaina'. Hua'huaro'sa' pahuantohuachina, Copirno pi'pian pi 'pian catahuaina'.
26-00	26.
26-01	Copirnori escuelaro'sa' ya'ipi parti acoina'. Ya'ipi hua'huaro'sa' escuela imacaiso' ya'huerin. Primaria imacaiso mare' ama pahuerechinasohue'. Secundaria, escuela ocupacional inapita acocaso' ya'huerin. Inapita yaya'conpachina examen noya pipihuachina, noya ya'coina.
26-02	Ya'ipi maistororo'sa' noya a'chinchina' hua'huaro'sa' noya noya yonquicaiso mare'. Ina queran Co aquete nino'huipihue'. Noya noya ninosorohuachina, Co a 'napita nocanapihue'. Naporahuaton, ya 'ipinpoa' noya nini 'tehua' ya huea'hua huachi. Ina na'con nohuanterehua'.
26-03	Pa'pin, a'shin nohuanton, hui'ninpita escuelaque ya coina'. Ama a'na piyapiri nisha escuelaque po moinsohue'.
27-00	27.
27-01	Ninanoque niyontonpi ma'sha nitotacaiso mare'. A 'naquen quirica ninshiterin, a 'naquen musica pi 'nirarin, a'naquen nonanpiso' pashitarin. Inapita nitotacaso mare' niyontonpachina, a'napita nohuantohuachina, pa'ina', noya nataina
27-02	Nipro ninshitohuatehua', hua'anenterehua'. Inapochachi nonanpiso', niterata inapita pochin nipatehua', hua'anenterehua'. Co inapita mare' a'napitari canacaso ya'huerinhue'.
28-00	28.
28-01	Ya'ipi parti noya nini'tehua', ya'huea'hua'. Ya'ipi Copirnoro'sa' piyapinenpita catahuaina' noya ya'huecaiso mare
29-00	29.
29-01	Co insonta' inaora ya'huerinhue'. Ya'ipi piyapinpoa' noya ya'huecaiso' nohuantohuatehua', noya ninosorocaso' ya 'huerin. Nicatahuacaso' ya'huerin.
29-02	Copirnoro'sa' peneninpoa' Co nino'huicaso marehue', Co niahuecaso marehue'. Noya nicatahuacaso mare' peneninpoa'. Ina pochin nipatehua', Co topinan queran ana'intinpoaso' ya'huerinhue'.
29-03	Na'con yonquirai ya'ipi piyapi'sa' noya ya'huecaiso mare'. Nisha yonquicaiso', nisha a'chintaaiso' Co nohuanteraihue'. Ya'ipi noya nini'tehua', noya noya ya'huea'hua , tenehua'.
30-00	30.
30-01	Nani ya 'ipi hua 'ano'sacoi, Copirno acorincoisopita penenainquema'. Ama nisha yonquicosohue'. No'tequen natecoi, ya 'ipinpoa' noya nini 'tehua', noya ya 'huea'hua'.
