00-00	 "shijierenquanxuanyan" 
19-01	subeterenha, yijianjibibiaoxiannoziyouoxiangyousuruquanlioyousuru. konoquanliha, gansheoshoukerukotonakuzijinoyijianomotsuziyoubingbiniarayurushouduanniyori, mata, guojingoyueerutofoutonikakawarinaku, qingbaojibisixiangoqiume, shouke, jibichuaneruziyouohanmu. 
20-00	di20tiao
20-01	subeterenha, pinghedenajihuijibijieshenoziyouoxiangyousuruquanlioyousuru. 
20-02	herenmo, jieshenishusurukotooqiangzhisarenai. 
21-00	di21tiao
21-01	subeterenha, zhijieniyouhaziyounixuanchusaretadaibiaozheotongjite, ziguonozhengzhinicanyusuruquanlioyousuru. 
21-02	subeterenhaziguonioitehitoshikugongwunitsukuquanlioyousuru. 
21-03	renminnoyisiha, tongzhinoquanlinojichutonaranakerebanaranai. konoyisiha, dingqinokatsuzhenzhengnaxuanjuniyottebiaomingsarenakerebanaranai. konoxuanjuha, pingdengnoputongxuanjuniyorumonodenakerebanarazu, mata, mimitoupiaoyouhakoretotongdengnoziyougabaozhangsarerutoupiaoshouxuniyottexingwarenakerebanaranai. 
22-00	di22tiao
22-01	subeterenha, shehuino1yuantoshite, shehuibaozhangoshoukeruquanlioyoushi, katsu, guojiadenulijibiguojidexieliniyori, mata, geguonozuzhijibiziyuanniyingjite, zijinozunyantozijinorengenoziyounafazhantoniqiankukotonodekinaijingjide, shehuidejibiwenhuadequanlinoshixianniduisuruquanlioyousuru. 
23-00	di23tiao
23-01	subeterenha, laodongshi, zhiyeoziyounixuanzeshi, gongpingkatsuyoulinalaodongtiaojianoquebaoshi, jibishiyeniduisurubaohuoshoukeruquanlioyousuru. 
23-02	subeterenha, ikanaruchabieomoshoukerukotonaku, tongdengnolaodongniduishi, tongdengnobaochouoshoukeruquanlioyousuru. 
23-03	laodongsuruzheha, subete, zijijibijiazuniduishiterenjiannozunyannifusawashiishenghuoobaozhangsurugongpingkatsuyoulinabaochouoshouke, katsu, biyaonachangheniha, tanoshehuidebaohushouduanniyottebuchongoshoukerukotogadekiru. 
23-04	subeterenha, zijinoliyiobaohusurutamenilaodongzuheozuzhishi, jibikorenijiarusuruquanlioyousuru. 
24-00	di24tiao
24-01	subeterenha, laodongshijiannohelidenazhixianjibidingqidenayougeixiuxiaohanmuxiuxijibiyuxiaomotsuquanlioyousuru. 
25-00	di25tiao
25-01	subeterenha, yishizhu, yiliaojibibiyaonashehuideshishedengniyori, zijijibijiazunojiankangjibifuzhini10fennashenghuoshuizhunobaochisuruquanlibingbinishiye, jibing, xinshenzhanghai, peiouzhenosiwang, laolingsonotabukekangliniyorushenghuobunengnochangheha, baozhangoshoukeruquanlioyousuru. 
25-02	mutozitoha, tebienobaohujibiyuanzhuoshoukeruquanlioyousuru. subetenoertongha, dichudearutofoutoowenwazu, tongjishehuidebaohuoxiangyousuru. 
26-00	di26tiao
26-01	subeterenha, jiaoyuoshoukeruquanlioyousuru. jiaoyuha, shaonakutomochudengnojibijichudenoduanjienioiteha, wuchangdenakerebanaranai. chudengjiaoyuha, yiwudedenakerebanaranai. jishujiaoyujibizhiyejiaoyuha, 1banniliyongdekirumodenakerebanarazu, mata, gaodengjiaoyuha, nengliniyingji, subetenozhenihitoshikukaifangsareteinakerebanaranai. 
26-02	jiaoyuha, rengenowanquannafazhanbingbinirenquanjibijibendeziyounozunzhongnojiaokeomudetoshinakerebanaranai. jiaoyuha, subetenoguoyouharenzhongdemoshikuhazongjiaodejituannoxianghujiannolijie, kuanrongjibiyouhaoguanxiozengjinshi, katsu, pinghenoweichinotame, guojilianhenohuodongocujinsurumonodenakerebanaranai. 
26-03	qinha, ziniyuerujiaoyunozhongleioxuanzesuruyouxiandequanlioyousuru. 
27-00	di27tiao
27-01	subeterenha, ziyounishehuinowenhuashenghuonicanjiashi, yunshuojianshangshi, jibikexuenojinbutosonoenhuitoniazukaruquanlioyousuru. 
27-02	subeterenha, sonochuangzuoshitakexuede, wenxuedeyouhameishudezuopinkarashengzurujingshendejibiwuzhideliyiobaohusareruquanlioyousuru. 
28-00	di28tiao
28-01	subeterenha, konoxuanyannijiegeruquanlijibiziyougawanquannishixiansarerushehuidejibiguojidezhixuniduisuruquanlioyousuru. 
29-00	di29tiao
29-01	subeterenha, sonorengenoziyoukatsuwanquannafazhangasonozhongniatsutenomikenengdearushehuiniduishiteyiwuofuu. 
29-02	subeterenha, zijinoquanlijibiziyouoxingshisurunidangtatsuteha, tarennoquanlijibishiyounozhengdangnachengrenjibizunzhongobaozhangsurukotobingbiniminzhudeshehuiniokerudaode, gongnozhixujibi1bannofuzhinozhengdangnayaoqiuomantasukotoomopparamudetoshitefaluniyottedingmeraretazhixianninomifusuru. 
29-03	koreranoquanlijibiziyouha, ikanaruchanghenimo, guojilianhenomudejibiyuanzenifanshitexingshishitehanaranai. 
30-00	di30tiao
30-01	konoxuanyannoikanaruguidingmo, izurekanoguo, jituanyouhagerenniduishite, konoxuanyannijiegeruquanlijibiziyounopohuaiomudetosuruhuodongnicongshishi, youhasonoyounamudeoyousuruxingweioxinguquanliorenmerumonotojieshishitehanaranai. 
