00-00	BHANGINANDE HIL𞥆AYAANKO𞥅RE JOJ𞥆ANDHE NEDH𞥆ANKE DHEN
02-02	E ko fawti𞥅 he𞥅n haya palto𞥅r go𞥅to wo𞥅data𞥄 e dow yaowita𞥄de e dawrugol, nyaa𞥄wo𞥅re hak𞥆unde leyadhe𞥅le fawa𞥄de e nedh𞥆o um𞥆i𞥅dho leyadi wal𞥆a nedh𞥆o mo yaowita𞥄ki ma𞥄 woni pawidho yaamiro𞥅re la𞥄wdhina𞥄nde wa𞥄wnde wonde fof.
03-00	Ku𞥅lal 3
03-01	In𞥆ama a𞥄de𞥅 kala ina jogi𞥅 hak𞥆e wu𞥅rde, e hak𞥆e n'dim𞥆agu kam e hak𞥆e n'de𞥅nka e kisal ho𞥅re mum.
04-00	Ku𞥅lal 4
04-01	Haya nedh𞥆o go𞥅to fota𞥄ni ton𞥆ga𞥄de e mach𞥆unga𞥄 gu mach𞥆unga𞥄gu e n'je𞥅yagu a𞥄de𞥅 ko ko harmina𞥄 e no wa𞥄wi si fora𞥄de fof.
05-00	Ku𞥅lal 5
05-01	Haya nedh𞥆o go𞥅to fota𞥄ni le𞥅pte𞥅de wal𞥆a fiyae𞥅de piyale jaltudhe nedh𞥆a𞥄gu wal𞥆a koyano𞥅je.
06-00	Ku𞥅lal 6
06-01	Nedh𞥆o kala ina jogi𞥅 hak𞥆e an𞥆ditire𞥅de nedh𞥆a𞥄gu mum e ka𞥄yaita𞥄ji nyaa𞥄wa𞥄dhi.
07-00	Ku𞥅lal 7
07-01	YAimbhe fof poti e la𞥄mu ete poti fotde n'de𞥅ndka e yae𞥅so la𞥄mu. YAimbhe fof ina poti fotnde𞥅nde e re𞥅ne𞥅de e he𞥅di he𞥅di ba𞥄wdho yaabh𞥆ude kule n'gal nanondiral yaimbhe fofina poti re𞥅ne𞥅de e to𞥅nyaan𞥆ge tawa ala𞥄 palto𞥅r.
08-00	Ku𞥅lal 8
08-01	Nedh𞥆o kala ina jogi𞥅 hak𞥆e wul𞥆ita𞥄de nyaa𞥄wo𞥅re e leyadi mum so tawi𞥅 o ganyaa𞥄ma, o to𞥅nyaa𞥄ma wal𞥆a so hak𞥆e𞥅ji mak𞥆o n'jo𞥅la𞥄ma. dhi𞥅n hak𞥆e𞥅ji ina n'gan𞥆de e la𞥄mu e nyaa𞥄wo𞥅je.
09-00	Ku𞥅lal 9
09-01	Haya go𞥅to fota𞥄ni nan𞥆ge𞥅de soke𞥅 wal𞥆a yaaltine𞥅 leyadi tawa ko e dowN'ba𞥄wka e bela𞥄dhe.
10-00	Ku𞥅lal 10
10-01	Nedh𞥆o ina jogi𞥅 hak𞥆e e hedhe𞥅de e n'der potal e saha𞥄 nyaa𞥄wo𞥅re n'de yaowita𞥄ki, n'de wadhata𞥄 he𞥅di-he𞥅da (jin𞥆gata𞥄). nyaa𞥄wo𞥅bhe bhengu𞥅rota𞥄ko poti nyaa𞥄wde hak𞥆eji fotde𞥅ji nedh𞥆o fof ko tak𞥆a𞥄 ha𞥄 hebh ni dhum nyaa𞥄wore.
11-00	Ku𞥅lal 11
11-00	Kala nedh𞥆o tu𞥅ma𞥄dho bonan𞥆de ina foti rewe𞥅de ha𞥄 ko fawa𞥄 e mum ko an𞥆de ina wo𞥅di wal𞥆a ala𞥄 tawa ko nyaa𞥄wo𞥅re la𞥄dhin𞥆a𞥄nde n'de su𞥅dha𞥄ka nyaa𞥄wi e tawtingol nyaa𞥄wobhe lu𞥅ndi𞥅bhe he𞥅dbhe ban𞥆ge nyaa𞥄wete𞥅dho o𞥅.
11-01	Haya go𞥅to faweta𞥄ke bon𞥆an𞥆de wal𞥆a war n'go tawa n'de wadhate𞥅 n'de𞥅 wa𞥄wa wonde ko te𞥅ngti e mum e yaowita𞥄de e la𞥄wol leyadi wal𞥆a la𞥄wol hak𞥆unde leyadhe𞥅le. Ko no𞥅n ne haya go𞥅to faweta𞥄ke sariyaa badh𞥆o hu𞥅nde tawa n'de wadhete𞥅 n'de𞥅 o jotondira𞥄ni he𞥅n.
12-00	Ku𞥅lal 12
12-01	Haya go𞥅to yaabh𞥆eta𞥄ke, to𞥅nyae𞥅 e n'der n'gu𞥅rndam mum, e n'der bhesngu mum e n'der jotondiral mum wal𞥆a nedh𞥆a𞥄gu mum lesdhine𞥅, na𞥄nge haya go𞥅to e dowlugol mum pota𞥄ni nyaife𞥅de. Nedh𞥆o kala ina jogi𞥅 hak𞥆e re𞥅nane𞥅de dhe𞥅 gedhe te𞥅ngtino𞥅ji n'dima𞥄gumum.
13-00	Ku𞥅lal 13
13-00	Nedh𞥆o ina jogi𞥅 hak𞥆e yaahde dho wela𞥄 fof e no welira𞥄 fof kam subha𞥄de hodhan𞥆de mum e n'der leyadi.
13-01	Nedh𞥆o ina jogi𞥅 hak𞥆e yaaltude leyadi kala haya so tawi𞥅 ko n'di mak𞥆o kam e artude e leyadi mum.
14-00	Ku𞥅lal 14
14-00	E saha𞥄 kulol, nedh𞥆o kala ina jogi𞥅 hak𞥆e yhee𞥅wde mo𞥅la𞥄re e danyade leyadi mo𞥅lndi dhum e godh𞥆e dhe𞥅.
14-01	O𞥅 hak𞥆e no𞥅n wa𞥄wa𞥄 fawa𞥄de e warde ho𞥅re doga yhee𞥅wa mo𞥅ldho dhum, o wa𞥄wi fawa𞥄de tan ko e jamiro𞥅je fed𞥆e leyadhe𞥅le dentudhe.
15-00	Ku𞥅lal 15
15-00	Nedh𞥆o kala ina jogi𞥅 hak𞥆e jeyae𞥅de e leyadi, woni joga𞥄de n'gen𞥆di.
15-01	Haya go𞥅to wa𞥄wa𞥄 e dow bela𞥄dhe hadhe𞥅de joga𞥄de n'gen𞥆di wal𞥆a wayalude n'gen𞥆 di.
16-00	Ku𞥅lal 16
16-00	CHag𞥆al n'de nedh𞥆o danyai𞥅 du𞥅bhi kel𞥆ituyaa so ko o deb𞥆o, so ko o gorko falta𞥄 ki lenyaol, n'guru, leyadi ono jogi hak𞥆e resde ma𞥄 rese𞥅de, o darna fo𞥅yare. Ko kambhe poti he𞥅n hak𞥆e𞥅ji jowiti𞥅dhi e dewgal so ina hume𞥅 wal𞥆a so ina it𞥆e𞥅 (go𞥅rko e dewbo).
16-01	Dewgal fawi𞥅 ko e yaidhde resondire𞥅bho dhidho bhe𞥅 wona𞥄 ina fawe𞥅 e wa𞥄wnere.
16-02	bhesngo ko kam woni tergal gadanal e n'der rendo bhesngu inajogi𞥅 hak𞥆e n'de𞥅nka im𞥆ora𞥄de e ren𞥆do kam e la𞥄mu leyadi n'di𞥅.
17-00	Ku𞥅lal 17
17-00	Kala nedh𞥆o wal𞥆a dental yaimbh e ina jogi𞥅 hak𞥆e e jeyaal leyadi.
17-01	Haya go𞥅to fota𞥄ni e amdu e wa𞥄wde hadhe𞥅de jeyai mum.
18-00	Ku𞥅lal 18
18-01	Kala nedh𞥆o ina jogi𞥅 hak𞥆e n'dima𞥄gu mi𞥅jo, hak𞥆ilanta𞥄gal kam e di𞥅ne. O𞥅n hak𞥆e ina ro𞥅ndi𞥅 n'dima𞥄gu wayalude di𞥅ne kam e n'dima𞥄gu tabitinde di𞥅ne mum wal𞥆a yai yaan𞥆de mum kanyaum go𞥅to wal𞥆a e wondude e wodhbhe. N'ga𞥄l tabitinal di𞥅ne no𞥅n ina nona ko dhu𞥅dhi𞥅 e ko fe𞥅nyai fof tawa ko rewne𞥅de e dow jande⹁ wal𞥆a dewal wal𞥆a jamiro𞥅je di𞥅na kan.
19-00	Ku𞥅lal 19
19-01	Nedh𞥆o ina jogi𞥅 hak𞥆e e n'dima𞥄gu joga𞥄de mi𞥅jo e sa𞥄ktude mi𞥅jo mum dhum firti ko jo𞥅m mum fota𞥄mi hulde fe𞥅nyaninde mi𞥅jo mum wal𞥆a widhtude, hebhde kam e sarde mi𞥅jo𞥅ji e kabavu𞥅ji tawa woyhea𞥄ki ke𞥅ri hak𞥆unde leyadhe𞥅le e no sarda𞥄 fof.
20-00	Ku𞥅lal 20
20-00	Nedh𞥆o kala ina jogi𞥅 hak𞥆e e n'dima𞥄gu wadhde batu wal𞥆a fed𞥆e n'de wona𞥄 fitina.
20-01	Haya go𞥅to fota𞥄ni wa𞥄wne𞥅de jeyae𞥅de e fed𞥆e alaya sago.
21-00	Ku𞥅lal 21
21-00	Nedh𞥆o kala ina jogi𞥅 hak𞥆e e jeyae𞥅de e terdhe gardi𞥅dhe leyadi mum. Tawa ko kanyaum e ho𞥅re mum wal𞥆a tawa ko wa𞥄ba𞥄de e bhe yaimbhe e chubhi𞥅 ina n'jo𞥅dh anyai𞥅 leyadi sabu jonyae𞥅de gedhe mum.
21-01	Nedh𞥆o kala ina jogi𞥅 hak𞥆e ardine𞥅de wal𞥆a jonyae𞥅de gedhe/gol𞥆e leyadi e dow potal.
21-02	Mu𞥅yaa𞥄nde leyadi n'di𞥅 ko nyaibhgol kalfa𞥄ndi la𞥄mu𞥅ji dhi𞥅. N'di𞥅n kalfa𞥄ndi nyaibhorto𞥅 tan sosde wo𞥅te𞥅ji chubho𞥅 subhngo la𞥄bhngo e leyadi kala, tawa chubhoto𞥅 dho kala ina tot𞥆e𞥅 n'dima𞥄gu mum tim𞥆ungu.
22-00	Ku𞥅lal 22
22-01	Nedh𞥆o kala e n'der ren𞥆do ina jogi𞥅 hak𞥆e e n'de𞥅n ka ren𞥆doyaanke𞥅wo. dhumko welta𞥄re hak𞥆e𞥅ji fag𞥆uduyaankoj e ren𞥆doyaan he𞥅ji e pina yaanko𞥅ji katojina𞥄 dhi e n'dima𞥄gu e bhamta𞥄re a𞥄de e dow tu𞥅ga𞥄de e n'gonka leyadi fof.
23-00	Ku𞥅lal 23
23-00	Nedh𞥆o kala ina jogi𞥅 hak𞥆e lig𞥆a𞥄de e dow potal huj𞥆ia𞥄ji lig𞥆e𞥅ya e n'de𞥅nka ba𞥄sgol gol𞥆a𞥄de.
23-01	YAimbhe fof poti fotde n'jobhdi so tawi𞥅 bhe poti𞥅 lig𞥆e𞥅ya.
23-02	Kala lig𞥆idho ina jogi𞥅 hak𞥆e n'jobh di fotndi he𞥅n, n'jondiN'ba𞥄wndi joga𞥄de mo kanko e bhesngu mak𞥆oN'bele n'jogo𞥅 n'gonka moyhe𞥆a ted𞥆uka. N'jobhdi ina ha𞥄ni tim𞥆inire𞥅de chati𞥅dhe ren𞥆doyaanko𞥅je.
23-03	Nedh𞥆o kala lig𞥆oto𞥅dho ina jogi𞥅 la𞥄wol tafde fed𞥆e wul𞥆ita𞥄re hak𞥆eji lig𞥆e𞥅ya wal𞥆a yaantondirde fed𞥆e lig𞥆oto𞥅bhe mum e pedle godh𞥆e lig𞥆oto𞥅bhe so tawi edhe n'den𞥆di n'goyhe a𞥄ji e an𞥆iyaa.
24-00	Ku𞥅lal 24
24-01	Nedh𞥆o kala ina jogi hak𞥆e e fo𞥅ftere wal𞥆a weltinde bhernde num wal𞥆a wo𞥅da dho ha𞥄’dhni lig𞥆e𞥅ya mum ete kala lig𞥆oto𞥅dho ina jogi𞥅 hak𞥆e e fo𞥅ftere yaobh ete𞥅nde.
25-00	Ku𞥅lal 25
25-00	Nedh𞥆 kala ino foti joga𞥄de hak𞥆e n'gu𞥅rndam chemordham ha𞥄 wa𞥄wa𞥄 top𞥆ita𞥄de chel𞥆al mum, n'gonka mum eka bhesngu mum ha𞥄 te𞥅ngti e n'gu𞥅ra, kodhlchi, safa𞥄ra e gedhe ren𞥆do; omo jogi𞥅 hak𞥆e e n'de𞥅nka so tawi𞥅 o lig𞥆a𞥄ki, wal𞥆a o sel𞥆a𞥄ni ma wal𞥆a o jodta𞥄 de e do𞥅le mum, wal𞥆a kes jo𞥅dhi𞥅dho, nayawudho wal𞥆a kala gedhe ba𞥄so𞥅je wal𞥆itde n'gu𞥅ra dhe pawa𞥄ki e bel𞥆ante𞥅je.
25-01	Jibina𞥄dho deb𞥆o e suka𞥄ku ina n'jogi𞥅 hak𞥆e bal𞥆al e top𞥆ita𞥄gol ke𞥅ri𞥅dhi. Suka𞥄bhe fof, woni a jibina𞥄bhe e n'der dewgal wal𞥆a chag𞥆al dewgal poti fotde to ban𞥆ge n'de𞥅nka ren𞥆doyaanke𞥅wo.
26-00	Ku𞥅lal 26
26-00	Nedh𞥆o kala ina jogi𞥅 hak𞥆e jangde jangde foti wonde ko n'de ala𞥄 n'jobhdi haya sin𞥆a ko to arwani𞥅re e gadanal. Jangde suka𞥄bhe ina foti wonde alaya sago. Jangde karal𞥆a𞥄gal ina foti hubhtidin’de: jangde to𞥅wnde ina foti ud𞥆itana𞥄de moni kala taw ala𞥄 he𞥅di-he𞥅da, tawa ko e ba𞥄wal mum.
26-01	jande foti ko fe𞥅rtinde nedh𞥆anka𞥄gal⹁ bheyada ted𞥆in’de hak𞥆e𞥅ji in𞥆ama A𞥄de𞥅, hebhde ho𞥅re mum. Ina foti wa𞥄litde pa𞥄mondiral⹁ munyaundiral, chehila𞥄galhak𞥆unde leyadhe𞥅le e kala sen𞥆go𞥅ji leyhe𞥆i wal𞥆a di𞥅ne𞥅ji, fawiti𞥅 he𞥅n bhamta𞥄re gol𞥆e dowla𞥄ji dentudhi n'gam moyhe𞥆ere ina du𞥅mo𞥅.
26-02	Jibina𞥄bhe ina poti subha𞥄de hol fan𞥆u jangde n'dok𞥆ata suk𞥆a𞥄bhe mumen.
27-00	Ku𞥅lal 27
27-00	Nedh𞥆o kala ina wa𞥄wi e sago mum jeyae𞥅de e bhamtugol pinal ren𞥆de mum, hu𞥅toro𞥅 nyae𞥅nyae e wal𞥆itde bhamta𞥄re gan𞥆daliyaanke𞥅wal e kala bhure jalto𞥅je he𞥅n.
27-01	Nedh𞥆o kala ina jogi𞥅 hak𞥆e n'de𞥅nka mu𞥅yaa𞥄dhe mum to ban𞥆ge nedh𞥆anka𞥄gal e jawdhi tu𞥅gi𞥅dhe e bhulgo gan𞥆dal, chonyache, nyae𞥅nyaal dhe o tafi.
28-00	Ku𞥅lal 28
28-01	Nedh𞥆o kala ene foti darana𞥄de nyaibhagol hak𞥆e𞥅ji in𞥆ama a𞥄de𞥅 kam e n'di ma𞥄gu mum to ban𞥆ge ren𞥆do e n'der win𞥆dereN'bele ku𞥅le ka𞥄la𞥄dhe ender n'galdho nanondiral n'jet𞥆o fa𞥄nda𞥄re todh𞥆a𞥄nde n'de.
29-00	Ku𞥅lal 29
29-00	In𞥆ama a𞥄de𞥅 ina jogi𞥅 huj𞥆a𞥄ji fayade e ren𞥆do n'go n'gan𞥆dudha𞥄ko bhamta𞥄re hu𞥅bhtidinde nedh𞥆anka𞥄gal mak𞥆o tan wa𞥄wi wo𞥅tde.
29-01	E n'der ku𞥅torogol hak𞥆e𞥅ji mak𞥆o kam e naftorogol n'dima𞥄gu mak𞥆o, moni kala fawa𞥄 e mum tan ko dho𞥅ftogol sardhiyae𞥅ji n'gam te𞥅ngtin’de keftingol e nehtanagol hak𞥆e𞥅jie wodbhe n'gam tim𞥆inde nedh𞥆ang ka𞥄galngam gedhe den𞥆da𞥄nde kam e n'gonka moyhe𞥆a ku𞥅bhtidindho n'gam danyaje ren𞥆do potal.
29-02	DHi𞥅 hak𞥆e𞥅ji e n'gu𞥅 n'dima𞥄guN'ba𞥄wa danyae𞥅de e dow lu𞥅nda𞥄re pa𞥄nda𞥄le𞥅 mu𞥅yaa𞥄be dowla𞥄ji dentudhi.
30-00	Ku𞥅lal 30
30-01	Haya ku𞥅lal go𞥅tal gum𞥆ingal e n'gal dho nanon’diral fota𞥄ni jag𞥆ire𞥅de um𞥆i𞥅 ko e leyadi, wal𞥆a dental ke𞥅ringal, wal𞥆a nedh𞥆o ke𞥅ri𞥅dho. Haya nedh𞥆o go𞥅to, wal𞥆a dental wal𞥆a leyadi pota𞥄ni joga𞥄de gol𞥆e tawa fa𞥄nda𞥄re mumen ko firtude hak𞥆e𞥅jie e n'dima𞥄gu kala𞥄dhi e n'der nanondiral n'gal.
