00-00	Universala Deklaracio de Homaj Rajtoj
11-01	Ciu akuzita pro punebla faro rajtas, ke oni supozu lin senkulpa, gis oni pruvos laulege lian kulpon en publika proceso, en kiu li ricevis ciujn garantiojn necesajn por sia defendo.
11-02	Neniu estu konsiderata krimkulpa pro kia ajn ago au neago, kiu ne konsistigis puneblan faron, lau nacia au internacia juro, en la tempo, kiam gi estis farita. Same tiel, ne estu aljugita pli severa puno ol tiu, kiu estis aplikebla en la tempo, kiam la punebla faro estis plenumita.
12-00	Artikolo 12
12-01	Neniu suferu arbitrajn intervenojn en sian privatecon, familion, hejmon au korespondadon, nek atakojn kontrau sia honoro au reputacio. Ciu rajtas ricevi juran protekton kontrau tiaj intervenoj au atakoj.
13-00	Artikolo 13
13-01	Ciu havas la rajton libere movigi kaj logi interne de la limoj de kiu ajn stato.
13-02	Ciu rajtas eliri el kiu ajn lando, inkluzive la propran, kaj reveni en sian landon.
14-00	Artikolo 14
14-01	Ciu rajtas peti kaj ricevi en aliaj landoj azilon kontrau persekuto.
14-02	Tiu rajto ne estas alvokebla en kazoj de persekutaj akuzoj malfalse levitaj pro ne-politikaj krimoj au pro agoj kontrauaj al la celoj kaj principoj de Unuigintaj Nacioj.
15-00	Artikolo 15
15-01	Ciu rajtas havi statanecon.
15-02	Al neniu estu arbitre forprenita la stataneco, nek rifuzita la rajto sangi sian statanecon.
16-00	Artikolo 16
16-01	Plenagaj viroj kaj virinoj, sen ia ajn limigo pro raso, nacieco au religio, rajtas edzigi kaj fondi familion. Iliaj rajtoj estas egalaj koncerne la geedzigon, dum la geedzeco kaj koncerne eksedzigon.
16-02	Geedzigo okazu sole lau libera kaj plena konsento de la geedzigontoj.
16-03	La familio estas la natura kaj fundamenta grupunuo de la socio, kaj gi rajtas ricevi protekton de la socio kaj de la Stato.
17-00	Artikolo 17
17-01	Ciu rajtas proprieti havajon, kaj sola kaj en asociigo kun aliaj.
17-02	Al neniu estu arbitre forprenita lia proprieto.
18-00	Artikolo 18
18-01	Ciu havas la rajton je libereco de penso, konscienco kaj religio; tiu ci rajto inkluzivas la liberecon sangi sian religion au kredon, kaj liberecon manifesti, cu sola cu kune kun aliaj, cu publike cu private, sian religion au kredon per instruado, praktikado, adorado kaj observado.
19-00	Artikolo 19
19-01	Ciu havas la rajton je libereco de opinio kaj esprimado; ci tiu rajto inkluzivas la liberecon havi opiniojn sen intervenoj de aliaj, kaj la rajton peti, ricevi kaj havigi informojn kaj ideojn per kiu ajn rimedo kaj senkonsidere pri la landlimoj.
20-00	Artikolo 20
20-01	Ciu havas la rajton je libereco de pacema kunvenado kaj asociigo.
20-02	Neniu estu devigita aparteni al asocio.
21-00	Artikolo 21
21-01	Ciu homo rajtas partopreni la regadon de sia lando, au rekte au pere de libere elektitaj reprezentantoj.
21-02	Ciu rajtas je egala aliro al publika servo en sia lando.
21-03	La volo de la popolo estu la bazo de la autoritato de la registaro; tiu volo estu esprimata per regulaj kaj autentikaj elektoj, kiuj okazu per universala kaj egala balotrajto, kaj per sekreta vocdono au ekvivalentaj liberaj vocdonaj proceduroj.
22-00	Artikolo 22
22-01	Ciu, kiel membro de la socio, havas rajton je socia sekureco kaj povas postuli la realigon, per naciaj klopodoj kaj internacia kunlaboro, kaj konforme al la organizo kaj disponeblaj rimedoj de ciu Stato, de tiuj ekonomiaj, sociaj kaj kulturaj rajtoj, kiuj estas nepre necesaj por lia digno kaj por la libera disvolvigo de lia personeco.
23-00	Artikolo 23
23-01	Ciu havas rajton je laboro, je libera elekto de sia okupo, je justaj kaj favoraj laborkondicoj kaj je protekto kontrau senlaboreco.
23-02	Ciu, sen ia ajn diskriminacio, rajtas ricevi egalan salajron pro egala laboro.
23-03	Ciu, kiu laboras, rajtas ricevi justan kaj favoran kompenson, kiu certigu por li mem kaj por lia familio ekziston konforman al homa digno, kaj kiun suplementu, launecese, aliaj rimedoj de socia protekto.
23-04	Ciu rajtas formi kaj aligi sindikatojn por protekto de siaj interesoj.
24-00	Artikolo 24
24-01	Ciu havas rajton je ripozo kaj libertempo, inkluzive racian limigon de la laborhoroj kaj periodajn feriojn kun salajro.
25-00	Artikolo 25
25-01	Ciu havas rajton je vivnivelo adekvata por la sano kaj bonfarto de si mem kaj de sia familio, inkluzive de nutrajo, vestajoj, logejo kaj medicina prizorgo kaj necesaj sociaj servoj, kaj la rajton je sekureco en okazo de senlaboreco, malsano, malkapablo, vidvineco, maljuneco au alia perdo de la vivrimedoj pro cirkonstancoj ekster sia povo.
25-02	Patrineco kaj infaneco rajtigas al specialaj prizorgoj kaj helpo. Ciuj infanoj, egale cu ili naskigis en au ekster geedzeco, ricevu saman socian protekton.
26-00	Artikolo 26
26-01	Ciu havas rajton je edukigo. La edukado estu senpaga, almenau en la elementa kaj fundamenta stadioj. La elementa edukado estu deviga. La teknika kaj porprofesia edukado estu generale akirebla, kaj pli alta edukado estu egale akirebla por ciuj lau ties meritoj.
26-02	Edukado celu la plenan disvolvon de la homa personeco kaj plifortigon de la respekto al la homaj rajtoj kaj fundamentaj liberecoj. Gi kreskigu komprenon, toleron kaj amikecon inter ciuj nacioj, rasaj au religiaj grupoj, kaj antauenigu la agadon de Unuigintaj Nacioj por konservo de paco.
26-03	Gepatroj havas unuavican rajton elekti la specon de la edukado, kiun ricevu iliaj infanoj.
27-00	Artikolo 27
27-01	Ciu rajtas libere partopreni la kulturan vivon de la komunumo, gui la artojn kaj partopreni sciencan progreson kaj giajn fruktojn.
27-02	Ciu havas rajton je protekto de la moralaj kaj materialaj interesoj rezultantaj el eventualaj sciencaj, literaturaj au artaj produktajoj, kiujn li autoris.
28-00	Artikolo 28
28-01	Ciu havas rajton je socia kaj internacia organizo, en kiu la rajtoj kaj liberecoj difinitaj en ci tiu Deklaracio povas esti plene realigitaj.
29-00	Artikolo 29
29-01	Ciu havas devojn al la komunumo, en kiu, sole, estas ebla la libera kaj plena disvolvigo de lia personeco.
29-02	En la uzado de siaj rajtoj kaj liberecoj, ciu estu subigita sole al tiuj limigoj, kiuj estas jure difinitaj ekskluzive kun la celo certigi adekvatan rekonon kaj respekton por la rajtoj kaj liberecoj de aliaj kaj por konformigi al justaj postuloj de moralo, publika ordo kaj generala bonfarto en demokrata socio.
29-03	Tiuj ci rajtoj kaj liberecoj estas en neniu okazo efektivigeblaj kontraue al la celoj kaj principoj de Unuigintaj Nacioj.
30-00	Artikolo 30
30-01	Nenio en ci tiu Deklaracio estu interpretita kiel implico, ke iu ajn Stato, grupo au persono iel ajn rajtas entrepreni ian ajn agadon au plenumi ian ajn agon, kiu celus detrui kiun ajn el la rajtoj kaj liberecoj ci-ene difinitaj.
