00-00	[missing]
03-01	Owoni aati dang abobo iko ahode hode iswori , ihaniere ihwo awahi isi bwo ve imanyari obeng obo aring anya isi.
04-00	ARTlCLE 4
04-01	Obeng adi obo atulo amanya apit obo kuyya bwo ve ara apit obo. Obengi angatani epito iko etinyangio waati apiti.
05-00	ARTICLE 5
05-01	Obengi angatani etakarrienyo nito kuyya etigemie honyi to netigemita hun oremehini to itakarrieny inyi.
06-00	ARTICLE 6
06-01	Owoni aati dang iko ahode hode imijaniere jyo ara inyi atulo ihosiere manyiti waati (ganun).
07-00	ARTICLE 7
07-01	Orrijori aati dang ihosiere manyiti waati (ganun). Bwo ve nebubwanya iko nesusuya bwanyo waati obengi ofwoi iko eram ana.
08-00	ARTICLE 8
08-01	Owoni aati dang ababa iko ahode hode italahuna ihosiere okikoi enegiama to bebe to abiang itik ahodehode enesiarak emanyit miji (aganun) jihonyi.
09-00	ARTICLE 9
09-01	Obengi adi ifitani obo atulo ikijan (ibabus) assai kuyya bwo ve ifuhani inyi jyo obo amiji onobeng to ara amiji hosi.
10-00	ARTICLE 10
10-01	Orrijori aati ababo ababo itanigiere okikoi onobis iko itanigiere okikoi hosi ihosiere elulung onobeng okikoi honyi ibubwanya jmijaniere ahode hode honyi.
11-00	ARTICLE 11
11-01	Atulo elekumi to eyyau, owon ahode hode jihonyi alibori many ve orumaniere okikoi onongocie ihiji waati dang jyo ipal inyi. Ihalu isiori jihonyi alwahio okikoi.
11-02	Obeng obo atulo ara epalanito neyyau onobeng to ara eyyau jyo nemanyit (aganun) ono amisihi dang tofau to nogitek huno neyyauniere inyi. Bwo ve obeng oremik ikumiere inyi to nekumi anagalik nekumio hunya ikumierek inyi to nogitek hunya iyyaunicre inyi neyyau nya.
12-00	ARTICLE 12
12-01	Obengi adi idehini obo atulo itafitangie ihosiere aati hutohang honyi ihwo ngorwoi iko aduri honyi. Obengi iyyimoi inyi egioro gagar jyo omuk aati. Ongida bwo ve obengi omorie elotulo honyi ihosiere waati. Owoni aati iko ahode hode i fauniere jyo ehanita anara lo ihwania.
13-00	ARTICLE 13
13-01	Owoni aati dang ababo iko ahode hode ididahari bwo ve imanyari itwa ikori fau hosi.
13-02	Owoni aati dang ababo iko ahode hode ibusaniere amiji obo kuyya bwo ve iwwotori jyo obo amiji bwo ve icohunire imiji honyi.
14-00	ARTICLE 14
14-01	Owoni aati dang ababo iko ahode hode ittifiari edimi iko etongi jyo abo amiji ifuhori etigemio.
14-02	Obeng oremik ilonguniere ahade hode ana jyo okum on out to jyo nerre hun obengi arai eyyataimiri kuyya nehenita hun olufaji to jyo nerre hun awak Nelulung on Otubak to afau dang.
15-00	ARTICLE 15
15-01	Owoni atulo iko ahode hode iratari atulo miji.
15-02	Obeng oremik iriamari atulo elomomiji honyi kuyya bwo ve elocio elomiji honyi.
16-00	ARTICLE 16
16-01	Owon jyo aliawa iko angorwo ahode hode iwwattari to hang iko ehuhumio hang. Owoni bwo ve isi iko ahode hode ipiahari.
16-02	Bwo ayama out to neruk ono alle iko angote hun awahi lo iyamanio.
16-03	Ahang inyi etteri lulung waalti. Ongida elulung ono miji iko emiri irrirriai inyi.
17-00	ARTICLE 17
17-01	Owoni aati dang abotie abotie iko ahode hode iwatari iko nerre manyiti hama kuyya bwo ve iko elulung waati omuk.
17-02	Obeng oremik itangotihiniere obo atulo erre honyi.
18-00	ARTICLE 18
18-01	Owoni aati dang iko ahode hode gigilo, nerre huto twa jko amojo jyo Hollum. Ahode hode ana owon iko awahan tulo iloicere nemojit Hollum iko neruk to awan honyi hama kuyya bwo ve iko obo elulung omuk aati iruhori amoja, etiyyenio, ihanio iko imijiere.
19-00	ARTICLE 19
19-01	Owoni aati dang ababo iko ahode hode igigilori bwo ve ikianari ahode hode. Ahode hode ana outback iko ahode hode iwatari iko egigilita. Obeng obo ojingak itwa lobo ititifiari, imojuniere kuyya bwo ve itifwotuniere ekiena (arami) ono aradio, T.V. iko awaraga; obeng obo ekori.
20-00	ARTICLE 20
20-01	Owoni aali dang iko ahode hode itubaniere awalek ara botie to anyalami.
20-02	Obengi adi orrosoni obo ajingana jyo obo elulung on obeng inyi awak.
21-00	ARTICLE 21
21-01	Owoni aati dang ababo iko ahode hode ijinganiere iko igiamari jyo emiri on onyimuni isi to nawahan hosi.
21-02	Owoni aati dang iko ahode hode rrijoro ijinganiere igiama jyo imiri miji hosi.
21-03	Awahan waati inyi awayo ano imiri. Ihani adi awahan ania to nanyimo on obis to jyo aati dang to fau hosi. Oremehini nyimuna emiri ania to erwongo isenuk to ekotia rwongita hun orrijori to bwo ve hun obeng obo atulo omijang arari amonye elorwongok to.
22-00	ARTICLE 22
22-01	Aati dang ababo, ihwo aati lulung waati, owoni adi iko ahode hode hisio lulung bwo ve iko arumana honyi to ehanita huno amiji iko elulung misihi to natuba hosi iko to atuba anyanya huno misihi. ahode hode ibariti, elulung iko emanyiti (laws) hun obengi to ohoro elotulo iko abolori honyi.
23-00	ARTICLE 23
23-01	Owoni aati dang ababo iko ahode hode igiamari, irumaniere egiama. itulubari on oyyu iko abian etigemio giama iko irrirriari awan honyi jyo abian giama.
23-02	Obeng obo ebubwanya jyo aati dang. Owoniiko aati iko ahode hode duma on orrijyo to egiama (etulubaa) on orrijyo to.
23-03	Owon atulo elegiama to iko abisan irumaniere edumiti hun obisi to itangiyyere ahong honyi bwo ve ongida abangi awan honyi . Amanya adi to nekotia hunesiyyo inyi elulung.
23-04	Owoni aati dang ababo iko ahode hode iyyirari jyo ongitek hun oremehini to egiama (atuluba) bwo ve iyyiriari to ongitek hun odumai.
24-00	ARTICLE 24
24-01	[missing]
25-00	ARTICLE 25
25-01	Owon atulo iko ahode hode imanyari amanya on orriama to ayyijiwan iko amanya ono ahang to awanan ngiyo, to neyyafa bongojin, to aduho haji iko to awan yyani (adawa) bwo ve to awanan hirre hun amanyarik to nelik manya, to arumana giama, to abiangan nguai, narohojara, nelohidak, elomaruak, kuyya bwove abiangan hirre hun amanyarik hun ebeng remik rumana.
25-02	Elohonye iko iodole (eloduri) owoni iko ehuhumio iko alwahio. Aduri dang kuyya isihi ihang kuyya ikoi owoni isi iko essio miji on orrijio.
26-00	ARTICLE 26
26-01	Owoni aati dang ababo iko ahode hode iyyiyyanari. Ara adi eyyiyyana assai teteri honyi many jyo olobele on obolo to. Eteri iyyiyyana ara inyi to aduri dang. Eyyiyyana ono edwongo (technical) iko ono amijana owon. Bwo eyyiyyanaoto hide ongida ve ojingani dia to negiama on oyyu to on onyurak etiyyanani.
26-02	Eyyiyyana ongida obis to akafio watek waati iko itagoliere aningio (abangi) ono ahode hode elotulo on obeng obo oremik itik. Akaf adi amijana, adihan iko arriaha misihi fau dang awoyo lotulo iko elulung mojiti Hollum. Ongida akaf ahide egemita huno elulung misihi fau dang igotiere amuno lifau.
26-03	Owoni esiok duri iko ahode hode inyimuniere eteri yyiyyana on oremik to jyo aduri hosi.
27-00	ARTICLE 27
27-01	Owoni aati dang ababo iko ahode hode ijinganiere jyonemanyit lulung miji hosi, irumaniere ehanita iko emanyiti angejuho.
27-02	Owoni aati dang ababo iko ahode hode jyo esiyyo emanyiti hun obis to iko nerre hun ofwoni jo amijana dwongo to osi iko ta ahas hosi.
28-00	ARTICLE 28
28-01	Owoni aati dang iko emanyit (aganun) ono elulung manya iko emanyit ano afau iko abiangan obo etik ihwo owon jyo hun ihanani jyo ekiana ana.
29-00	ARTICLE 29
29-01	Owoni aati ababo iko egemita jyo elulung waati on oremik to ihum kafawatek hosi ababo.
29-02	Ihaniere ahode hode hosi obeng adi itik ahode hode ihwa enehanak emanyit to awahan rumana iko ibangari ahode hade omuk iko iruhori nebisiti huno emanyit on obis to, ekoi manyitlulung iko to ayyiji (angidari) manya lulung.
29-03	Ahode hode ana iko abiangan itik obengi adi ihani lo nobo ekoi on olufa to jyo egemita iko ehanila huno Elulung Misihi Fau (UN).
30-00	ARTICLE 30
30-01	Obeng obo aring jyo ckiana ana on oremik iloyyit ihwo anara aring ono obo emiri, elulung waati kuyya bwo ve atulo iloicere kuyya itarohojiere obo ahode hode kuyya buabiangan itik ahuriyyat (freedoms) hun owoni to itwa agagar ana .
