00-00	Elomiyai Umimii Hukuki Bashar
02-01	Har yak inson boyad biduni tafovute, makhsusan az lihozi nazhod, rangi pust, chinsiyat, zabon, din akidai siesi e akidai digar, asli milli e ichtimoi, vazi moli, khonavodagi e vazi digar tamomi hukuk va tamomi ozodihoro, ki dar hamin lomiya zikr shudaand, doshta boshad.
02-02	GHair az in dar zaminai makomi siesi, hukuki e bainalmilalii kishvar e kalamrave, ki fard ba on taaluk dorad, sarfi nazar az on, ki oe in kalamrav mustakil ast, tahti vasoyat karor dorad, khudidora nameboshad e istikloliyati on bo yagon tarkh mahdud gardonida shudaast, naboyad tafovute guzoshta shavad.
03-00	Moddai 3.
03-01	Har yak inson ba haet, ozodi va dakhlnopazirii shakhsi hak dorad.
04-00	Moddai 4.
04-01	Hech kas naboyad dar ghulomi e holati machburi nigoh doshta shavad; ghulomi va ghulomfurushi dar hamai navhoi onho man ast.
05-00	Moddai 5.
05-01	Hech kas naboyad tahti aziyat e muomila va chazoi sakht, ghairiinsoni e tahkirkunandai sharafi u karor doda shavad.
06-00	Moddai 6.
06-01	Har yak inson, dar har kuchoe, ki karor doshta boshad, ba etirofi u hamchun subekti hukuki hak dorad.
07-00	Moddai 7.
07-01	Hamai odamon dar nazdi konun barobarand va biduni hech yak tafovut ba himoyai barobari hukuki hak dorand. Hamai odamon dar mukobili har guna tabide, ki khilofi hamin Elomiya meboshad va tahdidi tabid az chonibe, ki naboshad, ba himoyai barobar hak dorand.
08-00	Moddai 8.
08-01	Har yak inson dar surati poimol gardidani hukukhoi asosii u, ki bo Konstitutsiya e konun peshbini shudaand, baroi barkarorsozii purrai onho az tarafi sudhoi bosalohiyati milli hak dorad.
09-00	Moddai 9.
09-01	Hech kasro khudsarona dastgir, habs e badargha kardan mumkin nest.
10-00	Moddai 10.
10-01	Har yak inson baroi muaiyan namudani hukuku ukhdadorihoyash va mukarrar kardani asosnokii aibnomai chinoyate, ki ba dushi u guzoshta shudaast, ba tavri barobarii komil hukuk dorad, ki parvandi uro sudi mustakilu betaraf oshkoro va bo rioyai talaboti adolat barrasi namoyad.
11-00	Moddai 11.
11-01	Har yak insone, ki dar sodir kardani chinoyat gunahgor donista meshavad, hak, dorad to zamone begunoh donista shavad, ki gunohash dar murofiai oshkoroi sudie, ki dar on baroi khimoyai u tomami imkoniyatho faroham ovarda meshavand, bo tartibi konuni isbot nagardidaast.
11-02	Hech kasro baroi sodir kardani kirdore e beamalie, ki dar vakti sodir shudani onho muvofiki konunhoi milli e hukuki bainalmilali chinoyat hisob namegardid, mahkum kardan mumkin mest. Hamchunin nisbat ba chazoe, ki metavonist dar vakti sodir shudani chinoyat doda shavad, chazoi sakhttar dodan mumkin nest.
12-00	Moddai 12.
12-01	Ba haeti shakhsi va oilavii hech yak fard dakholati khudsarona namudan va ba dakhlnopazirii manzil, sirri mukotibot, sharaf va obrui u khudsarona suikasd kardan mumkin nest. Har yak inson hukuk dorad, ki dar mavridi chunin mudokhila e suikasd az himoyai konun istifoda namoyad.
13-00	Moddai 13.
13-01	Har yak inson hak dorad, ki dar hududi har yak davlat ozodona raftuomad kunad va ba khud mahalli zist intikhob kunad.
13-02	Har yak inson hak dorad, ki har kishvar, az chumla kishvari khudro tark kunad va ba kishvari khud bozgardad.
14-00	Moddai 14.
14-01	Har yak inson hak dorad, ki az takibot dar digar kishvarho panohgoh chuyad va az in panohgoh istifoda namoyad.
14-02	Dar mavride, ki takibot vokean dar asosi chinoyati ghairisiesi e kirdori mukholifi maksadu usulhoi Sozmoni Milali Muttahid boshad, az in hak istifoda namudan mumkin nest.
15-00	Moddai 15.
15-01	Har yak inson ba shahrvandi hak dorad.
15-02	Hech kasro khudsarona az shahrvandi e az hakki taghiiri shahrvandi mahrum kardan mumkin nest.
16-00	Moddai 16.
16-01	Mardon va zanone, ki ba sinni baloghat rasidaand, hak dorand biduni yagon mahdudiyati nazhodi, milli e dini izdivoch kunand va oila buned namoyand. Onho dar mavridi akdi nikoh, dar davrai dar nikohi yakdigar budan va hangomi bekor kardani on barobarhukukand.
16-02	Akdi nikoh metavonad tanho dar surati rizoiyati ozodona va purrai hardu tarafi ba akdi nikoh daroyanda basta shavad.
16-03	Oila rukni tabii va asosii chamiyat buda, ba himoyai chamiyat va davlat hak dorad.
17-00	Moddai 17.
17-01	Har yak inson hak dorad amvolro chi shakhsan va chi yakchoya bo digaron ikhtierdori namoyad.
17-02	Hech kas naboyad az amvoli khud khudsarona mahru m karda shavad.
18-00	Moddai 18.
18-01	Har yak inson ba ozodii fikr, vichdon va din hukuk dorad; in hukuk az taghiiri ozodonai din va etikod, pairavii ozodonai din e etikodi khud chi bo tartibi infirodi va chi yakchoya bo digaron, ba tavri ommavi e khususi, dar talim giriftan, ibodat namudan va rasmu oinhoi dini va marosimiro ichro kardan iborat ast.
19-00	Moddai 19.
19-01	Har yak inson ba ozodii akida va baeni ozodonai on hak dorad; in hukuk; bemamoniat nigoh doshtani akidai khud, ozodona, bo har vosita va sarfi nazar az sarhadoti davlati, chustuchu, dastrasu intishor namudani malumotu ghoyahoro dar bar megirad.
20-00	Moddai 20.
20-01	Har yak inson hakki ozodii chamomadhoi osoishta va ittihodiyahoro dorad.
20-02	H,ech yak inson nametavonad ba yagon ittihodiya machburan chalb karda shavad.
21-00	Moddai 21.
21-01	Har yak inson hak dorad, bevosita e ba vositai namoyandagone, ki ozodona intikhob shudand, dar idorai korhoi kishvari khud shirkat namoyad.
21-02	Har yak inson dar kishvari khud ba khizmati davlati hukuki barobar dorad.
21-03	Irodai khalk boyad asosi hokimiyati hukumat boshad; in iroda boyad ba vositai intihoboti davra ba davra va biduni sokhtakori, ki dar surati mavchudiyati hakki intikhoboti umumi va barobar bo rohi ovozdihii pinhoni e tavassuti shaklhoi digari barobar, ki ovozdihii ozodonaro tamin menamoyand, ba amal barovarda meshavad.
22-00	Moddai 22.
22-01	Har yak inson hamchun uzvi chamiyat ba taminoti ichtimoi va tatbiki hukuk baroi nigahdorii sharaf va inkishofi ozodonai shakhsiyati u dar sohai iktisodi, ichtimoi va farhangi ba vositai sayu kushishi milliyu hamkorii bainalmilali mutobiki sokhtor va imkoniyathoi har yak davlat hak dorad.
23-00	Moddai 23.
23-01	Har yak inson doroi hakki mehnat, intikhobi ozodonai kor va sharoiti odilonayu musoidi mehnat va hakki himoya az bekorist.
23-02	Har yak inson biduni yagon tabid baroi kori barobar ba muzdi barobar hak dorad.
23-03	Har yak korgar ba muzdi odilonayu kanoatbakhsh, ki zindagii sazovori har yak inson va ahli oilai uro tamin kunad, dar surati zarurat bo digar vositahoi taminoti ichtimoi purra gardonida shavad, hak dorad.
23-04	Har yak inson hak dorad, ki ittifokhoi kasaba sozmon dihad va baroi himoyai manfiathoi khud ba ittifokhoi kasaba dokhil shavad.
24-00	Moddai 24.
24-01	Har yak inson ba istirohatu faroghat, az chumla mahdudiyati okilonai ruzi kor va rukhsatii pulakii davri hak, dorad.
25-00	Moddai 25.
25-01	Har yak inson ba chunin sathi zindagi, az chumla khurok, pushok, manzil, nigohubini tibbi va taminoti zarurii ichtimoie, ki baroi sihatiyu nekuahvolii khudi u va oilaash zarur ast, ba taminot dar holathoi bekori, bemori, mayubi, besarobon mondan, pironsoli e digar holathoi mahrumiyat az vositahoi zindagi, ki bo sababhoi novobasta az u ba vuchud meoyand, hak dorad.
25-02	Modaronu kudakon ba vasoyat va kumaki makhsus hak dorand. Hamai kudakone, ki dar akdi nikoh va berun az on tavallud shudaand, boyad az himoyai ichtimoii barobar istifoda namoyand.
26-00	Moddai 26.
26-01	Har yak inson hukuki tahsil dorad. Akallan tahsili ibtidoi va miena boyad bepul boshad. Tahsili ibtidoi boyad hatmi boshad. Talimi tekhniki va kasbi boyad dastrasi hamagon boshad. Tahsili oli boyad muvofiki kobiliyati har kas ba hama yak khel dastras boshad.
26-02	Maksadi talim boyad rushdi hamachonibai shakhsiyati inson, afzoishi ehtirom ba hukuku ozodihoi inson boshad. Talim boyad ba husni tafohum, burdboriyu dustii mieni tamomi millatho, guruhhoi nazhodi va mazhabi va hamchunin ba vusati faoliyati Sozmoni Milali Muttahid dar rohi hifzi sulh musoidat namoyad.
26-03	Volidain dar bobati intikhobi navi talim baroi farzandoni khurdsol hakki avvaliyat dorand.
27-00	Moddai 27.
27-01	Har yak inson hak dorad, ki dar haeti farhangii chomea ozodona shirkat varzad, az hunar bahra barad, dar peshrafti ilm sahm girad va az dastovardhoi on istifoda namoyad.
27-02	Har yak inson ba hifzi manfiathoi moddiyu manavii khud, ki samarai korhoi ilmi, adabi e hunarii u meboshand, hak dorad.
28-00	Moddai 28.
28-01	Har yak inson ba tartiboti ichtimoiyu bainalmilali, ki dar on hukuku ozodihoi dar hamin Elomiya zikrshuda komilan amali shuda metavonand, hak dorad.
29-00	Moddai 29.
29-01	Har yak inson dar nazdi chomeae, ki rushdi ozod va kamoloti shakhsiyati u fakat dar on imkonpazir ast, ukhdador meboshad.
29-02	Har yak inson dar bobati tatbiki hukuku ozodihoi khud boyad tanho ba darachae mahdud karda shavad, ki az tarafi konun fakat bo maksadi tamini etirofu ehtiromi hukuku ozodikhoi digaron va kone gardonidani talaboti odilonai akhloki, tartiboti chamiyati va osudaholii umumi dar sharoiti chomeai demokrati mukarrar karda shudaast.
29-03	Tatbiki in hukuku ozodiho ba khech vachh naboyad khilofi maksadu usulhoi Sozmoni Milali Muttahid boshad.
30-00	Moddai 30.
30-01	Hech yak az mukarraroti hamin Elomiya naboyad baroi ba davlate, guruhe e farde dodani hukuke tafsir shavad, ki ba yagon faoliyat e kirdore, ki maksad az on bekor kardani hukuku ozodihoi dar hamin Elomiya baen shuda boshad, asos gardad.
