00-00	Dunya Kish Haklari Beyannamesi
05-01	Heme kishler ishkence, zalim, merhametsiz ene kuechueltuecue muamelelerne ene cezalarne almahxe.
06-00	Alte
06-01	Kishler gada heme hukuk ilisinihxi kishlikine taninber dihxen hak var.
07-00	Yide
07-01	Hukuk iliside heme kishler adil der, hukuknihxi adil korumasi varber dihxen hak var, nang fark volsa varmahxe. Bu beyannamene bozber dihxen nang ayirt vosa ma bu ayirtne ayartber dihxen nang eylem vosanihxi zararine kachinishe vule, kishler adil koruma varber dihxen hak var.
08-00	Sekis
08-01	Kem vosa anayasaden ene hukukden algan temel haklar bozenji, uygun ulusal mahkemeden bu bozeshe uygun charene etber dihxen hak var.
09-00	Doqus
09-01	KIshne rastgele yakalamahxe, tutuklamahxe ene chikarmahxe.
10-00	On
10-01	Haklarine ma yuekuemluelueklerine belirleshe vule, kishler huer ma fedakar mahkemeden adil ma kamu deneme etinber dihxen hak var.
11-00	On ber
11-01	(Ber) Ceza uecretleri algusi, hukukden ma kamu denemeden such var onaylamaji, such yokhder sumurlanber dihxen hak var. Deneme heme cevap garantiler vargoge.
11-02	(Igi) Cezade kem vosanihxi eylemi ene ihmali, olgande ulusal ene uluslararasi hukukden heme such volmesesh, such yokhder. Cezalandirma cinayet ishlehxende jaregan hukuk huekuemine ashmahxe.
12-00	On igi
12-01	Kem vosanihxi gizlilikine, oyene, yurtine ene yazishmasine rasgelechukh karishmahxe, onurine ma itibarine bozmahxe. Bu karishishne ma bozeshne kachinishe vule, kishler hukukden korungi.
13-00	On uj
13-01	(Ber) Heme kishler heme uelkelerde jilenber dihxen ma otber dihxen huerriyet var.
13-02	(Igi) Kish nang uelke vosaden chikhgur dihxen hak var, bularde uelkesi var, uelkesihxe yangur dihxen hak var.
14-00	On diot
14-01	(Ber) Zuluemne kachinishe vule, kem vosa bashga uelkede barinakne ishdehxur dihxen ma dehxhxur dihxen haklar var.
14-02	(Igi) Jingchukh siyaset dishi suchden ene Birleshmish Milletlernihxi amachlarine ma esaslarine bozhxan eylemlerden talep etingende, bu hakne jaremahxe.
15-00	On besh
15-01	(Ber) Kem vosa milliyet varhxan hak var.
15-02	(Igi) Kishnihxi milliyetine rasgelechukh chekhmehxi, milliyetine chorelhxan hakne reddetmehxi.
16-00	On alte
16-01	(Ber) Er kishler ma gatin kishler, irki, milliyet ene din sinirlamalari yokhder, evlengur dihxen ma oy volhxur dihxen hak var, evlilikde, evlengende ma boshangande, adil haklar var.
16-02	(Igi) Igisi serbestchukh ma tamchukh anlashji, evlenilhxur.
16-03	(Uj) Oy dogal ma temel sosyal birimi der, sosyal ma ulusal korumane dehxgi.
17-00	On yide
17-01	(Ber) Kem vosa tek mal haki var, ma kish mal haki varish.
17-02	(Igi) Kem vosanihxi mal hakine rasgelechukh chekhmehxi.
18-00	On sekis
18-01	Heme kishler sumurlash, inanch ma din huerriyetinihxi haki var. Bu hak dinine ene inanchine chorelhxan huerriyet var, yalnizchukh ene kuyrukchukh, kamuchukh ene gizlichukh sanash, etish, dua ma riayet dinine ene inanchine belirtgur dihxen huerriyetler var.
19-00	On Doqus
19-01	Kishler sumurlash ma ifade huerriyetinihxi haki var. Bu hak fikir varer ma girishim dekhmes dihxen huerriyetler var, nang medya vosa la ma ulusal sinirlarne sormes, bilgine ma sumurlashne yihxhxen, dehxhxen ma verhxen huerriyetler var.
20-00	Yihxirme
20-01	(Ber) Kishler barish montaj ma dernek huerriyetleri var.
20-02	(Igi) Kem vosa zorunluchukh derneke girermahxe.
21-00	Yihxirme ber
21-01	(Ber) Kem vosa direktchukh ene huerchukh shueenjue etgen temsilci la uelkesine becherhxur dihxen hak var.
21-02	(Igi) Kem vosa adil firsat la uelkesinihxi hizmetine etgur dihxen hak var.
21-03	(Uj) Kish niyeti devlet guechinihxi temeli der. Bu niyet devresel ma jing shueenjue la kanitlahxe, shueenjue ortak ma adil oy hakiden, isimne pidimes ene benzer oy la etgi.
22-00	Yihxirme igi
22-01	Kish toplumnihxi ueyesi der, toplum garantisine dekhhxur dihxen hak var, haysiyeti ma kishiliki huerchukh gelishtirish dekhhxur dihxen iktisat, toplum ma kueltuer haklarine uygulashen dekhhxur dihxen hak var, bu ulusal ma uluslararasi tarzlar la, ulusal buenye ma kaynakden etgen.
23-00	Yihxirme uj
23-01	(Ber) Heme kishler etgur dihxen, huerchukh ishne sechgur dihxen, adil ma uygun durumne dekhhxur dihxen ma ishsizlik sigortasine dekhhxur dihxen haklar var.
23-02	(Igi) Heme kishler ish adil gunzi adil hak var, fark yokhder.
23-03	(Uj) Kish etgende, adil ma yugun gunzi la iz ma oye kish haysiyetine koruhxan hayat varhxan hak var, gerekli vakhde bashga toplum korumasine dekhgi.
23-04	(Diot) Faizine korushe vule, kem vosa sendikane etgur dihxen ma sendikahxe girhxur dihxen haklar var.
24-00	Yihxirme diot
24-01	Heme kishler khollangur dihxen ma bosh vakit haklari var, etgen vakh makul sinirlama varhxur dihxen ma gunzi varhxur dihxen devirli izinne dekhhxur dihxen haklar var.
25-00	Yihxirme besh
25-01	(Ber) Anihxi ma oychilernihxi sihhatine ma bollukine tutishe vule, kem vosa besgi hayat seviyesine dekhhxur dihxen hak var, ozukh,begerakh, oy, vakhish ma gerekli toplum hizmeti var. Ishsizlik, hastalik, sakatlik, dulluk, khare volesh ene bashga baskisiz durumlerden gechimne yalatgande, korumane dekhhxur dihxen hak var.
25-02	(Igi) Analar ma balalar has bangnashne ma korumane dekhhxur dihxen hak var. Heme balalar, evlilik ishiside ene dashiside dalahxan, adil toplum korumasine dekhgi.
26-00	Yihxirme alte
26-01	(Ber) Heme kishler orhxetin haki var. Orhxetesh yarmakh yokhdergi, azden az ilk ma temel evrelerde besgi der. Ilk orhxetesh zorunlu der. Teknik ma mesleki orhxeteshler umumichukh etgi. Bikhi orhxetesh erdemden heme kishlere adilchukh achge.
26-02	(Igi) Orhxeteshnihxi amachi tamchukh kishilikne gelishesh, kish haklarine ma temel huerriyetlerne uyishne artirish der. Orhxetesh uelkeler, irkler ene din gruplernihxi bilishne, katlanishne ma dostlukne artirgi, Birleshmish Milletler barishne tutgur dihxen eylemlerne artirgi.
26-03	(Uj) Ada ana ohxeli gezinihxi dekhhxur dihxen orhxetesh tuerihxe, eski sechhxen hak var.
27-00	Yihxirme yide
27-01	(Ber) Heme kishler huerchukh toplumnihxi kueltuerel hayate girhxur dihxen, sanatne sevhxur dihxen, bilimsel gelishme ma yararlarine dekhishgur dihxen haklar var.
27-02	(Igi) Kem vosa ilmi, edebi ene artistik ueretimleriden chikhhxen manevi ma maddi faizlere korumane dekhhxur dihxen hak var.
28-00	Yihxirme sekis
28-01	Heme kishler sosyal ma uluslararasi emirne ishdehxur dihxen hak var, bu emirde, bu beyannamede pidihxen haklarine ma huerriyetlerine tamchukh anlahxur.
29-00	Yihxirme doqus
29-01	(Ber) Heme kishler toplume vergi var. Yahxuz toplumde kishiliki huerchukh ma tamchukh gelishtirhxur.
29-02	(Igi) Kish haklarine ma huerriyetlerine jarehxande, yahxuz hukuk sinirleri var. Bu sinirlerne saglahxan amach yahxuz kishnihxi haklarine ma huerriyetlerine tamchukh tanish ma uyish, demokratik toplumde ahlak, asayish ma umumi refahnihxi adil icaplarne uydurish.
29-03	(Uj) Bu haklarne ma huerriyetlerne jaresh, nang durum vosade Birleshmish Milletlernihxi amachlarine ma ilkelerine bozmahxe.
30-00	Odtus
30-01	Bu beyannamede pidish, nang uelke vosa, nang topluluk vosa ene kem vosa nang faaliyet vosa ene nang eylem vosa la bu beyannamede pidihxen haklarne ma huerriyetlerne bozhxan hak var, yeshamahxe.
