00-00	OPShTA DEKLARATSIJA O PRAVIMA ChOVJEKA
02-02	Nadalje, ne smije se chiniti bilo kakva razlika na osnovu politichkog, pravnog ili medjunarodnog polozhaja zemlje ili podruchja kojima neka osoba pripada, bilo da je ovo podruchje nezavisno, pod starateljstvom, nesamoupravno, ili da se nalazi ma pod kojim drugim ogranichenjima suverenosti.
03-00	Chlan 3.
03-01	Svako ima pravo na zhivot, slobodu i osobnu sigurnost.
04-00	Chlan 4.
04-01	Niko ne smije biti drzhan u ropstvu ili ropskom odnosu; ropstvo i trgovina robljem zabranjuje se u svim njikhovim oblitsima.
05-00	Chlan 5.
05-01	Niko ne smije biti podvrgnut muchenju ili okrutnom, nechovjechnom ili ponizhavajudjem postupku ili kazhnjavanju.
06-00	Chlan 6.
06-01	Svako ima pravo da se svagdje pred zakonom priznaje kao osoba.
07-00	Chlan 7.
07-01	Svi su pred zakonom jednaki i imaju pravo, bez ikakve diskriminatsije, na jednaku zashtitu zakona. Svi imaju pravo na jednaku zashtitu protiv bilo kakve diskriminatsije kojom se krshi ova Deklaratsija i protiv svakog podstitsanja na takvu diskriminatsiju.
08-00	Chlan 8.
08-01	Svako ima pravo na djelotvorna pravna sredstva putem nadlezhnikh natsionalnikh sudova zbog djela kojima se krshe osnovna prava koja su mu dodijeljena u Ustavu ili zakonu.
09-00	Chlan 9.
09-01	Niko ne smije biti podvrgnut samovoljnom khapshenju, zatvoru ili izgonu.
10-00	Chlan 10.
10-01	Svako ima pravo da ga u punoj jednakosti poshteno i javno saslusha nezavisan i nepristran sud radi utvrdjivanja njegovikh prava i obaveza i bilo kakve krivichne optuzhbe protiv njega.
11-00	Chlan 11.
11-00	Svako ko je optuzhen za krivichno djelo ima pravo da se smatra nevinim dok se na temelju zakona krivnja ne dokazhe na javnom pretresu na kojem je imao sva jamstva potrebna za svoju odbranu.
11-01	Niko se ne smije smatrati krivim za krivichno djelo na temelju bilo kakvog china ili propusta koji nisu predstavljali krivichno djelo u smislu natsionalnog ili medjunarodnog prava u vrijeme kada su oni bili pochinjeni. Isto tako ne smije se izritsati tezha kazna od one koja se mogla primjeniti kada je krivichno djelo pochinjeno.
12-00	Chlan 12.
12-01	Niko na smije biti izvrgnut samovoljnom mijeshanju u njegov privatni zivot, obitelj, dom ili prepisku, niti napadajima na njegovu chast i ugled. Svako ima pravo na zashtitu zakona protiv ovakvom mijeshanju ili napadu.
13-00	Chlan 13.
13-00	Svako ima pravo na slobodu kretanja i stanovanja unutar granitse svake drzhave.
13-01	Svako ima pravo da napusti bilo koju zemlju, ukljuchujudji svoju vlastitu i da se vrati u svoju zemlju.
14-00	Chlan 14.
14-00	Svako ima pravo da trazhi i uzhiva u drugim zemljama utochishte pred progonima.
14-01	Na to se pravno ne mozhe pozivati u sluchaju progona koji su zaista izazvani nepolitichkim zlochinima ili djelima protivnim tsiljevima i nachelima Ujedinjenikh natsija.
15-00	Chlan 15.
15-00	Svako ima pravo na drzhavljanstvo.
15-01	Niko ne smije samovoljno biti lishen svojeg drzhavljanstva niti mu se smije odredji pravo da promijeni svoje drzhavljanstvo.
16-00	Chlan 16.
16-00	Punoljetni mushkartsi i zhene bez ikakvikh ogranichenja u pogledu rase, drzhavljanstva ili vjere, imaju pravo da sklope brak i da osnuju obitelj. Oni su ravnopravni prilikom sklapanja braka, za vrijeme njegova trajanja i prilikom njegova razvoda.
16-01	Brak se sklapa samo uz slobodan i potpun pristanak onikh koji namjeravaju stupiti u brak.
16-02	Obitelj je prirodna i osnovna drushtvena jedinitsa i ima pravo na zashtitu drushtva i drzhave.
17-00	Chlan 17.
17-00	Svako ima pravo da sam posjeduje imovinu, a isto tako da je posjeduje u zajednitsi s drugima.
17-01	Niko ne smije samovoljno biti lishen svoje imovine.
18-00	Chlan 18.
18-01	Svako ima pravo na slobodu misli, savjesti i vjere; to pravo ukljuchuje slobodu promijeniti svoju vjeru ili vjerovanje i slobodu da se, bilo pojedinachno ili u zajednitsi s drugima, javno ili privatno, ispoljava vjera ili vjerovanje uchenjem, vrshenjem, obredima i odrzhavanjem.
19-00	Chlan 19.
19-01	Svako ima pravo na slobodu mishljenja i izrazhavanja; ovo pravo ukljuchuje slobodu mishljenja bez tudjeg mishljenja a isto tako i trazhenje, primanje i saopchavanje obavjeshtenja i ideja bilo kojim sredstvima i bez obzira na granitse.
20-00	Chlan 20.
20-00	Svako ima pravo na slobodu mirnog okupljanja i udruzhivanja.
20-01	Niko ne mozhe biti primoran da pripada nekom udruzhenju.
21-00	Chlan 21.
21-00	Svako ima pravo da sudjeluje u upravi svoje zemlje, neposredno ili preko slobodno izabranikh predstavnika.
21-01	Svako ima pravo na jednak pristup javnim sluzhbama u svojoj zemlji.
21-02	Volja naroda treba da bude osnova vladine vlasti; ta volja treba da se izrazhava u povremenim i istinskim izborima, koji treba da se provode opshtim i jednakim pravom glasa, tajnim glasanjem ili odgovarajuchim postuptsima slobodnog glasanja.
22-00	Chlan 22.
22-01	Svako, kao Chlan drustva, ima pravo na sotsijalno osiguranje i pravo da ostvaruje ekonomska, sotsijalna i kulturna prava neopkhodna za svoje dostojanstvo i za razvoj svoje lichnosti putem drzhavne pomodji i medjunarodne suradnje a u skladu s organizatsijom i sredstvima svake drzhave.
23-00	Chlan 23.
23-00	Svako ima pravo na rad, na slobodan izbor zaposlenja, na pravichne i povoljne uvjete rada i na zashtitu od nezaposlenosti.
23-01	Svako, bez razlike, ima pravo na jednaku plachu za jednaki rad.
23-02	Svako ko radi ima pravo na pravichnu i povoljnu naplatu koja njemu i njegovoj obitelji osigurava chovjeka dostojni opstanak i koja se, po potrebi, dopunjuje drugim sredstvima sotsijalne zashtite.
23-03	Svako ima pravo da radi zashtite svojikh interesa obrazuje sindikate i da stupa u njikh.
24-00	Chlan 24.
24-01	Svako ima pravo na odmor i dokolitsu ukljuchujudji razumno ogranichenje radnikh sati i periodichne pladjene praznike.
25-00	Chlan 25.
25-00	Svako ima pravo na zhivotni standard koji odgovara zdravlju i dobrobiti njega samoga i njegove obitelji, ukljuchujudji khranu, odjedju, stan i lijechnichku njegu i potrebne sotsijalne usluge, kao i pravo na osiguranje za sluchaj nezaposlenosti, bolesti, nesposobnosti, udovishta, starosti ili drugog pomanjkanja sredstava za zhivot u prilikama koje su izvan njegove modji.
25-01	Majka i dijete imaju pravo na narochitu brigu i pomodj. Sva djetsa, bilo rodjena u braku ili izvan njega, treba da uzhivaju istu sotsijalnu zashtitu.
26-00	Chlan 26.
26-00	Svako ima pravo na obrazovanje. Obrazovanje treba da bude besplatno, bar u osnovnim i nizhim stupnjevima. Osnovno obrazovanje treba da bude obavezno. Tekhnichko i struchno obrazovanje treba da bude opdjenito pristupachno, a i vishe obrazovanje treba takodje da bude svima pristupachno na temelju sposobnosti.
26-01	Obrazovanje treba da bude usmjereno na puni razvitak ljudske lichnosti i na uchvrshdjavanje poshtivanja chovjekovikh prava i osnovnikh sloboda. Ono treba da unapredjuje razumijevanje, snoshljivost i prijateljstvo medju svim narodima, rasnim i vjerskim skupinama, i treba da unapredjuje djelatnost Ujedinjenikh natsija na odrzhavanju mira.
26-02	Roditelji imaju prvenstveno pravo da biraju vstu obrazovanja za svoju djetsu.
27-00	Chlan 27.
27-00	Svako ima pravo da slobodno sudjeluje u kulturnom zhivotu zajednitse, da uzhiva u umjetnosti i da uchestvuje u znanstvenom napretku i u njegovim koristima.
27-01	Svako ima pravo na zashtitu moralnikh i materijalnikh interesa koji proistichu ma od kojeg znanstvenog, knjizhevnog ili umjetnichkog proizvoda kojemu je autor.
28-00	Chlan 28.
28-01	Svako ima pravo na drushtveni i medjunarodni poredak u kojem prava i slobode izlozhene u ovoj Deklaratsiji mogu biti potpuno ostvarene.
29-00	Chlan 29.
29-00	Svako ima obaveze prema zajednitsi iz koje je jedino mogudje slobodno i puno razvijanje njegove lichnosti.
29-01	U vrshenju svojikh prava i sloboda svatko treba da bude podvrgnut samo onim ogranichenjima koja su odredjena zakonom iskljuchivo u tsilju osiguranja duzhnog priznanja i poshtivanja prava i sloboda drugikh i u tsilju zadovoljenja pravichnikh zakhtjeva morala, javnog poretka i opcheg blagostanja u demokratskom drushtvu.
29-02	Ta prava i slobode ni u kojem sluchaju ne mogu se primjenjivati protivno tsiljevima i nachelima Ujedinjenikh natsija.
30-00	Chlan 30.
30-01	Nishta se u ovoj Deklaratsiji ne mozhe tumachiti kao pravo ma koje drzhave, skupine ili osobe da sudjeluje u bilo kojoj djelatnosti ili da vrshi bilo kakvu djelatnost usmjerenu na unishtavanje bilo kojikh ovdje izlozhenikh prava i sloboda.
