00-00	maanavii adhikaaraacaa jaagatik jaahiiranaamaa
12-01	konnaacehi khaajagii jiivan, tyaace kuttumba, ghar athavaa tyaacaa patravyavahaar yaamcyaa sambamdhaat svacchamda ddhavallaaddhavall hotaa kaamaa naye; tyaacapramaanne tyaacii pratisstthaa kimvaa naavalaukik yaavar hallaa hotaa kaamaa naye. ashii ddhavallaaddhavall kimvaa hallaa jhaalyaas tyaaviruddha pratyekaas kaayadyaane samrakssann millannyaacaa adhikaar aahe.
13-00	kalam 13 :
13-01	pratyekaas pratyek raassttraacyaa haddiit samcaar va vaastavya karannyaace svaatamtrya asannyaacaa adhikaar aahe.
13-02	pratyekaas svatahcaa desh dharuun konnataahi desh sodduun jaannyaacaa athavaa svatahcyaa deshaat parat yennyaacaa adhikaar aahe.
14-00	kalam 14 :
14-01	pratyekaas challaapaasuun muktataa karuun dhennyaasaatthii itar deshaat aashraya millavinnyaacaa va to upabhogannyaacaa adhikaar aahe.
14-02	araajakiiya svaruupaacyaa gunhyaamcyaa sambamdhaat athavaa samyukta raassttra samghattanecyaa uddissttaamshii va tatvaamshii viruddha asalelyaa krtyaamcyaa sambamdhaat vastutah udbhavalelyaa khattalyaamcyaa baabatiit prastut adhikaaraacaa aashraya ghetaa yennaar naahii.
15-00	kalam 15 :
15-01	pratyekaamsa raassttriiyatva millannyaacaa adhikaar aahe.
15-02	konnaacehii raassttriiyatva svacchamdatah hiraavuun dhetale jaataa kaamaa naye. tasec konnaasahii aapale raassttriiyatva badalannyaacaa adhikaar naakaarataa kaamaa naye.
16-00	kalam 16 :
16-01	vayaat aalelyaa purussaamnaa va striyaamnaa vamsha, raassttriiyatva athavaa dharma yaamce konnatehii bamdhan, konnataahii nirbamdha na tthevataa vivaah karannyaacaa va kauttumbik jiivan jagannyaacaa adhikaar aahe. vivaahaacyaa sambamdhaat vaivaahik jiivan caaluu asataanaa aanni vivaah vicchedanaacyaa vellii tyaamnaa samaan adhikaar millannyaacaa hakka aahe.
16-02	niyojit joddiidaaraamnii svecchene va puurnna sammatii dilii asel tarac vivaah karaavaa.
16-03	kuttumba he samaajaacaa ek svaabhaavik va muulabhuut saamuuhik ghattak aahe. va tyaas samaajaakadduun aanni shaasanaakadduun samrakssann millannyaacaa hakka aahe.
17-00	kalam 17 :
17-01	pratyekaas ekattyaacyaa naavaavar tasec itaraambarobar maalamaatta dhaarann karannyaacaa adhikaar aahe.
17-02	konnaaciihii maalamattaa svacchamdatah hiraavuun dhetalii jaataa kaamaa naye.
18-00	kalam 18 :
18-01	pratyekaas vicaarasvaatamtrya, aapalyaa sadasadvivekabuddhinusaar vaagannyaace svaatamtrya asannyaacaa adhikaar aahe yaa adhikaaraamta svatahcaa dharma athavaa shraddhaa badalannyaacyaa svaatamtryaacaa aanni ekattyaane vaa itaraamsah saamudaayikariityaa aapalaa dharma athavaa shraddhaa, shikavannukiit, vyavahaaraat, upaasanet va aacarannaat jaahiir riitiine athavaa khaasagii riitiine vyakta karannyaaccaa svaatamtryaacaa samaavesh hoto.
19-00	kalam 19 :
19-01	pratyekaas matasvaatamtrya va bhaassannasvaatamtrya asannyaacaa adhikaar aahe. yaa adhikaaraat konnatiihii ddhavallaaddhavall na hotaa mat baallagannyaacyaa svaatamtryaacaa. tasec konnatyaahii maadhyamaatuun va siimaamcaa vicaar na karataa maahitii va vicaar grahann karannyaacaa prayatna karanne, tii millavinne va itaraamnaa tii denne yaasambamdhiicyaa svaatamtryaacaa samaavesh hoto.
20-00	kalam 20 :
20-01	pratyekaas shaamtataapuurnna sabhaa svaatamtrya va samghattanaa asannyaacaa adhikaar aahe.
20-02	konnaabarahii konnatyaahii samghattanecaa sabhaasad honnyaacii saktii asataa kaamaa naye.
21-00	kalam 21 :
21-01	pratyekaas aapann svatah athavaa aapalyaa icchenuruup vivaddalelyaa aapalyaa pratinidhimaarphat aapalyaa deshaacyaa shaasanaat bhaag ghennyaacaa adhikaar aahe.
21-02	pratyekaas aapalyaa deshaacyaa shaasakiiya sevet pravesh millannyaacaa samaan adhikaar aahe.
21-03	janatecii icchaa hii shaasakiiya praadhikaaraacaa paayaa asalii paahije. janatecii hii icchaa va samaan va saarvatrik matadaanaacyaa adhikaaraavar aadhaaralelyaa niyatakaalik va kharyaakhuryaa nivaddannukaamdvaare vyakta jhaalii paahije va yaa nivaddannukaa gupta matadaanapaddhatiine athavaa tyaasaarakhyaacaa nidhabamrahit paddhatiine dhetalyaa paahijet.
22-00	kalam 22 :
22-01	pratyekaas samaajaacaa ek ghattak yaa naatyaane saamaajik surakssitataa praapta karuun ghennyaacaa adhikaar aahe aanni raassttriiya prayatna va aamtararaassttriiya sahakaarya yaamcyaa dvaare va pratyek raassttraacyaa vyavasthenusaar va saadhanasammatiinusaar aapalyaa pratisstthes va aapalyaa vyaktimatvaacyaa mukta vikaasaasaatthii anivaarya asalele aarthik, saamaajik va saamskrtik adhikaar sampaadan karannyaacaa hakka aahe.
23-00	kalam 23 :
23-01	pratyekaas kaam millannyaacaa, aapalyaa icchenuruup kaam nivaddannyaacaa, kaamaacyaa nyaayya va anukuul shartiicaa phaayadaa millannyaacaa va bekaa riipaasan samrakssann millannyaamcaa adhikaar aahe.
23-02	konnatyaahii prakaare bhedabhaav na karataa pratyekaas samaan kaamaabaddal samaan vetan millannyaacaa adhikaar aahe.
23-03	kaam karannaaryaa pratyek vyaktiis svatahlaa va aapalyaa kuttumbaalaa maanavii pratisstthes saajese jiivan jyaa yoge jagataa yeiil ase nyaayya va yogya paarishramik va jaruur laagalyaas tyaashivaaya saamaajik samrakssannaacii itar saadhane millannyaacaa adhikaar aahe.
23-04	pratyekaas aapalyaa hitasambamdhaamcyaa samrakssannaartha samgha sthaapan karannyaacaa va tyaacaam sadasya honnyaacaa adhikaar aahe.
24-00	kalam 24 :
24-01	vaajavii maryaamdaa asalele kaamaace taas va ttharaavik mudatiine pagaarii suttyaa dharuun pratyekaas vishraamti va aaraam millannyaacaa adhikaar aahe.
25-00	kalam 25 :
25-01	pratyekaas svatahce va aapalyaa kuttumbiyaamce aarogya va svaastha yaamcyaa drssttiine samucit raahanniimaan raakhannyaacaa adhikaar aahe. yaamadhye anna, vastra, nivaaraa, vaidyakiiya madat va aavashyak saamaajik soii yaa gossttiimcaa amtarbhaav hoto. tyaacapramaanne bekaaraa, aajaarapann, apamgataa vaidhavya kimvaa vaardhakya yaamulle kimvaa tyaacyaa aavaakyaabaaheriil paristhitiimulle udaranirvaamhaace dusare saadhan upalabdha nasalyaas surakssitataa millannyaacaa adhikaar aahe.
25-02	maataa va mule yaamnaa vishess dekharekh va madat millannyaacaa hakka aahe: sarva mulaamnaa mag tii auras asot kimvaa anauras, asot saarakhec saamaajik samrakssann millaale paahije.
26-00	kalam 26 :
26-01	pratyekaas shikssann millannyaacaa adhikaar aahe. nidaan praathamik va muulaavasthetiil shikssann mophat asale paahije. maadhyamik shikssann saktiice asale paahije. taamtrik va vyaavasaayik shikssann sarvasaadhaarannapanne upalabdha karuun dennyaat aale paahije aanni ucca shikssann gunnavattepramaanne sarvaanaa saarakhec upalabdha asale paahije.
26-02	jyaayoge maanavii vyaktimatvaacaa sampuurnna vikaas saaghel va maanavii adhikaar aanni muulabhuut svaatamtrya yaavissayiicii aadarabhaavanaa drddha hoiil ashii shikssannaacii dishaa asalii paahije. tasec shikssannaane sarva raassttraammadhye aanni vaamshik kimvaa dhaarmik gattaammadhye salokhaa, sahissnnutaa va maitrii vrddhiimgat jhaalii paahije. shivaaya tyaayoge shaamtataa raakhannyaasambamdhiicyaa samyukta raassttraamcyaa kaaryaas caalanaa millaalii paahije.
26-03	aapalyaa mulaamnaa konnatyaa prakaarace shikssann dennyaat yaave he ttharavinnyaacaa puurvaadhikaar maataapityaamnaa aahe.
27-00	kalam 27 :
27-01	pratyekaas samaajaatiil saamskrtik jiivanaat mokallepannaane bhaag dhennyaacaa kalaamcaa aanamda upabhogannyaacaa aanni vaijnyaanik pragati va ticyaapaasuun millannaare phaayade yaamta sahabhaagii honnyaacaa adhikaar aahe.
27-02	aapann nirmaann kelelyaa konnatyaahi vaijnyaanik, saahityik kimvaa kalaatmak krtiipaasuun nisspanna honnaaryaa naitik va bhautik hitasambamdhaamnaa samrakssann millannyaacaa pratyekaas adhikaar aahe.
28-00	kalam 28 :
28-01	hyaa jaahiiranaamyaat grathit kelele adhikaar va svaatamtrya puurnnapanne saadhya karataa yetiil ashaa saamaajik va aamtararaassttriiya vyavasthecaa pratyekaas hakka aahe.
29-00	kalam 29 :
29-01	samaajaamadhyec aapalyaa vyaktimatvaacaa vikaas puurnnapanne va nirvedhapanne karataa yet asalyaamulle pratyek vyaktiicii samaajaaprat kaahii kartavye asataat.
29-02	aapale adhikaar va svaatamtrya yaamcaa upabhog dhetaanaa itaraamce adhikaar va svaatamtrya yaas yogya maanyataa millaavii va tyaamcaa yogya to aadar raakhalaa jaavaa aanni lokashaahii samaajavyavasthet niitimattaa, saarvajanik suvyavasthaa va sarvasaadhaarann lokaamce kalyaann yaasambamdhaatiil nyaayya ashaa aavashyak gossttii puurnna kelyaa jaavyaat yaa aanni kevall yaac kaarannaa saatthii kaayadyaane jyaa maryaamdaa dhaaluun dilyaa asatiil tyaac maryaamdaamcyaa adhiin pratyek vyaktiis rahaave laagel.
29-03	samyukta raassttraamce uddesh va tattve yaamcyaashii virodhii ttharel ashaa riitiine hyaa adhikaaraamcaa va svaatamtryaacaa konnatyaahi karataa sthitiit vaapar karataa kaamaa naye.
30-00	kalam 30 :
30-01	hyaa jaahiiranaamyaat grathit kelelyaa adhikaaraampakii konnatehi adhikaar va svaatamtrye nasstta karannyaacyaa uddeshaane konnatahi haalacaal karannyaacaa kimvaa konnatehii krtya karannyaacaa adhikaar konnatyaahi raassttraas, gattaas kimvaa vyaktiis aahe ase dhvanit hoiil ashaa riitiine hyaa jaahiiranaamyaatiil konnatyaahi majakuraacaa artha laavataa kaamaa naye.
