00-00	IKEDE KARIAYE FUN ETO OMONIYAN
01-01	Gbogbo eniyan ni a bi ni ominira; iyi ati eto kookan si dogba. Won ni ebun ti laakaye ati ti eri-okan, o si ye ki won o maa huwa si ara won gege bi omo iya.
02-00	Abala keji.
02-01	Eni kookan lo ni anfani si gbogbo eto ati ominira ti a ti gbe kale ninu ikede yii laifi ti oro iyato eya kankan se; iyato bi i ti eya eniyan, awo, ako-n-babo, ede, esin, eto iselu tabi iyato nipa ero eni, orile-ede eni, orirun eni, ohun ini eni, ibi eni tabi iyato miiran yoowu ko je. Siwaju si i, a ko gbodo ya enikeni soto nitori iru ijoba orile-ede re ni awujo awon orile-ede tabi nitori eto-iselu tabi eto-idajo orile-ede re; orile-ede naa ibaa wa ni ominira tabi ki o wa labe isakoso ile miiran, won ibaa ma daa ijoba ara won se tabi ki won wa labe ikani-lapa-ko yoowu ti ibaa fe di ominira won lowo gege bi orile-ede.
03-00	Abala keta.
03-01	Eni kookan lo ni eto lati wa laaye, eto si ominira ati eto si aabo ara re.
04-00	Abala kerin.
04-01	A ko gbodo mu enikeni ni eru tabi ki a mu un sin; eru nini ati o wo eru ni a gbodo fi ofin de ni gbogbo ona.
05-00	Abala karun-un.
05-01	A ko gbodo da eni keni loro tabi ki a lo o ni ilo ika ti ko ye omo eniyan tabi ilo to le tabuku eda eniyan.
06-00	Abala kefa.
06-01	Eni kookan lo ni eto pe ki a ka a si gege bi eniyan labe ofin ni ibi gbogbo.
07-00	Abala keje.
07-01	Gbogbo eniyan lo dogba labe ofin. Won si ni eto si aa bo labe ofin laisi iyasoto kankan. Gbogbo eniyan lo ni eto si aabo to dogba kuro lowo iyasoto yoowu ti ibaa lodi si ikede yii ati eto kuro lowo gbogbo ohun to ba le ti eniyan lati se iru iyasoto bee.
08-00	Abala kejo.
08-01	Eni kookan lorile-ede, lo ni eto si atunse to joju ni ile-ejo fun iwa to lodi si eto omoniyan, to je ko-see-ma-nii gege bo se wa labe ofin ati bi ofin-ipile se la a sile.
09-00	Abala kesan-an.
09-01	A ko gbodo sadede fi ofin mu eniyan tabi ki a kan gbe eniyan ti mole, tabi ki a le eniyan jade ni ilu lainidii.
10-00	Abala kewaa.
10-01	Eni kookan ti a ba fi esun kan lo ni eto to dogba, to si kun, lati salaye ara re ni gbangba, niwaju ile-ejo ti ko segbe, ki won le se ipinnu lori eto ati ojuse re nipa iru esun oran dida ti a fi kan an.
11-00	Abala kokanla.
11-01	Enikeni ti a fi esun kan ni a gbodo gba wi pe o jare titi ebi re yoo fi han labe ofin nipase idajo ti a se ni gbangba ninu eyi ti eni ti a fi esun kan yoo ti ni gbogbo ohun ti o nilo lati fi se awijare ara re.
11-02	A ko gbodo da ebi ese fun enikeni fun pe o hu iwa kan tabi pe o se awon afojufo kan nigba to je pe lasiko ti eyi sele, iru iwa bee tabi iru afojufo bee ko lodi si ofin orile-ede eni naa tabi ofin awon orile-ede agbaye miiran. Bakan naa, ijeniya ti a le fun eni to dese ko gbodo ju eyi to wa ni imulo ni asiko ti eni naa da ese re.
12-00	Abala kejila.
12-01	Eni kookan lo ni eto pe ki a ma sadede se ayojuran si oro igbesi aye re, tabi si oroebi re tabi si oro idile re tabi iwe ti a ko si i; a ko si gbodo ba iyi ati oruko re je. Eni kookan lo ni eto si aabo labe ofin kuro lowo iru ayojuran tabi ibanije bee.
13-00	Abala ketala.
13-01	Eni kookan lo ni eto lati rin kaakiri ni ominira ki o si fi ibi to ba wu u se ibugbe laarin orile-ede re.
13-02	Eni kookan lo ni eto lati kuro lorile-ede yoowu ko je, to fi mo orile-ede tire, ki o si tun pada si orile-ede tire nigba to ba wu u.
14-00	Abala kerinla.
14-01	Eni kookan lo ni eto lati wa aabo ati lati je an fani aabo yii ni orile-ede miiran nigba ti a ba n se inunibini si i.
14-02	A ko le lo eto yii fun eni ti a ba pe lejo to daju nitori e se ti ko je mo oro iselu tabi ohun miiran ti o se ti ko ba ete ati igbekale Ajo-isokan orile-ede agbaye mu.
15-00	Abala keeedogun.
15-01	Eni kookan lo ni eto lati je omo orile-ede kan.
15-02	A ko le sadede gba eto jije omo orile-ede eni lowo enikeni lainidii tabi ki a ko fun enikeni lati yan lati je omo orile-ede miiran.
16-00	Abala kerindinlogun.
16-01	Tokunrin tobinrin to ba ti balaga lo ni eto lati fe ara won, ki won si da ebi ti won sile laisi ikanilapa-ko kankan nipa eya won, tabi orile-ede won tabi esin won. Eto won dogba ninu igbeyawo ibaa je nigba ti won wa papo tabi leyin ti won ba ko ara won.
16-02	A ko gbodo se igbeyawo kan laije pe awon ti o fe fe ara won ni ominira atokanwa to peye lati yan funra won.
16-03	Ebi je ipile pataki adanida ni awujo, o si ni eto pe ki awujo ati orile-ede o daabo bo o.
17-00	Abala ketadinlogun.
17-01	Eni kookan lo ni eto lati da ohun ini ara re ni tabi lati ni in papo pelu awon miiran.
17-02	A ko le sadede gba ohun ini eni kan lowo re lainidii.
18-00	Abala kejidinlogun.
18-01	Eni kookan lo ni eto si ominira ero, ominira eri-okan ati ominira e sin. Eto yii si gbani laaye lati paaro e sin tabi igbagbo eni. O si fun eyo eni kan tabi akojopo eniyan laaye lati se esin won ati igbagbo won bo se je mo ti ikoni, isesi, ijosin ati imuse ohun ti won gbagbo yala ni ikoko tabi ni gbangba.
19-00	Abala kokandinlogun.
19-01	Eni kookan lo ni eto si omi nira lati ni imoran ti o wu u, ki o si so iru imoran bee jade; etoyii gbani laaye lati ni imoran yoowu laisi atako lati odo enikeni lati wadii oro, lati gba imoran lodo elomiran tabi lati gbani niyanju lonakona laika aala orile-ede kankan kun.
20-00	Abala ogun.
20-01	Eni kookan lo ni eto si ominira lati pe jo po ati lati dara po mo awon miiran ni alaafia.
20-02	A ko le fi ipa mu enikeni dara po mo egbe kankan.
21-00	Abala kokanlelogun.
21-01	Eni kookan lo ni eto lati kopa ninu isakoso orile-ede re, yala funra re tabi nipase awon asoju ti a ko fi ipa yan.
21-02	Eni kookan lo ni eto to dogba lati se ise ijoba ni orile-ede re.
21-03	I fe awon eniyan ilu ni yoo je okuta ipile fun a se ijoba; a o maa fi ife yii han nipase ibo tooto ti a o maa di lati igba de igba, ninu eyi ti eni kookan yoo ni eto si ibo kan soso ti a di ni ikoko tabi nipase iru o na idibo miiran ti o ba iru idibo bee mu.
22-00	Abala kejilelogun.
22-01	Eni kookan gege bi eya ninu awujo lo ni eto si idaabo bo lati owo ijoba ati lati je an fa ni awon eto ti o ba oro-aje, iwa lawujo ati asa abinibi mu; awon eto ti o je ko-see-ma-nii fun iyi ati idagbasoke eda eniyan, nipa akitiyan ninu orile-ede ati ifowosowo po laarin awon orile-ede ni ibamu pelu eto ati ohun alumoni orile-ede kookan.
23-00	Abala ketalelogun.
23-01	Eni kookan lo ni eto lati sise, lati yan iru ise ti o wu u, labe adehun ti o to ti o si tun rorun, ki o si ni aabo kuro lowo airise se.
23-02	Eni kookan lo ni eto lati gba iye owo ti o dogba fun iru ise kan naa, laisi iyasoto kankan.
23-03	Eni kookan ti o ba n sise ni eto lati gba owo osu ti o to ti yoo si to fun oun ati ebi re lati gbe aye ti o bu iyi kun eniyan; a si le fi kun owo yii nipase orisii awon eto iranlowo miiran nigba ti o ba ye.
23-04	Eni kookan lo ni eto lati da egbe osise sile ati lati dara po mo iru egbe; bee lati daabo bo awon ohun ti o je e logun.
24-00	Abala kerinlelogun.
24-01	Eni kookan lo ni eto si isinmi ati faaji pelu akoko ti ko po ju lenu ise ati asiko isinmi lenu ise lati igba de igba ti a o sanwo fun.
25-00	Abala keeedogbon.
25-01	Eni kookan lo ni eto lati gbe igbe aye to boju mu ninu eyi ti oun ati ebi re yoo wa ni ilera ati alaafia, ti won yoo si ni ounje, aso, ilegbee, ati an fani fun iwosan ati gbogbo ohun to le mu eda gbe igbe aye rere. Bakan naa, eni kookan lo tun ni aabo nigba ainiselowo, nigba aisa n, nigba to ba di alaabo-ara, ni ipo opo, nigba ogbo re tabi igba miiran ti eniyan ko ni ona lati ri ounje oo jo, ti eleyii ki i si i se ebi oluwa re.
25-02	A ni lati pese itoju ati iranlowo pataki fun awon abiyamo ati awon omode. Gbogbo awon omode yoo maa je awon an fani aabo kan naa ninu awujo yala awon obi won fe ara won ni tabi won ko fe ara won.
26-00	Abala kerindinlogbon.
26-01	Eni kookan lo ni eto lati ko eko. O kere tan, eko gbodo je ofe ni awon ile-eko alakoobere. Eko ni ile-eko alakoobere yii si gbodo je dandan. A gbodo pese eko ise-owo, ati ti imo-ero fun awon eniyan lapapo. An fani to dogba ni ile-eko giga gbodo wa ni arowoto gbogbo eni to ba to si.
26-02	Ohun ti yoo je ete eko ni lati mu ilosiwaju to peye ba eda eniyan, ki o si tubo ri i pe awon eniyan bowo fun eto omoniyan ati awon ominira won, to je ko-see-ma-nii. E to eko gbodo le ri i pe emi; igbora-eni-ye, ibagbepo alaafia, ati ife ore-si-ore wa laarin orile-ede, laarin eya kan si omiran ati laarin elesin kan si omiran. E to-eko si gbodo kun awon akitiyan Ajo-isokan orile-ede agbaye lowo lati ri i pe alaafia fidi mule.
26-03	Awon obi lo ni eto to ga ju lo lati yan eko ti won ba fe fun awon omo won.
27-00	Abala ketadinlogbon.
27-01	Eni kookan lo ni eto laije pe a fi ipa mu un lati kopa ninu apapo igbe aye awujo re, ki o je igbadun gbogbo ohun amuse wa ibe, ki o si kopa ninu idagbasoke imo sayen si ati awon an fani to n ti ibe jade.
27-02	Eni kookan lo ni eto si aabo an fani imoyi ati ohun ini ti o je yo lati inu ise yoowu ti o ba se ibaa se imo sayen si, iwe kiko tabi ise ona.
28-00	Abala kejidinlogbon.
28-01	Eni kookan lo ni eto si eto ninu awujo re ati ni gbogbo awujo agbaye nibi ti awon eto ominira ti a ti gbe kale ninu ikede yii yoo ti je mimuse.
29-00	Abala kokandinlogbon.
29-01	Eni kookan lo ni awon ojuse kan si awujo, nipase eyi ti o fi le see se fun eni naa lati ni idagbasoke kikun gege bi eda eniyan.
29-02	O fin yoo de eni kookan lati fi owo ati imoyi ti o to fun eto ati ominira awon elomiran nigba ti eni naa ba n lo awon eto ati ominira ara re. E yi wa ni ibamu pelu ona to ye, to si to lati fi bani lo ninu awujo fun ire ati alaafia awujo naa ninu eyi ti ijoba yoo wa lowo gbogbo eniyan.
29-03	A ko gbodo lo awon eto ati ominira wonyi rara, ni ona yoowu ko je, to ba lodi si awon ete ati igbekale Ajo-apapo orile-ede agbaye.
30-00	Abala ogbon.
30-01	A ko gbodo tumo ohunkohun ninu ikede yii gege bi ohun ti o fun orile-ede kan tabi akojopo awon eniyan kan tabi enikeni ni eto lati se ohunkohun ti yoo mu iparun ba eyikeyii ninu awon eto ati ominira ti a kede yii.
