00-00	Chikalata Cha Mgwirizano Chofotokoza Za Ufulu Wa Chibadwidwe Wa Munthu Aliyense
15-02	Palibe amene adzalandidwe mtundu wake kapena kuletsedwa kusintha mtundu wake mosatsatira malamulo.
16-00	Ndime 16
16-01	Amuna ndi akazi okhwima m'maganizo ndi mu msinkhu, mosaganizira mtundu, maonkedwe a khungu kapena chipembedzo, ali ndi ufulu kukwatira kapena kukwatiwa ndi kuyamba banja. Iwowa ali ndi ufulu, ofanana pankhani za ukwati, pomwe ali mbanja kudzanso pothetsa banja.
16-02	Ukwati udzamangidwa pokhapokha ngati anthu ofuna kumanga banjawo avomereza mosakakamizidwa.
16-03	Banja ndi lofunika kwambiri pachikhalidwe cha anthu choncho n'kofunika kuti lipatsidwe chitetezo ndi dziko.
17-00	Ndime 17
17-01	Aliyense ali ndi ufulu kukhala ndi katundu kapena chuma payekha kapena mogwirizana ndi ena.
17-02	Palibe amene adzalandidwa katundu kapena chuma mosatsatira malamulo.
18-00	Ndime 18
18-01	Aliyense ali ndi ufulu wamaganizo, chikumbumtima ndi chipembedzo; ufuluwu ukhudzanso ufulu wotha kusintha chipembedzo kapena chikhulupiliro, ndi mtendere, kaya payekha kapena mogwirizana ndi ena, pagulu kapena mwachinsinsi, kuonetsa chipembedzo kapena chikhulupiliro pophunzitsa, kuchita, kupembedza ndi kutsatira chipembedzocho.
19-00	Ndime 19
19-01	Aliyense ali ndi ufulu kuganiza ndi kulankhula, zakukhosi, ufuluwu ukukhudzanso kukhala ndi maganizo popanda chopinga ndiponso kufufuza, kulandira ndi kufalitsa mauthenga ndi maganizo a mtundu uliwonse kudzera pa wailesi kapena njira ina iliyonse popanda malire.
20-00	Ndime 20
20-01	Aliyense ali ndi ufulu kulowa bungwe lililonse ndi kusonkhana mwamtendere.
20-02	Pasakhale munthu aliyense amene angakakamizidwe kulowa bungwe lililonse.
21-00	Ndime 21
21-01	Aliyense ali ndi ufulu kutenga nawo mbali pa kayendetsedwe ka dziko lake, mwa iye mwini kapena kudzera mwa nthumwi yosankhidwa mosaumirizidwa.
21-02	Aliyense ali ndi ufulu wofanana pofuna ntchito zoyendetsedwa ndi boma m'dziko lake.
21-03	Chifuniro cha anthu ndicho chikhale magwero a mphamvu za boma; chifunirochi chidzaonetsedwa pochita chisankho choona kawirikawiri chomwe chidzakhale cha aliyense ndiponso chosakondera, ndipo chidzakhala cha chinsinsi kapena cha njira ina iliyonse yofanana ndi iyi.
22-00	Ndime 22
22-01	Aliyense, monga m'modzi wa gulu la anthu, ali ndi ufulu kulandira chithandizo kuchokera ku boma ndipo adzakwaniritsa izi, kudzera m'mphamvu za dziko, ndi mgwirizano ndi maiko ena ndiponso motsatira kayendetsedwe ndi kapezedwe ka chuma ka dziko lililonse, chithandizo cha chuma, zofunikira pa moyo ndi chikhalidwe chake zomwe ndi mbali ya ulemu wake ndipo n'zofunika pa kakulidwe ka umunthu wake.
23-00	Ndime 23
23-01	Aliyense ali ndi ufulu kugwira ntchito, kusankha ntchito yomwe akufuna, kukhala ndi zoyenereza pa ntchito, ndiponso kutetezedwa ku ulova.
23-02	Aliyense, mopanda tsankho, ali ndi ufulu kulandira malipiro ofanana pa ntchito yofanana.
23-03	Aliyense amene akugwira ntchito ali ndi ufulu kulandira malipiro oyenera otha kumupatsa iye ndi banja lake moyo wodzilemekeza ndiponso, ngati n'kofunika, apeze njira zina zodzitetezera pa umoyo wake.
23-04	Aliyense ali ndi ufulu kukhazikitsa kapena kulowa mabungwe a anthu ogwira ntchito pofuna kuteteza zomupindulira zake.
24-00	Ndime 24
24-01	Aliyense ali ndi ufulu kupuma ndi kupeza msangulutso kuonjezerapo kukhala ndi maola ogwilira ntchito oyenera ndiponso tchuthi cholipilidwa nthawi ndi nthawi.
25-00	Ndime 25
25-01	Aliyense ali ndi ufulu kukhala ndi moyo wathanzi payekha kapena ndi banja lake, kuonjezerapo kukhala ndi chakudya, zovala, nyumba ndi chithandizo cha mankhwala ndi zina zofunikla pa umunthu wake, ndiponso ufulu wa chitetezo ngati iye sali pa ntchito, akudwala, walumala, wafedwa, wakalamba, kapena akusowa zofunika pa moyo wake pa zifukwa zimene iye sangathe kuchitapo kanthu.
25-02	Umayi ndi umwana uyenera kuthandizidwa ndi kusamalidwa mwapadera. Ana onse obadwa m'banja lozindikirika mwalamulo kapena losazindikirika adzatetezedwa umoyo wao mofanana.
26-00	Ndime 26
26-01	Aliyense ali ndi ufulu kuphunzira. Maphunziro akhale aulele makamaka ku pulaimale. Maphunziro a pulaimale akhale oumiliza. Maphunziro a zaluso ndi ena akhale opezeka ndipo maphunziro apamwamba a m'makoleji akhale opezeka kwa aliyense mofanana ndi nzeru zake.
26-02	Maphunziro adzalinga kutukula umunthu, kulimbitsa ndi kulemekeza ufulu wa chibadwidwe wa munthu ndi ufulu wina ofunika. Adzapititsa mtsogolo kumvetsa, kulemekeza maganizo a anthu ena, ubale wa maiko, mtundu, kapena magulu a zipembedzo, ndipo adzapititsa mtsogolo ntchito za bungwe la mgwirizano wa maiko (United Nations) posungitsa bata.
26-03	Makolo ali ndi ufulu woyamba kusankha mtundu wa maphunziro amene akufunira ana awo.
27-00	Ndime 27
27-01	Aliyense ali ndi ufulu kutenga nawo mbali pa zachikhalidwe cha anthu, kusangalala ndi zaluso ndiponso kugawana za sayansi ndi phindu lake.
27-02	Aliyense ali ndi ufulu kutetezeredwa zomupindulira zonse zomwe zili zotsatira za ntchito ya sayansi, zolembalemba, kapena zaluso zina zomwe iye ndi mlembi wake.
28-00	Ndime 28
28-01	Aliyense ali oyenera kukhala bata ndi mtendere pa zomuthandiza pa moyo wake m'dziko lake ndi m'maiko mwina momwe ufulu wa chibadwidwe ndi ufulu wina walembedwa m'chikalata chino ungakwaniritsidwe kwathunthu.
29-00	Ndime 29
29-01	Aliyense payekha ali ndi udindo kwa anthu ena amene akukhala nawo popeza ndi mwaiwo m'mene angathe kukwaniritsa umunthu wake kwathunthu momasuka.
29-02	Pokwaniritsa ufulu wake wachibadwidwe ndi ufulu wina, aliyense adzakhala ndi malire pokhapokha malamulo atero ndi cholinga chokwaniritsa kuzindikira ndi kulemekeza ufulu wachibadwidwe ndi ufulu wina wa ena ndiponso kukwaniritsa chilungamo, bata ndi kukhala bwino kwa anthu m'dziko lokomera anthu onse.
29-03	Ufulu wa chibadwidwewu ndi ufulu wina usagwiritsidwe ntchito mosagwirizana ndi zolinga ndi mfundo za bungwe la mgwirizano wa maiko (United Nations).
30-00	Ndime 30
30-01	Palibe chilichonse m'chikalata chino chomwe chingatanthauziridwe kuti dziko lililonse, gulu kapena munthu aliyense ali ndi ufulu kuchita chinthu ndi cholinga choononga ufulu wachibadwidwe ndi ufulu wina omwe wakhazikitsidwa m'chikalatachi.
