00-00	xuanyanquanshijierenquanlianheguo
16-03	jiatingluodanweiziranbajibenshehuibadeshehuibajiaruobaowei. 
17-00	tiao17: 
17-01	meidiaoquansuoyoucaichanhaizhongrengke. 
17-02	kongaibeixueduocaichangeduduan. 
18-00	tiao18: 
18-01	meidiaoquanziyoutui, yishibazongjiao, jigeziyouzongjiaohaixinyang, baziyoutixianzongjiaohuoxinyangxingshichuanbo, shixing, fenghuolijie, zigegerenhaijiti, gongkaihaisi. 
19-00	tiao19: 
19-01	meidiaoquanziyouyanlunbasuguandian;jigeziyoubaoliuyijiankongfushubujushiganshemian, gongruziyouxunjian, shouren, chuanbotongxinbayijianpingbujufangbiantongxindazhongmianbakongjiexianbianjie. 
20-00	tiao20: 
20-01	meidiaoquanziyouhexingbacanjiaxiehuigeheping. 
20-02	kongaibeibapeicanjiaxiehuimian. 
21-00	tiao21: 
21-01	meidiaoquancanjiazhengquanruo, gezhijiehaitongguorengdaimiandeziyoushu. 
21-02	meidiaoquandexianggeyiwugonggongtanruogepingdeng. 
21-03	yizhirenminluojichuzaoquanlizhengquan;yizhinedetixianguogejubaojudingqibashishi, raoyuanzepiaoputongbapingdengbadeshixianguopiaojinhuoguogeshouxupiaoziyouxiangshi. 
22-00	tiao22: 
22-01	zigeluochengyuanshehui, meidiaoquandexiangbaoxianshehuigongrudeshixiangequanjingji, shehuibawenhuakongtishaoduirenpinbaziyoufazhanrenge, tongguonuliguojia, hezuoguojibafuhexitongzuzhibayuanlimeiguojia. 
23-00	tiao23: 
23-01	meidiaoquanzhaoyi, ziyoushugongyi, dexiangtiaojianzhaoyigongpingbashunlibadebaoweiliqingzhuangshiye. 
23-02	meidiaoquandegongangraozhugongyirurao, kongbujushifenbieduichumian. 
23-03	meilaodongdiaoquandexiangzhiduchoulaogongpingbashunlidanbaozhushicunzaibenshenbajiatingchengdangrenpinbadehuzhutianzigexingshibaozhushehuike, qinqie. 
23-04	meidiaoquanchenglibacanjiagezuzhigongtuandibaoweiquanli. 
24-00	tiao24: 
24-01	meidiaoquannibajiezhi, jigequandexianzhihelishuzhaoyibaxiangrengnidingqideliang. 
25-00	tiao25: 
25-01	meidiaoquandexiangdidanbaoshiyibafulibenshenbajiating, gee, , wu, yijibageyiwushehuiqinqieke, gongruquandebaoxianchangheshiye, yin, canji, gua, huoshaofangbianshengyourenghuanjingkeguanyueguokenengjianshua. 
25-02	gepomeibayanqindeshuobatuotebie. bigeyan, shenghuowaijiaqu, diaodexiangdubaozhushehuirurao. 
26-00	tiao26: 
26-01	meidiaoquandexuexing. peiyayongzhidujiaoyumianfei, 1luowuxiaoxuebajiaoyujichu. jiaoyuxiaoxueluoba. jiaoyujishubagengyipeibingputong, bajiaoyugaoxuepeiraoyuanzegongpingzhubujuaikeneng. 
26-02	jiaoyupeixiangmubiaofazhanrengebacudishizunzhongduigequanbaziyoujiben. jiaoyupeizengqiangshixiaobie, weitabaqingpengyoubigegeminzu, gezongjiaobazhongzu, gongrupeidimenggehuodonglianheguoweimudechanningheping. 
26-03	, meiquanyouxianshuleixingjiaoyuzhu. 
27-00	tiao27: 
27-01	meidiaoquanziyoucanjiawenhuagongtong, deshangshiyishubarengchengjiubaliyijinbukexue. 
27-02	meidiaoquandebaohuduirengquanliwuzhibajingshenchufazigongchengkexue, wenxuebayishuluozuozhe. 
28-00	tiao28: 
28-01	meidiaoquandexiangzhixushehuibazhixuguojigequanbaziyoubenxuanyannetideshixian
29-00	tiao29: 
29-01	meidiaoyiwuduigongtongluoniwei1tifazhanrengegeziyouba. 
29-02	qishixiangequanbaziyou, meizhirengxianzhiyouluding, mudewei1luodanbaoshigongrenbazunzhongshidangduigequanbaziyoukegongrudayingrengyaoqiuzhengdangdaode, zhixushehuibafulizhongshehuiminzhu. 
29-03	bujuchanghemian, yishixianrengquanbaziyounegongkongdenuelirengmubiaobayuanzelianheguo. 
30-00	tiao30: 
30-01	kongdefayanjiebuqitiaokuanmianbenxuanyanneraoxiangchenyizhufabuqiguojia, haigerenmiandequancanjiabuqihuodongmianhaishixianbuqixingweimianpohuaibuqiquanbaziyoumianbenxuanyanne. 
