00-00	UANDAKUA JURHIMBEKUECHERI K'UIRIPUECHERI PARHAKPENI ANAPU
02-01	Iamendu k'uiripuecha jatsistiksi iamendu jurhimbekuechani ka janguarhikuechani engaksi ixu uandajka, na uejiki jasi iurhiri jatani, xarharani, ts'iuerati o uarhi, uandani, cherengeni, eratseni o materu jangua kamani, nani uejki anapueni, jatsikurhini tumina o no ambe, kueraakateni o materu jasi ambe uni o jamani.
02-02	Istu, no ima pangaati naki enga kunguarhikua juramukueri jamaaka, naki uejkini o nani uejki anapueni enga jupindakurhitini jauaka ma k'uiripu, xani enga ma paisi juramukuarhiti anapueuaka, eski ima irechekua enga no iamendu ambe jandiajku juramukuarhiaka.
03-00	Arhujtakua 3
03-01	Iamendu k'uiripuecha jurhimbekua jatsistiksi jamani i parhakpeni, janguarhikuarhini ka tsipekua kuajpemengani.
04-00	Arhujtakua 4
04-01	No nema jamaati isku anchikuarhitsipeni nijtu isku jantspeni; isku anchikuarhitsipekua no sesikua jarhasti ka ni niatatsipetichani ataraantani o piauani na uejki jasi jimboeni.
05-00	Arhujtakua 5
05-01	No nema jatsisti eski komku kangaaka o eski k'uratsekueni jaso ambe kangantaaka.
06-00	Arhujtakua 6
06-01	Iamendu k'uiripuecha jurhimbekua jatsisksi, iapurhu isi, eski jangangarhingaaka na uejki jasoeni.
07-00	Arhujtakua 7
07-01	Iamenduksi majku jasisti jurhimbekuarhu jimbo ka jatsistiksi, ne uejkini, majku jasi kuajpikurhintskua, jurhimbekuecha jingoni. Iamenduksi majku jasi kuajpekuarhintskua jatsisti ne enga t'auajchakuaka ka no paaka ini uandakuani ka eratsekuani.
08-00	Arhujtakua 8
08-01	Iamendu k'uiripuecha jurhimbikua jatsisti jupikuarhini ambe enga kuajpintaaka, enga tsandpemengaaka kuramukperakuarhu, eska kuajpengantaaka enga imeri jurhimbekuechani t'auajchakumengaaka.
09-00	Arhujtakua 9
09-01	No nema uati isikumendu undani jupingani, ongangani ni chutangantani o petaatangani.
10-00	Arhujtakua 10
10-01	Iamendu k'uiripu jurhimbekua jatsisti, mangueni jatini, eska kurajchangaaka ka eska sesi kurangumengantaaka, eskakso juramuticha no nema jingoni k'uetsapeaka, eratseparinksi imecheri jurhimbekuechani ka janguechani, o engaksi uekaka mitikuni ambesi tsijpa.
11-00	Arhujtakua 11
11-01	Iamendu k'uiripu tsandpemengakata ma ambe tso
11-02	No nema jupingaati ka ongangani enga jiajkani enga tso
12-00	Arhujtakua 12
12-01	No noma inchakumengaati imeri irekakuarhikua jimbo imeri japindembekuarhu, imeri k'umanchikuarhu o imeri ambe axatsoperakuarhunijtu churengani jaakuarhimengani ambe. Ini ambe jimbo iamendu k'uiripu jatsisti jurhimbekua eska kuajpikurhintaaka.
13-00	Arhujtakua 13
13-01	Iamendu k'uiripu jurhimbekua jatsisti jamani ka erakukuarhini nani enga irekaaka ma Irechekuarhu.
13-02	Iamendu k'uiripu jurhimbekua jatsisti ueakuni ma o imeri paisirhu ka menderu ichaakuntani.
14-00	Arhujtakua 14
14-01	Enga andangungani o jupingakuekani jauaka
14-02	I jurhimbekua no uati uanakutani o kurajkuarhini ma ambe tsijpakua jimbo enga ambe arhijka Nasionesi Unidasirhu.
15-00	Arhujtakua 15
15-01	Iamendu k'uiripu jurhimbikua jatsisti nani enga anapueuaka.
15-02	No nema euakuarhengaati jurhimbikua isku undani nani enga anapueuaka o irekaaka ka majku jastu enga uekaaka mojtakukuarhini materu o tamu iso
16-00	Arhujtakua 16
16-01	Ts'iueriticha ka uarhicha, engaksi tumbiuaka ia ka iurhitskirini ia, jurhimbikua jatsistiksi, no p'ingungaparini iurhiri anapuekua o cherengekua jimbo, tembuchani o uambuchani ka ireskuni ma japindembekua; ka majku jaso marhuataatiksi jurhimbikuechani engaksi tembungurhitini jauaka ia ka istu engaksi jurhajkperaaka.
16-02	Jeiokperaparinski ka uekaparinkuksi uati tembungurhirini.
16-03	Japindembekua kueraakatesti parhakpenirhu ka jurhimbikua jarhasti eskiksi ireta ka Irechekua kuajpiaka ka jarhuatpeaka.
17-00	Arhujtakua 17
17-01	Iamendu k'uiripu jurhimbekua jatsisti eski mamaru ambe jandiajku minguarhiaka, ka istu kunguarhuntatini mamaru ambe jatsikuarhini materu k'uiripuecha jingoni.
17-02	No nema euakuarhingaati iskumendu imeri jatsikuarhikua ambe.
18-00	Arhujtakua 18
18-01	Iamendu k'uiripu jurhimbekua jatsisti eratseni eski na uekaaka, jangaskani ka cherengentu iso; i jurhimbekuajtu arhisindi eski ungaaka mojtakuni cherengekua ka jokajkukua, istu uandani na jaso cherengesondi ka jakajkusindi, jandiajku ka uanekuecha jingoni, xani eski mitikuarhiaka ka eskajtu no ambe, jorhenguarhikua jimbo, isi ukua jimbo, jangua ka exekua jimbo.
19-00	Arhujtakua 19
19-01	Iamendu k'uiripuecha jurhimbekua jatsistiksi arhijpeni ka uandani; i jurhimbikuajtu arhisindi eski no ambe ma arhingaaka ambe enga uandaaka, ka etsakuni, mamaru jasi ambe etsakutarakua jimbo.
20-00	Arhujtakua 20
20-01	Iamendu k'uiripuecha sesikua jasistiksi tanguarhingantani ka kunguarhingantani kasopekua jingoni.
20-02	No nemanksi uati uingarhitani eski ma kunguarhikua jingoniuaka.
21-00	Arhujtakua 21
21-01	Iamendu k'uiripu jatsisti sesikua uni andaparakuerani k'eri juramukuarhu, andaparakuerani o enga erakuntskuarhu ueraaka.
21-02	Iamendu k'uiripu sesikua jatsisti eski majku jasi ambe uaka terungarhitangani juramukua imeri paisirhu.
21-03	K'uiripueri eratsekua ireteri anapu majkuesti jupitsekua uingapikua enga ireta uandaaka juramukueri; i kuramukperati uati ma juramitini jatsini erakuntskuarhu engakso ukuarheni jauaka na jatini enga k'uaniaka, erakuntaparini sipatinku o iamendu exengaparini.
22-00	Arhujtakua 22
22-01	Iamendu k'uiripu, jimboka iretarhu anapueka, jurhimbikua jatsisti jangangarhikua kuajperata intsongani jarhuajperaparini iamendu juramukuecha jingoni juchari pvindetsikuarhu jimbo ka tepetsekuarhu, marhuatani tumini juchari Irechekuarhu anapu, enga uetarka imeri jangaskua sesi jaxeaka ka t'arhexeaka.
23-00	Arhujtakua 23
23-01	Iamendu k'uiripu jatsisti eski intsingaaka ma anchekuarheta, eski ima na jasi jangaskatini jauaka, majkueni eski maruteruecheri ka eska kuajpengaaka enga niatakua no ambe jatsikuarhiaka.
23-02	Iamendu k'uiripu jurhimbekua jatsisti, no amutangantaparini, eski meiamungaaka ambe ka na xani enga anchikuarhitini jauaka.
23-03	Iamendu k'uiripu enga anchikuarhijka jurhimbikua jatsisti eska sesi meiamungaaka ka sesi exeaka, eski uaka nitamakuarhini ka sesi irekakuarhitarani imeri anapuecha jingoni.
23-04	Iamendu k'uiripu sesikua jatsisti kunguarhikuechani uaxastaani ka imajtu inchajpeni kunguarhekuarhu ka isi uni kuapini imeri anchikurhikuani.
24-00	Arhujtakua 24
24-01	Iamu k'uiripu jatsikuarhesti jurhimbekua mintsikuarhekua, jurhitenchakuarhekua, sesku atakua anchakuarhekua ka isijtu jakua na jasi jimbo jandajpekua meiamukata.
25-00	Arhujtakua 25
25-01	Iamu k'uipiru jatsikuarhesti jurhimbekua jurhimbejtsitatakua tsipekueri terukutakata imangi tatetspekuuaka, ka isijtu imeri exenchperakuani, uratajperantskua, ka sesi jakua, ka t'irekua jindemendo, xukuparhakua, irekua, tsinajperakua ka imangi uetarhiuaka ireteri manaratsperakua; ka isijtu jatsisti jurhimbekua tataetsperakuechani, iki no jatsikuarheuaka anchekuarheta, p'amenchakua, no ambouakua, tsindikua, t'arhepekua o materu ambe jimbo enga tsitooka imeri nitamanchakua imangi jimbo no isi atini jauaka.
25-02	Kuxarhekua ka uajpa sapichuekua jurhimbekua jatsikuarhestiksi jukauantskuaechani ka jandiojko jarhutakuaechani. Iamendu takiecha, jupiuakata tembuchakua o uerakua tembuchakuarhu, jurhimbekua jatsisti majku jasi kuangani iretarhu.
26-00	Arhujtakua 26
26-01	Iamu k'uiripu jurhimbekua jatsikuarhesti ambongastakua intso
26-02	Ambongastajperakua niarauati iamu p'irakuni k'uiripekua k'uiripuchaeueri ka uingaperani jangangarhikua jurhimbekua k'uiripuecheri ka janguarhekuaechanijku, uingaperauati kurhangukua, tekaantskua ka sesi pajperakua iamu sorangua k'uiripucheri ka iamu iretecheri o cherengekuaecheri, ka manatooti p'irakukua niatakuaecha Kunguarhekua So
26-03	Tatembaecha uati erakuni na jasi ambongastajperakua uekasini intskuni uajpechani.
27-00	Arhujtakua 27
27-01	Iamu k'uiripu jurhimbekua jatsikuarhesti jandijku inchamukuni mimixekua tsipekuarhu ireteri, maruutani anchekuarheta imangi tsitieka ka inchajpeni jurhenguarhu imangi urhepani jauaka ka jurhiatenchakua imangiksi jima uerooka.
27-02	Iamu k'uiripu jatsikuarhesti jurhimbekua kuajperantskua imeri pejparikuaechani sesi jangua ka kejtaskuarhekuecheri imangiksi k'uaninchooka, anchekuarheta petakua, mimxekua, karakua o imecheri sesi niatakua jimbo.
28-00	Arhujtakua 28
28-01	Iamu k'uiripu jurhimbekua jatsikuarhesti esiki ikaskungooka ma ireteri uandangukata ka iamu sirukua k'uiripuecheri jininga jurhimbekuaecha ka janguarhekuecha enga eiamarhijperangajka i ambongastajperakuarhu esoka isi niatakuarheuaka.
29-00	Arhujtakua 29
29-01	Iamu k'uiripu jatsikuarhesti eiauandakuarhekuaechani ireta jinguni, jimboka jimajku uaka kuerakuarheni jandijku imeri k'uiripekua.
29-02	Niatakua iameueri jurhimbekuaecha ka marhunchakua imaeueri janguarhekuaecha, iamu k'uiripu engauati jupikakata jima jimberu esika na uandakata jauaka uandaskukatarhu jimbokijtu isijku uati uingamu jupikani mitejperantskua ka jangangarhikua jurhimbekua ka janguaecheri, ireteri uandangukata ka sesi irekua ma iretarhu imangi jauaka ireteri juramukua.
29-03	I jurhimbekuaecha ka jandijku hanguarhekua no uati mentjikusi niatakuarheni tangatskuarhekuni uengurhikua ka uandangekuaechani Kunguarhekua Ma Sorangua K'uiripuecheri.
30-00	Arhujtakua 30
30-01	No ambe ma i ambongastajperakua uati kurhangukuarheni esoki intskusinga jurhimbekua irechakuani, ma umbatsekuani o ma k'uiripuni, uenani ka piirakuni niatakuechani o niatani ambe ma imangisi texurhiuaka kenditani nakinderku ma jurhimbekuechani ka jandijku janguarhekauechani eiamarhijperakatecha i ambongastajperakuarhu.
