00-00	dunya kashalak hwquqa khatabnamasa
08-01	haerqandaq yeadaem yewzanang yeasasay qanun yaka qanunlar baekhsh yeaetkaen asasay hwquqa zayankaeshlakkae yeutchraghanda, layaqaetlak doelaet swta yearqalaq bundaq zayankaeshlak haerakatadan yeunumluk qutulup qelashqa hwquqluq.
09-00	9 madda
09-01	haerqandaq yeadaemna haerqandaq shaekaldae qwlgha yeelashqa, naezaer baent qalashqa yaka syurgyun qalashqa bwlmaydu.
10-00	10 madda
10-01	haemmae yeadaem mustaeqal haem khalas swtnang yeadal vae yewtchuq swraq qalasha balaen yeoezanang hwquqa vae maejburayatana muyeaeyyaenlaeshturushkae haemdae yeoezagae qwyulghan haerqandaq janaya yeaeyabna yeenaqlavelashqa pyutyunlaey hwquqluq.
11-00	11 madda
11-00	janaya yeashlar balaen yerz qalanghanlaka adaem yeqlash jaehaettae lazamlaq barlaq kapalaetkae yeerashkaen yeashkara swtta janayata barlaa qanun bwyatchae daelallaengatchae gunahsaz daep qaralashqa hwquqluq.
11-01	haerqandaq yeadaemnang haerqandaq qalmasha yaka qalmashsazlaqa sadar bwlghan vaqtada doelaet qanuna yaka khaelqyeara qanun bwyatchae janaya yeashlar janayatana shaekallaendurmakaen bwlsa, janaya yeashlar janayatana yeoetkyuzgaen daep hoekyum tchaqarashqa bwlmaydu. janaya jaza janayaet yeoetkyuzgaendae taetbaq qalandaghan qanundaka baelgalamalaerdakadan yeegharlatavetalsae bwlmaydu.
12-00	12 madda
12-01	haerqandaq yeadaemnang khususay turmushagha, yeaalasagae, turalghu jayaghu vae khaet-yealaqasagae khalaghantchae yearalashavelashqa bwlmaydu. yeunang shaena vae shoehratagae hujum qalashqa bwlmaydu. bundaq yearalashashtan yaka hujumdan saqlanash yeyutchyun, haemmae yeadaem qanunnang qwghdashadan baehramaen bwlushqa hwquqluq.
13-00	13 madda
13-00	haemmae yeadaem haerqaysa doelaetlaernang zemanada yeaerkan kwtchushkae vae yewlturaqlashashqa hwquqluq.
13-01	haemmae yeadaem haerqandaq doelaettan ketashkae, jwmladan yeoez doelatadan ketashkae hwquqluq haemdae yeoezanang doelatagae qaytap kelashkae hwquqluq.
14-00	14 madda
14-00	haemmae yeadaem zayankaeshlaktan saqlanash yeyutchyun, bashqa doelaetlaerdae panah talaeshkae vae panahlanashqa hwquqluq.
14-01	haeqaqaetaen ghaeyray sayasay janayaet yaka barlaeshkaen doelaetlaer taeshkalatanang asasay maeqsata vae pransapagha khalap qalash balaen yeaeyablaengaen yeaehval astada, bundaq hwquqtan paydalanashqa bwlmaydu.
15-00	15 madda
15-00	haemmae  yeadaem doelaet taevaelakadan baehramaen bwlushqa hwquqluq.
15-01	haerqandaq yeadaemna doelaet taevaelakadan khalaghantchae maehrum qalashqa bwlmaydu. unang doelaet taevaelakana yeoezgaertash hwquqana yeankar qalashqamu bwlmaydu.
16-00	16 madda
16-00	yash qwramagha yaetkaen yeaer-yeayallar yearq. doelaet taevaelaka vae dan jaehaettan haerqandqa tchaeklamagae yeutchramay, twylashashqa vae yeoey tutushqa hwquqluq. yeular nakah jaehaettae, twy qalghan maezgaldae vae nakah twkhtama bakar qalanghanda, baravaer hwquqqa yeagae bwlusha keraek.
16-01	yeaer taeraep balaen yeayal taeraepnang yeakhtayar qalasha vae tamamaen maqul bwlusha yearqasadala twy qalashqa bwladu.
16-02	yeayealae taebayeay vae yeasasay yeajtamayeay barlak, yew jaemyeayaet vae doelaet taerpadan qwghdalashqa tegashlang.
17-00	17 madda
17-00	haemmae yeadaemnang myulyukkae yewngtchae yeagadarlaq qalash hwquqa shunangdaek bashqalar balaen sheraklashap yeagadarlaq qalash hwquqa bwlusha keraek.
17-01	haerqandaq yeadaemna mal-myulkadan khalaghantchae maehrum qalashqa bwlmadu.
18-00	18 madda
18-01	haemmae yeadaem yeadayava, vajdanay vae danay yeaerkanlak hwquqaghq yeagae: bu hwquq shu yeadaemnang yeoezanang danana yaka yeetaqadana yeoezgaertash yeaerkanlakana shunangdaek yeoezanang dana yaka yeetaqadana danay yeeqadae, yeaemaelayaet, namaz-yeabadaet vae yeaemramaerup yearqalaq yalghuz yaka yeoem, yeashkara yaka maekhpay yeapadalaesh yeaerkanlakana yeoez yeatchagae yealadu.
19-00	19 madda
19-01	haemmae yeadaem yeoez taeshaebbusana baldyuryush vae pakar bayan qalash yeaerkanlakadan baehramaen bwlushqa hwquqluq; bu hwquq mudakhalagae yeutchramay yeoez taeshaebbusana saqlap qelash yeaerkanlakana vae yeutchur haem pakarlaerna haerqandaq vasatae yearqalaq vae doelaet yeayramasagha qaramay yeazdaesh, qwbul qalash vae tarqatash yeaerkanlakana yeoez yeatchagae yealadu.
20-00	20 madda
20-00	haemmae yeadaem tantch ywl balaen yaghan yeoetkyuzyush vae taeshkalanlar yeuyushush yeaerkanlakadan baehramaen bwlushqa hwquqluq.
20-01	haerqandaq yeadaemna maelum bar taeshkalatnang taevaelakagae yeoetyushkae zwrlashqa bwlmaydu.
21-00	21 madda
21-00	haemmae yeadaem doelaetna yeadarae qalashqa yeoeza bavastae qatnashash yaka yeoeza yeaerkan tallaghan vaekala yearqalaq qatnashash hwquqagha yeagae.
21-01	haemmae yeadaem yeoez doelatanang hoekyumaet yeashlaragha baravaer pursaet balaen  qatnashash hwquqagha yeagae.
21-02	khaelqnang yearadasa hoekyumaet hwquqanang yeasasa: bw yearadae qaeraellak vae haeqaqay saylam balaen yeapadalanasha keraek. saylam yewmumyyulyuk vae baravaer yeavaz berash hwquqagha yeasaslanasha haemdae ywshurun yeavaz berash yaka yewbdanla yeaerkan yeavaz berash bwyatchae yeaelap beralasha keraek.
22-00	22 madda
22-01	haer bar yeadaem jaemyeayaetnang bar yeazasa bwlush syupata balaen, yeajtamayeay kapalaettan baehramaen bwlushqa hwquqluq haemdae yeoezanang shaekhsay yeazzaet-hoermata vae kashalak ghururanang yeaerkan ravajlanasha yeyutchyun zoeryur bwlghan yeaqtasaday, ajtamayeay jaehaettaka vae maedaenayaet jaehaettaka haer khal hwquqlardan baehramaen bwlushna yeaemaelgae yeashurushqa hwquqluq. bu yeaemaelgae yeashurush doelaetnang tarashtchanlaqa vae khaelqyeaara haemkarlaq yearqalaq haemdae haerqayasa doelaetlaernang taeshkalata vae baylaq yeaehvala bwyatchae bwladu.
23-00	23 madda
23-00	haemmae yeadaem yeashlaeshkae, yeaerkan kaesap tallashqa, yeadal vae muvabaq khazmaet sharayeatadan baehramaen bwlushqa haemdae yeashsaz qelashtan saqlanash kapalatadan baehramaen bwlushqa hwquqluq.
23-01	haemmae yeadaem haerqandaq shaekaldae kaemsatalmaey, yewkhshash yeash yeyutchyun yewkhshash haeq yeelash hwquqagha yeagae.
23-02	yeashlagaen yeadaemnang haer bara yeadal vae muvapaq haeqtan baehramaen bwlushqa, yeoezanang vae yeayealae tavabayeatanang yeansanay azzaet-hoermaetkae layaq turmush sharayeatagha yeagae bwlushana kapalaetkae yeagae qalashqa, zoeryur tepalghanda. yeunanggha bashqa yeajtamayeaya kapalaetna qwshumtchae qalashqa hwquqluq.
23-03	haemmae yeadaem yeoezanang maenpaeyeatana qwghdash yeyutchyun, yeashtchalar yeuyushmusana taeshkallaesh vae yeunanggha qatnashash hwquqagha yeagae.
24-00	24 madda
24-01	haemmae yeadaem daem yeelash vae bakar yyuryush hwquqadan, jumladan yeash vaqtanang tchekana yeaeqalgae muvapaqlashturush haemdae qaeraellak, mayeashlaq daem yeelash hwquqadan baehramaen bwladu.
25-00	25 madda
25-00	haemmae yeadaem yeoezanang vae yeayealae tavabayeatanang salamaetlaka vae paravanlaqana kapalaetkae yeagae qalash yeyutchyun zoeryur bwlghan turmush saevayasadan, jumladan yemaeklak, kayam-betchaek, turaghu yeoey, davalanashtan vae zoeryur yeajtamayeay mulazamaettchalaktan baehramaen bwlush hwquqagha yeagae: ashsaz qalghanda, kesael bwlup qalghanda, maejruh bwlup qalghanda, tul qalghanda, qeraghanda yaka tazganlagala bwlmadaghan bashqa yeaehval balaen taraktchalak yeaqtadarana ywqatqanda, kapalaettan baehramaen bwlushqa hwquqluq.
25-01	yeanalar vae balalar yealahadae yeetabardan vae yardaemdan baehramaen bwlushqa hwquqluq. barlaq balalar nakahlaq yaka nakahsaz tughulghanlaqagha qaramay, yewkhshash yeajtamayeay muhapazaettan baehramaen bwlushqa tegashlak.
26-00	26 madda
26-00	haemae yeadaem balam yeelash hwquqagha yeagae. balam yeelash haeqsaz bwlusha keraek. hetch bwlmaghanda, bashlanghutch vae yeasasay basqutchta shundaq bwlusha keraek. bashlanghutch mayearap maejburayaet kharakterada bwlusha keraek. tekhnaka mayearapa vae kaespay mayearapa yewmumyyuzlyuk taesas qalash keraek. yealay mayearapnang yeashakana naetajagae qarap barlaq kashalaergae taeng yeetchavetash keraek.
26-01	mayearapnang maeqsata yeadmnang khaslaqana bwluq yetaldyuryush haemdae kashalak hwquqa vae yeasasay yeaerkanlakkae bwlghan hoermaetna kyutchaeytash. mayearap haerqaysa doelaetlaer, yearqlar, yaka haerqaysa danay guruhlar yeara tchushanashna, ywl qwyushna vae dwstluqna yealgara syuryusha haemdae barlaeshkaen doelaetlaer taeshkalatanang tantchlaqna qwghdash ywladaka turluk payealayaetlarna yealgha syuryusha keraek.
26-02	yeata-yeanalar paerzaentlaranang yeelashqa tegashlak balam turlarana yeavval tallash hwquqagha agae.
27-00	27 madda
27-00	haemmae yeadaem jaemyeayaetnang maedaenay twrmushagha yeaerkan qatnashap, saenyeaettan baehramaen bwlushqa haemdae yealam-paen taeraeqqayatadan vae yeunangdan hasal bwlghan paravanlaqtan taeng baehramaen bwlushqa hwquqlaeq.
27-01	haemmae yeadaem yeoeza yeajad qalghan yealmay, baedayeay yeaesaerlaerdan vae guzael saenyeaet yeaesaerlaradan hasal bwlghan maenava vae madday maenpaet munasavata balaen, qwghalash hwquqagha yeagae.
28-00	28 madda
28-01	haemmae yeadaem mushu khatabnamadae qaeyt qalanghan hwquq vae yeaerkanlaknang twluq reyeallashashagha yeamkan beradaghan bar khal yeajtamayeay vae khaelqyeara taertapna taelaep qalashqa hwquqluq.
29-00	29 madda
29-00	haemmae yeadaem jaemyeayaet yealdada maejburayaetna yeyustagae yealghan bwladu. tchunka, yeularnang khaslaqa khaemyeayaet yeatchadala yeaerkan vae twluq ravaj taplaydu.
29-01	haemmae yeadaem yeoezanang hwquqa vae yeaerkanlakana yyurgyuzgaendae, qanunda baelgalaengaen tchaeklamagala yeutchraydu. bundaq tchaeklamana baelgalaeshtaka bardanbar maeqsaet bashqalarnang hwquqa vae yeaerkanlakanang tegashlak daerajadae yeetarap qalanasha vae hoermaet qalanashagha kapalaetlak qalash haemdae demwkratak jaemyeayaettae yeaekhlaq. jamayeaet taertapa vae yewmumay paravanlaqnang yewrunluq yeehtayajagha layqlashash.
29-02	yeashu hwquq vae yeaerkanlaklaerna yyurgyuzgaendae, haerqandaq yeaehvalda barlaeshkaen doelaetlaer taeshkalatnang yeasasay maeqsata vae pransapagha khalaplaq qalashqa bwlmaydu.
30-00	30 madda
30-01	bu khatabnamanang haerqandaq bar maddasana haerqandaq doelaet, guruh yaka shaekhs mushu khatabnamadae qaeyt qalanghan haerqandaq hwquq vae yeaerkanlakna buzush maeqsatadaka payealayaet yaka haerakaetlaerna yeelap berashqa hwquqluq daep sukut qaladaghan maenadae tchushaendurushkae bwlmaydu.
