00-00	MUKAMBIZHO MUKATAMPE PA NSAMBU YAFWAINWA MUNTU
11-00	Yense walenga mambo akatampe kechi wafwainwa kuchibilwa ponka potu ine, poso wazhatwa nao mukije kya mizhilo.
11-01	Kafwako ye bakazhachisha na mambo kasa abujile kwialenga. Kabiji kechi baka mutongwele mambo akwabo apusana na atanshi mukusaka kumuzhachishane.
12-00	Kinembelo 12
12-01	Kafwako muntu ye bakakanjikizha kusolola nangwa kwamba bintu byabufyafya byanji, byakisemi kyanji, byanzubo yanji, makalata oanemba nangwa ku mu kabisha na mambo a bifulo byoajinga nabyo. Yense wavimbilwa na muzhilo.
13-00	Kinembelo 13
13-00	Yense uji na nsambu yakwenda ne kuya koasaka nakwikala mukyalo.
13-01	Yense uji na nsambu ya kufuma mukyalo kyanji ne byalo bikwabo ne kubwela.
14-00	Kinembelo 14
14-00	Yense uji na nsambu ya kunyemena mukyalo kingi kuchina kumumanyika mu kyalo kyanji.
14-01	Uno muzhilo kechi wikalakone umvwe wanyema kumanyikwa na mambo akwabo kukila bya bumulwila ntanda.
15-00	Kinembelo 15
15-00	Yense wafwainwa kutambula bwina kyalo.
15-01	Kafwako ye bakakanya kutambula bwina kyalo nangwa kupimpula bwina kyalo bwanji.
16-00	Kinembelo 16
16-00	Bana balume ne bana bakazhi bakoma, kwakubula kutala pa mutundu nangwa mukoka baji na nsambu ya kusongola nangwa kusongolwa ne kwikala na nzubo. Kabiji bafwainwa kwikala basekelamo mu masongola abo.
16-01	Masongola afwainwa kwikalako poso bonse babiji baitabuzhana.
16-02	Kisemi kyo kitendekesho mwaila bisaka bya bantu onkao mambo kyafwainwa kuvimbila.
17-00	Kinembelo 17
17-00	Yense uji na nsambu yakunonka kintu, bunke nangwa mukipanyi na bakwabo.
17-01	Kafwako yebakangata nsabo yanji mu lukanakana.
18-00	Kinembelo 18
18-01	Yense muntu wafwainwa kwilangulukila ne kwifukwila byakuba.
19-00	Kinembelo 19
19-01	Yense uji na nsambu ya kwamba moalangulukila, kabiji wakosha kubulanana milanguluko yanji kubanembeshi babyambo.
20-00	Kinembelo 20
20-00	Yense uji na nsambu ya kupwila pamo na bakwabo.
20-01	Kafwako ye bakonsha kukanjikizha kupwila pamo na bakwabo ne.
21-00	Kinembelo 21
21-00	Yense waswishiwa kwikala na nsambu mu kafulumende wa kyalo kyanji, kupichila mwi aye mwine nangwa ntomesha wasalwa.
21-01	Yense waswishiwa kwingila mu kafulumende ya kyalo kyanji.
21-02	Ngovu ya bantu (Milangwe) po paimana bulume bwa kafulumende, ino ngovu ikamwekela mu kusala kwikalako kimye ne kimye kwa bufyafya kwa bantu bonse.
22-00	Kinembelo 22
22-01	Yense muntu mu kyalo wafwainwa wavimbilwa mubwikalo bwanji, kupichila mu lumvwanano mukyalo kabiji ne pakachi kabyalo, kuila mu bunonshi, bukomo, bwikalo ne kisemwa-bileta buneme ne bukomo kwiaye mwine.
23-00	Kinembelo 23
23-00	Yense wafwainwa kwingila; uji na nsambu ya kusala mingilo yoatemwa yamusekesha kabiji yakonsha kutwajijila.
23-01	Yense kwakubula lupusanone, wafwainwa kulipilwa malipilo a esakana na mingilo.
23-02	Yense wingila wafwainwa kulipilwa malipilo a mufwainwa aye mwine pamo ne kisemi kyanji.
23-03	Yense uji na nsambu yakutwela ne kwikala membala mu bije byambilako bamingilo pakuba mba ekale wavimbilwa.
24-00	Kinembelo 24
24-01	Yense uji na nsambu ya kukokoloka ne kukaya, kabiji wafwainwa kwingila bimye byatongolwa kabiji wafwainwa kwikala na kimye kya kukokoloka.
25-00	Kinembelo 25
25-00	Yense wafwainwa kwikala na bikwalo bwawama pakuba mba ekale nabututulu bwamubiji, kisemi kyanji kikale bulongo, ekale na kajo kavula, bivwalo byafwainwa, pakulala pawama ne byonse bisakiwa mubwikalo ne mu bumi bwa muntu.
25-01	Bana bakazhi ne bana babo bafwainwa kulama bulongo. Bonse bana nangwa kechi baji na bashabo bapamute ine nabo bafwainwa kulama bulongo.
26-00	Kinembelo 26
26-00	Yense wafwainwa kufunda. Lufunjisho lwafwainwa kwikala lwatu, kikatakata kutendekelo. Lufunjisho lwa kutendekelapo lwafwainwa kwikala lwa bonse. Lufunjisho lwapeulu lwafwainwa kwikalako.
26-01	Lufunjisho lwafwainwa kwikala lwakuleta bukomo ku muntu pamo ne kukosesha nsambu yanji. Lukekala lwakuleta lumvwanano, lulekelo, ne bulunda pakachi ka byalo, mitundu ne lwitabilo lwabo, kabiji lukakwasha kusutula mingilo ya kije kya United Nations mukuleta mutende.
26-02	Bansemi baji na luusa lwakusajila bana babo lufunjisho.
27-00	Kinembelo 27
27-00	Yense uji na luusa lwakwifwezha mu bya kisemwa, byakishakulu kabiji ne kwingijila pamo mukuwamisha byonse bino.
27-01	Yense uji na luusa lwa kuvimbila mafunde a bwikalo pakuba mba kechi bataye byakishakulu ne.
28-00	Kinembelo 28
28-01	Yense uji na luusa lwa uno mukambizho wa kambizha bwikalo bwaafwainwa ku muntu.
29-00	Kinembelo 29
29-00	Yense uji na luusa lwa kwikala na bantu bakwabo bo amona mba bwikalo bwanji bwakonsha kuwama.
29-01	Mwaila ino nsambu, yense muntu ukakonsha kulondela mikambizho mwaila mizhilo kasa amwesha mushingi wa ino mikambizho pamo ne kubakwabo bantu pakuba mba pekale lumvwanano.
29-02	Ino nsambu yapanyiwa kechi yafwainwa kwiingijisha kwakubula kulondela binshite bine bya kije kya United Nations ine.
30-00	Kinembelo 30
30-01	Kafwako nangwa kimo mu ino mikambizho kyalamata kukyalo nangwa muntu kyo bakonsha kwingijisha mukwingila byubilo byabula kufwainwa mwaila nsambu ne ngovu ya tongolwane.
