00-00	DECLARATsIA UNIVERSALA A DREPTURILOR OMULUI
08-01	Orice persoana are dreptul la satisfactsia efectiva din partea instantselor juridice natsionale competente impotriva actelor care violeaza drepturile fundamentale ce-i sunt recunoscute prin constitutsie sau lege.
09-00	Articolul 9
09-01	Nimeni nu trebuie sa fie arestat, detsinut sau exilat in mod arbitrar.
10-00	Articolul 10
10-01	Orice persoana are dreptul in deplina egalitate de a fi audiata in mod echitabil shi public de catre un tribunal independent shi impartsial care va hotari fie asupra drepturilor shi obligatsiilor sale, fie asupra temeiniciei oricarei acuzari in materie penala indreptata impotriva sa.
11-00	Articolul 11
11-01	Orice persoana acuzata de comiterea unui act cu caracter penal are dreptul sa fie presupusa nevinovata pana cand vinovatsia sa va fi stabilita in mod legal in cursul unui proces public in care i-au fost asigurate toate garantsiile necesare apararii sale.
11-02	Nimeni nu va fi condamnat pentru actsiuni sau omisiuni care nu constituiau, in momentul cand au fost comise, un act cu caracter penal conform dreptului internatsional sau natsional. De asemenea, nu se va aplica nicio pedeapsa mai grea decat aceea care era aplicabila in momentul cand a fost savarshit actul cu caracter penal.
12-00	Articolul 12
12-01	Nimeni nu va fi supus la imixtiuni arbitrare in viatsa sa personala, in familia sa, in domiciliul lui sau in corespondentsa sa, nici la atingeri aduse onoarei shi reputatsiei sale. Orice persoana are dreptul la protectsia legii impotriva unor asemenea imixtiuni sau atingeri.
13-00	Articolul 13
13-01	Orice persoana are dreptul de a circula in mod liber shi de a-shi alege reshedintsa in interiorul granitselor unui stat.
13-02	Orice persoana are dreptul de a parasi orice tsara, inclusiv a sa, shi de reveni in tsara sa.
14-00	Articolul 14
14-01	In caz de persecutsie, orice persoana are dreptul de a cauta azil shi de a beneficia de azil in alte tsari.
14-02	Acest drept nu poate fi invocat in caz de urmarire ce rezulta in mod real dintr-o crima de drept comun sau din actsiuni contrare scopurilor shi principiilor Organizatsiei Natsiunilor Unite.
15-00	Articolul 15
15-01	Orice persoana are dreptul la o cetatsenie.
15-02	Nimeni nu poate fi lipsit in mod arbitrar de cetatsenia sa sau de dreptul de a-shi schimba cetatsenia.
16-00	Articolul 16
16-01	Cu incepere de la implinirea varstei legale, barbatul shi femeia, fara nicio restrictsie in ce priveshte rasa, natsionalitatea sau religia, au dreptul de a se casatori shi de a intemeia o familie. Ei au drepturi egale la contractarea casatoriei, in decursul casatoriei shi la desfacerea ei.
16-02	Casatoria nu poate fi incheiata decat cu consimtsamantul liber shi deplin al viitorilor sotsi.
16-03	Familia constituie elementul natural shi fundamental al societatsii shi are dreptul la ocrotire din partea societatsii shi a statului.
17-00	Articolul 17
17-01	Orice persoana are dreptul la proprietate, atat singura, cat shi in asociatsie cu altsii.
17-02	Nimeni nu poate fi lipsit in mod arbitrar de proprietatea sa.
18-00	Articolul 18
18-01	Orice om are dreptul la libertatea gandirii, de conshtiintsa shi religie; acest drept include libertatea de a-shi schimba religia sau convingerea, precum shi libertatea de a-shi manifesta religia sau convingerea, singur sau impreuna cu altsii, atat in mod public, cat shi privat, prin invatsatura, practici religioase, cult shi indeplinirea riturilor.
19-00	Articolul 19
19-01	Orice om are dreptul la libertatea opiniilor shi exprimarii; acest drept include libertatea de a avea opinii fara imixtiune din afara, precum shi libertatea de a cauta, de a primi shi de a raspandi informatsii shi idei prin orice mijloace shi independent de frontierele de stat.
20-00	Articolul 20
20-01	Orice persoana are dreptul la libertatea de intrunire shi de asociere pashnica.
20-02	Nimeni nu poate fi silit sa faca parte dintr-o asociatsie.
21-00	Articolul 21
21-01	Orice persoana are dreptul de a lua parte la conducerea treburilor publice ale tsarii sale, fie direct, fie prin reprezentantsi liber aleshi.
21-02	Orice persoana are dreptul de acces egal la functsiile publice din tsara sa.
21-03	Vointsa poporului trebuie sa constituie baza puterii de stat; aceasta vointsa trebuie sa fie exprimata prin alegeri nefalsificate, care sa aiba loc in mod periodic prin sufragiu universal, egal shi exprimat prin vot secret sau urmand o procedura echivalenta care sa asigure libertatea votului.
22-00	Articolul 22
22-01	Orice persoana, in calitatea sa de membru al societatsii, are dreptul la securitatea sociala; ea este indreptatsita ca prin efortul natsional shi colaborarea internatsionala, tsinandu-se seama de organizarea shi resursele fiecarei tsari, sa obtsina realizarea drepturilor economice, sociale shi culturale indispensabile pentru demnitatea sa shi libera dezvoltare a personalitatsii sale.
23-00	Articolul 23
23-01	Orice persoana are dreptul la munca, la libera alegere a muncii sale, la conditsii echitabile shi satisfacatoare de munca, precum shi la ocrotirea impotriva shomajului.
23-02	Totsi oamenii, fara nicio discriminare, au dreptul la salariu egal pentru munca egala.
23-03	Orice om care munceshte are dreptul la o retribuire echitabila shi satisfacatoare care sa-i asigure atat lui, cat shi familiei sale, o existentsa conforma cu demnitatea umana shi completata, la nevoie, prin alte mijloace de protectsie sociala.
23-04	Orice persoana are dreptul de a intemeia sindicate shi de a se afilia la sindicate pentru apararea intereselelor sale.
24-00	Articolul 24
24-01	Orice persoana are dreptul la odihna shi recreatsie, inclusiv la o limitare rezonabila a zilei de munca shi la concedii periodice platite.
25-00	Articolul 25
25-01	Orice om are dreptul la un nivel de trai care sa asigure sanatatea shi bunastarea lui shi familiei sale, cuprinzand hrana, imbracamintea, locuintsa, ingrijirea medicala, precum shi serviciile sociale necesare; el are dreptul la asigurare in caz de shomaj, boala, invaliditate, vaduvie, batranetse sau in celelalte cazuri de pierdere a mijloacelor de subzistentsa, in urma unor imprejurari independente de vointsa sa.
25-02	Mama shi copilul au dreptul la ajutor shi ocrotire deosebite. Totsi copiii, fie ca sunt nascutsi in cadrul casatoriei sau in afara acesteia, se bucura de aceeashi protectsie sociala.
26-00	Articolul 26
26-01	Orice persoana are dreptul la invatsatura. Invatsamantul trebuie sa fie gratuit, cel putsin in ceea ce priveshte invatsamantul elementar shi general. Invatsamantul elementar trebuie sa fie obligatoriu. Invatsamantul tehnic shi profesional trebuie sa fie la indemana tuturor, iar invatsamantul superior trebuie sa fie de asemenea egal, accesibil tuturora, pe baza de merit.
26-02	Invatsamantul trebuie sa urmareasca dezvoltarea deplina a personalitatsii umane shi intarirea respectului fatsa de drepturile omului shi libertatsile fundamentale. El trebuie sa promoveze intselegerea, tolerantsa, prietenia intre toate popoarele shi toate grupurile rasiale sau religioase, precum shi dezvoltarea activitatsii Organizatsiei Natsiunilor Unite pentru mentsinerea pacii.
26-03	Parintsii au dreptul de prioritate in alegerea felului de invatsamant pentru copiii lor minori.
27-00	Articolul 27
27-01	Orice persoana are dreptul de a lua parte in mod liber la viatsa culturala a colectivitatsii, de a se bucura de arte shi de a participa la progresul shtiintsific shi la binefacerile lui.
27-02	Fiecare om are dreptul la ocrotirea intereselor morale shi materiale care decurg din orice lucrare shtiintsifica, literara sau artistica al carei autor este.
28-00	Articolul 28
28-01	Orice persoana are dreptul la o oranduire sociala shi internatsionala in care drepturile shi libertatsile expuse in prezenta Declaratsie pot fi pe deplin infaptuite.
29-00	Articolul 29
29-01	Orice persoana are indatoriri fatsa de colectivitate, deoarece numai in cadrul acesteia este posibila dezvoltarea libera shi deplina a personalitatsii sale.
29-02	In exercitarea drepturilor shi libertatsilor sale, fiecare om nu este supus decat numai ingradirilor stabilite prin lege, exclusiv in scopul de a asigura cuvenita recunoashtere shi respectare a drepturilor shi libertatsilor altora shi ca sa fie satisfacute justele cerintse ale moralei, ordinii publice shi bunastarii generale intr-o societate democratica.
29-03	Aceste drepturi shi libertatsi nu vor putea fi in niciun caz exercitate contrar scopurilor shi principiilor Organizatsiei Natsiunilor Unite.
30-00	Articolul 30
30-01	Nicio dispozitsie a prezentei Declaratsii nu poate fi interpretata ca implicand pentru vreun stat, grupare sau persoana dreptul de a se deda la vreo activitate sau de a savarshi vreun act indreptat spre desfiintsarea unor drepturi sau libertatsi enuntsate in prezenta Declaratsie.
