00-00	LAPAN RUNAKUNA IMANAWPA RISPITASH KAYAeNANPAQ KASHQANKUNA KAYNAW NIRMI QALAYKUN
02-00	NISHQAN ISHKAY (2)
02-01	Lapan runakuna rispitashqa y mana jarukushqami kayaenan y ali kananpaq wilakuyashqaechaw nishqannaw librimi kayaenanpis. Manami chikish kanansu juk kasta kashqanpita yana o yuraq kashqanpita, warmi ni olqu kashqanpita, imanawkaq parlayta parlaq kashqanpita, imamanpis krigishqanpita,
02-02	Saypis manami baejuman churashqa kanqasu mayqan alikaq o mana alikaq niyaenansu, runakuna markakunata mandananpaq askaq shuntakaykuptin, runakuna mana jarukush kananpaq alita ruraqkunata o lapan nasyun runakunapaq o mayninpapis markankunapa sinalninkuna rurinchaw juk runa mandaq kaptin. Saynaw kanman juk nasyun marka, pipis mana mandash kaptinpis y markakunapa sinalninkuna surinchaw shumaq imanawpapis rurayta mana kamaepakuq kayaptin o kikinkuna mana mandar juk mandash karpis o juk marka seqaypa mandar imaykapitapis michashqa imanawpis nishqanchaw kanansu manami.
03-00	NISHQAN KIMSA (3)
03-01	Lapan runakunapis shumaq rispitashqami kawakuyaenan, librimi imaykapitapis kakuyaenan y imapis paesananta awturdaekuna rispitasinan ali kakuyaenanpaq.
04-00	NISHQAN CHUSKU (4)
04-01	Manami pipis ashmayman churashqa kanansu ni pipa tukuy rurayninkunapaq kanmansu. Ashmaykaq y ashmayta saray; runakuna imanaw rurananpaq kaqkunachawqa pasaypami michar kundinan lapankunatapis y tukuynawpa ashmay saraqkunatapis.
05-00	NISHQAN PISQA (5)
05-01	Manami pipis fiyupa nakasishqa ni lakipaypaq o munashqannaw nakasishqa, runa kashqankunata mana kuyapaypa tukuyta nishqa kanansu.
06-00	NISIlQAN SOQTA (6)
06-01	Lapan runakunami maysaychawpis seqaypa rispitashqa kanan y runa kaynintapis saynaw rispitasikunan, pipis mana jarukunanpaq.
07-00	NISHQAN QANCHIS (7)
07-01	Runakuna imatapis rurananpaq kashqankunachawqa lapansipis iwalmi kansi. Saynawmi pitapis ali kashqanta ni mana ali kashqanta mana akraypa, runakuna rurananpaq kashqanwan sapakuyaenan tukuypita. Lapan runakunami iwal rispitasikuyaenan, wakin runakuna jamurpar jarukur ushayaenanpita y manakaqkunata parlarkur, kay runa rispitash kananpaq wilakuyashqaekunapjta kontran parlar puriqkunapita y luta jarukur ushash kananpita.
08-00	NISHQAN PUWAQ (8)
08-01	Lapan runakunapis kejakuyaenanmj, jatusaq kay nasyunchaw kaq awturdaekunaman, runa rispitash kananpaq kashqankunata pipis jarukur ushaptin, awturdaekunapis sapaenanmi, imanaw runakuna rurananpaq kashqanchaw parlashqannaw saypaqmi qelqaraykan, saywan pipis sapakuyaenanpaq.
09-00	NISHQAN ESQUN (9)
09-01	Manami mayqan runatapis luta la sarir kalaposuman apar wechqaraesinansu, ni markanpita juklaeman jitar ushashqaqa kanansu.
10-00	NISHQAN CHUNKA (10)
10-01	Lapan runakunami rasunpaypa Iapanpis iwal kayayninpa, aska runakunapa puntanchaw wiyashqa kanan jusan o mana jusan kaptinpis y juk awturdaeta wilapaenan. Kay awturdaeqa manami mayqanpaqpis faburnin sharkunansu lutalaqa, jukninpaq jukninpaqpis. Saynawpami musyanqa mayqankaq ali rispitash kananpaqpis y imanaw rurananpaqpis. Saynawpami musyanqa mayqan jusayuq kashqanta y mayqan jusaynaq kashqantapis. Niykurnami isanqa imanawpis ruranqa wechqananpaq o mana wechqananpaqpis.
11-00	NISHQAN CHUNKA JUK (11)
11-00	Ima jusanpitapis mayqan runa kejashqa karpis, manaraq rasunpaypa jusan kashqanta musyakashqanyaqqa imaykanawpapis rispitasikunanmi jusaynaqlaraq kashqanta. Saynaw rispitasikunan lapan runapa nawpanchaw rasunpa mana jusan kashqanta y runa kashqanta mana jarukuyaenanpaq.
11-01	Manami pipis kondinashqa kanansu imatapis mana rurash kaykaptinqa o imatapis ruraykashqanta jinan oera mana taripash kaptinqa; imanawmi nin runakuna rispitash kananpaq wilakuyashqankuna, kay nasyunpaq y juklae nasyunkunapaq saychaw nishqannaw. Jusankunapita kastigashqa kananpaq kaqkunapita mastaqa manami nakasir kastigakaenansu jusan kaptinpis.
12-00	NISHQAN CHUNKA ISHKAY (12)
12-01	Manami mayqan runatapis pipis lutaqa imatapis rimapaenansu shuyni kawakuqtaqa, kastankunatapis, wayinkunata o paypa kaqtaqa imantapis; imanaw ali o mana ali kakuptinpis, runa kayninta chikipaenansu. Lapan runakunami sapakunan, runakuna imanawpis rurananpaq kaykashqanchaw qelqaraykaqwan, tukuynawpa imaykatapis manakaqpita rimapaenanpita.
13-00	NISHQAN CHUNKA KIMSA (13)
13-00	Lapan runakunapis librimi purikuyaenan maysaypapis. Saynawmi may nasyunchawpis rurakunan wayinkunata saychaw taekunanpaq.
13-01	Lapan runakunapis yarquyaenanmi may nasyunpitapis, kikinpa nasyunninpita juk nasyunman y niykurpis saynawmi kutikunan nasyunninman.
14-00	NISHQAN CHUNKA CHUSKU (14)
14-00	Mayqan runatapis wakinkaqkuna imapitapis qatikachaptinqa kikin ashinan maychawpis ali taekunanpaq. Saynawpami kushish taekunqa mayqan nasyunchaw karpis.
14-01	Kay wilakuyashqaekunaqa manami pasaypapis joqarishqasu kanqa mana alita ruraqkuna, alichaw yarqunanpaqqa ni noqakuna askaq wi!anakurkur "ali kananpaq" nir wilakuyashqaepa kontran yarpaqkunatapis manami yanapanqasu.
15-00	NISHQAN CHUNKA PISQA (15)
15-00	Lapan runakunapis kayanan juk nasyunchaw yurishqalami.
15-01	Manami mayqan runatapis lutaqa michaenansu pipis nasyunninpita ni juk!ae nasyuriman aywaykur taekunantapis manami michashqa kanansu.
16-00	NISHQAN CHUNKA SOQTA (16)
16-00	Olqupis warmipis tyempunman charnaqa, pipis mana michashqami kasarakuyaenan. Manami michashqa kayaenansu juk kolur qarankuna kayninpa, juklae nasyun kayninpa, imanawpis krigiq kashqanpita. Lapanpis kasarar shuynina taekuyaenan wayita ruraykur, shumaq taeyaenan lapanpis rispitanakur kasaraykaerirqa. Saynaw kayaenan imayyaqpis kasarashqa karqa y rakikarpis saynawmi iwalpura imatapis rakipaenakunan.
16-01	Warmi olqupis rasunpaypa munanakur imayyaqpis kasarar taeyaenanpaq awninakush kaqkunami kasarayaenanqa.
16-02	Juk ayllumi kikinkaq umanqa y seqay alikaqqa lapan marka kananpaqpis. Saymi lapan markakunapi rispitasinan ayllukuna mana jarukush kananpaq y nasyun mandaqkunapis rispitasiyaenan.
17-00	NISHQAN CHUNKA QANCHIS (17)
17-00	Lapan runakunapami wayinkuna y chakrankuna kanan, juk runalapapis kanmanmi y askaq qorikash runakunapis saraeyaenanmi.
17-01	Wayinkunapita y chakrankunapita manami pipis qarqushqa kayaenansu.
18-00	NISHQAN CHUNKA PUWAQ (18)
18-01	Lapan runakunapis librimi yarpachakuyaenan, kuyapaekuyninpis ali o mana alipis kakunan y munashqanman imamanpis krigikunman. Saynawmi munarqa trukasinan jukman krigishqanpita jukkaqmanpis. Imamanpis krigirqa wakinkaq runakunatapis wilapaenan y parlanan krigishqanpaq. Parlayaenanmi juk juklapis o askaqpis, askaq runakuna wiyananchawpis o shuyni wayinkunalachawpis, yachasiyashpan, wakinpis rurananpaq, alikaqta rurar y lapantapis shumaq ruraypa.
19-00	NISHQAN CHUNKA ESQUN (19)
19-01	Lapan runakunapis yarpaeyashqannawmi parlayaenan y rimakuyaenan imanaw ali y mana ali kashqantapis. Saynawmi imanirpis parlaptin pipis rimanansu ni qayapar ajanaesinansu imapaqpis rimakushqanpita. Wiyashqankunatapis rasunpa kashqanta shumaq mayapakunan, tukuy wilakuykunatapis chaskinanmi y chaskinan wakinkaqkuna imanaw yarpaeyashqankunatawan. Saynaw wiyashqanta, chaskishqanta y yarpashqankunata lapan runakunata musyasinan munayashqannaw imaykatapis mana michashqa lapannawpa imawanpis runata wiyasina y mayasina kaqkunawanqa.
20-00	NISHQAN ISHKAY CHUNKA (20)
20-00	Lapan runakunapis librimi yorikaekuyaenan y askaqpis shuntakaekuyaenanmi imatapis alikaqkunata rurayaenanpaq pipis mana michashqa.
20-01	Mana munaykaqtaqa manami pitapis shuntakaeyashqanchaw kananpaq apayaenansu.
21-00	NISHQAN ISHKAY CHUNKA JUK (21)
21-00	Lapan runakunapis nasyunninchaw mandaq kayman char yanapaenakuyaenanmi, kikinkuna karpis o alinninta y yachaqninta shumaq akraykaerirpis mandaq kananpaq churakuyaenan librimi.
21-01	Lapan runakunapis iwalmi ima kaymanpis chaeyanan, nasyunninkunachaw ima kaymanpis chaeyaenan, nasyunninkunachaw ima awturdaepis kayaenan y ima aruymanpis yaykuyaenan wakinkaqkunanaw.
21-02	Markachaw pipis awturdae mandaq kananpaq, lapan runakunami awniyaenan ali kashqanta. Lapan runakuna pipis awturdae kananpaq awniyashqantaqa musyakanqa boetuwanmi, kikinkuna churakuyanqa pi kananpaqpis. Saynaw rurayanqa boetu kashqan oerala, lapanmi boetayaenan pakaylapa, pipis manami michaenansu ni juklaylapaq jitananpaq parlapaenansu, lapanpis iwalmi rurayaenan. Librimi pipaq karpis jitakuyaenan boetunkunachaw.
22-00	NISHQAN ISHKAY CHUNKA ISHKAY (22)
22-01	Lapan runakunapis, marka runa kayninpa y juk markachaw taq kayninpa, lapan awturdaekuna markachaw rispitasinan pipis mana jarukunanpaq y ali kawakuyaenanpaq. Saynawpami shumaq kawananpaq tarinqa lapan nasyunchaw kaq runakuna lakipakuyninpa y wakinkaq nasyunkunawanpis yanapaenakuypa, wakin shuyni qorikaq runakunawan y nasyunchaw mandaq runakuna churakushqan y rurayashqankunawan. Saynawpami lapan runakunata imanpis mikunanpaq o rantinanpaq pishipakuptin qonqa, lapan markakunapaqpis y imata yachakuyaenanpaqpis kanqa gastunkuna, kaykunami mana pishiypa kanan lapan runakunapaq, shumaq rispitash runa kayaenanpaq. Y saynawmi runakunapis lakipakuyaenan kikinkunapa jamulankunapita ali runa kayaenanpaq.
23-00	NISHQAN ISHKAY CHUNKA KIMSA (23)
23-00	Lapan runakunapami ima aruylankunapis kanan; kikinkunami ima aruychaw aruyaenanpaqpis akrakuyaenan, aruyninkuna alimi kanan, imaykanpaqpis aypaepakunanpaq y arunanpaq tupuylami kanan y runakunaqa manami aruyniynaq kayaenansu.
23-01	Lapan runakunapis ali kashqanta ni mana ali kashqanta mana rikapaypami aruyashqankunapita chaskiyaenan qellayta y lapan aruqkaqkunaqa iwal, saynawla chaskiyaenan.
23-02	Lapan runakunapis aruqkaqkunaqa iwal shumaq ali paegashqami kayaenan imata munashqankunatapis rantiyaenanpaq aypaq. Saynaw qellayta chaskir lapan kastankunata wayinchaw kaqkuna shumaq kushishqa kawakuyanqa, lapan runakunapis alila kawananpaq kashqannaw. Saychawpis pishipakuptinmi isanqa imaykanawpapis wakinkaq awturdaekuna waksakunata yanapaqkuna aypasipaenan pishipakushqalanmanna.
23-03	Lapan runakunapis ali yarpashqankunawan say shuyni alita yarpaqkuna rurayaenanmi qotukaykur. Saynaw shuyni kaqkunaqa ali yarpayninkunawan rispitasikur pipis kikinpaq kaqkunata o lapan runapaq kaqkunata mana jarukuyaenanpaq kashqanta rispitasikuyaenanpaq.
24-00	NISHOAN ISHKAY CHUNKA CHUSKU (24)
24-01	Lapan runakunapis j amayaenanmi aruyninkunapita, aruynin mana kashqan oeraqa imatapis munashqantami rurakuyaenan, aruyaenan shumaq oeralawanmi. Manami alaepaqa aruyaenansu aruyaenanpaq kashqan oerapita mastaqa y saynawmi aruyninpita watasarkur jamananpaq yarquptinqa saypita paegunta chaskiyaenan.
25-00	NISHQAN ISHKAY CHUNKA PISQA (25)
25-00	Lapan runakunami shumaq ali kawaychaw kayaenan, saynawmi lapan kastankunapis shumaq kawakuyaenan, kwerpunkunapis mana qeshyaypa, lapan imaykakunachawpis alila. Mas aliran kanan yali mikuyaenanpaq mikuykunachaw, moedanankunachaw, ali wayichaw taeyaptin, ima qeshya sariptinpis jampikuqkuna jampiyaptin y lapan imaykakunawanpis runakunata shumaq yanapaenanpaq kaqkunawan yanapaeyaptin. Elaqpita imachawpis mana aruq runa kaptinqa o aruyniynaq kaptinqa, shuynimi saynawkunata yanapaenanpaq kaqchaw kayaenan Iapanpis, tukuy qeshyayuqkuna, ima ruraytapis mana pwe'diqkuna, kanmanmi (wishtukuna o ushukuna), biyudayashkuna chakwan o awkin karpis y lapan runakuna imaykanawpa aruytapis o makinta y chakinta o wakinkaqkunata kikinkuna mana munaykaeyaptin imapis paesaptin arunanpaq kaqkunata oqraqkunami kanan shumaq shuyni yanapashqa.
25-01	Lapan wamrayuq warmikunapis y akapa wamrakunapis shumaq imaykapitapis kuydashqami kayaenan y paykunataqa shuynimi yachaqkuna rikayaenan mana kachaypa. Lapan wamrakuna juk mama taytalapita yuriqpis o jukchaw wachapakush o sure"pakush kayninpa yurishkunapis iwal rikashqami y kuydashqami kayaenan.
26-00	NISHQAN ISHKAY CHUNKA SOQTA (26)
26-00	Lapan runakunami eskwelachaw yachakuyaenan. Lapanpis yachakuyaenan debaldilami, punta yachaykunata alinninkaqta y runata imachawpis yanapaenanpaq kaqkunalatapis yachakuyaenanmi. Alinninkaq yachaytaqa lapan runakunami yachakuyaenan jukpis mana yachakuypaqa manami kanansu. Juknawkaq imatapis y imapaqpis yachakuykunami isanqa mas aja yachakuymanna yaykuyaenan. Mas sinchikaq aja yachakuykunamanqa yaykuyanqa lapan runakunapis iwalmi y saynawpami ima kayaenanpaqpis yarquyanqa yachayashqanpita.
26-01	Eskwe"lakunachaw o wakinkaqkunachaw yachakushqankunawanmi lapan runakunapis ali yachaq kayman chaeyanqa. Saynawpami runakuna rispitash kananpaq kaqkunata rurar mas yanapaenan wakinkuna rurayaenanpaqpis y runakuna libri kayaenanpaq mayqankaqkuna mas alinnin kashqantapis yachasir reqisinan y musyasinan. Runakuna yachaq kayaptinqa manami ajanasu kanqa lapanta shumaq tantiyayaenanpaqpis, imatapis ali shonqulanwan shuyaraenanpaqpis y lapan nasyunkunawanpis ali alila juknin jukninpis kayaenanpaq, tukuyniraq y lapan kasta runakuna o imamanpis krigiqkuna musyayaenanpaqpis. Lapanpis saynaw ali kayaptinqa aska nasyunpita shuntakaykur runakuna rispitash kananpaq kashqanta wilakuqkunatami mas yanapanqa y alikaqkunata imatapis rurayanqa lapan markakuna jatunyaenanpaq y saynawpami lapan kushish kawayaenanpaq lakipakuyanqa paykunapis.
26-02	Mayqan runakunapis munashqankaqtami akrakuyaenan maychaw y imanawkaq eskwe"Iaman wamran yachakunanpaq churananpaqpis.
27-00	NISHQAN ISHKAY CHUNKA QANCHIS (27)
27-00	Lapan runakunapis mana michasqami markakuna ima fVestata ruraptinpis saychaw ruraesinan, ima tushukunata o wakinkaqkunata rikaekur y ima yachaykunatapis shumaq ali kananpaq yanapaenakunan, alita rurayta munarqa imatapis rurasun kikinpa jamulanpita imatapis yarqapakurqa.
27-01	Lapan runakunami rispitasikunan pipis jarukuyaenanpita y imankuna kaptinpis saynawmi kikinpa kaqkunataqa shumaq saraekunan pipis mana qechushqa, kakusun ali yachayninwan tarishqankuna, imatapis qelqashqankunata o imakunatapis yachayninwan rurashqankunapis y kikin ruraqkaq kayninpa.
28-00	NISHQAN ISHKAY CHUNKA PUWAQ (28)
28-01	Lapan runakunami markankunachaw shumaq yarpayninwan ali taeyaenan, nasyunninchaw o wakinkaq nasyunkunachawpis kay runakuna rispitashqa y mana jarukushqa kananpaq wilakuyashqae maysaychawpis rasunpaypa rurakaenanpaq.
29-00	NISHQAN ISHKAY CHUNKA ESQUN (29)
29-00	Lapan runakunami tashqan markakunachaw imatapis rurayanan, say markachaw taeyayninpami libri imaykanaw kananpaqpis y ali runa kayman chaenanyaqpis yachakuyash tukuy ruraykunata.
29-01	Shumaq rispitashqa kaykaeyashpan y tukuy imakunatapis libri rurakuykaeyarpis, imanaw runakuna rurananpaq qelqaraykashqantami isanqa mansakuyaenan y say nishqanpitami isanqa pipis paesasiyaenansu. SaVnaw mansapakuypa kayanqa wakinkaq runakunapis rikaerishqa, rispitashqa, mana jarukushqa y Iibri Iapanpis iwal kayaenan kashqami. Saynawpaqa lapanpis alita rurar y runakunapis rispitash kananpaq kashqannaw karqa kushishmi kawayanqa, wakinkaq marka runakunapis y lapan markakuna alila shumaq kawakuyanqa.
29-02	Lapan runakuna rispitash y libri kakuyaenanpaq wilakuyashqaeta manami ni pipis juknawpaqa ni kontranqa sharkuyaenansu ni rurayaenansu lapan nasyunkunapita qorikaykur ali yarpaykunawan y ali kananpaq rurayashqaekunataqa.
30-00	NISHQAN KIMSA CHUNKA (30)
30-01	Kay wilakuyashqaekunachaw manami juknawpaqa tantiyayaenansu; manami mayqan nasyunpa mandaqninta, shuntakash askaq runakunata ni juk runalata imanawpapis rurayaenanpaq o wakinta elaqaesir qalaykuyaenansu ni mayqan kaqlatapis, runakuna rispitash y libri kakuyaenanpaq kay qelqaraykaqchaw wilakuyashqaeta.
