00-00	Vseobshchaya deklaratsiya prav cheloveka
11-01	Kazhdyi chelovek, obvinyaemyi v sovershenii prestupleniya, imeet pravo schitatsya nevinovnym do tekh por, poka ego vinovnost ne budet ustanovlena zakonnym poryadkom putem glasnogo sudebnogo razbiratelstva, pri kotorom emu obespechivayutsya vse vozmozhnosti dlya zashchity.
11-02	Nikto ne mozhet byt osuzhden za prestuplenie na osnovanii soversheniya kakogo-libo deyaniya ili za bezdeistvie, kotorye vo vremya ikh soversheniya ne sostavlyali prestupleniya po natsionalnym zakonam ili po mezhdunarodnomu pravu. Ne mozhet takzhe nalagatsya nakazanie bolee tyazhkoe, nezheli to, kotoroe moglo byt primeneno v to vremya, kogda prestuplenie bylo soversheno.
12-00	Statya 12
12-01	Nikto ne mozhet podvergatsya proizvolnomu vmeshatelstvu v ego lichnuyu i semeinuyu zhizn, proizvolnym posyagatelstvam na neprikosnovennost ego zhilishcha, tainu ego korrespondentsii ili na ego chest i reputatsiyu. Kazhdyi chelovek imeet pravo na zashchitu zakona ot takogo vmeshatelstva ili takikh posyagatelstv.
13-00	Statya 13
13-01	Kazhdyi chelovek imeet pravo svobodno peredvigatsya i vybirat sebe mestozhitelstvo v predelakh kazhdogo gosudarstva.
13-02	Kazhdyi chelovek imeet pravo pokidat lyubuyu stranu, vklyuchaya svoyu sobstvennuyu, i vozvrashchatsya v svoyu stranu.
14-00	Statya 14
14-01	Kazhdyi chelovek imeet pravo iskat ubezhishcha ot presledovaniya v drugikh stranakh i polzovatsya etim ubezhishchem.
14-02	Eto pravo ne mozhet byt ispolzovano v sluchae presledovaniya, v deistvitelnosti osnovannogo na sovershenii nepoliticheskogo prestupleniya, ili deyaniya, protivorechashchego tselyam i printsipam Organizatsii Obedinennykh Natsy.
15-00	Statya 15
15-01	Kazhdyi chelovek imeet pravo na grazhdanstvo.
15-02	Nikto ne mozhet byt proizvolno lishen svoego grazhdanstva ili prava izmenit svoe grazhdanstvo.
16-00	Statya 16
16-01	Muzhchiny i zhenshchiny, dostigshie sovershennoletiya, imeyut pravo bez vsyakikh ogranicheny po priznaku rasy, natsionalnosti ili religii vstupat v brak i osnovyvat svoyu semyu. Oni polzuyutsya odinakovymi pravami v otnoshenii vstupleniya v brak, vo vremya sostoyaniya v brake i vo vremya ego rastorzheniya.
16-02	Brak mozhet byt zaklyuchen tolko pri svobodnom i polnom soglasii obeikh vstupayushchikh v brak storon.
16-03	Semya yavlyaetsya estestvennoi i osnovnoi yacheikoi obshchestva i imeet pravo na zashchitu so storony obshchestva i gosudarstva.
17-00	Statya 17
17-01	Kazhdyi chelovek imeet pravo vladet imushchestvom kak edinolichno, tak i sovmestno s drugimi.
17-02	Nikto ne dolzhen byt proizvolno lishen svoego imushchestva.
18-00	Statya 18
18-01	Kazhdyi chelovek imeet pravo na svobodu mysli, sovesti i religii; eto pravo vklyuchaet svobodu menyat svoyu religiyu ili ubezhdeniya i svobodu ispovedovat svoyu religiyu ili ubezhdeniya kak edinolichno, tak i soobshcha s drugimi, publichnym ili chastnym poryadkom v uchenii, bogosluzhenii i vypolnenii religioznykh i ritualnykh obryadov.
19-00	Statya 19
19-01	Kazhdyi chelovek imeet pravo na svobodu ubezhdeny i na svobodnoe vyrazhenie ikh; eto pravo vklyuchaet svobodu besprepyatstvenno priderzhivatsya svoikh ubezhdeny i svobodu iskat, poluchat i rasprostranyat informatsiyu i idei lyubymi sredstvami i nezavisimo ot gosudarstvennykh granits.
20-00	Statya 20
20-01	Kazhdyi chelovek imeet pravo na svobodu mirnykh sobrany i assotsiatsy.
20-02	Nikto ne mozhet byt prinuzhdaem vstupat v kakuyu-libo assotsiatsiyu.
21-00	Statya 21
21-01	Kazhdyi chelovek imeet pravo prinimat uchastie v upravlenii svoei stranoi neposredstvenno ili cherez posredstvo svobodno izbrannykh predstavitelei.
21-02	Kazhdyi chelovek imeet pravo ravnogo dostupa k gosudarstvennoi sluzhbe v svoei strane.
21-03	Volya naroda dolzhna byt osnovoi vlasti pravitelstva; eta volya dolzhna nakhodit sebe vyrazhenie v periodicheskikh i nefalsifitsirovannykh vyborakh, kotorye dolzhny provoditsya pri vseobshchem i ravnom izbiratelnom prave putem tainogo golosovaniya ili zhe posredstvom drugikh ravnoznachnykh form, obespechivayushchikh svobodu golosovaniya.
22-00	Statya 22
22-01	Kazhdyi chelovek, kak chlen obshchestva, imeet pravo na sotsialnoe obespechenie i na osushchestvlenie neobkhodimykh dlya podderzhaniya ego dostoinstva i dlya svobodnogo razvitiya ego lichnosti prav v ekonomicheskoi, sotsialnoi i kulturnoi oblastyakh cherez posredstvo natsionalnykh usily i mezhdunarodnogo sotrudnichestva i v sootvetstvii so strukturoi i resursami kazhdogo gosudarstva.
23-00	Statya 23
23-01	Kazhdyi chelovek imeet pravo na trud, na svobodnyi vybor raboty, na spravedlivye i blagopriyatnye usloviya truda i na zashchitu ot bezrabotitsy.
23-02	Kazhdyi chelovek, bez kakoi-libo diskriminatsii, imeet pravo na ravnuyu oplatu za ravnyi trud.
23-03	Kazhdyi rabotayushchy imeet pravo na spravedlivoe i udovletvoritelnoe voznagrazhdenie, obespechivayushchee dostoinoe cheloveka sushchestvovanie dlya nego samogo i ego semi, i dopolnyaemoe, pri neobkhodimosti, drugimi sredstvami sotsialnogo obespecheniya.
23-04	Kazhdyi chelovek imeet pravo sozdavat professionalnye soyuzy i vkhodit v professionalnye soyuzy dlya zashchity svoikh interesov.
24-00	Statya 24
24-01	Kazhdyi chelovek imeet pravo na otdykh i dosug, vklyuchaya pravo na razumnoe ogranichenie rabochego dnya i na oplachivaemyi periodichesky otpusk.
25-00	Statya 25
25-01	Kazhdyi chelovek imeet pravo na takoi zhiznennyi uroven, vklyuchaya pishchu, odezhdu, zhilishche, meditsinsky ukhod i neobkhodimoe sotsialnoe obsluzhivanie, kotoryi neobkhodim dlya podderzhaniya zdorovya i blagosostoyaniya ego samogo i ego semi, i pravo na obespechenie na sluchai bezrabotitsy, bolezni, invalidnosti, vdovstva, nastupleniya starosti ili inogo sluchaya utraty sredstv k sushchestvovaniyu po ne zavisyashchim ot nego obstoyatelstvam.
25-02	Materinstvo i mladenchestvo dayut pravo na osoboe popechenie i pomoshch. Vse deti, rodivshiesya v brake ili vne braka, dolzhny polzovatsya odinakovoi sotsialnoi zashchitoi.
26-00	Statya 26
26-01	Kazhdyi chelovek imeet pravo na obrazovanie. Obrazovanie dolzhno byt besplatnym po menshei mere v tom, chto kasaetsya nachalnogo i obshchego obrazovaniya. Nachalnoe obrazovanie dolzhno byt obyazatelnym. Tekhnicheskoe i professionalnoe obrazovanie dolzhno byt obshchedostupnym, i vysshee obrazovanie dolzhno byt odinakovo dostupnym dlya vsekh na osnove sposobnostei kazhdogo.
26-02	Obrazovanie dolzhno byt napravleno k polnomu razvitiyu chelovecheskoi lichnosti i k uvelicheniyu uvazheniya k pravam cheloveka i osnovnym svobodam. Obrazovanie dolzhno sodeistvovat vzaimoponimaniyu, terpimosti i druzhbe mezhdu vsemi narodami, rasovymi i religioznymi gruppami, i dolzhno sodeistvovat deyatelnosti Organizatsii Obedinennykh Natsy po podderzhaniyu mira.
26-03	Roditeli imeyut pravo prioriteta v vybore vida obrazovaniya dlya svoikh maloletnikh detei.
27-00	Statya 27
27-01	Kazhdyi chelovek imeet pravo svobodno uchastvovat v kulturnoi zhizni obshchestva, naslazhdatsya iskusstvom, uchastvovat v nauchnom progresse i polzovatsya ego blagami.
27-02	Kazhdyi chelovek imeet pravo na zashchitu ego moralnykh i materialnykh interesov, yavlyayushchikhsya rezultatom nauchnykh, literaturnykh ili khudozhestvennykh trudov, avtorom kotorykh on yavlyaetsya.
28-00	Statya 28
28-01	Kazhdyi chelovek imeet pravo na sotsialnyi i mezhdunarodnyi poryadok, pri kotorom prava i svobody, izlozhennye v nastoyashchei Deklaratsii, mogut byt polnostyu osushchestvleny.
29-00	Statya 29
29-01	Kazhdyi chelovek imeet obyazannosti pered obshchestvom, v kotorom tolko i vozmozhno svobodnoe i polnoe razvitie ego lichnosti.
29-02	Pri osushchestvlenii svoikh prav i svobod kazhdyi chelovek dolzhen podvergatsya tolko takim ogranicheniyam, kakie ustanovleny zakonom isklyuchitelno s tselyu obespecheniya dolzhnogo priznaniya i uvazheniya prav i svobod drugikh i udovletvoreniya spravedlivykh trebovany morali, obshchestvennogo poryadka i obshchego blagosostoyaniya v demokraticheskom obshchestve.
29-03	Osushchestvlenie etikh prav i svobod ni v koem sluchae ne dolzhno protivorechit tselyam i printsipam Organizatsii Obedinennykh Natsy.
30-00	Statya 30
30-01	Nichto v nastoyashchei Deklaratsii ne mozhet byt istolkovano, kak predostavlenie kakomu-libo gosudarstvu, gruppe lits ili otdelnym litsam prava zanimatsya kakoi-libo deyatelnostyu ili sovershat deistviya, napravlennye k unichtozheniyu prav i svobod, izlozhennykh v nastoyashchei Deklaratsii.
