00-00	ptiyyaasaaklwaadwysittimnusychn
11-02	chatueebukkldai ² waamiikwaampidtaangaachyaaneueengdwykaarkratamhrueelawendai ² anmidaichadpeonkwaampidtaangaachyaataamkdhmaayhaengchaatihrueekdhmaayrahwaangprates naiknadaikratamkaarnankuenmaidai laeachalngtosanhnakkwaatiichaiyuunaiknatiidaikratamkwaampidtaangaachyaananmaidai
12-00	k 12
12-01	bukkldai ² chatuuktaerksoddoyplkaarnaikwaampeonyuuswntawnaikrobkraw naikehstaanhrueenaikaarsueesaar hrueechatuuklbhluunaikeiiyrtiyslaeachueeseiiyngmaidai tukknmiisittitiichadairabkwaamkumkrongkongkdhmaaytokaartaerksod hrueekaarlbhluudangklaawnan
13-00	k 13
13-01	tukknmiisittinaiisrpaaphaengkaarkelueenhaiwlaeastaantiiyuupaaynaiketkongtaelarat
13-02	tukknmiisittitiichaokchaakpratesdai ² pai rwmtangprateskongtnengdwy laeatiichaklabyangpratestn
14-00	k 14
14-01	tukknmiisittitiichasaewnghaa laeatiichadaiaasaypamnaknaipratesueenpeueeliipaychaakkaarprahatprahaar
14-02	chaaangsittimaidai naikrniitiikaardamneinkdiisueebneueengyaangtaechringmaachaakkwaampidtiimaichaitaangkaarmeueeng hrueechaakkaarkratamankadtowattuprasngklaeahlakkaarkongshprachaachaati
15-00	k 15
15-01	tukknmiisittinaikaartueesaychaatihnueng
15-02	bukkldai ² chatuuktadsaychaatikongtndoyplkaar hrueetuukptisetsittitiichapeliiynsaychaatimaidai
16-00	k 16
16-01	chaaylaeahyingtiimiiaayuteombribuurnlaew miisittitiichatamkaarsmrs laeachakotangkrobkraw doypraaschaakkaarchamkaddai ² anneueengchaakcheueechaati saychaati hrueesaasnaa taangmiisittiteaateiiymkannaikaarsmrs rahwaangkaarsmrs laeanaikaarkaadchaakkaarsmrs
16-02	kaarsmrs chakratamkankotaedwykwaamyinymdoyisralaeateomtiikongpuutiichetnaachapeonkuusmrs
16-03	krobkrawpeonhnwytrrmchaati laeahlakmuulkongsangkmlaeamiisittitiichadairabkwaamkumkrongchaaksangkmlaearat
17-00	k 17
17-01	tukknmiisittitiichapeoncheaakongtrapysindoylampangtneng chendeiiywkabdoyrwmkabpuuueen
17-02	bukkldai ² chatuukribtrapysindoyplkaarmaidai
18-00	k 18
18-01	tukknmiisittinaiisrpaaphaengkwaamkidmnotrrmlaeasaasnaa sittiniirwmtuengisrpaapnaikaarpeliiynsaasnaahrueekwaamcheueetuee laeaisrpaapnaikaartiichaprakaas saasnaa hrueekwaamcheueetueekongtn doykaarson  kaarptibatikaarsakkaarabuuchaalaeakaarprakobpitiikrrm maiwaachadoylampangtnenghrueenaiprachaakmrwmkabpuuueen laeapeonkaarsaataarnahrueeswnbukkl
19-00	k 19
19-01	tukknmiisittinaiisrpaaphaengkwaamheonlaeakaarsaedngok sittiniirwmtuengisrpaapnaikaartiichatueekeaa[eaa]kwaamheondoypraaschaakkaarraeksodlaeatiichasaewnghaa rablaeachaekchaaykaawsaarlaeakwaamkidheonmaiwaadoywitiidai ² laeadoymaikamnuengtuengketdaen
20-00	k 20
20-01	tukknmiisittinaiisrpaaphaengkaarrwmprachumlaeakaartangsmaakmdoysanti
20-02	bukkldai ² chatuukbangkabhaisangkadsmaakmhnuengsmaakmdaimaidai
21-00	k 21
21-01	tukknmiisittitiichamiiswnnairatbaalkongpratestn chapeondoytrnghrueedoypaantaangpuutaensuengdaileueektangdoyisra
21-02	tukknmiisittitiichakeaatuengbrikaarsaataarnanaiprateskongtndoysemopaak
21-03	chetchamnngkongprachaachnchatongpeonmuultaanhaengamnaachkongratbaal chetchamnngniichatongsaedngoktaangkaarleueektangtaamkamhndwelaa laeayaangtaechring suengaasaykaarokseiiyngdoytawpailaeasemopaak laeakaarlngkanaenlab hrueewitiikaarlngkanaendoyisrayaangueentamnongdeiiywkan
22-00	k 22
22-01	tukkn naitaanatiipeonsmaachikkongsangkm  miisittinaikwaammankngtaangsangkm laeamiisittinaikaarbrrlutuengsuengsittitaangserstkich taangsangkmlaeataangwatntrrm anchampeonyaangyingsamhrabkeiiyrtisakdikongtn laeakaarpatnaabuklikpaapkongtnyaangisra tangnii doykwaampeiiyrpyaayaamhaengchaatilaeadoykwaamrwmmueerahwaangprates laeatwm[taam]rabobkaarlaeatrapyaakrkongtaelarat
23-00	k 23
23-01	tukknmiisittinaikaarngaan naikaarleueekngaandoyisranaingeueenkaianyutitrrm  laeapeonprayochnhaengkaarngaan laeanaikaarkumkrongtokaarwaangngaan
23-02	tukknmiisittitiichadairabngeinkaachaangteaateiiymkansamhrabngaanteaateiiymkan doypraaschaakkaarleueekptibatidai ²
23-03	tukkntiitamngaanmiisittitiichadairabsinchaangtiiyutitrrmlaeapeonprayochn tiichahaiprakankaetnenglaeakrobkrawhaengtn suengkwaampeonyuuankuukwrkaekeiiyrtisakdikongmnusy laeataachampeonkochatongdairabwitiitaangkumkrongtaangsangkmueen ² peimteimdwy
23-04	tukknmiisittitiichachadtang laeatiichakeaarwmshpantkrrmkrpeueekwaamkumkronghaengplprayochnkongtn
24-00	k 24
24-01	tukknmiisittinaikaarpakponlaeawelaawaang rwmtangkaarchamkadwelaatamngaantaamsmkwr laeawanhyudngaanpeonkrangkraawdoydairabsinchaang
25-00	k 25
25-01	tukknmiisittinaimaatrtaankaarkrongchiipanpeiiyngposamhrabsukpaaplaeakwaampeonyuudiikongtnlaeakrobkraw rwmtangaahaar kerueengnunghm tiiyuuaasay laeakaarduulaeraksaataangpaetylaeabrikaarsangkmtiichampeon laeamiisittinaikwaammankngyaamwaangngaan cheobpwypikaar peonhmaay waychraa hrueekaadaachiipueennaiprtikaartiinokhenueeoamnaachkongtn
25-02	maardaalaeadeokmiisittitiicharabkaarduulaeraksaalaeakaarchwyhelueepeonpises deoktangpwngmaiwaachakeidnaihrueenoksmrs chatongdairabkaarkumkrongtaangsangkmchendeiiywkan
26-00	k 26
26-01	tukknmiisittinaikaarsueksaa kaarsueksaachatonghaipelaayaangnynaichanpratmsueksaalaeakaarsueksaachanhlakmuul kaarpratmsueksaachatongpeonkaarbangkab kaarsueksaataangtekniklaeawichaaaachiip chatongpeonanpeiddoytawpai laeakaarsueksaachansuungkuenpaikochatongpeonanpeidsamhrabtukknkeaadaituengdoysemopaaktaammuultaanhaengkunwuti
26-02	kaarsueksaachadaichadpainaitaangpatnaabuklikpaapkongmnusyyaangteomtiilaeayangkwaamkeaarptosittimnusychn laeaisrpaaphlakmuulhaimankngkaeongraeng chatongsngserimkwaamkeaachai kantitrrm laeamitrpaaprahwaangbrrdaaprachaachaati klumcheueechaati hrueesaasnaa laeachatongsngserimkichkrrmkong shprachaachaati peueekaartamrngwaisuengsantipaap
26-03	bidaamaardaa miisittibeueengraektiichaleueekchnidkongkaarsueksaaanchahaikaebutrkongtn
27-00	k 27
27-01	tukknmiisittitiichakeaarwmnaichiiwittaangwatntrrmkongprakaakmdoyisra tiichabanteingchainaisilpalaeatiichamiiswnnaikwaamrudhnaa laea kunprayochntaangwityaasaastr
27-02	tukknmiisittitiichadairabkaarkumkrongplprayochntaangsiiltrrmlaeataangwattu anpeonplchaakpradistkrrmdai ² taangwityaasaastr wrrnkrrmlaeasilpkrrm suengtnpeonpuusraang
28-00	k 28
28-01	tukknmiisittinairabeiiybtaangsangkmlaearahwaangprates suengchapeontaanghaisamreochplteomtiitaamsittilaeaisrpaapdangkamhndwainaiptiyyaanii
29-00	k 29
29-01	tukknmiihnaatiitoprachaakm dwykaarpatnaabuklikpaapkongtndoyisrateomtii chakratamdaikotaenaiprachaakmteaanan
29-02	naikaarchaisittilaeaisrpaaphaengtn tukkntkyuunaibangkabkongkochamkad peiiyngteaatiidaikamhndlngdoykdhmaayteaanan peueeprayochntiichadaimaasiingkaarrabnabtuee laeakeaarpsittilaeaisrpaapkongpuuueentaamsmkwrlaeatiichapechiykabkwaamreiiykrongtongkaaranteiiyngtrrmkongsiiltrrm kwaamsngbreiiybrykongprachaachn laeaswasdikaartawpainaisangkmprachaatiptaiy
29-03	sittilaeaisrpaaphelaanii chachaikadtowattuprasngklaeahlakkaarkongshprachaachaatimaidaimaiwaanaikrniidai ²
30-00	k 30
30-01	maimiibtdai naiptiyyaaniitiichanumaanwaahaisittidai ² kaerat hmuukn hrueebukkl naiantiichadamneinkichkrrmdai ² hrueeptibatikaardai ² anmungtokaartamlaaysittilaeaisrpaap dangkamhndwai n tiinii
