00-00	shijierenquanxuanyan
25-01	quanbunorenha, yishizhu, yiliaotobiyaonashehuideshishedengniyori, zijijibijiazunojiankangtofuzhini10fennashenghuoshuizhunobaochisuruquanlibingbinishiye, jibing, xinshenzhanghai, peiouzhenosiwang, laolingsonotabukekangliniyorushenghuobunengnochangheha, baozhangoshoukeruquanligaaru. 
25-02	mutozitoha, tebienobaohutoyuanzhuoshoukeruquanligaaru. subetenoertongha, dichudearutofoutoowenwazu, tongjishehuidebaohuoxiangyousuru. 
26-00	di26 tiao
26-01	quanbunorenha, jiaoyuoshoukeruquanligaaru. jiaoyuha, shaonakutomochudengnotojichudenoduanjienioiteha, wuchangdenakerebanaranai. chudengjiaoyuha, yiwudedenakerebanaranai. jishujiaoyutozhiyejiaoyuha, 1banniliyongdekirumodenakerebanarazu, mata, gaodengjiaoyuha, nengliniyingji, subetenozhenihitoshikukaifangsareteinakerebanaranai. 
26-02	jiaoyuha, rengenowanquannafazhanbingbinirenquantojibendeziyounozunzhongnojiaokeomudetoshinakerebanaranai. jiaoyuha, subetenoguoyouharenzhongdemoshikuhazongjiaodejituannoxianghujiannolijie, kuanrongtoyouhaoguanxiozengjinshi, katsu, pinghenoweichinotame, guojilianhenohuodongocujinsurumonodenakerebanaranai. 
26-03	qinha, ziniyuerujiaoyunozhongleioxuanzesuruyouxiandequanligaaru. 
27-00	di27 tiao
27-01	quanbunorenha, ziyounishehuinowenhuashenghuonicanjiashi, yunshuojianshangshi, tokexuenojinbutosonoenhuitoniazukaruquanligaaru. 
27-02	quanbunorenha, sonochuangzuoshitakexuede, wenxuedeyouhameishudezuopinkarashengzurujingshendetowuzhideliyiobaohusareruquanligaaru. 
28-00	di28 tiao
28-01	quanbunorenha, konoxuanyannijiegeruquanlitoziyougawanquannishixiansarerushehuidetoguojidezhixuniduisuruquanligaaru. 
29-00	di29 tiao
29-01	quanbunorenha, sonorengenoziyoukatsuwanquannafazhangasonozhongniatsutenomikenengdearushehuiniduishiteyiwuofuu. 
29-02	quanbunorenha, zijinoquanlitoziyouoxingshisurunidangtatsuteha, tarennoquanlitoshiyounozhengdangnachengrentozunzhongobaozhangsurukotobingbiniminzhudeshehuiniokerudaode, gongnozhixuto1bannofuzhinozhengdangnayaoqiuomantasukotoomopparamudetoshitefaluniyottedingmeraretazhixianninomifusuru. 
29-03	koreranoquanlitoziyouha, ikanaruchanghenimo, guojilianhenomudetoyuanzenifanshitexingshishitehanaranai. 
30-00	di30 tiao
30-01	konoxuanyannoikanaruguidingmo, izurekanoguo, jituanyouhagerenniduishite, konoxuanyannijiegeruquanlitoziyounopohuaiomudetosuruhuodongnicongshishi, youhasonoyounamudegaaruxingweioxinguquanliorenmerumonotojieshishitehanaranai. 
