00-00	Mannrettindayfirlysing Sameinutho THjothanna.
02-02	Eigi ma heldur gera greinarmun a moennum fyrir sakir stjornskipulags lands theirra etha landsvaethis, thjothrettarstoethu thess etha loegsoegu yfir thvi, hvort sem landith er sjalfstaett riki, umrathasvaethi, sjalfstjornarlaust etha a annan hatt hath takmoerkunum a fullveldi sinu.
03-00	3. grein.
03-01	Allir menn eiga rett til lifs, frelsis og mannhelgi.
04-00	4. grein.
04-01	Engan mann skal hneppa i thraeldom ne nauthungarvinnu. THraelahald og thraelaverzlun, hverju nafni sem nefnist, skulu boennuth.
05-00	5. grein.
05-01	Enginn mathur skal saeta pyndingum, grimmilegri, omannlegri etha vanvirthandi methferth etha refsingu.
06-00	6. grein.
06-01	Allir menn skulu, hvar i heimi sem er, eiga kroefu a ath vera vithurkenndir athilar ath loegum.
07-00	7. grein.
07-01	Allir menn skulu jafnir fyrir loegunum og eiga rett a jafnri vernd theirra, an manngreinaralits. Ber oellum moennum rettur til verndar gegn hvers konar misretti, sem i baga brytur vith yfirlysingu thessa, svo og gagnvart hvers konar arothri til thess ath skapa slikt misretti.
08-00	8. grein.
08-01	Nu saetir einhver mathur methferth, er brytur i baga vith grundvallarrettindi thau, sem tryggth eru i stjornarskra og loegum, og skal hann tha eiga athvarf hja domstolum landsins til thess ath fa hlut sinn rettan.
09-00	9. grein.
09-01	Ekki ma eftir geththotta taka menn fasta, hneppa tha i fangelsi etha varthhald ne gera utlaega.
10-00	10. grein.
10-01	Nu leikur vafi a um rettindi thegns og skyldur, etha hann er borinn soekum um glaepsamlegt athaefi, og skal hann tha njota fulls jafnrettis vith athra menn um rettlata opinbera rannsokn fTHrir ohathum og ohlutdraegum domstoli.
11-00	11. grein.
11-01	Hvern thann mann, sem borinn er soekum fyrir refsivert athaefi, skal telja saklausan, unz soek hans her soennuth loegfullri soennun fTHrir opinberum domstoli, enda hafi tryggilega verith buith um voern sakbornings.
11-02	Engan skal telja sekan til refsingar, nema verknathur sa etha athgerthaleysi, sem hann er borinn, varthi refsingu ath landsloegum etha thjotharetti a theim tima, er mali skiptir. Eigi ma heldur daema hann til thyngri refsingar en theirrar, sem ath loegum var leyfth, thegar verknathurinn var framinn.
12-00	12. grein.
12-01	Eigi ma eftir geththotta raska heimilisfrithi nokkurs manns, hnysast i einkamal hans etha bref, vanvirtha hann etha spilla mannorthi hans. Ber hverjum manni lagavernd gagnvart slikum afskiptum etha arasum.
13-00	13. grein.
13-01	Frjalsir skulu menn vera fertha sinna og dvalar innan landamaera hvers rikis.
13-02	Rett skal moennum vera ath fara af landi burt, hvort sem er af sinu landi etha oethru, og eiga afturkvaemt til heimalands sins.
14-00	14. grein.
14-01	Rett skal moennum vera ath leita og njota grithlands erlendis gegn ofsoknum.
14-02	Enginn ma tho skirskota til slikra rettinda, sem loegsottur er meth rettu fyrir opolitisk afbrot etha atferli, er brytur i baga vith markmith og grundvallarreglur Sameinuthu thjothanna.
15-00	15. grein.
15-01	Allir menn hafa rett til rikisfangs.
15-02	Engan mann ma eftir geththotta svipta rikisfangi ne retti til thess ath skipta um rikisfang.
16-00	16. grein.
16-01	Konum og koerlum, sem hafa aldur til thess ath loegum, skal heimilt ath stofna til hjuskapar og fjoelskyldu, an tillits til kynthattar, thjothernis etha truarbragtha. THau skulu njota jafnrettis um stofnun og slit hjuskapar, svo og i hjonabandinu.
16-02	Eigi ma hjuskap binda, nema baethi hjonaefni samthykki fusum vilja.
16-03	Fjoelskyldan er i ethli sinu frumeining thjothfelagsins, og ber thjothfelagi og riki ath vernda hana.
17-00	17. grein.
17-01	Hverjum manni skal heimilt ath eiga eignir, einum ser etha i felagi vith athra.
17-02	Engan ma eftir geththotta svipta eign sinni.
18-00	18. grein.
18-01	Allir menn skulu frjalsir hugsana sinna, sanfaeringar og truar. I thessu felst frjalsraethi til ath skipta um tru etha jatningu og enn fremur til ath lata i ljos tru sina etha jatningu, einir ser etha i felagi vith athra, opinberlega etha einslega, meth kennslu, tilbeithslu, guthsthjonustum og helgihaldi.
19-00	19. grein.
19-01	Hver mathur skal frjals skothana sinna og ath thvi ath lata thaer i ljos. Felur slikt frjalsraethi i ser rettindi til thess ath leita, taka vith og dreifa vitneskju og hugmyndum meth hverjum haetti sem vera skal og an tillits til landamaera.
20-00	20. grein.
20-01	Hverjum manni skal frjalst ath eiga thatt i frithsamlegum fundahoeldum og felagsskap.
20-02	Engan mann ma neytha til ath vera i felagi.
21-00	21. grein.
21-01	Hverjum manni er heimilt ath taka thatt i stjorn lands sins, beinlinis etha meth thvi ath kjosa til thess fulltrua frjalsum kosningum.
21-02	Hver mathur a jafnan rett til thess ath gegna opinberum stoerfum i landi sinu.
21-03	Vilji thjotharinnar skal vera grundvoellur ath valdi rikisstjornar. Skal hann latinn i ljos meth reglubundnum, ohathum og almennum kosningum, enda se kosningarrettur jafn og leynileg atkvaethagreithsla vithhoefth etha jafngildi hennar ath frjalsraethi.
22-00	22. grein.
22-01	Hver thjothfelagsthegn skal fyrir atbeina hins opinbera etha althjothasamtaka og i samraemi vith skipulag og efnahag hvers rikis eiga kroefu a felagslegu oeryggi og theim efnahagslegum, felagslegum og menningarlegum rettindum, sem honum eru nauthsynleg til thess ath virthing hans og throski fai notith sin.
23-00	23. grein.
23-01	Hver mathur a rett a atvinnu ath frjalsu vali, a rettlatum og hagkvaenum vinnuskilyrthum og a vernd gegn atvinnuleysi.
23-02	Hverjum manni ber sama greithsla fyrir sama verk, an manngreinaralits.
23-03	Allir menn, sem vinnu stunda, skulu bera ur bytum rettlatt og hagstaett endurgjald, er tryggi theim og fjoelskyldum theirra mannsaem lifskjoer. THeim ber og oennur felagsleg vernd, ef thoerf krefur.
23-04	Hver mathur ma stofna til stettarsamtaka og ganga i thau til verndar hagsmunum sinum.
24-00	24. grein.
24-01	Hverjum manni ber rettur til hvildar og tomstunda, og telst thar til haefileg takmoerkun vinnutima og reglubundith orlof ath oskertum launum.
25-00	25. grein.
25-01	Hver mathur a kroefu til lifskjara, sem nauthsynleg eru til verndar heilsu og vellithan hans sjalfs og fjoelskyldu hans. Telst thar til matur, klaethnathur, husnaethi, laeknishjalp og nauthsynleg felagshjalp, svo og rettindi til oeryggis gegn atvinnuleysi, veikindum, oerorku, fyrirvinnumissi, elli etha oethrum afoellum, sem skorti valda og hann getur ekki vith gert.
25-02	Maethrum og boernum ber serstoek vernd og athstoth. Oell boern, skilgetin sem oskilgetin, skulu njota soemu felagsverndar.
26-00	26. grein.
26-01	Hver mathur a rett til menntunar. Skal hun veitt okeypis, ath minnsta kosti barnafraethsla og undirstoethummentu. Boern skulu vera skolaskyld. Ithnathar- og verknam skal oellum standa til botha og aethri menntu vera oellum jafnfrjals, theim er haefileika hafa til ath njota hennar.
26-02	Menntun skal beina i tha att ath throska personuleika einstaklinganna og innraeta theim virthingu fyrir mannrettindum og mannhelgi. Hun skal mitha ath thvi ath efla skilning, umburtharlyndi og vinattu methal allra thjotha, kynthatta og truarflokka og ath efla starf Sameinuthu thjothanna i thagu fritharins.
26-03	Foreldrar skulu fremur oethrum ratha, hverrar menntunar boern theirra skuli njota.
27-00	27. grein
27-01	Hverjum manni ber rettur til thess ath taka frjalsan thatt i menningarlifi thjothfelagsins, njota lista, eiga thatt i framfoerum a svithi visinda og vertha athnjotandi theirra gaetha, er af theim leithir.
27-02	Hver mathur skal njota loegverndar theirra hagsmuna, i andlegum og efnalegum skilningi, er leithir af visindaverki, ritverki etha listaverki, sem hann er hoefundur ath, hverju nafni sem nefnist.
28-00	28. grein
28-01	Hverjum manni ber rettur til thess thjothfelags- og millithjothaskipulags, er virthi og framkvaemi ath fullu mannrettindi thau, sem i yfirlysingu thessari eru upp talin.
29-00	29. grein.
29-01	Hver mathur hefur skyldur vith thiothfelagith, enda getur thath eitt tryggt fullan og frjalsan personuthroska einstaklingsins.
29-02	THjothfelagsthegnar skulu um rettindi og frjalsraethi hathir theim takmoerkunum einum, sem settar eru meth loegum i thvi skyni ath tryggja vithurkenningu a og virthingu fyrir frelsi og rettindum annarra og til thess ath fullnaegja rettlatum kroefum um sithgaethi, reglu og velferth almennings i lythfrjalsu thjothfelagi.
29-03	THessi mannrettindi ma aldrei framkvaema svo, ath i baga fari vith markmith og grundvallarreglur Sameinuthu thjothanna.
30-00	30. grein.
30-01	Ekkert atrithi thessarar yfirlysingar ma tulka a thann veg, ath nokkru riki, flokki manna etha einstaklingi se heimilt ath athhafast nokkuth thath, er stefni ath thvi ath gera ath engu nokkur theirra mannrettinda, sem her hafa verith upp talin.
