00-00	MATT'AWEN GUBIN E GIDII NI NGAN NANG
19-01	Gubine gidii mabay matt'awen nibapuf rogon ko lem nge tin raiweweliy ban'en, ni ba'un matt'awen e biney ngalane bin baaray ni nge dabi yo ge tafinay rok' ara gagaweg, ara ning morngaagen e tin baadag ngabang.
20-00	Yang ni 20.
20-00	Gubine gidii mabay matt'awen ni ngepuf rogon ko moolung ngataabang ni bagapas.
20-01	Dab ni motogel ngak' bee ni bochane ngemang rebi chongin rebo ulung.
21-00	Yang ni 21.
21-00	Gubine gidii mabay matt'awen ni nge chazawaliy e am rok', ni demutrug ko fir rok' ara chaa ni owchen ko fare am rok'.
21-01	Gubine gidii mabay matt'awen ni taareb rogon nge matt'awen ngak' gubine gidii ko fare nam rok' nge marwel ko am ko fare nam.
21-02	Ma fiti laniyane gidii e aram bang gelngin e marwel ko am; ere biney e matt'aw dad e mod ni yabe tawaliy ko yuduw owchen e am roded nga lane moolung ma kuerogon kanowaen e tawal nibpuf.
22-00	Yang ni 22.
22-01	Gubine gidii ni dmutrug ko chongin e kun binaw, nam fa re-ulung mabay yalen ni nge nang ni bay matt'awen ko gapas u faileng nibod nibe yognage ulungen e gapas nu faileng nge gapas ko nam rok', u rogone marwel kopi tapowa nage (economic), (social), nge (cultural) ni yade ratiriggiliy nidab nipag tilin fane batt'uf fachaa nge rogon e par rok'.
23-00	Yang 23.
23-00	Gubine gidii mabay matt'awen ko miti marwel ni baadag ni ngeun ngay, nge yalen fane adag kanowaen farbaa i marwel makubay matt'awene ayuw rok' i kel gafalngin ko ngiyal' nidariy e marwel rok'.
23-01	Gubine gidii mataareb fane matt'aw yalen ni ngepluw pulwon ko yalen e marwel nibe tay.
23-02	Gubine gidii ni bemarwel mabay matt'awen ni nge matt'aw pulwon kofare marwel ni bochan ngak' nge tabinaw rok' kubochan ko par rok'.
23-03	Gubine gidii mabay matt'awen ni nge sunmeg ara un nga boche ulung ni bochan bafel' rogon ngak', makubaadag.
24-00	Yang ni 24.
24-01	Gubine gidii mabay matt'awen ni ngai toffan, nge oren e awa ni nga i marwel nge pu pulwon ko toffan ko yuduw ni baa'.
25-00	Yang ni 25.
25-00	Gubine gidii mabay matt'awen ni ngefel' yalen nge rogon ko par ni fan ngak' nge gidii u tabinaw rok', ba'un e ggan, mad, na'un nge taflay nge kutin bagaa fan ko fachaa ngay, ma matt'awen nge ayuw ni ngeb ngak' u napan e ngiyal' famang ni ketal ko marwel ni bochane liliy, mad-ad u tabane marwel, kanim rok', kepummon ara pilbizir, nge kutin bay ban'en ni bagaa fan ngak' ko ayuw rok'.
25-01	Ma chitiningen e bitir nge bitir e kuba yuu' e ayuw ngorow. Ma gubine bitir ni demutrug ko fake mabgol ara muchubbil makueritay kanowaen e ayuw ni dabisiy ngorad.
26-00	Yang ni 26.
26-00	Gubine gidii mabay matt'awen nge kanowaen ko skul. Maskul e dariy pulwon ko zikal ni somm'on nge madaa ko ragag nge l'agruw. Magubin mite skul mara'un pii, machane, bineye beyan u rogone llowan nge angin ngak, fachaa ni ngeyan ko fare skul.
26-01	Maskule zingar niguy matt'awen ni ngefel' daken gubine gidii riy makueritay matt'awen gubine gidii nge rogon fane ngepuf rogon nibfel'. Megaa nage nang me tafafil e gidii ko pinam riy nge yurbaa i gidii nge piyurbaa i ulung nu faileng, er rogon ni nge mom nag boche marwel ko United Nations megapaseg e faileng.
26-02	Chitamangin nge Chitiningin e bitir e you e ba mil fan ngorow ni you ra turguy e gin ngeyan e bitir rorow ngay ko sukul.
27-00	Yang ni 27.
27-00	Gubine gidii mabay matt'awen ni nge chazawaliy morngaagen ara lungun e binaw rok', nge t'uffege tirok'e yalen metay fir ngay nge gam'ingin e tin baffel ko nam rok'.
27-01	Gubine gidii mabay matt'awen ni nge kel ayuwene tini yiloy babiyoren ban'en.
28-00	Yang ni 28.
28-01	Gubine gidii mabay matt'awen nibpuf ko motochiyel ko nam rok' ara motochiyal ko rebo nam nimod kanowaen u lane ngi Garcheg ney ni bochan e ngan nang morngaagen nibfel' ni oren e gidii.
29-00	Yang ni 29.
29-00	Gubine gidii mabay e tin dabisiy e marwel ko binaw nge nam rok' ni zingar irin yaaram bayangi falngin.
29-01	Matt'awen gubine gidii nge kanowaen e tin bapuf yalen riye kubeyan u yalane motochiyel ko ngin bay ara renam ni keyan ngay, machane, kemus ni gubin e motochiyel makuraitay gaffalngin nge modgun.
29-02	Matt'awen nge puf rogon ko gubin e gidii e dakuriy bayang ni yara cheg ngey, yaaram e ratogopluw ko fan nge matt'awen e tirok'e United Nations e motochiyel.
30-00	Yang ni 30.
30-01	Dariy banen u lan ere ngi Garcheg ney ni ngan abuweg fan nge zil ara togopluw ko tirok'e United Nations e motochiyel ar pingeg fan ere ngi Garcheg ney nga wuruu' e knowa.
