00-00	Chipalinnesal deklarasijachi nari dorolboni
11-01	Nuivedde edzilil sudzure tari baitta barini erundu tari baita guruma geddu guru-guruma doroddu baitallauri echchini be. Khudeulidzi evvuri kesulle cha baita, khamachemba burilekhechi cha erundu, khali baita bapula bichchi.
12-00	Statija 12
12-01	Nuidde ellini mettekki bai uvvonda meninnu numibbu bukkuteini, bai suludami upechimi noni dukutainnu, koresponudensijeni sipkutainni, irkatainnu, reputasijatainni. Nuidde chipali doroni buni ge aksachikkutaini mettekki suludamari ipechchegichi.
13-00	Statija 13
13-00	Khamachedda chipali nari doroni buni bova boki gipali pulimi bikkudzdzi silmami.
13-01	Khamachedda chipali nari doroni buni khamachembadda meninnidde bovo vedemi nenumi chochchi gochi isumidda mene botakki.
14-00	Statija 14
14-00	Khamachedda chipali nari doroni buni nomboni khasasiduchibukko gelebudzdzi goi bodu, chadu sirigachchi bimi.
14-01	Tari doro khechcheni politikama baitollo khasasiduchi, goi baitadu selilddu prinsipildu Organizasijani Obidinonnei Nasjani mekkussiduni esini khette.
15-00	Statija 15
15-00	Khamachedda chipali nari doroni buni grasidanustva dapami.
15-01	Nuivedde bai evvuri atto grasidanustvoni, nuidde menedde esini kalla grasidanustvabi.
16-00	Statija 16
16-00	Khusenne ektenne, khurumi khodzikhasal, dorochi buni rassachi darrunni, nasionalinusichi darunni, relugijachi darunni evvumi kadachche murendziduchi, numidzdzi andusiduchi. Nochi omottomo dorochi buni murendziduchi, murem buduchi, murendu pujjeduchi.
16-01	Dutnoso gese gevumdzi toktoumachimi khodzutachche murondzivechi sakljuchairichi.
16-02	Numi tari khupa dajini khupa chomi doroni buni chomi khupaddu gosudarstvuddu aksachikk aktami.
17-00	Statija 17
17-00	Khamachedda chipali nari doroni buni umukedde goinesaldu gesedde abdudzi takkurami.
17-01	Nuidudde abdumbani bai nuidde ellini tananda.
18-00	Statija 18
18-01	Khamachedda chipali nari doroni buni morro, irkke, religijje gevvoni; tari doro dapuchcheni relugijabbu doldakkubbu kallaurre, mene relugijabbi, doldakkubbu umukedde ponnesaldudde gese doldambudzdzi nari dodunnu umukeddo tachimi, endurredde doldzimi religiosinejju ritualinejju obrjaddoni andumi.
19-00	Statija 19
19-01	Khamachedda chipali nari doroni buni doldakku gevvoni gevumdzi chava doldambudzdzi; mene doldakkubi gevvonnu emi kamalichche daputabudzdzi, gevvo gelektemmi, aldo idejja khonidda tomi gosudarustvennai granissa emi kikhanda gammu buchimmu – tari doro dappuchcheni.
20-00	Statija 20
20-00	Khamachedda chipali nari doroni buni beremi chaukha gevvonnu khupa gevvonnu.
20-01	Nuivedde ne evvuri uvvonde khamachetaidda khupatai.
21-00	Statija 21
21-00	Khamachedda chipali nari doroni buni mene bonudzdzi menedde silmapula narisaldzidda dzangerami.
21-01	Khamachedda chipali nari doroni buni mene bodzdzi omotto uvvuri doroni bobi uilekkuteini.
21-02	Guru voljani pravitelistvo kusuni bullini; tari volja mepi savvollini dzillelul ana silmal-silmaldu, khamachesalba andulichi geremme omottommo silmauri dorodu sipkuchimi silmammi goildzi omottomol pormaldzi belechimmi silma gevvoni andumi.
22-00	Statija 22
22-01	Khamachedda chipali nari, khupanne, doroni buni gelemi sosialinei belechchurredde, andupurredde nadamba mene dorobbu daputabudzdzi, mene mangabbi gevume baldzibuddoni ekonomicheskidu, sosialineidu kuliturneidu oblastidu guruma kusudzdzi guru-guruma gese uiledzdzi belechimeri bo-bo strukturennu, resursenni khetteini.
23-00	Statija 23
23-00	Khamachedda chipali nari doroni buni uilekkudu, gevume uilekko silmabudzdzu, emeri kamalichche ulingadzi uileuri uilekkudu uilebudzdzu, uilekku anaduni aksachibuddochi.
23-01	Khamachedda chipali nari, mepi emi sengerreunde, doroni buni omottomo uilepule uiledu omottomo tamma tamabuddochi.
23-02	Khamachedda chipali uille nari doroni buni evvumi kamalichche ulingamako tamma tamabuddochi, oi bigini khamachedda goi sosialinei belechchurre bubuddochi meppu mene numibbu ulingadzi kikhambuddoni.
23-03	Khamachedda chipali nari doroni buni propesi khupambani andumi, propesi khupataini urre mene dorobi aksachibudzdzi.
24-00	Statija 24
24-01	Khamachedda chipali nari doroni buni derukpuritejju, khuppuritejju, uidokidzi duralipula uileuri inenitejju, anani-anani tammauri otpuskatajju.
25-00	Statija 25
25-00	Khamachedda chipali nari doroni buni ergimi bivvurre; tari deppi, bagdukhi, duku, okchichimi eropuri, nadassuri sosialinei belechchuri-tari chipali nada mene ergebbu, mene numibi ergembennu okchichibudzdzi, ergimi bibudzdzi, meppu, mene numibbu belechibudzdzi uilelu ana ope, sagdappe, khaimidda ergimbe vedepe mene baitala anadzi.
25-01	Eni ochchisal jatauna busel dorochi buni dajidzi kikhami belechibuddochi. Chipal puril murem baldzikhaldda, murem echchil baldzedda chipalinnetai omottomo sosialinei belechchurre tammechi.
26-00	Statija 26
26-00	Khamachedda chipali nari tachchuridu doroni buni. Tene tachikku tamala ana, ne tachimi khodzdzuttauri. Chipal tachikku tamala ana, ne tachimi khodzdzuttauri. Tekhnicheskajju, propessionalinejju, gugdamajju tachchuri chipalinnepa uvvondzini, nui uidoki buni.
26-01	Tachchuri nari morronno, nari dorronnu, nari iddennu manga opondzini, gebbonnu nari dorotoini, nari daji gevuteini daji opondzini. Tachchuri mene meperi samachchurre, manittaurre belechchini, dzelachimari bivvurre guru-guru taunduni, rasamma religiosinamma khupa-khupa taunduni belechchini Organisasija Obedinonei Nasija uilekkoni emeri valle bivvurre dapuchchevani belechchini.
26-02	Amijja – enijje dorochi buni dulludzi silmami tachikko, khottoi purilberi uvulichi tachibuddochi.
27-00	Statija 27
27-00	Khamachedda chipali nari doroni buni gevum kaksibudzdzi kuliturneitei khupa bivvuriteini, sebdenimi pakchidzi andupuladzi, kaksimi nauka progressiteini, ulingamadzini takkurami.
27-01	Khamachedda chipali nari doroni buni noni morommo abdumma interesseni aksachibuddochi, tari andupula (topula) bugini noni nauchinei literaturinei khudosestvennei uileni tari avtorini noni bigini.
28-00	Statija 28
28-01	Khamachedda chipali nari doroni buni sosialineiddu, guru-guru tauni epsidziddu, je Deklarasijadu nuripula dorolbo gevulbe chipali andusilil.
29-00	Statija 29
29-00	Khamachedda chipali nari doroni buni khupadu, khamachedu chadumali gevumdzdzu dajidzdzu noni mangani baldzini.
29-01	Takkuraini mene doroldzdzu, mene gevuldzi khamachembadda chipali narre kamalichchichi sakonu kusuduni dzenkur sabuddonnu gebubuddonni goinne dorolbochchu gebulbechchu, tedeme morro, khupama ebsidzdzu, chipalinnesal ergikkochchi gellelbeni kaksimi tobuddoni.
29-02	Eril doroldzdzu gevuldzdzu takkurami khonidda evvuri kamalichche selilbe prinsipilbe Organisasijani Obedinonekhi Nasijani.
30-00	Statija 30
30-01	Khaidda esipchi Deklarasijadu khanasailakka esini morochonde tamachikka khaiva buvvure gosudarstvutai, nari khupataini, geda-geda naritai dorro khamachedda uilekko tovvurre, andumi tovvurre khamache atuchchini dorolbo, gavulbe, deklarasijadu nuripulalba.
