00-00	Khalakh pravisen pietiemieshle deklaratsiyie
13-01	Pfr khalakhan ua khaiien uerriuoriyienche tynsene massallan pieuermelli khiet-pashala/kf shfua yaderla khiet-pashal, khimi, bakueriologi khiet-pashalie kiereu/ ufma, uierieslese pakhma, fprama, ufruuarma uaua fnpa fsa kfrma charma, khaiien uerriuorine khiet-pashalsarlauassishien kiereshme iriek pfr.
13-02	[missing]
14-00	14 statya
14-01	Pfr khalakhan ua aualanma, tavan pekekh ialana kienie pfrnat iierkine fprasa khavarma uaua aualanuarsa pyma iriek pfr
14-02	[missing]
15-00	15 statya
15-01	Pfr khalakhan ua khaine evierlie pflma, khaiien kflufrine, isuorine, chielkhine, uieniepe iali-iierkine pielme, vierenme, fprasa khavarma uaua aualanuarsa pyma iriek pfr.
15-02	[missing]
16-00	16 statya
16-01	Pfr khalakhan ua paushalakh poliuiki tinchen pielse uama iriek pfr uaua viesene khaisen pfrnatiepe pravisene viuiem kureken tiviech yiufsene uienche shaiienche suuse yavma khfushanuarmalla.
16-02	[missing]
16-03	[missing]
17-00	17statya
17-01	Pfr khalakhan ua paushalakhran, uiencheri organizatsisenchen tak Deklaratsire kauaruna khaiien pieuiem, tavan pekekh kashnin pravine pakhanma uaua khuuieleme yiuma iriek pfr.
17-02	[missing]
18-00	18 statya
18-01	Kashni khalakhan yuui pfr khalakhan pier uan pravisene khiseplemelle, tavan pirki tak Deklaratsin pieuiem iierkine pfr khalakha ua khiseplese pakhansa pfranmalla.
19-00	19 statya
19-01	Sak Deklaratsi pfr iierkine ue pieuiem uiencheri euem pravisem tinchen kalakan sakkfnsempe, firamlakhsen shfune khalakhsen firam pfranma iriek pfrine kieruse, anlanuarsa pamalla. PNOna kiemen khalakhsempe natsisen organizatsiyien 6-miesh Generalnai Assambleii iyshanna.
20-00	[missing]
20-01	[missing]
20-02	[missing]
21-00	[missing]
21-01	[missing]
21-02	[missing]
21-03	[missing]
22-00	[missing]
22-01	[missing]
23-00	[missing]
23-01	[missing]
23-02	[missing]
23-03	[missing]
23-04	[missing]
24-00	[missing]
24-01	[missing]
25-00	[missing]
25-01	[missing]
25-02	[missing]
26-00	[missing]
26-01	[missing]
26-02	[missing]
26-03	[missing]
27-00	[missing]
27-01	[missing]
27-02	[missing]
28-00	[missing]
28-01	[missing]
29-00	[missing]
29-01	[missing]
29-02	[missing]
29-03	[missing]
30-00	[missing]
30-01	[missing]
