00-00	maanava adhikaaronii vishvavyaapii ghossannaa
26-03	potaanaam baallakone kayaa prakaaranum shikssanna aapavum te pasamda karavaano prathama adhikaara maabaapone raheshe.
27-00	anuccheda 27:
27-01	komanaa saamskrtika jiivanamaam chuuttathii bhaaga levaano, kalaaono aanamda maannavaano ane vaijnyaanika pragati ane tenaa laabhomaam bhaagiidaara thavaano dareka vyaktine adhikaara che.
27-02	vaijnyaanika, saahityika athavaa kalaatmaka sarjana jenaam te pote kartaa hoya temaamthii uubhaam thataam naitika ane bhautika hitonaa rakssanna maatteno dareka vyaktino adhikaara che.
28-00	anuccheda 28:
28-01	aa ghossannaamaam rajuu karavaamaam aavelaa adhikaaro ane svatamtrataao jemaam sampuurnnatayaa siddha thai shake tevii saamaajika ane aamtararaassttriiya vyavasthaa maatte dareka vyakti adhikaarii che.
29-00	anuccheda 29:
29-01	je komamaam ja tenaa vyaktino svatamtra ane sampuurnna vikaasa shakaya che te te koma pratye dareka vyaktine pharaje bajaavavaanii hoya che.
29-02	dareka vyakti potaanaa adhikaaro ane svatamtrataaonaa amalanii baabatamaam te maatra biijaaonaa adhikaaro ane svatamtrataaonaa yogya sviikaara ane sanmaananii salaamatiinaa hetu maatte ane lokashaahii samaajamaam niiti, jaahera vyavasthaa ane saamaanya sukha maattenii vyaajabii jaruuriyaato puurii paaddavaanaa hetu maatte kaayadaae nakakii karelii evii maryaadaaone aadhiina raheshe.
29-03	koipanna prasamge aa adhikaaro ane svatamtrataao samyukata raassttranaa hetuo ane siddhaamtonii viruddha amalamaam muukii shakaashe nahi.
30-00	anuccheda 30:
30-01	aa ghossannaamaam rajuu thapelaa koipanna adhikaaro ane svatamtrataaono naasha karavaa maattenii koi pravrttimaam rokaavaano athavaa koi kaarya karavaano koi raajya, samrha ke vyaktine adhikaara praapta thaaya che evo koipanna artha aa ghossannaano karavaano nathii.
