00-00	ZAGALNA DEKLARATSIYa PRAV LYuDINI
05-01	Nikhto ne povinen zaznavati tortur, abo zhorstokogo, nelyudskogo, abo takogo, shcho prinizhuie iogo gidnist, povodzhennya i pokarannya.
06-00	Stattya 6.
06-01	Kozhna lyudina, de b vona ne perebuvala, maie pravo na viznannya yiyi pravosub'iektnosti.
07-00	Stattya 7.
07-01	Vsi lyudi rivni pered zakonom i mayut pravo, bez bud-yakoyi riznitsi, na rivny yikh zakhist zakonom. Usi lyudi mayut pravo na rivny zakhist vid yakoyi b to ne bulo diskriminatsiyi, shcho porushuie tsyu Deklaratsiyu, i vid yakogo b to ne bulo pidburyuvannya do takoyi diskriminatsiyi.
08-00	Stattya 8.
08-01	Kozhna lyudina maie pravo na efektivne ponovlennya u pravakh kompetentnimi natsionalnimi sudami v razi porushennya yiyi osnovnikh prav, nadanikh yii konstitutsiieyu abo zakonom.
09-00	Stattya 9.
09-01	Nikhto ne mozhe zaznavati bezpidstavnogo areshtu, zatrimannya abo vignannya.
10-00	Stattya 10.
10-01	Kozhna lyudina, dlya viznachennya yiyi prav i obov'yazkiv i dlya vstanovlennya obghruntovanosti pred'yavlenogo yii kriminalnogo obvinuvachennya, maie pravo, na osnovi povnoyi rivnosti, na te, shchob yiyi sprava bula rozglyanuta prilyudno i z doderzhannyam usikh vimog spravedlivosti nezalezhnim i bezstoronnim sudom.
11-00	Stattya 11.
11-00	Kozhna lyudina obvinuvachena u vchinenni zlochinu, maie pravo vvazhatisya nevinnoyu doti, poki yiyi vinnist ne bude vstanovlena v zakonnomu poryadku shlyakhom prilyudnogo sudovogo rozglyadu, pri yakomu yii zabezpechuyut usi mozhlivosti dlya zakhistu.
11-01	Nikhto ne mozhe buti zasudzheny za zlochin na pidstavi vchinennya bud-yakogo diyannya abo za bezdiyalnist, yaki pid chas yikh vchinennya ne stanovili zlochinu za natsionalnimi zakonami abo za mizhnarodnim pravom. Ne mozhe takozh nakladatis pokarannya tyazhche vid togo, yake moglo buti zastosovane na chas vchinennya zlochinu.
12-00	Stattya 12.
12-01	Nikhto ne mozhe zaznavati bezpidstavnogo vtruchannya u iogo osobiste i simeine zhittya, bezpidstavnogo posyagannya na nedotorkannist iogo zhitla, taiemnitsyu iogo korespondentsiyi abo na iogo chest i reputatsiyu. Kozhna lyudina maie pravo na zakhist zakonu vid takogo vtruchannya abo takikh posyagan.
13-00	Stattya 13.
13-00	Kozhna lyudina maie pravo vilno peresuvatisya i obirati sobi mistse prozhivannya u mezhakh kozhnoyi derzhavi.
13-01	Kozhna lyudina maie pravo pokinuti bud-yaku krayinu, vklyuchayuchi i svoyu vlasnu, i povertatis u svoyu krayinu.
14-00	Stattya 14.
14-00	Kozhna lyudina maie pravo shukati pritulku vid peresliduvan v inshikh krayinakh i koristuvatisya tsim pritulkom.
14-01	TSe pravo ne mozhe buti vikoristane v razi peresliduvannya, yake v diisnosti ghruntuietsya na vchinenni nepolitichnogo zlochinu, abo diyannya, shcho superechit tsilyam i printsipam Organizatsiyi Ob'iednanikh Natsii.
15-00	Stattya 15.
15-00	Kozhna lyudina maie pravo na gromadyanstvo.
15-01	Nikhto ne mozhe buti bezpidstavno pozbavleny gromadyanstva abo prava zminiti svoie gromadyanstvo.
16-00	Stattya 16.
16-00	Choloviki i zhinki, yaki dosyagli povnolittya, mayut pravo bez bud-yakikh obmezhen za oznakoyu rasi, natsionalnosti abo religiyi odruzhuvatisya i zasnovuvati sim'yu. Voni koristuyutsya odnakovimi pravami shchodo odruzhennya pid chas shlyubu ta pid chas iogo rozirvannya.
16-01	Shlyub mozhe ukladatisya tilki pri vilnii i povnii zgodi storin, shcho odruzhuyutsya.
16-02	Sim'ya ie prirodnim i osnovnim oseredkom suspilstva i maie pravo na zakhist z boku suspilstva ta derzhavi.
17-00	Stattya 17.
17-00	Kozhna lyudina maie pravo voloditi mainom yak odnoosobovo, tak i razom z inshimi.
17-01	Nikhto ne mozhe buti bezpidstavno pozbavleny svogo maina.
18-00	Stattya 18.
18-01	Kozhna lyudina maie pravo na svobodu dumki, sovisti i religiyi; tse pravo vklyuchaie svobodu zminyuvati svoyu religiyu abo perekonannya i svobodu spoviduvati svoyu religiyu abo perekonannya yak odnoosobovo, tak i razom z inshimi, prilyudnim abo privatnim poryadkom v uchenni, bogosluzhinni i vikonanni religiinikh ta ritualnikh obryadiv.
19-00	Stattya 19.
19-01	Kozhna lyudina maie pravo na svobodu perekonan i na vilne yikh viyavlennya; tse pravo vklyuchaie svobodu bezpereshkodno dotrimuvatisya svoyikh perekonan ta svobodu shukati, oderzhuvati i poshiryuvati informatsiyu ta ideyi bud-yakimi zasobami i nezalezhno vid derzhavnikh kordoniv.
20-00	Stattya 20.
20-00	Kozhna lyudina maie pravo na svobodu mirnikh zboriv i asotsiatsii.
20-01	Nikhto ne mozhe buti primusheny vstupati do bud-yakoyi asotsiatsiyi.
21-00	Stattya 21.
21-00	Kozhna lyudina maie pravo brati uchast v upravlinni svoieyu krayinoyu bezposeredno abo cherez vilno obranikh predstavnikiv.
21-01	Kozhna lyudina maie pravo rivnogo dostupu do derzhavnoyi sluzhbi v svoyii krayini.
21-02	Volya narodu povinna buti osnovoyu vladi uryadu; tsya volya povinna viyavlyatisya u periodichnikh i nefalsifikovanikh viborakh, yaki povinni provaditis pri zagalnomu i rivnomu viborchomu pravi shlyakhom taiemnogo golosuvannya abo zh cherez inshi rivnoznachni formi, shcho zabezpechuyut svobodu golosuvannya.
22-00	Stattya 22.
22-01	Kozhna lyudina, yak chlen suspilstva, maie pravo na sotsialne zabezpechennya i na zdiisnennya neobkhidnikh dlya pidtrimannya yiyi gidnosti i dlya vilnogo rozvitku yiyi osobi prav u ekonomichnii. Sotsialnii i kulturnii galuzyakh za dopomogoyu natsionalnikh zusil i mizhnarodnogo spivrobitnitstva ta vidpovidno do strukturi i resursiv kozhnoyi derzhavi.
23-00	Stattya 23.
23-00	Kozhna lyudina maie pravo na pratsyu, na vilny vibir roboti, na spravedlivi i spriyatlivi umovi pratsi ta na zakhist vid bezrobittya.
23-01	Kozhna lyudina, bez bud-yakoyi diskriminatsiyi, maie pravo na rivnu oplatu za rivnu pratsyu.
23-02	Kozhny pratsyuyuchy maie pravo na spravedlivu i zadovilnu vinagorodu, yaka zabezpechuie gidne lyudini isnuvannya, yiyi samoyi ta yiyi sim'yi, i yaka v razi neobkhidnosti dopovnyuietsya inshimi zasobami sotsialnogo zabezpechennya.
23-03	Kozhna lyudina maie pravo stvoryuvati profesiini spilki i vkhoditi do profesiinikh spilok dlya zakhistu svoyikh interesiv.
24-00	Stattya 24.
24-01	Kozhna lyudina maie pravo na vidpochinok i dozvillya, vklyuchayuchi pravo na rozumne obmezhennya robochogo dnya ta na oplachuvanu periodichnu vidpustku.
25-00	Stattya 25.
25-00	Kozhna lyudina maie pravo na taky zhittievy riven, vklyuchayuchi yizhu, zhitlo, medichny doglyad ta neobkhidne sotsialne obslugovuvannya, yaky ie neobkhidnim dlya pidtrimannya zdorov'ya i dobrobutu yiyi samoyi ta yiyi sim'yi, i pravo na zabezpechennya v razi bezrobittya, khvorobi, invalidnosti, vdivstva, starosti chi inshogo vipadku vtrati zasobiv do isnuvannya cherez nezalezhni vid neyi obstavini.
25-01	Materinstvo i ditinstvo dayut pravo na osoblive pikluvannya i dopomogu. Vsi diti, narodzheni u shlyubi abo poza shlyubom, povinni koristuvatisya odnakovim sotsialnim zakhistom.
26-00	Stattya 26.
26-00	Kozhna lyudina maie pravo na osvitu. Osvita povinna buti bezplatnoyu, khocha b pochatkova i zagalna. Pochatkova osvita povinna buti obov'yazkovoyu. Tekhnichna i profesiina osvita povinna buti zagalnodostupnoyu, a vishcha osvita povinna buti odnakovo dostupnoyu dlya vsikh na osnovi zdibnostei kozhnogo.
26-01	Osvita povinna buti spryamovana na povny rozvitok lyudskoyi osobi i zbilshennya povagi do prav lyudini i osnovnikh svobod. Osvita povinna spriyati vzaiemorozuminnyu, terpimosti i druzhbi mizh usima narodami, rasovimi, abo religiinimi grupami i povinna spriyati diyalnosti Organizatsiyi Ob'iednanikh Natsii po pidtrimannyu miru.
26-02	Batki mayut pravo prioritetu u vibori vidu osviti dlya svoyikh malolitnikh ditei.
27-00	Stattya 27.
27-00	Kozhna lyudina maie pravo vilno brati uchast u kulturnomu zhitti suspilstva, vtishatisya mistetstvom, brati uchast u naukovomu progresi i koristuvatisya iogo blagami.
27-01	Kozhna lyudina maie pravo na zakhist yiyi moralnikh i materialnikh interesiv, shcho ie rezultatom naukovikh, literaturnikh abo khudozhnikh prats, avtorom yakikh vona ie.
28-00	Stattya 28.
28-01	Kozhna lyudina maie pravo na sotsialny i mizhnarodny poryadok, pri yakomu prava i svobodi, vikladeni v tsii Deklaratsiyi, mozhut buti povnistyu zdiisneni.
29-00	Stattya 29.
29-00	Kozhna lyudina maie obov'yazki pered suspilstvom, u yakomu tilki i mozhlivy vilny i povny rozvitok yiyi osobi.
29-01	Pri zdiisnenni svoyikh prav i svobod kozhna lyudina povinna zaznavati tilki takikh obmezhen, yaki vstanovleni zakonom viklyuchno z metoyu zabezpechennya nalezhnogo viznannya i povagi prav i svobod inshikh ta zabezpechennya spravedlivikh vimog morali, gromadskogo poryadku i zagalnogo dobrobutu v demokratichnomu suspilstvi.
29-02	Zdiisnennya tsikh prav i svobod ni v yakomu razi ne povinno superechiti tsilyam i printsipam Organizatsiyi Ob'iednanikh Natsii.
30-00	Stattya 30.
30-01	Nishcho u tsii Deklaratsiyi ne mozhe buti vitlumacheno yak nadannya bud-yakii derzhavi, grupi osib abo okremim osobam prava zaimatisya bud-yakoyu diyalnistyu abo vchinyati diyi, spryamovani na znishchennya prav i svobod, vikladenikh u tsii Deklaratsiyi.
