00-00	NA NQATAXACPI NA YOTTA'A'T SHIYAXAUAPI MAYI NETALEC ANA 'ALHUA
05-01	Qaica da huo'o ca qayauo'o ca nhuaxanaguec huo'otaq da qai'ot ca ncoitaguec huo'otaq da saqaichidapec, qaica ca qoyanaigui qataq saqaiyacnapec.
06-00	ARTICULO 6
06-01	'Enauac na shiyaxauasat sa ishit da qaillapeguem da huo 'o ca taigue, na 'aicta xa da yaqa 'a ca hueta 'a, qalaq qailo'oguet cha'ayi n'attau'a 'enauac na lataxaguesat.
07-00	ARTICULO 7
07-01	'Enauac na shiyaxauasat 'eeta'a't qaica da huo'o ca napacalec ca lya souaxat na yotta'at llic na nqataxacpi, sa ishit da qaiyottacachi namayipi cha'ayi nachi 'eeta'a't da hueto'ot na yotta'a't nqataxacpi. 'Enauac 'eeta'a't da huoto'ot da ltelaqtaxanaxac na nqataxacpi, qaica da huo'o ca qaiyottapeuga huo'otaq da saqaipaguelec ne'ena n'aqtacpi mayi qoyittai.
08-00	ARTICULO 8
08-01	'Ennauac na shiyaxauasat ishit da I'ot ca llic ca l'aqtac da yaneu'a na aloico l'o'pi nta'alpi mayi ilotague' cam 'alhua, da yaqto' ca mayi qanpaxatalec sa ishit da qan'aqchit cha'ayi mashi n'attau'a na nqataxacpi mayi I'ot da qailo'oguet camayi, mayi n'attalecpi que'eca 'alhua.
09-00	ARTICULO 9
09-01	Qaica da huo'o ca chichi qayacoolec da qaicoi', qayapou'a, huo'otaq da qai'odauec nachi ca llalaqpi, cha'ayi ca mayi huo'o naq ' enec da yi'oqchigui nachaalataxac, yoqo'oyi iuen da qayayamaxatchiguii ca qai'otec, huo'otaq qai'otec ca lyalataxac mayi ishit da mpaxatalec da lataxac ca mayi. 'Enauac na shiyaxauasat sa ishit da huo'o ca qaillapeguem da huo'otaq I'ada't ca layipi da yaqto' nachajlec qataq da deqalaec cam 'eetapeguec camayipi.
10-00	ARTICULO 10
10-01	Enauac na shiyaxauapi ishit da huo'o ca I'ot, cha'ayi namayipi nachi 'eeeta'am na layipi, da ishit da qan'axayaxana ca 'enapec, qataq da qai'otec cam yayamaqchiguii lataxac, huaa qanqoyin ca yaqauga l'onataxanqa' nam loicnatac na aloicpi, mayi yaqauga da yagto' qayayamaxaji ca llic da lataxac camayi, qataq cam ishit da I'ot lataxac, huo'otaq da qanmit cam negue't ca lataxac mayi qayaqtapeguelec camayi, mayi iuen da qaidolec nam lataxacpi mayi I'ot ca llic na lasouaxashitpi.
11-00	ARTICULO 11
11-00	Enauac na shiyaxauapi mayi huo'o cam chochi qayasaqtapeguelec ishit da chochi qampaxatalec da huo'otaq saxanaxa da yoqta qayayateeta cam lasouaxashit da 'eesa, qaipacchigui ca 'enapec nam nqataxacpi qataq da llic da qanmit camayi, da huo'otaq saxanaxa da yoqta qayayateeta da ishit da dataya'aguet cam qayasaqtapelec lasouaxashit camayi.
11-01	Saishit da huo'o ca qayauo'o ca nhuaxanaguec souaxat cam I'ot, huo'otaq da huo'o ca lataxac saipaguelec, da huaqchigui da huo'o ca qai'ot mayi saishit da 'iso' na'aqchit nam lataxaguesat, mayi ishit da yashiita cam qanayiuta'a 'alhua huo'otaq cam lya 'alhua. Nataq'en saishit da qayasaxalec ca nhuaxanaguec lta'adaic mayi sanatenguet da lataxac co'ollaq qaitaxayapigui que'eca lasouaxashit.
12-00	ARTICULO 12
12-01	Qaica da huo'o ca qai'igueeta'a da huo'o ca qai'otec salataxac da lalamaxat nachaalataxac, huo'otaq na llalaqpi, qataq ca lma', qataq da qaimeten aca lede, huo'otaq da qaishigueeta'a da no'on lataxac camayi, huo'otaq da no'on n'aqtaguec cha'ayi 'enauac na shiyaxauapi iuen da ntela'a qanqoyin na lataxacpi mayi I'ot na llic cam chochi nshiguenataxanaxac huo'otaq nshiunaxanaxac.
13-00	ARTICULO 13
13-00	'Enauac na shiyaxauapi ishit quenhuotapigui' qaica ca 'eetega qataq ishit da maichi lca'aique cam naa que'eca 'alhua mayi hueta'a.
13-01	'Enauac na shiyaxauapi ishit da ca'ai cam hueta'a 'alhua, nachi 'en'am cam hueta'a ishit da huo'o taya lya 'alhua, qataq ishit da yI'iguelaxa cam chigoqchiguina 'alhua.
14-00	ARTICULO 14
14-00	Da huo'otaq huo'o ca qaicaatac, qalaq 'enauac na shiyaxauapi ishit da nmitaique ca lli'iguenqa', qataq iuen da yataqta machigui qanqoyin, nai'ctaxa cam hueta'a 'alhua.
14-01	Qalaxayi de'eda lataxac saishit da qai'ogoxona da huo'otaq qayataya'aguet ca I'ot nam loicnatac na lataxaguesat, da huo'otaq yataqta 'eesa cam qai'ot nasouaxashit huo'otaq cam lya lataxac mayi dataya'aguet name lataxacpi mayi nasachigui co'ollaxa nam yotta 'a't nta 'alpi mayi huaxaya't.
15-00	ARTICULO 15
15-00	'Enauac na shiyaxauapi ishit, da nanedeuo cam hueta'a 'alhua.
15-01	Qaica da huo'o ca ishit da saqayashinem da nanedaxac cam hueta'a 'alhua, huo'otaq da nadalaxat da nanedeu'a ca lya'alhua mayi sa ishit da lma'.
16-00	ARTICULO 16
16-00	'Enauac na yale qataq ana 'alo da ivita da mashi yI qalaq ishit da saqaillapeguem ca I'ot souaxat da nqomshaxac huo'otaq cam chigoxoigui huo'otaq souaxat ca l'amqajnataxanaxac, nachi sa qayashinem da huadon uo'otaq da yauo'o na llalaqpi, huo'otaq da saqayalemaxat de'eda ladonaxac, da a nca'altaic ca mayi, huo'otaq da nalte' aca lhua.
16-01	Nachaqdata da yoqta huesochiguini camayi huo'otaq da yataqta yayamaxadeeta ca I'ot, nachi ishit da qaltaq huadon.
16-02	Cha'ayi ne'ena huadoota'a'tpi qataq na llalaqpi namayipi nachina na qanayiutapeguelec qataq nachina na 'ico'nllitai 'enauac na shiyaxauapi cam qanayiuta'a qataq namayipi iuen da yataqta qampaxatalec que'eca qanayiuta'a 'alhua.
17-00	ARTICULO 17
17-00	'Enauac nashiyaxauapi ishit da yauo'o na maiche lalamaxatpi, huo'otaq da nhuaata'ai' ca lya.
17-01	Qaica da huo'o ca chochi qayacojlec da qaillapeguem ca maichi lalamaxat.
18-00	ARTICULO 18
18-01	'Enauac na shiyaxauapi saishit da qaillapeguem da huesochiguii lataxac da lhuennataxac, huo'otaq da lavilyaxac qataq ca l'amqajnataxanaxac, nataq'en saishit da qaillapeguem da nadalaxat cam l'amqajnataxanaxac huo'otaq da lpi'iyaxac, nataq'en saishit da qaillapeguem da yachaxan ca lpi'iyaxac huo'otaq da l'amqajnataxanaxac, nai>>ctaxa da 'oonolec camayi hue'otaq da huaxaiguet na layipi, nachi 'en'am da yataqta nachaxaata huo'otaq da saishit da nachaxaata, souaxat da napaxaguenataxanaxac, qataq da llic da huo'o ca I'ot, huo'otaq da yataqta ilotelec da llic cam l'amqanataxanaxac.
19-00	ARTICULO 19
19-01	'Enauac na shiyaxauapi saishit da qaillapeguem da I'axat da lhuennataxac huo'otaq da huo'o ca l'aqtac; qaq de'eda 'eetec da saishet da qoyinapega damayi ivida'a nataq'en da saishet da huo'otaq saqayalemaxat camayi souaxat cam lhuennataxac mayi I'axateec co'ollaxa, qataq saishet da huo'otaq qanmittac, qataq camayi ishit da huo'o ca I'axateec lhuennataxac, na'aictaxa da qayoqtegeu ivida'a ca lya 'alhua, qataq ishit da yachalec aca camachaqca lmalate na na'axayaxacpi.
20-00	ARTICULO 20
20-00	'Enauac na shiyaxauapi ishit da yalegueu'a da huo'o na ntaxayaxac, huo'otaq da yalegoigui da huo'o ca naneda't shiyaxauapi, da I'ot da llic cam 'eetapeguec yayamaqchiguii.
20-01	Qaica da huo'o ca chochi nayamaxalec da nanedeu'a qanqoyin da huo'oi ca naneda't shiyaxauapi.
21-00	ARTICULO 21
21-00	'Enauac na shiyaxauapi ishit da do'onoataxaneu'a da l'onataxanaxac ca nta'a mayi ilotague' ca 'alhua cam hueta'a, ishit da maichi huapegue' da detaxayapegue' ca nta'a, huo'otaq da yauota'a ca ltaxayanexanec mayi maichi lca'egueshic.
21-01	'Enauac na shiyaxauapi saisnit da qaillapeguem da huo'o ca inoxoneu'a cha'ayi nachi 'eeta'am 'enauac na layipi shiyaxauapi da ishit da huo'o ca lo'onataxanaxac que'eca 'alhua mayi hueta'a.
21-02	Da lasataxac 'enauac na shiyaxauapi nachida da I'ot da l'aaxac ca nta'a mayi ilo'ogue 'enauac namayipi, de'eda nasataxac damayi da qai'ot qalaq yataqta qayayamaxatchiguii da nallida't qanqoyin, qataq da qayahuo'oi naua laloqo'te qanqoyin de'eda allitaxac, de'eda allitaxac I'ot da qayatalec cam dauegaxan yaguec na nale, qataq saishit da qayauaachigui qanqoyin cam nallij i 'oonolec, huo'otaq da qayahuota'a cam lya lataxac da huo'o ca qanallijlec da qayahuotaique da nta'a, mayi nataq'en yayamalechiguii.
22-00	ARTICULO 22
22-01	'Enauac na shiyaxauapi mayi yalectaigui cam layipi ca hueta'a, namayipi ishit da qayauo'o aca lashieu, qataq na llalaqpi, qataq ishit da qayanem da ivita da iyaxanaique. Chigoqchigui qanqoyin aim laponguishi anom mayi ilotague' ca nta'a mayi ilotague' que'eca 'alhua, huo'otaq ana chigaqa'a na layipi nta'alpi naua lya't 'ale'u, mayi qayamaxatchiguii da llic da ilo'ogue ne'ena nta'alpi, 'enauac ne'ena shiyaxauapi iuen da yataqta machiguini qanqoyin qataq ishit da nhuanau'a de'eda nsallaxa qataq da yalecta'aguet 'enauac na layipi, qataq da maichi lataxac na mayipi, qataq 'enauac na lhueneguesat da nachaalataxac qataq qaica ca 'eetega da I'ot da maichi laaxataxac da maichi nachaalataxac.
23-00	ARTICULO 23
23-00	'Enauac na shiyaxauapi ishit da yauo'o ca l'onatac qataq da maichi lca'aique ca ishit da I'ot l'onatac, qalaxayi nalochiguii qanqoyin da lashiichiyaxac qataq yataqta yayamaxadeeta qataq qaiqataxana'I da saishit da huo'o ca na'aq nachi qaica ca l'onatac camayi.
23-01	'Enauac na shiyaxauapi saishit da huo'otaq qalca'atagui da qai'ot ca nshiitenaguec ca l'onataxanaxac, da lashiichiyaxac nachi 'eeta 'am na leyipi.
23-02	'Enauac na shiyaxauapi mayi do'onataxaatac iuen dayataqta nalochiguii qancoyin da nshiitenaguec qataq yayamaqchiguii qanqoyin qataq qaipactelec nachi 'en'am na llalaqpi, de'eda nshiitenaguec nateeteguet qanqoyin da no'on lataxac camayi qataq yataqta qanaloqteeta't da ivita ca laloqo', huo'otaq da iuen da qayamaxaji cam saxanaxa da ime, huo'otaq ca lya lataxac mayi ishit da mpaxatalec da lataxac camayi.
23-03	'Enauac na shiyaxauapi ishit da I'ayii da llic da no'onataxanaxac huo'otaq da nanedeu'a ca lya ilotague' da no'onataxanaxac da yaqto' ishit da qaiuejlec da l'onataxanaxac.
24-00	ARTICULO 24
24-01	'Enauac na shiyaxauasat sa ishit da qaillapeguem da nmataxac, qataq ishit da huo'o ca lya I'ottac da yI'imaqta, qataq naua loga'te da l'onataxanaxac naloteguet qanqoyin cam I'ottac, qataq naua laloxoqui' da nmateec qanqoyin qaishiite'n.
25-00	ARTICULO 25
25-00	'Enauac na shiyaxauasat iuen da yataqta nalochiguii qaica da huo'o ca iueetac qanqoyin, nachi 'en'am na llalaqpi, no'oita qataq yayamaqchiguii, sa ishit da iueetac ca aloq qataq qaitaunec ca lya ntaunaxanaxac, nataq'en iuen da qaiqataxana'I aca nshiitenaqte da ivita da qaica ca l'onatac, huo'otaq da sano'on, huo'otaq da sada' aiigue, huo'otaq da pa'aic, qataq da mashi ya'axaiqui, huo'otaq da huaigui ca lya lataxac, huo'otaq da deqat ca chigoqtapoigui na lhueneguesat yasouaxat cam negue't ca lataxac mayi sa ishit da lhuennataxa ca mayi.
25-01	Da 'eetec aca 'alo da deco'o qataq na nogotolec iuen da yataqta qantela'a qataq qanayiuapegue'. 'Enauac na nogotolec mahyi chigoxoiguilo caua namoxo'u huo'otaq da yaqa'a aca chigoxoigui namayipi 'enauac 'eeta 'a't iuen da yataqta qantela'a.
26-00	ARTICULO 26
26-00	'Enauac na shiyaxauasat iuen da yataqta napaxaguen, qalaxyi de'eda napaxaguenataguec sa ishit da ishiiten imauec de'eda hua'auchiguii napaxaguenataguec da yaqto' yayate'n naua llico na hua'auchiguii nayaaneguesat. Ne'ena hua'auchiguii nayaaneguesat iuen da yoqta qalapaxai da qai'ot. Da qalapaxai ca llic ne'ena yotta'a't nayaaneguesat qalaq iuen da qaica ca ichiyauga, qataq da qananedeu'a ne'ena qayoqotchiguemec nayaaaneguesat qalaq qaica da huo'o ca qaiyotauga, qalaxayi nataq'en iuen da qailoteguet cam yoqta 'eesa sa ivi' da nqat ne'ena nayaaneguesat.
26-01	Qataq 'enauac ne'ena napaxaguenataxanaxacpi iuen da yoqta naaxat naq'en da lauattonaxanaxac na shiyaxausat qataq ya'anaqchitec cam lataxac mayi ishit da I'ot qataq da huesochiguii naq'en namayipi, nataq'en itaunec da yayateeteguet na lataxacpi, qataq da 'eetec da qanhualaxaine' ca nya qataq da 'eetec da nhuoteeta't na netalguete naua yotta't 'ale'u, qataq 'enauacna yotta 'a't na l'aqtac huo'otaq ca l'amqajnataxanaxac, qataq da qalapaxai ca llic na I'otpi na yotta'at nta 'alpi mayi naneeta'a't da yaqto' lactapiguii na shiyaxauasat.
26-02	Nam huo'o na llalaqpi ishit da maichi lca'ateu'a ca lataxac da napaxaguenatageuc na llalaqpi.
27-00	ARTICULO 27
27-00	'Enauac na shiyaxauasat ishit da maichi chigoqchigui da yalegueu'a 'enauac na maichi lalamaxat lataxac cam netaigui shiyaxauapi, qataq 'enauac na yayamaqchiguii lataxagesat na lalamaxat layaanecpi mayi ishit da yayamajni camayipi qataq ishit da yaconguet ca chigaqaigui.
27-01	'Enauac na shiyaxauasat iuen da qantela'a cam lalamaxat layaanec, huo'otaq ca yi'oqchigui lalamaxat mayi chigaqaigui ca I'ottac layaanec, huo'otaq da I'ottac ana nere, huo'otaq na no'on ne'enaqtacpi mayi maichi lalamaxat l'onatac.
28-00	ARTICULO 28
28-01	'Enauac na shiyaxauasat ishit da qai'otec ca llic da yaqto' qaica ca machicague't da ivida'alo naua lya't 'ale'u, mayi qailotagueta mayi nataq'en ividaugalo 'enauac ne'ena nqataxacpi mayi mashi qanasachigui, yaqto' yataqta qaipacchigui da qai'ot 'enauac ca 'enapec.
29-00	ARTICULO 29
29-00	'Enauac na shiyaxauasat ishit da huo'o ca I'ottac cam hueta'a, cha'ayi nachicata cam hueta'a mayi huesochiguii da huo'o cam I'ottac qataq sa ishit da qoyiitega.
29-01	Da ivita da huo'o ca yacoolec da I'ot huo'otaq cam lya lataxac mayi sa ishit da illapec da qai'ot ne'ena nqataxacpi, qalaq 'enauac na shiyaxauapi ishit da qai'ot ca yashiita ne'ena nqataxacpi yaqto' ca mayi nataq'en ishit da huo'o ca qai'ot, qataq da qaipacchigui da qai'ot ca lataxac yayamaqchiguii, yaqto' 'enauac na shiyaxauasat qaica ca machicage't qataq sa ishit da huo'o ca qoyiitega.
29-02	N'ena nqataxacpi qataq da nataxac mayi huesochiguii, sa ishit da qai'onataxana da huo'otaq qayataya'aguet cam 'eetapeguec qataq nam l'auaxanec lataxac mayi lapaxai na yotta'a't nta'alpi mayi nanetta 'a't.
30-00	ARTICULO 30
30-01	Qaica qome da huo'o ca 'oonlec ne'ena nanettai mayi qanasachigui da qoyinac chigoqchigui da I'ot ca l'aqtac ca camachicague't na nta 'alpi, da huo'otaq huo'o ca yanem shiyaxauapi huo'otaq ca 'oonolec namayipi da yaqto' huo' ca ishit da yacoolecda I'ot, huo'otaq da yaueca'a't ca layipi da yaqto' nlaxaji ca 'oonolec ne'ena nqataxacpi, huo'otaq da nlaxaji da nataxac mayi huesochiguii, mayi mashi nasachigui qataq lapaxai.
