00-00	kvaam paav ueatiang efn din naa viak lam ꫛ otn fu khhong lian ueahꪷb kuak
02-01	cu ꫛ  auef kꪷ pom ayd ueahng pueng kvian ueapian ueacaa kamb tue taang ueasng ueavaa kuang aueb paav kvaam ni, ueabaa pan eck ueac fan - uean nꪰng - auec ngam - kvaam paak - hid khhong - luang pun etng klꪰd khhong ueacaa hue vaa luang klꪰd ouen, okk ueakhhaa ueahaa haak baan ueamng haak mi hue vaa baan ueamng nam ming sing khhong. khhong ueacaa haak ayd haak mi hue vaa ueapian et baan ueamng tꪰd ook.
02-02	nok an, kꪷ ueabaa mi khhu aued ebng enyok sia kvian klꪰd khhong ueacaa - kvian  okhhm naab khhong ueank aued ueamng aued ueacaa you ꫛ diav. taa vaa ueamng an ayd suan etng daa kong kvian naab ueatiang ueabaa ueahia ueapian ueacaa com ueap mi oan khhꪰd khhong.
03-00	hud 3
03-01	cu ꫛ auef kꪷ mi kvian ueayoiad ꫛ, tue taang kamb pod ecng aueh lam mꪷ ueacaa.
04-00	hud 4
04-01	ueabaa mi auef pꪰd khhoyo ueasꪷ hue vaa cuab okhhm naab ueasng ꫛ khhoyo  ueasꪷ, cu oan ueasng ueapian khhoyo ueasꪷ kamb kaa khhaayo khhoyo ueasꪷ dꪷ ueapian khhu ueakꪷm kꪰd ueakiang.
05-00	hud 5
05-01	ueabaa mi auef cuab pꪰd tamb ti ekng cuab faad kaa okhh baab ueayoiad osyo oaak hod lam ꫛ otn fu cuab tamm ayp sia.
06-00	hud 6
06-01	cu ꫛ auef kꪷ mi kvian ueac  man  ot ueacaa  khhꪰk ueapian ꫛ toyo faab luad baan ueamng ueabaa kvaan ueamng aued.
07-00	hud 7
07-01	ueatiang kaa cu ꫛ auef kꪷ ayd ueacꪷng piang  toyo faab luad ayp ec ueasng diav ueabaa mi khhu aued pan eck - ueatiang kaa cu ꫛ pom ayd ayp ec ueasng diav -ayd kamm tꪷ pueng khhu pan eck khhong kvaam paav ni ekng ayd kamm tꪷ  pueng  khhu nyook nyouan ebng enyok sia kan an.
08-00	hud 8
08-01	cu ꫛ auef kꪷ mi kvian ayd tvaa oaan ueamng an ayp  ec toyo faab luad kamm tꪷ pueng khhu  ueayoiad fid toyo hid auenyo duang khhong faab luad tꪰd ook.
09-00	hud 9
09-01	ueabaa mi auef cuab pꪰd,  sꪰng ayv hue vaa haak lꪰk osng  ayp ueamng ouen
10-00	hud 10
10-01	cu ꫛ auef kꪷ aueh ayd mi kvian  ueacꪷng piang, ayd tvaa oaan ueamng an etng uealꪷng ueasꪷng cob ecng eck ueabaa bꪰk otyo su ꫛ aued kvian bꪰk laa vaa ovaan.
11-00	hud 11
11-00	cu ꫛ vaa auef cuab pꪰd osyo ueahng ueangꪷ, hue mi kvian vaa otyo an ueayoiad laa, ueataa hod tvaa oaan ueayoiad ook ecng aueh ꫛ an mi kaan nyoan paav aueh fu  paak taang ueacaa ueavaa khhꪰk vaa otyo ꫛ an mi hue oing ueapꪷng su faab luad.
11-01	ueabaa mi auef cuab muan otyo ueahng ueangꪷ op viak ueayoiad ueahng ueangꪷ ueabaa ekhhk vaa otyo ueahng ueangꪷ toyo luad faab ueank an kꪰd pun ook kuang ueacꪷ an - kꪷ ueabaa aueh efb su pueng khhu faad  kaa nꪰk aues pueng otyo ueahng ueangꪷ ueas faab luad ueamng an tꪰd ook ecng eck ueasng an.
12-00	hud 12
12-01	ueabaa mi auef cuab ꫛ ouen oaang tꪷ ueacaa enng ueayoiad aueh cua  uealꪷyo bom, cua ueahn,  bon you ekng sue saan khhong bom ꫛ an ueabaa epd paan hod cue siang naa taa khhong ueacaa. cu ꫛ pom ayd faab luad ayp ec ueaoaa kamm  tꪷ pueng  khhu  eo  ueayoiad du ngaayo ep  ueacaa ueasng an.
13-00	hud 13
13-00	cu ꫛ pom ayd mi kvian tue taang  ayp maa  kamb you bon aued kuang nam din khhong  ueank ueacaa cu ꫛ pom ayd mi kvian ook  khhoyo sia ueamng, namb et ueamng ueacaa, ekng mi kvian taav naa ueamng ueacaa.
13-01	[missing]
14-00	hud 14
14-00	cu ꫛ pom ayd mi kvian saav bon you  hue vaa  paayo ayp ueapꪷng ueamng ouen vaa cuab ueasaa ueayoiad baab aueh ueacaa.
14-01	kvian ni ueabaa ayd su aues  pong pueng ꫛ cuab ueasaa pꪰd aueh op pueng otyo ueabaa cue cing ci  hue vaa pueng khhu ueabaa hu toyo nam luad khhong lian ueahꪷb kuak
15-00	hud 15
15-00	cu ꫛ pom ayd mi  kvian ueanyoꪷb ueakhhaa kuak tik ueamng ꫜ ueamng aued an.
15-01	ueabaa mi auef yoaad  ueaoaa kuak tik khhong ueacaa hue vaa thiang  sia kvian pian kuak tik  ueamng ꫜ khhong ueacaa.
16-00	hud 16
16-00	ꫛ caayo hue vaa ꫛ nyoing  hod tuayo ueapian baav ueapian saav  kꪷ ayd mi kvian  ueaoaa fua ueaoaa mia saang osm ueahn yoaav  ueabaa  kvaam mi khhu aued maa kan ngan - taang fan ꫛ - kuak tik hue vaa otn yoaav ueasaa kꪷ  mi kvian ueaoaa fua ueaoaa mia ueayoiad ueahn ueayoiad yoaav ekng ueacꪷ vaang  haang kan .
16-01	viak  ueaoaa fua ueaoaa mia ayd ueatiang song faayo mꪰk emn osm auec ueaoaa kan.
16-02	ueahn yoaav ueapian  bon ꫜ ayd  tue taang toyo baan ueamng ekng ayd baan ueamng ayp ec ueaoaa .
17-00	hud 17
17-00	cu ꫛ pom  ayd mi kvian  su  oyong ueacng khhong  bom khhong ueacaa hue vaa su hꪷ kan kamb ꫛ ouen ueabaa mi auef oaang tꪷ kvian auenyo maa cing yoaad ueaoaa sia ayd.
17-01	[missing]
18-00	hud 18
18-01	cu ꫛ pom ayd mi kvian ngam pun ook dꪰk edm kamb saang hid khhong, ueatiang kaa tue taang pian ueac saayo ekng hid khhong, kamb ayd tue taang ook naa ꫛ ueac saayo mi hue saang hid khhong et paang daayo cian maa ueayoiad ueasian fon, kung ueasꪷ,ueapian khhong bom ueacaa hue vaa khhong huam kan ueapian ook naa hue khhong yoiang bom ueacaa.
19-00	hud 19
19-01	cu ꫛ pom mi kvian tue taang paak ueavaa sue saan ekng ek aykhh ook  laang ngam laang pong tue taang laang ngam hid khhong ueacaa, ueabaa you kong khhu okhhm naab aued, tue taang sok saav ueaoaa kvaam hu siang khhong ꫛ ouen ueasaa paav maa ueabaa kvaam ueamng aued.
20-00	hud 20
20-00	cu ꫛ pom mi kvian tue taang hob ohyo, ekng kob ohm aues cum mu oian haan ueabaa mi auef okhhm naab ueakhhaa ohyo ni ohyo auen.
20-01	[missing]
21-00	hud 21
21-00	cu ꫛ pom mi kvian mi cue ook naa ueakhhaa cing kvian ueamng ueacaa,ueapian ꫛ ayd os vaan pueng fu taang naa tue taang ayd con uealk ueaoaa an.
21-01	cu ꫛ pom mi kvian ayd ueakhhaa ueayoiad toyo omd ueayoiad kin nꪰng kuang nam din baan ueamng ueacaa ayd ueacꪷng piang.
21-02	hua auec khhong ueayoꪷn ueamng ueapian bon pꪰk ehng auenyo duang khhong cing kvian. hua auec ni ueahian ook ecng nꪰng paang ueavaa kue khhꪰk enk, toyo hid ofk fiav cob ueacꪷng ekng ayd ofk fiav yoamm toyo hid ofk fiav ueasng diav an.
22-00	hud 22
22-01	cu ꫛ ueapian ueacaa baan ueamng, pom ayd mi kvian baav hiam saa ohyo kꪷ ueasng diav viak ueayoiad kin maa taang faayo ueangꪷn nꪰng saa ohyo kamb van hvaa ueabaa ueathia dud thiav aueh lam ꫛ otn fu khhong ueacaa, os vaan kvaang khhvaang nꪰng dom ueamng kaan faa kamb cu ueamng, cob ueacꪷng viak tꪰng etng luang pun khhong moyo ueamng.
23-00	hud 23
23-00	cu ꫛ pom ayd mi kvian ueayoiad viak,tue taang saav ueaoaa viak ueayoiad, ayd ueahng pueng viak ueayoiad ueacꪷng piang kamb ngaayo di ayp ec auef ueacaa you laa ueabaa mi viak ueayoiad an.
23-01	cu ꫛ pom ayd mi kvian aueh pꪰng okng  tꪷ kan aueh okng viak ueayoiad tꪷ diav, ueabaa aueh mi khhu pan eck ueasng ni ueasng auen.
23-02	cu  ꫛ ook ehng ueayoiad viak pom ayd kaa ehng ueacꪷng piang ueasng diav ueabaa aueh dud khhaa sia lam mꪷ ueacaa kamb cua ueahn cob ueacꪷng aueh lam ꫛ otn fu toyo hid  ayp ec baan ueamng ouen ouen vaa haak mi env ueapian.
23-03	cu ꫛ pom ayd mi kvian etng daa khhuen kamb ueakhhaa ohyo okng dvaan ayv ayp ec kvian uealꪷyo khhong ueacaa.
24-00	hud 24
24-01	cu ꫛ pom mi  kvian yoꪰng yoom kamb oin muan saang auec,ekng ueayoiad viak ueabaa cob ueacꪷng ueacꪷ kamb pueng mue yoꪰng kꪷ ayd ting ueangꪷn uealng toyo ueasng cu ueat.
25-00	hud 25
25-00	cu ꫛ pom ayd mi kvian - kin piang pꪷ ayv khhum ueaoaa haav ehng ekng etd tiang aueh ueacaa lam mꪷ ekng cua ueahn, taang viak kin, viak nung, viak you, ueayoaa yoaa, kamb luang ook sia toyo baan ueamng auem, kꪷ epk ueasng mi kvian ayd baav hiam kuang ueacꪷ ueabaa mi viak ueayoiad, ueaciab haayo, ngoyo evk, maayo haang ueathaa ek, hue vaa ueabaa mi ueasng ueayoiad kin op khhaad ueakhhꪷn daayo env ueabaa okm mꪷ ueacaa.
25-01	pueng ueaoiam ueathaa kamb nong noyo ueakꪷn ayd lam du kamb coyo ueayo daayo ueas - ueatiang kaa pueng nong noyo ook maa maan taang pom ayd ueahng viak coyo ueayo khhong baan ueamng ueasng diav.
26-00	hud 26
26-00	cu ꫛ pom ayd mi kvian eob hian - ayd ueayoiad toyo ueacia od yoaav youk ueabaa sia kaa noyo ueahiang kꪷ ayd eob hong can tamm kamb yoaav youk nꪰng ofng ol - yoaav youk can  tamm hue emn khhong khhꪰd ueahiang, yoaav youk ki thuad kamb pueng ueangia  hue ueapian aykhh kvaang kamb yoaav youk can sung ( kaav hok ) ueapian toyo ngvian tꪰk ueacꪷng piang aueh ueabaa kvaan ꫛ aued eob ayd.
26-01	yoaav youk ueapian toyo ueahng coyo luk ꫛ hu siang tuem etn piang pꪷ aueh  fu ꫛ hu eo saang kvian tue  taang  lam mꪷ khhong ueacaa - bok son ueapian tuem etn viak hu dꪰk auec mꪰk muan kamb ueatiang kaa pueng  ueac saayo ouen pueng ꫛ etng hid khhong kamb fan ꫛ ouen kꪷ ayd nyoꪷ sung viak ueayoiad kamb lian ueahꪷb kuak ueap ayp ec ueaoaa oian haan oaayo ueaoiam mi kvian uealk con ueaoaa  luang bok son luk ueataa.
26-02	[missing]
27-00	hud 27
27-00	cu ꫛ pom mi kvian tue taang ueakhhaa saang osm taang van  hvaa khhong omd mu diav ueacaa, nyoꪷ sung luang hu siang  kamb ebng pan laang di khhong ueacaa ueayoiad ayd aueh tian ob khhvaa hok.
27-01	cu ꫛ pom  mi kvian oum su odyo kamb pueng  kvian  uealꪷyo taang nam  ming sing khhong kamb hua auec et okng cing khhvaa hok,  van hok kamb ueangia thuad emn ꫛ fu an etng ook ayd.
28-00	hud 28
28-01	cu ꫛ pom mi kvian ayd ueahng viak pod ecng baan ueamng kamb kuak ueatia kuang an  pueng kvian tue taang kuang aueb otng paav ni aueh ueayoiad ayd piang pꪷ.
29-00	hud 29
29-00	cu ꫛ pom mi ngia vu saang osm kamb omd mu luen ueas ueamiad cꪰng ueahian luang ueayoiad ꫛ khhong ueacaa ayd tue taang kamb piang pꪷ.
29-01	ueam ueacaa ueayoiad ayd di kvian tue taang khhong ueacaa, cu ꫛ cꪰng hu pueng khhꪷ ueabaa ueathia ueayoiad kaayo faab luad. ueap ayv otk olng kan ayp ec ekng aueh ueasaa mꪰk muan ueacaa hiak mi kvian kamb tue taang khhong ꫛ ouen auef kꪷ ueayoiad ayd laang di luang ueayoiad ꫛ pod ecng kamb baan ueamng son ohm ueamng ꫜ ueayoꪷn ueapian ueacaa.
29-02	kuang ueabaa kvaan khhꪷ aued, viak ueayoiad toyo pueng kvian tue taang ni ueabaa ayd ueayoiad fid sia luang etng tꪰng khhong lian ueahꪷb kuak kꪰd ook.
30-00	hud 30
30-01	ueabaa ayd efb puk pin ook ueabaa kvaan khhvaan aued you kuang aueb paav kvaam ni toyo luang lamb suan  kuang auec ueabaa kvaan ueamng aued, omd ꫛ aued hue vaa yoiang ꫛaued ueabaa mi kvian etng ook ueabaa mi kvian ueayoiad ook fid sia ayv faa haayo kvian tue taang aued ueavaa ook ueas kuang aueb kvaam paav ni.
