00-00	TAFASWIRI AN-KIBUSHI NIM-MATEKELEZO KI DUNIA NIN-HAKI-L-ADAMI
02-01	Kula hulungu meti mikudai fikurumiananga amin’nazi ninsharia ndreka nafasi retu djabi, nivulangana amin’ni Matekelezo iti, wala tsisi fifidananga tsokao yotsi, mfano mifotutru kabila, range (nin-nenyi), lalahi au viavi, fivulangana, dini, fikira ki siasa au fikira hafa tu, tani nibwahanga au daradjan-hulungu, mali, teraka au kabaru hafa tu.
02-02	Boka eu, tsi uhisi fifidananga tsokao yotsi mbu atou hatasibabun’ ni daradja nin-siasa, nim-mahakama au hatasibabun’ni abezan-tani au gitro nin-tani nibwaha ninhulungu ; neka tani iu au gitro nin-tani iu huru, nikutawalan’ni tani hafa, tsi mahaleu tenga au nikupunguzanga yezi.
03-00	Kanuni faha teluni :
03-01	Kula shumbe-binadamu misi haki an-fikueshianga, annafasi ndreka an-hifadhwi nin-nafusini.
04-00	Kanuni faha efatrani :
04-01	Tsisi hulungu mbu atou andevu au andivuzanga : fandivuzanga ndreka kula kalite nin-fanyiraha ki andevu, tsi kuruhusungu.
05-00	Kanuni faha dimini :
05-01	Tsisi hulungu mbu atou matriko, wala fihezinyi ou kudilinyi kara raha tsisi manani ou atou raha mikulanisa izi.
06-00	Kanuni faha tshutani :
06-01	Kula hulungu misi haki an-fikubalianga haki nazi kula mahala misi izi.
07-00	Kanuni faha fituni :
07-01	Hulungu djabi miranga an-lalanga ki sharia ndreka misi haki djabi bila fifidananga, an-hifadhwi miranga nin-sharia. Hulungu djabi misi haki miranga an-sharia mikuhifadhwi hulungu ndreka kula ubanguzi mandeha kinyume ndreka Matekelezo iti, ndreka kula fikutsotsanga ubanguzi iti.
08-00	Kanuni faha valuni :
08-01	Kula hulungu misi haki an-fandihananga mikushitaki ammahakama nin-tani misi maarifa amin’ni kabaru nazi, neka haki-musingi nazi, boka eu nikubalin’ni sharia be musingi ou sharia tu, tsi nikusutehinyi.
09-00	Kanuni faha sivini :
09-01	Tsisi hulungu mbu heti tanin-sirikali ou gadrani lajoli ou atuwatanini bila sibabu.
10-00	Kanuni faha fuluni :
10-01	Kula hulungu misi haki, an-fihiranga swafi, an-fanganovani modeli ata hadja nazi urenyim-mahakama tsi kisirikali, tsi mampinonu hila, an-lalanga nin-haki ndreka anyivunntrengwe. Mahakama iti ro mbu ahei neka hulungu iti amin’ni haki nazi ndreka farudhwi nazi au mashitaka natonga izi iti mangaraka lalanga.
11-00	Kanuni faha fulu areki ambini :
11-01	Kula hulungu nikuhutumungu ndreka tabia ratsi, kaza taninyi ndreka halathwi paka izi kuhukumungu kirasimi am-mahakama mbianga an-trengwe, amin’izi eu, kula kabaru miditri amin’ni difai nazi djabi nikurumiananga.
11-02	Tsisi hulungu mbu vangonga kubei hatasibabun’ni amali au raha tsi nishugulinyi, ndreka wakati nanganovanga reu iti, reu tsi nalanga amba tabia ratsi amin’ni sharia nin-tani au nin-ulemengu. Boka eu kua, tsisi raha rati mandiltra inyi fa vua hulungu lera nanganovanga tabia rati retu, mbu vua hulungu kua.
12-00	Kanuni faha fulu aroi ambini :
12-01	Tsisi hulungu mbu hidiranga bila sibabu, am-maisha ninantanana nazi, amin’ni havanga nazi, amin’ni trangu nazi au amin’ni barua nazi ; wala tsisi hulungu mbu hiditri amin’ni kabaru mbu ikupua hulungu usheu, mbu andatsaka izi. Kula hulungu misi haki an-hifadhwi ninsharia mamahanga fidiranga an-hulungu ndreka fikufutsuhanga maisha nin-hulungu.
13-00	Kanuni faha fulu telu ambini :
13-01	Kula hulungu misi haki an-fidiranga ndreka fibwahanga an-nafasi ndreka an-fifidananga mahala ipitrahani angatin’ni Daula .
13-02	Kula hulungu misi haki an-fibwahani an-nakwakila tani, ata an-tani nazi, ndreka an-fipudiani an-tani nazi.
14-00	Kanuni faha fulu efatra ambini :
14-01	Am-mahala misi udilifu, kula hulungu misi ruhusa mitsakaraka mahala ififianga, boka eu, misi furswa ahazu mahala ififiani amin’ni tani hafa.
14-02	Sharia iti tsi heti kurumiananga neka hulungu mila ikurumiananga izi iti, tsakarahin’ni sirikali hatasibabun’ni shidrendro natoni niditri amin’ni baadhwi nin-shidrendro nikudukurungu amin’ni sharia djumla au hatasibabun’ni tabia natoni tsi miaraka ndreka madhumuni ndreka makuswada nin-Uvumoja nin-Twaifa (Shama nin-Daula nin-Ulemengu).
15-00	Kanuni faha fulu dimi ambini :
15-01	Kula hulungu misi haki an-fazahuanga uraia.
15-02	Tsisi hulungu mbu heti fahangana kaza ahazu uraia au amadiki uraia, bila sibabu.
16-00	Kanuni faha fulu tshuta ambini :
16-01	Neka reu fa kutsimu, lalahi ndreka viavi nin-kula nishani, kula uraia au kula dini, meti manambadi ndreka miteraka zanakan-ndreu. Hakin-ndreu amin’ni kabaru mifotutru vadianga meranga, lera reu amin’ni vadianga ndreka lera reu mibongu.
16-02	Vadianga mbu heti atou neka bwana harusi ndreka bweni harusi nikubali izi iti.
16-03	Fihisianga havanga iu raha amin’ni vatan-hulungu boka eu muhimu amin’ni maisha ki udjamaa ; izi iti misi furswa ahazu hifadhwi nin-udjamaa ndreka nin-Daula.
17-00	Kanuni faha fulu fitu ambini :
17-01	Kula hulungu, rangu inyi mipetraka izi areki ata inyi mipetraka an-djamaa, misi furswa amba izi hu tompinshandza.
17-02	Tsisi hulungu mbu heti fahangana bila sibabu amba izi kaza utompin-shandza.
18-00	Kanuni faha fulu valu ambini :
18-01	Kula hulungu misi haki an-fihisianga nafasi nin-fikufikirianga, nin-fikurumiananga akili-musingi ndreka nin-fihisianga dini ; haki iti mikuruhusu hulungu mamadiki dini au fikira, ndreka mangamia hulungu nafasi mampahei dini au fikira nazi izi areki au ndreka ri namani rangu an-karamandza ata an-tranguni ; amin’ni fidzuruanga izi, amin’ni fanganovanga izi, amin’ni fanganovanga ibada ndreka mahafala mifotrutu dini iti.
19-00	Kanuni faha fulu sivi ambini :
19-01	Kula hulungu misi haki an-fihisianga nafasi ninfangabwahanga fikira ndreka nin-fivulangana ; maanani iu, hulungu misi haki an-tsifiampidzalinga hulungu hatasibabu nin-fikira nazi ; an-fahazuanga ndreka fangabunguanga bila tsisi fikutundanga mupaka, kabaru ndreka fikira, an-kula lalanga mbu kurumiananga.
20-00	Kanuni faha arompuluni :
20-01	Kula hulungu misi haki an-fihisianga nafasi nin-fivurianga ndreka nin-fanganovanga shama tsisi tashahushi.
20-02	Tsisi hulungu mbu atou nguvu ihiditri an-shama.
21-00	Kanuni faha arompulu areki ambini :
21-01	Kula hulungu misi haki an-fangalanga fuvu anfangandesanga kabaru mifotutru hulungu djabi an-tani nazi, nahika ro hulungu tompini au amin’ni hulungu mangatitri wakala nifidananga an-nafasi.
21-02	Kula hulungu misi haki an-fihisianga lalanga, mikustehi masharutwi nin-fihiranga, iditri an-hasa ki sirikali nin-tani nazi.
21-03	Nia nin-zanatani io ro musingi nin-yezi nin-sirikali ; nia iti nikulazimu kutekelezanga amin’ni voti mazava nikulazimu natou kula mumba muda, amin’ni lalanga mikukarbisa hulungu djabi an-fihirangana, amin’ni voti ninsiri au mangaraka fomba miranga ndreka voti nin-siri, mikuruhusu unafasi nin-voti.
22-00	Kanuni faha arompulu aroi ambini :
22-01	Kula hulungu, amin’izi hulungu nin-djamaa, misi haki anfazahuanga hifadhwi ki fihavangana (ki siraki) ; musingi nin-hifadhwi iu, ro fikutsimidzanga haki mifotutru akiba, udjamaa ndreka utamaduni muhimu an-hishima nazi ndreka an-huvambufu an-nafasi nin-tweranga, hatasibabun’ni djitihadi ki tani ndreka fishirikanga ki ulemengu, hatasibabun’ni namuna nin-kupanganga ndreka rasulimali nin-kula tani.
23-00	Kanuni faha arompulu telu ambini :
23-01	Kula hulungu misi haki an-fazahuani hasa ndreka anfihisiani shabaha an-fifidanani hasa amin’ni lalanga ninhaki bokeu kusutou nin-hasa ; ndreka misi haki anfikuhafadhwianga izi ndreka fipitrahanga-bure.
23-02	Hulungu djabi, wala tsisi fifidananga, misi haki anfazahuanga mushahara meranga an-fanganovanga hasa miranga.
23-03	Kula hulungu miasa, misi haki an-fazahuanga mushahara kusutou, modeli nikulazimu mbu ikuruhusu izi ndreka ri havani uhisi maisha ki ubinadamu, bokeu meti susohinyi ndreka musada hafa nin-hifadhwi ki udjamaa.
23-04	Kula hulungu misi haki an-fikupangana ndreki ri havani, shama nin-fikudaianga haki nin-hulungu nin-hasa, an-fihidirani an-shama mikudifai tanafu nazi.
24-00	Kanuni faha arompulu efatra ambini :
24-01	Kula hulungu misi haki an-fangabwahanga vaha ndreka fangalanga nafasi, amin’ni zenyi, an-fanganovanga mupaka mikustahiki amin’ni muda nin-hasa ndreka anfangabwahanga vaha ifanga nim-muda.
25-00	Kanuni faha arompulu dimi ambini :
25-01	Kula hulungu misi haki an-fihisianga daradja ninfikueshianga kiasi, mikuruhusu izi uhisi swiha tsara, ahazu faivangana, izi ndreka ri havanga nazi, an-kabaru mifoturu, fihinananga, fisikinanga, fihisianga trangu, fazahuanga audi ki lopitali ndreka fazahuan-hulungu zema ki sirikali muhimu : izi misi haki an-fazahuani musada anwakati nin-fipitrahanga-bure, nin-aretinyi, ninfikupunguzan’ni ziga, nin-fati nin-vadi, ninhaubakokuanga, au am-mukabala nin-fihafahan-raha mampahazu hulungu maisha, hatasibabu nin-fandihana nin-kabaru bila uvhendza nazi.
25-02	Fitirahanga ndreka hauzazanga misi haki an-fazahuanga musada ndreka fikututubianga mahususu. Zaza djabi, rangu reu nitirahinyi an-vadianga ata reu nitirahinyi antani, misi haki miranga an-fazahuanga hifadhwi nin-taabu nim-maisha.
26-00	Kanuni faha arompulu tshuta ambini :
26-01	Kula hulungu misi haki an-fidzuruanga. Fidzuruanga nikulazimu bure, shingani ro, fidzuruanga an-likoli madiniki. Fidzuruanga hasan-tangana nikulazimu mibianga an-hulungu djabi ; fidiranga an-likoli nin-daradja angabu ninfidzuruanga nikulazimu nibianga an-fihiranga nin-ankitinyi, an-kula hulungu djabi misi maarifa uhiditri.
26-02	Fidzuruanga nikulazimu nikusudia utsatsarufu nimbinadamu, fanganovanga nguvu mastaha nin-haki-l-adami ndreka nafasi musingi. Izi tihi nikulazimu nampandehaaluha fikuelewanga, muswamaha ndreka fiwandzanianga nin-tani djabi, ndreka shikao nin-kabila au nin-dini ndreka fandihananga-aluha nin-amali nin-Uvumoja nin Twaifa (Shama nin-Daula nin-Ulemengu) fikututubianga usalama.
26-03	Ri hulungu maventi nin-hulungu, misi haki an-fifidananga amin’ni raha muhimu amin’ndreu, fidzuruanga tokutru ahazun-ndri zanakan-ndreu.
27-00	Kanuni faha arompulu fitu ambini :
27-01	Kula hulungu misi haki an-fangalanga fuvu neka izi shoku, am-maisha ki tamaduni nin-djamaa, an-fangalanga bastwi nin-swanaa ndreka an-fangalanga bandza amin’ni fandihananga-aluha nin-sayasi ndreka atsaranga ahazungu an-raha retu.
27-02	Kula hulungu misi haki an-fikuafadhwianga zavatra nazi, rangu reu mifotutru ilimu ata zombo nikumbanga anfikurumiananga sayasi, fanuratanga buku au fikutrunganga kabaru, neka izi ro tompin’ni raha retu.
28-00	Kanuni faha arompulu valu ambini :
28-01	Kula hulungu misi haki an-fanganovanga modeli ata utrilivu amin’ni maisha ki binadamu ndreka amin’ni ulemengu ikubala ata haki ndreka unafasi nikudukurungu angatim- Matekelezo iti, ikurumiananga namuna nin-kulazimu.
29-00	Kanuni faha arompulu sivi ambini :
29-01	Binadamu misi raha diasinyi ndreka izi amin’ni djamaa nazi ; amin’izi iti, fikuvambusan’ni tweranga nazi an-nafasi, iu tu ro raha isiani ruhusa manganu azi.
29-02	Amin’ni fikurumiananga hakin-hulungu, ndreka fihisianhulungu nafasi, raha retu djabi misi mupaka napetrakansharia. Makuswada nim-mupaka retu, izi ro fanganovanga modeli ata fikubalianga ndreka mastaha nin-haki ndreka nafasi nin-havanga ikueshi ; amin’ni fikusutehianga kua, masharutwi nin-ubinadamu, nin-utrulivu nin-trengwe ndreka fiatsaranga djumla nin-djamaa nin-ki nafasi.
29-03	Haki ndreka nafasi retu, ala-kulli-hali, tsi uheti ikurumiananga amin’ni lalanga tsi miaraka ndreka makswada ndreka masharutwi nin-Uvumoja nin-Twaifa (Shama nin-Daula nin-Ulemengu).
30-00	Kanuni faha telumpuluni :
30-01	Tsisi ata sharia areki nim-Matekelezo iti mbu heti kutafaswirinyi amin’ni lalanga mikuruhusu, Daula, shikao au hulungu areki, ihisi haki itsokao yotsi nin-fanganovanga mahafala au amali mandrubaka haki ndreka unafasi nikudukurungu etu.
