00-00	manita urimaikal parriya ulakap pirakadnam
01-01	manitap piriviyinar cakalarum cutantiramaakavee pirakkinranar; avarkal matippilum, urimaikalilum camamaanavarkal, avarkal niyaayattaiyum manaccaadciyaiyum iyarpanpaakap perravarkal. avarkal oruvarudnoruvar cakootara unarvup paangkil nadntukollal veendum.
02-00	uruppurai 2
02-01	inam, niram, paal, moli, matam, araciyal allatu veeru karuttudaimai, teeciya allatu camuukat toorram, cottu, pirappu allatu pira antastu enpana poonra ettakaiya veerupaaduminri, ippirakadnattil tarappaddulla ellaa urimaikalukkum cutantirangkalukkum elloorum urittudaiyavaraavar.
02-02	meelum, evarum avaravarukku urittulla naaddin allatu aalpulattin araciyal, niyaayaatikka allatu carvateeca angkikaara nilaippaaddin adippadaiyil — atu taniyaadci naadaaka, nampikkaip poruppu naadaaka, tannaadciyarra naadaaka allatu iraimai veereeteenum vakaiyil kadduppaduttappadd naadaaka iruppinum — veerupaadetuvum kaaddppadutalaakaatu.
03-00	uruppurai 3
03-01	vaalvatarkum, cutantirattirkum paatukaappirkum cakalarum urimaiyudaiyooraavar.
04-00	uruppurai 4
04-01	evarum, adimaiyaaka vaittirukkappadutaloo allatu adimaippadd nilaiyil vaittirukkappadutaloo aakaatu; adimai nilaiyum adimai viyaapaaramum avarril ellaa vakaikalilum tadaiceyyappadutal veendum.
05-00	uruppurai 5
05-01	evarum, cittiravataikkoo allatu kodumaiyaana, manitat tanmaiyarra allatu ilivaana nadaimuraikkoo tandnaikkoo udpaduttappadutalaakaatu.
06-00	uruppurai 6
06-01	ovvoruvarum evvidttilum caddttin munnar oor aalaaka eerrukkollappaduvatarku urimaiyudaiyavaraavar.
07-00	uruppurai 7
07-01	elloorum caddttin munnar camamaanavarkal. paarapadcam etuvuminric caddttin camamaana paatukaappukkum urittudaiyavarkal. ippirakadnattai miirip puriyappadd paarapadcam etarkeenum etiraakavum attakaiya paarapadcam kaadduvatarkaana tuundutal yaatonrirkum etiraakavum elloorum camamaana paatukaappukku urittudaiyavarkal.
08-00	uruppurai 8
08-01	avvan naaddin araciyalamaippinaal, allatu caddttinaal avarkalukku alikkappadd adippadai urimaikalai miirum ceyalkalukkaakat takutivaaynta teeciya niyaaya capaikalinaal valangkappadum payanurutiyudaiya tiruttattirku urimaiyudaiyavarkal.
09-00	uruppurai 9
09-01	orutalaippadd manappookkaana vakaiyil kaitu ceyyappadutal, taduppuk kaavalil vaikkappadutal, naaddiliruntu veliyeerrappadutal aakiyavarrukku evarum aadpaduttappadlaakaatu.
10-00	uruppurai 10
10-01	avarkalatu urimaikal, kadppaadukal parriyum avarkalukketiraakavulla kurraviyal kurraccaaddukkal parriyum tiirmaanippatarkuc caarparra nadunilai tavaraata tiirppaayattinaal ceyyappadum nadunilaiyaana velippadaiyaana vicaaranaikku ovvoruvarum urimaiyudaiyavarkalaavar.
11-00	uruppurai 11
11-01	tandnaikkuriya tavarrukkuk kurranycaaddppadum elloorum velippadai vicaaranaiyil caddttukkinangka avarkal kurravaalikalena kaanpikkappadum varai, kurramarravarkalenak karutappaduvatarku urimaiyudaiyavarkal. avvicaaranaiyil avarkalatu etirvaatangkalukku avaciyamaana ellaa urutippaaddu uttaravaatangkalum avarkalukkiruttal veendum.
11-02	teeciya, carvateeca naaddidaic caddttin kiil eeteenum ceyal allatu ceyyaamai puriyappadd neerattil acceyal allatu ceyyaamai tandnaikkuriya tavaronraaka amaiyaatataakaviruntu acceyal allatu ceyyaamai kaaranamaaka, evarum eeteenum tandnaikkuriya tavarrukkuk kurravaaliyaakak kollappadlaakaatu. attudn, tandnaikkuriya tavaru puriyappadd neerattil eerpudaiyataakavirunta tandnaiyai vidk  kadumaiyaana tandnai vitikkappadlaakaatu.
12-00	uruppurai 12
12-01	ovvoruvarum avvavaratu tanimaittuvam, kudumpam, viidu allatu todrpukal enpavai campantamaaka, orutalaippadd manappookkaana vakaiyil talaiyidppaduvatarkoo allatu avaratu mariyaatai, nanmatippu enpavarrin miitaana taakkutalkalukkoo udpaduttalaakaatu. attakaiya talaiyiiddukku allatu taakkutalkalukketiraaka ovvoruvarum caddp paatukaappukku urimaiyudaiyavaraavar.
13-00	uruppurai 13
13-01	ovvoru naaddinatum ellaikalukkul cutantiramaakap payanam ceyvatarkum vacippatarkum ovvoruvarukkum urimaiyundu.
13-02	tanatu conta naadu udpad eeteenum naaddai vidduc cellavum tattamatu naaddukkut tirumpavum ovvoruvarukkum urimaiyundu.
14-00	uruppurai 14
14-01	veeru naadukalukkuc celvatan muulam tunpuruttaliliruntu pukalidm naaduvatarkum  tuyppatarkum evarukkum urimaiyundu.
14-02	araciyar kurrangkal allaata kurrangkal campantamaakavum, allatu aikkiya naadukal capaiyin nookkangkalukkum nerikalukkum muranaana ceyalkaliliruntu unmaiyaaka elukinra valakkut tokuppukal campantamaakavum ivvurimai keeddup perappadlaakaatu.
15-00	uruppurai 15
15-01	oru naaddin kudiyinaraakavirukkum urimai ovvoruvarukkumundu.
15-02	evarinatum avaratu naadduk kudiyurimai manappookkaana vakaiyil ilappikkappadutaloo avaratu naadduk kudiyurimai maarruvatarkaana urimai marukkappadutaloo aakaatu.
16-00	uruppurai 16
16-01	mulu vayatadainta aankalum penkalum, inam, teeciya inam allatu camayam enpana kaaranamaana kadduppaadetuvuminrit tirumanam ceyvatarkum oru kudumpattai uruvaakkuvatarkum urimai udaiyavaraavar. tirumana vaalvilum, tirumanam kulaikkappadum polutum avarkal camamaaka ivvurimai udaiyavaraavarkal.
16-02	tirumanam mudikkavirukkum vaalkkait tunaivoorin cutantiramaana, muluc cammatattudn maddumee tirumanam mudikkappadutal veendum.
16-03	kudumpamee camutaayattil iyarkaiyaanatum adippadaiyaanatumaana alakaakum. atu camutaayattinaalum aracinaalum paatukaakkappaduvatarku urittudaiyatu.
17-00	uruppurai 17
17-01	taniyaakavum veeroruvarudn kuuddaakavum cottaic contamaaka vaittiruppatarku ovvoruvarukkum urimaiyundu.
17-02	evarinatum cottum orutalaippadd manappookkaana vakaiyil ilakkappadutal aakaatu.
18-00	uruppurai 18
18-01	cintanaic cutantiram, manaccaadcic cutantiram, matac cutantiram enpavarrukku ovvoruvarukkum urimaiyundu. ivvurimaiyinul oruvar tamatu matattai allatu nampikkaiyai maarruvatarkaana cutantiramum, pootanai, payilneri, valipaadu, pinparrutal enpana muulamum tattamatu matattai allatu nampikkaiyait taniyaakavum, veeroruvarudn kuudiyum, velippadaiyaakavum tanippadd muraiyilum velippaduttuvatarkaana cutantiramum adngkum.
19-00	uruppurai 19
19-01	karuttuc cutantirattukkum peeccuc cutantirattukkum evarukkum urimaiyundu. ivvurimaiyaanatu talaiyiidinrik karuttukalaik kondiruttarkum, evvuudkam muulamum ellaikalaip porudpaduttaamalum takavalaiyum karuttukkalaiyum naaduvatarkum peruvatarkum parappuvatarkumaana cutantirattaiyum ulladkkum.
20-00	uruppurai 20
20-01	evarum amaitiyaana muraiyil onru kuuduvatarkum inaivatarkumaana cutantirattukku urimaiyundu.
20-02	oru kalakattinaic ceerntavaraakaviruppatarku evarum kaddaayappaduttappadlaakaatu.
21-00	uruppurai 21
21-01	ovvoruvarukkum tattam naaddin aadciyil neeradiyaakavoo allatu cutantiramaana muraiyil terivu ceyyappadd piratinitikal muulamaakavoo pangkuperuvatarku urimaiyundu.
21-02	ovvoruvarukkum tattam naaddilulla aracaangka ceevaiyil camamaana muraiyil amarttappaduvatarku urimaiyundu.
21-03	makkalin viruppee aracaangka atikaarattin adippadaiyaaka amaital veendum. ivviruppamaanatu, muraippadd kaalangkalil unmaiyaaka nadaiperum teertalkal muulam velippaduttappadl veendum. itteertal potuvaanatum, camamaanatumaana vaakkalippurimai muulamee iruttal veendumenpatudn, irakaciya vaakkumuulam allatu atarkuc camamaana, cutantiramaana vaakkalippu nadaimuraikal nadaiperutal veendum.
22-00	uruppurai 22
22-01	camutaayattin uruppinar enra muraiyil ovvoruvarum camuukap paatukaappukku urimaiyudaiyavar. attudn naadlaaviya muyarci muulamum carvateeca ottulaippu muulamum ovvoru naaddinatum amaippu muraikkum valangkalukkum iyaivaana vakaiyil ovvoruvarum tattam matippukkum tattam aalumaiyaic cutantiramaana muraiyil valarppatarkum inriyamaiyaatanavaaka veendpperum porulaataara camuuka panpaaddu urimaikalaip peruvatarkum urittudaiyavaraavar.
23-00	uruppurai 23
23-01	ovvoruvarum veelai vaayppirkaana, paniyai cutantiramaana muraiyil teernteduttuk kolvatarkaana, ceyyum paniyil niyaayamaanatum nallatumaana cuulalukku uriyooraayiruppatarkaana, veelaiyinmaikketiraana paatukaappu udaiyooraayiruppatarkaana urimaiyai udaiyar.
23-02	ovvoruvarum veerupaadetuvuminri, camamaana veelaikkuc camamaana uutiyam peruvatarku urittudaiyavaraavar.
23-03	veelai ceyyum ovvoruvarum taamum tamatu kudumpattinarum manita matippukkiyaivulla oru vaalvinai urutippaduttum cariyaana caatakamaana uutiyattirku urimaiyudaiyooraavar. avaciyamaayin ivvuutiyam pira camuukap paatukaappu valimuraikalinaal kurai nirappappaduvataayiruttal veendum.
23-04	ovvoruvarukkum tattam nalankalaip paatukaappatarkenat tolir cangkangkalai amaippatarkum avarril ceervatarkumaana urimaikalundu.
24-00	uruppurai 24
24-01	ilaippaarukaikkum, ooyvirkum ovvoruvarum urimaiyudaiyar. itanul veelai neera varaiyarai, uutiyattudnaana muraippadd vidumuraikal adngkum.
25-00	uruppurai 25
25-01	ovvoruvarum unavu, udai, viiddu vacati, maruttuvak kavanippu, avaciyamaana camuuka ceevaikal enpana udpad tamatum tamatu kudumpattinaratum udlnalattukkum nalvaalvukkum pootumaana vaalkkaittarattukku urimaiyudaiyavaraavar. attudn veelaiyinmai, iyalaamai, kaimmai, mutumai kaaranamaakavum avai poonra avaratu kadduppaaddukku appaarpadd pira cuulnilai kaaranamaakavum vaalkkai valiyinmai eerpadum cuulnilaikalil paatukaappukkum urimaiyudaiyavaraavar.
25-02	taaymai nilaiyum kulantaip paruvamum cirappu kavanippirkum utavikkum urittudaiyana. ellaak kulantaikalum avai tirumana uravinud pirantavaiyaayinum attakaiya uravinrip pirantavaiyaayinum, camamaana camuukap paatukaappinait tuykkum urimaiyudaiyana.
26-00	uruppurai 26
26-01	ovvoruvarukkum kalvi karpatarkaana urimaiyundu. kuraintatu todkka adippadaik kaddngkalilaavatu kalvi ilavacamaanataayiruttal veendum. todkkak kalvi kaddaayamaakkappadutal veendum. tolil nudpak kalviyum uyar tolir kalviyum potuvaakap perappadttakkanavaayiruttal veendum. uyar kalviyaanatu yaavarukkum tiramaiyadippadaiyil camamaana muraiyil kidaikkak kuudiyataakkappadutalum veendum.
26-02	kalviyaanatu manitanin aalumaiyai mulutaaka valarcci ceyyumukamaakavum manitavurimaikalukkum adippadaic cutantirangkalukkumaana mariyaataiyai valuppaduttumukamaakavum aarrappaduttappadl veendum. atu ellaa naadukalukkidaiyeeyum, ina allatu matak kuluvinarukkidaiyeeyum mana otticaivu, cakipputtanmai, toolamai aakiyavarrai meempaduttutal veendum. attudn, camaataanattaip peenuvatarkaaka aikkiya naadukal capaiyin muyarcikalai meerkondu celluvatarku utavavum veendum.
26-03	tamatu kulantaikalukkup pukaddppad veendiya kalviyin vakai, tanmaiyai mutalilee terintedukkum urimai perroorukkundu.
27-00	uruppurai 27
27-01	camutaayattin panpaaddu vaalkkaiyir cutantiramaakap pangkukolvatarkum, kalaikalait tuyppatarkum ariviyal munneerrattilum, atan nanmaikalilum pangkeduppatarkum evarukkum urimaiyundu.
27-02	ariviyal, ilakkiya, kalaip padaippin padaippaali enra vakaiyil appadaippukal valiyaaka varum nericaar marrum porulcaar nalangkalin paatukaappirku attakaiyoor ovvoruvarum urimai udaiyavaraavar.
28-00	uruppurai 28
28-01	ippirakadnattil eduttuk kaaddppaddulla urimaikalum cutantirangkalum mulumaiyaaka eytappadkkuudiya camuuka, carvateeca amaippu muraimaikku ovvoruvarum urittudaiyavaraavar.
29-00	uruppurai 29
29-01	enta oru camuukattinul maddumee tattamatu tanittanmaiyin kaddrra, mulumaiyaana valarcci caattiyamaakavirukkumoo, antac camuukattinpaal ovvoruvarukkum kadmaikal undu.
29-02	ovvoruvarum avaratu urimaikalaiyum cutantirangkalaiyum payanpaduttum polutu, innoruvarin urimaikalukkum cutantirangkalukkumuriya angkiikaarattaiyum matippaiyum perruk kodukkum nookkattukkaakavum, makkalaadci camutaayamonrin nerimurai, potu makkal olungkamaiti, potunalan enpavarrukkut teevaippadk kuudiyavarrai eerpaduttal veendumenum nookkattukkaakavum caddttinaal tiirmaanikkappadum varaiyaraikalukku maddumee kadduppadupavaraayamaital veendum.
29-03	ivvurimaikalum cutantirangkalum aikkiya naadukal capaiyin nookkangkalukkum nerikalukkum muranaaka evvidttileenum payanpaduttappadlaakaatu.
30-00	uruppurai 30
30-01	ippirakadnattilulla evaiyum itankan eduttukkaaddppaddulla urimaikal, cutantirangkal aakiyavarrilulla evarraiyum alikkum nookkattaiyudaiya eeteenum muyarciyil iidupaduvatarkum allatu ceyaletanaiyum purivatarkum enta oru naaddukkoo kuluvukkoo allatu tani oruvarukkoo udkidaiyaaka yaateenum urimaiyalippataakap porul kollappadutalaakaatu.
