00-00	DEKLARATA E PERGJITHSHME MBI TE DREJTAT E NJERIUT
17-00	Gjithkush ka te drejten te kete pasuri, si vetem ashtu edhe ne bashkesi me te tjeret.
17-01	Asnjeri nuk duhet te privohet arbitrarisht nga pasuria e tij.
18-00	Neni 18.
18-01	Gjithkush ka te drejten e lirise se mendimit, ndergjegjes dhe besimit; kjo e drejte perfshin lirine e ndryshimit te besimit ose bindjeve dhe lirine qe njeriu, qofte vete ose ne bashkesi me te tjeret, te shfaqe publikisht ose privatisht, besimin ose bindjen e vet me ane te dhenies se mesimeve, kryerjes se kultit dhe ceremonive fetare.
19-00	Neni 19.
19-01	Gjithkush ka te drejten e lirise se mendimit dhe te shprehjes; kjo e drejte perfshin lirine e mendimit pa nderhyrje, si dhe lirine e kerkimit, marrjes dhe njoftimit te informacionit dhe ideve me sfaredo mjeti qofte, pa marre parasysh kufijte.
20-00	Neni 20.
20-00	Gjithkush ka te drejten e lirise se mbledhjes dhe bashkimit paqesor.
20-01	Asnjeri nuk duhet te detyrohet te beje pjese ne ndonje bashkim.
21-00	Neni 21.
21-00	Gjithkush ka te drejte te marre pjese ne qeverisjen e vendit te vet, drejtperdrejt ose me ane te perfaqsuesve te zgjedhur lirisht.
21-01	Gjithkush ka njelloj te drejte te hyje ne sherbimet publike ne vendin e vet.
21-02	Vullneti i popullit eshte baza e pushtetit shteteror; ky vullnet duhet te shprehet ne zgjedhje periodike dhe te lira te cilat duhet te jene te pergjithshme dhe votimi i barabarte, si dhe me votim te fshehte ose sipas procedures perkatese te votimit te lire.
22-00	Neni 22.
22-01	Si anetar i shoqerise, gjithkush ka te drejten e sigurimit shoqeror dhe realizimit te te drejtave ekonomike, sociale, kulturore te domosdoshme per dinjitetin e vet dhe per zhvillimin e lire te personalitetit, me ndihmen e shtetit dhe bashkepunimit nderkombetar dhe ne perputhje me organizimin dhe mundesite e sdo shteti.
23-00	Neni 23.
23-00	Gjithkush ka te drejten per pune, te zgjedhe lirisht profesionin, te kete kushte te favorshme pune dhe te jete i mbrojtur nga papunesia.
23-01	Gjithkush, pa kurrfare diskriminimi, ka te drejte qe per pune te njejte te marre rroge te njejte.
23-02	Gjithkush qe punon ka te drejten per nje shperblim te drejte dhe favorshem, ne menyre qe t'i siguroje atij dhe familjes se tij nje jete qe i pergjigjet dinjitetit njerezor dhe, ne qofte se do te jete e nevojshme ky shperblim te plotesohet edhe me mjete te tjera te sigurimit shoqeror.
23-03	Gjithkush ka te drejte te formoje sindikate and te beje pjese ne te per mbrojtjen e interesave te veta.
24-00	Neni 24.
24-01	Gjithkush ka te drejte per pushim dhe kohe te lire, duke perfshire kufizimin e arsyeshem te orarit te punes dhe pushimin e paguar periodik.
25-00	Neni 25.
25-00	Gjithkush ka te drejte per nje nivel jetese te mjaftueshem i cili t'i pergjigjet shendetit dhe jetes se pershtatshme si te atij personalisht, ashtu edhe te familjes se tij, duke perfshire ushqimin, veshmbathjen, banesen, kujdesin mjeksor dhe sherbimet e nevojshme sociale, si edhe te drejten per te qene i siguruar ne rast semundjeje, papunesie, vejanie, pleqerie dhe raste te tjera te humbjeve te mjeteve per jetese per shkak te rrethanave te pavarura nga vullneti i tij.
25-01	Nenat dhe femijet kane nevoje per kujdes dhe ndihme te posasme. Te gjithe femijet, te lindur brenda ose jashte martese, gezojne te njejtat mbrojtje sociale.
26-00	Neni 26.
26-00	Gjithkush ka te drejten e shkollimit. Arsimi duhet te jete falas, te pakten ne shkollat fillore dhe te ulta. Arsimi fillor eshte i detyrueshem. Arsimi teknik dhe profesional duhet te zgjerohet e arsimi i larte duhet t'u behet i mundshem te gjitheve ne baze te aftesise.
26-01	Arsimi duhet te drejtohet nga zhvillimi i plote i personalitetit te njeriut dhe nga forcimi i respektimit te te drejtave te njeriut dhe lirive themelore. Ai duhet te nxise kuptimin, tolerancen dhe miqesine midis te gjithe popujve, grupeve te racave dhe besimeve, si dhe veprimtarine e Kombeve te Bashkuara per ruajtjen e paqes.
26-02	Te drejten per te zgjedhur llojin e arsimit per femijet e tyre e kane ne rradhe te pare prinderit.
27-00	Neni 27.
27-00	Gjithkush ka te drejte te marre pjese lirisht ne jeten kulturore te bashkesise, te gezoje artet dhe te perfitoje nga perparimi shkencor dhe dobite e tij.
27-01	Gjithkush ka te drejte te mbroje interesat morale dhe materiale, qe rrjedhin nga sdo krijimtari shkencore, letrare dhe artistike, autor i te cilave eshte ai vete.
28-00	Neni 28.
28-01	Gjithkush ka te drejte per nje rend shoqeror dhe nderkombetar ne te cilin mund te realizohen plotesisht te drejtat dhe lirite e shpallura ne kete Deklarate.
29-00	Neni 29.
29-00	Gjithkush ka detyrime vetem ndaj asaj bashkesie ne te cilen eshte i mundur zhvillimi i lire dhe i plote i personalitetit te tij.
29-01	Ne ushtrimin e te drejtave dhe lirive te veta, gjithkush do t'u nenshtrohet vetem atyre kufizimeve te cilat jane parashikuar me ligj, ekskluzivisht me qellim qe te sigurohet njohja dhe respektimi i nevojshem i te drejtave dhe lirive te te tjereve e qe te plotesohen kerkesat e drejta te moralit, rendit publik dhe mireqenies se pergjithshme ne shoqerine demokratike.
29-02	Keto te drejta dhe liri nuk mund te zbatohen ne asnje rast kunder qellimeve dhe parimeve te Kombeve te Bashkuara.
30-00	Neni 30.
30-01	Asgje ne kete Deklarate nuk mund te interpretohet si e drejte e nje shteti, grupi apo personi per te kryer sfaredo veprimtarie ose per te bere nje akt drejtuar kunder sdo te drejte ose lirie te shpallur ne kete Deklarate.
