00-00	PERISYTIHARAN HAK ASASI MANUSIA SEJAGAT
26-01	1)Setiap orang adalah berhak kepada pelajaran. Pelajaran hendaklah diberikan percuma, sekurang-kurangnya pada peringkat awal dan asasnya. Pelajaran peringkat awal hendaklah diwajibkan. Pelajaran teknikal serta profesional hendaklah disediakan untuk umum dan pelajaran tinggi hendaklah mempunyai akses yang samarata kepada semua orang atas dasar kebolehan.
26-02	Pelajaran hendaklah ditujukan kepada perkembangan sepenuhnya keperibadian manusia dan ke arah memperkukuhkan lagi rasa hormat bagi hak-hak dan kebebasan asasi manusia, lanya hendaklah memupuk persefahaman, kesabaran dan persahabatan di kalangan semua negara, bangsa atau kumpulan-kumpulan ugama, dan hendaklah memajukan segala kegiatan Bangsa-Bangsa Bersatu demi memelihara keamanan.
26-03	Ibu-bapa mempunyai hak terdahulu untuk memilih jenis pelajaran yang akan diberikan kepada anak-anak mereka.
27-00	Perkara 27.
27-01	Setiap orang berhak secara bebas mengambil bahagian dalam kegiatan kebudayaan masyarakatnya, menikmati kesenian dan sama-sama merasai kemajuan sains dan faedah-faedahnya.
27-02	Setiap orang adalah berhak kepada perlindungan kepentingan-kepentingan moral dan kebendaan hasil dari sebarang penghasilan sains, kesusasteraan atau kesenian yang mana ianya adalah penciptanya.
28-00	Perkara 28.
28-01	Setiap orang adalah berhak kepada suatu susunan sosial dan antarabangsa dalam mana hak-hak asasi dan kebebasan yang termaktub dalam Perisytiharan ini boleh dijadikan kenyataan sepenuhnya.
29-00	Perkara 29.
29-01	Setiap orang mempunyai kewajipan terhadap masyarakat hanya dalam mana perkembangan keperibadiannya secara bebas dan seluruhnya termungkin.
29-02	Dalam mengamalkan hak-hak dan kebebasannya, setiap orang tertakluk hanya kepada batasan-batasan seperti yang ditentukan oleh undang-undang semata-mata bagi tujuan menjamin pengiktirafan dan penghormatan yang sepatutnya terhadap hak-hak dan kebebasan orang lain dan untuk mendekati keperluan-keperluan sepatutnya bagi akhlak, ketenteraman awam dan kebajikan umum dalam suatu masyarakat yang demokratik.
29-03	Hak-hak dan kebebasan ini tidak boleh sama sekali diamalkan secara bertentangan dengan tujuan-tujuan dan prinsip-prinsip Bangsa-Bangsa Bersatu.
30-00	Perkara 30.
30-01	Tiada apa-apa jua dalam Perisytiharan ini boleh ditafsirkan sebagi sedia tersirat memberikan kepada mana-mana negara, kumpulan atau perseorangen sebarang hak untuk melibatkan diri dalam apa-apa kegiatan atau melakukan apa-apa perbuatan dengan tujuan memusnahkan apa-apa hak dan kebebasan yang termaktub dalam Perisytiharan ini.
