00-00	maanabaadhikaarera saarbajaniina gheaassannaapatra
11-01	danddayogya aparaadhe abhiyukta pratyeka byaktira aatmapakssa samarthanera nishchita adhikaarasambalita ekatti prakaashya aadaalate aainaanusaare dossii pramaannita naa haoyaa paryanta nirdossa gannya haoyaara adhikaara thaakabe.
11-02	kaaukei emana kona kaaja baa krattira janya dannddayogya aparaadhe dossii saabyasta karaa yaabe naa, ye kaaja baa kratti sangghattanera samaya jaatiiya baa aantarjaatika aaine dannddaniiyya aparaadha chhilanaa. dannddayogya aparaadha sangghattanera samaya ye shaasti prayojya chhila, taara cheye gurutara shaastio deoyaa chalabe naa.
12-00	dhaaraa 12
12-01	kaaro byaktigata gopaniiyataa kingbaa taanra grha, paribaara o chitthipatrera byaapaare kheyaalakhushiimata hastakssepa kingbaa taanra sunaama o sammaanera upara aaghaata karaa chalabe naa. e dharanera hastakssepa baa aaghaatera biruddhe aainera aashraya laabhera adhikaara pratyekerai rayechhe.
13-00	dhaaraa 13
13-01	nija raassttrera chauhaddira madhye sbaadhiinabhaabe chalaapheraa ebang basabaasa karaara adhikaara pratyekerai rayechhe.
13-02	pratyekerai nija desha saha ye kona desha parityaaga ebang sbadeshe pratyaabartanera adhikaara rayechhe.
14-00	dhaaraa 14
14-01	niryaatanera haata theke rakssaa paaoyaara janya bhinnadeshe aashraya praarthanaa karabaara ebang se deshera aashraye thaakabaara adhikaara pratyekerai rayechhe.
14-02	araajanaitika aparaadha ebang jaatisangghera uddeshya ebang muulaniitira paripanthii kaaja theke satyikaarabhaabe udbhuuta abhiyogera kssetre e adhikaara praarthanaa naao karaa yete paare.
15-00	dhaaraa 15
15-01	pratyekerai ekatti jaatiiyataara adhikaara rayechhe.
15-02	kaaukei yathechchhabhaabe taanra jaatiiyataa theke banychita karaa yaabe naa, kingbaa kaaro jaatiiyataa paribartanera adhikaara agraahya karaa yaabe naa.
16-00	dhaaraa 16
16-01	dharma, gotra o jaati nirbishebe sakala puurnna bayaska naranaariira biye karaa ebang paribaara pratisstthaara adhikaara rayechhe. biye, daampatyajiibana ebang bibaahabichchhede taandera samaana adhikaara thaakabe.
16-02	biyete ichchhuka naranaariira sbaadhiina ebang puurnna sammatitei kebala biye sampanna habe.
16-03	paribaara hachchhe samaajera sbaabhaabika ebang maulika gosstthii-ekaka, sutaraang samaaja o raassttrera kaachha theke niraapattaa laabhera adhikaara paribaarera rayechhe.
17-00	dhaaraa 17
17-01	pratyekerai ekaa athabaa anyera sangge militabhaabe sampattira maalika haoyaara adhikaara aachhe.
17-02	kaaukei yathechchhabhaabe taanra sampatti theke banychita karaa baabe naa.
18-00	dhaaraa 18
18-01	pratyekerai dharma, bibeka o chintaara sbaadhiinataaya adhikaara rayechhe. e adhikaarera sangge dharma baa bishbaasa paribartanera adhikaara ebang ei sangge, prakaashye baa ekaante, ekaa baa anyera sangge militabhaabe, shikssaadaana, anushiilana, upaasanaa baa aachaarabrata paalanera maadhyame dharma baa bishbaasa byakta karaara adhikaarao antarbhuukta thaakabe.
19-00	dhaaraa 19
19-01	pratyekerai mataamata possanna ebang mataamata prakaashera sbaadhiinataaya adhikaara rayechhe. abaadhe mataamata possanna ebang raassttriiya siimaanaa nirbishesse ye kona maadhyamera maaraphata bhaaba ebang tathya jnyaapana, grahanna o sandhaanera sbaadhiinataao e adhikaarera antarbhuukta.
20-00	dhaaraa 20
20-01	pratyekerai shaantipuurnna samaabeshe angshagrahanna o samiti gatthanera sbaadhiinataaya adhikaara rayechhe.
20-02	kaauke kona sangghabhuukta hate baadhya karaa yaabe naa.
21-00	dhaaraa 21
21-01	pratyakssabhaabe baa abaadhe nirbaachita pratinidhidera maadhyame nija deshera shaasana parichaalanaaya angshagrahannera adhikaara pratyekerai rayechhe.
21-02	nija deshera sarakaarii chaakuriite samaana suyoga laabhera adhikaara pratyekerai rayechhe.
21-03	janagannera ichchhaai habe sarakaarera shaasana kssamataara bhitti; ei ichchhaa niyamita samayera byabadhaane anusstthita prakrta nirbaachanera maadhyame byakta habe; gopana byaalatta kingbaa samaparyaayera kona abaadha bhottadaana paddhatite e nirbaachana anusstthita habe.
22-00	dhaaraa 22
22-01	samaajera sadasya hisebe pratyekerai saamaajika niraapattaara adhikaara aachhe. jaatiiya prachessttaa o aantarjaatika sahayogitaara maadhyame raassttrera sanggatthana o sampadera sangge sanggati rekhe pratyekerai aapana maryaadaa ebang byaktitbera abaadha bikaashera janya aparihaarya saamaajika, arthanaitika o saangskrtika adhikaarasamuuha aadaayera adhikaara rayechhe.
23-00	dhaaraa 23
23-01	pratyekerai kaaja karaara, sbaadhiinabhaabe chaakuriibechhe nebaara, kaajera nyaayya ebang anukuula paribesha laabha karaara ebang bekaaratba theke rakssita habaara adhikaara rayechhe.
23-02	konaruupa baissamya chhaaddaa samaana kaajera janya samaana betana paabaara adhikaara pratyekerai aachhe.
23-03	kaaja karena emana pratyekerai nijera ebang paribaarera maanabika maryaadaara samatulya astitbera nishchayataa dite paare emana nyaayya o anukuula paarishramika laabhera adhikaara rayechhe; prayojanabodhe eke anyaanya saamaajika niraapattaa byabasthaadi dbaaraa paribadhita karaa yete paare.
23-04	nija sbaartha sangrakssannera janya pratyekerai ttredda iuniyana gatthana ebang taate yogadaanera adhikaara rayechhe.
24-00	dhaaraa 24
24-01	pratyekerai bishraama o abasarera adhikaara rayechhe; niyamita samayera byabadhaane betanasaha chhutti ebang peshaagata kaajera yuktisanggata siimaao e adhikaarera antarbhuukta.
25-00	dhaaraa 25
25-01	khaadya, bastra, baasasthaana, chikitsaa o prayojaniiya samaaja kalyaannamuulaka kaaryaadira suyoga ebang e sangge piiddaa, akssamataa, baidhabya, baardhakya athabaa jiibanayaapane anibaaryakaaranne sangghattita anyaanya apaaragataara kssetre niraapattaa ebang bekaara hale niraapattaara adhikaara saha nijera ebang nija paribaarera sbaasthya ebang kalyaannera janya paryaapta jiibanamaanera adhikaara pratyekerai rayechhe.
25-02	maatrtba ebang shaishabaabasthaaya pratitti naarii ebang shishura bishessa yatna ebang saahaayya laabhera adhikaara aachhe. bibaahabandhana-bahirbhuuta kingbaa bibaahabandhanajaata sakala shishu abhinna saamaajika niraapattaa bhoga karabe.
26-00	dhaaraa 26
26-01	pratyekerai shikssaalaabhera adhikaara rayechhe. antatahpaksse praathamika o maulika paryaaye shikssaa abaitanika habe. praathamika shikssaa baadhyataamuulaka habe. kaarigarii o brttimuulaka shikssaa saadhaarannabhaabe labhya thaakabe ebang uchchatara shikssaa medhaara bhittite sakalera janya samabhaabe unmukta thaakabe.
26-02	byaktitbera puurnna bikaasha ebang maanabika adhikaara o maulika sbaadhiinataa-samuuhera prati shraddhaabodha sudrddha karaara lakssye shikssaa parichaalita habe. shikssaa sakala jaati, gotra ebang dharmera madhye samajhotaa, sahissnnutaa o bandhutbapuurnna samparka unnayanera prayaasa paabe ebang shaantirakssaara sbaarthe jaatisangghera kaaryaabaliike egiye niye yaabe.
26-03	kona dharanera shikssaa santaanake deoyaa habe, taa bechhe nebaara puurbaadhikaara pitaamaataara thaakabe.
27-00	dhaaraa 27
27-01	pratyekerai samassttigata saangskrtika jiibane angshagrahanna karaa, shilpakalaa upabhoga karaa ebang baijnyaanika agragati o taara suphala samuuhe angshiidaara haoyaara adhikaara rayechhe.
27-02	bijnyaana, saahitya o shilpakalaa bhittika kona karmera rachayitaa hisebe naitika o baissayika sbaartha sangrakssannera adhikaara pratyekerai thaakabe.
28-00	dhaaraa 28
28-01	e ghossannaapatre ullekhita adhikaara o sbaadhiinataasamuuhera baastabaayana sambhaba emana ekatti saamaajika o aantarjaatika byabasthaaya angshiidaariitbera adhikaara pratyekerai aachhe.
29-00	dhaaraa 29
29-01	pratyekerai se samaajera prati paalaniiya kartabya rayechhe, ye samaajei kebala taanra aapana byaktitbera sbaadhiina ebang puurnna bikaasha sambhaba.
29-02	aapana sbaadhiinataa ebang adhikaarasamuuha bhoga karaara samaya pratyekei kebalamaatra ai dharanera siimaabaddhataa dbaaraa niyantrita habena yaa anyadera adhikaara o sbaadhiinataasamuuha nishchita karaa ebang ekatti gannataantrika samaajabyabasthaaya naitikataa, gannashrangkhalaa o saadhaaranna kalyaannera nyaayaanuga prayojana mettaabaara janya aaina dbaaraa nirniita habe.
29-03	jaatisangghera uddeshya o muulaniitira paripanthii kona upaaye e adhikaara o sbaadhiinataasamuuha bhoga karaa yaabe naa.
30-00	dhaaraa 30
30-01	kona raassttra, gosstthii baa byakti e ghossannaapatrera kona kichhukei emanabhaabe byaakhyaa karate paarabena naa, yaara bale taaraa ei ghossannaapatre ullekhita adhikaara o sbaadhiinataasamuuha nasyaat karate paare emana kona kaaje lipta hate paarena kingbaa se dharanera kona kaaja sampaadana karate paarena.
