00-00	En Xi Tikon Ngasandie Xi Fijendajo Xuta
26-01	- Kuinixi kjii nga tjinkjua nga kojee naxkiya tsiee nga kosikojo yijo xuta,ngojo tsieenga kamakjin yije xuta, tsieenga nda kuindo ko ngojin kjuaxti kue ngayije nanxinanda.
26-02	- Kui na’mi ja kjandi xibe mi naxkiya xi seenkji ndii.
27-00	Xki kan yito.- 27
27-00	- Matsen ngandindie xuta nixi ndsen naxinanda kiania tjindo,kotse skochi nditon kjuano tjin nga ngayije xi siangason kui ton ngojot se minixi sko tangat’a xaxi ndseen.
27-01	- Ngayije xuta xi dsenda ni,xkotse entsatso ngojo tse soo ngojo tse kjaani,tjinkjua nga nda xchitsijen ndakamateen kui xuta.
28-00	Xki kan jin.- 28
28-01	Tjinkjua nga ngayije xkotse seengano tsieenga kjuatason ko ngatama kixi kui enxi kjit’a kui xujun.
29-00	Xki kan nijan.- 29
29-00	- Ngandindie xuta xi tjindo ngo ngaya nangi tjinkjua nga see katjoson ngayije nixi kjama nt’a kie kjamaxcha yijo.
29-01	- Ngeje tsetsen kjatjoson,nganda t’saba ko nga jmin kuaxtijin,jeje ndakjii ngabakjii,ko takuitsini xi skon yijo,nga tsanie tsafejin kui ndiya kjuakiti.tsiee nganda kuijnia kui xuta.
29-02	[Art. 29.3 is not available]
30-00	Xki ka tie.- 30
30-01	Kamajin tse batsen sian kjin tokon,tsetsara nganoo ngo xuta, ngojotse ngonangi, tsiee nga taskitjee kui en tsekuin nt’a chjenxo nga kjotjason yije nixi kjit’a kui xujun.
