00-00	KA JINGPYNBNA-IAR SATLAK IA KI HOK LONGBRIEW MANBRIEW
02-02	Shuh shuh, ka jingpyniapher ia ki briew kam dei ban long halor ka nongrim ka jinglong ka sain pyrthei, ka jylli synshar khadar jong ka ri kaba ki briew ki long trai, la ka long ka ri kaba laitluid, kaba shaniah ha kiwei, ka bym synshar hi lane kaba hap ha u pud u sam jong ka jingsynshar ba ha khlieh duh jong kawei pat ka ri.
03-00	Jinis 3
03-01	Uwei pa kawei ki don ka hok ban im, ban ioh laitluid bad ban ioh jingiada.
04-00	Jinis 4
04-01	Ym don uwei ne kawei ki ban shah teh mraw ne long mraw hano hano; la khang pyrshah ia ka jinglongmraw bad ka jingkhaii mraw la ki dei ha kano kano ka dur ne rukom.
05-00	Jinis 5
05-01	Ym don uwei ne kawei kiba lah ban shah thom sha ka saja, ne ban shah lehbein bymkhein briew ne shah pynhiar dor ia ka kyrdan longbriew manbriew ne jingpynshitom.
06-00	Jinis 6
06-01	Uwei pa kawei ki don ka hok ban ioh ia ka jingithuh hakhmat ka ain ha man ki jaka.
07-00	Jinis 7
07-01	Baroh ki long marryngkat ha khmat ka ain bad ki don ka hok ba khlem da niew shiliang khmat ha ka ban ioh ia ki jingiada ba markumjuh hakhmat ka ain. Baroh ki don ka hok ban ioh jingiada ba markumjuh pyrshah ia kano kano ka jingleh shiliang ha ka jingpynkhein ia kane ka Jingpynbna-iar lane pyrshah ia kano kano ka jingkynshoit ia kita ki jingleh shiliang.
08-00	Jinis 8
08-01	Uwei pa kawei ki don ka hok sha ka jingmaramot ne ka jingpynbha ba seisoh da ka Kashari ne ki tnad Sorkar ri ba la ai bor bad ba laitluid na ka bynta ki kam be-ain pyrshah ia ki hok tynrai ba la pynkhamti da ka riti synshar ne da ka ain hi.
09-00	Jinis 9
09-01	Ym don uwei ne kawei ki ban shah kem, shah set slung ne shah pynryngkangpar be-ain.
10-00	Jinis 10
10-01	Uwei pa kawei ki don hok marbiang pura ia ka jingpynsngew paidbah bahok da ka Kashari ne ki tnad Sorkar ri ba laitluid, ha kaba rai kut ia ki hok bad jingteh ka ain bad ia kano kano ka jingkynnoh bymman pyrshah ia u/ka.
11-00	Jinis 11
11-00	Uwei pa kawei ba la shah mudui ha ka jingleh be-ain ki don ka hok ban shah niew kum kiba lui lui tad haduh ba la pynshisha ia ka pap katkum ka ain bishar paidbah bad hadien ba ki la ioh lut ia ki lad jingiada ba tikna ban iada ialade.
11-01	Ym don uwei ne kawei ki ban shah pynrem bymman ha kano kano ka kam be-ain tang namar ka jingleh ne jingbymleh kaba ym iahap kum ka kam be-ain, katkum ka ain jong ka ri ne ka ain shityllup, ha ka por ba la leh ia ka. Lymne ban dain ka kuna ba kham khia ban ia kaba dei ban dain mynba ia ka kam be-ain la leh.
12-00	Jinis 12
12-01	Ym don uwei ne kawei ki ban shah tuklar ne shah mushlia be-ain halor ka kam shimet, ka longiing longsem ne ka jingiadei; lymne ban ktah mationg pyrshah ia ka burom jong ki. Uwei pa kawei ki don ka hok ban ioh ia ka jingiada halor kita ki jingtuklar ne jingleh jubor.
13-00	Jinis 13
13-00	Uwei pa kawei ki don ka hok ba laitluid ha ka iaid ka ieng bad ka shong ka sah hapoh u pud u sam jong man la ka Ri.
13-01	Uwei pa kawei ki don ka hok ban mih na kano kano ka ri, kynthup na la ri hi, bad ban wan phai pat sha la ka ri.
14-00	Jinis 14
14-00	Uwei pa kawei ki don ka hok ban wad jaka sah bad ban leh kmen ha kiwei pat ki ri ban riehtngen bad ban ioh jingiada na ka jingshah pynshitom be-ain.
14-01	Ia kane ka hok ym lah ban khyllie ha ka jingiadei ka jingtian bishar ba la mih na ki kam be-ain ki bym iasnoh bad ka sain pyrthei lane na ki kam ba pyrshah ia ki jingthmu bad nongrim jong ka Synjuk Ki Ri .
15-00	Jinis 15
15-00	Uwei pa kawei ki don ia ka hok jong ka jinglong trai shnong.
15-01	Ym don uwei ne kawei ki ban shah pynduh jubor ia la ka hok jong ka jinglong trai shnong lymne ban shah kyntait ia ka hok ban kylla ia la ka jinglong trai shnong.
16-00	Jinis 16
16-00	Ki Shynrang bad kynthei ba la kot rta, khlem da buh pud kum ka khein jaitbynriew, jinglong trai shnong ne niam, ki don ka hok ban ia poikha bad ban seng ia la ka longiing. Ki don ka hok ba marryngkat ha ka poikha, ka shongkha, bad ha ka jingpynwai noh ia ka.
16-01	Ka Jingiapoikha ka dei ban long tang da ka jingmynjur ba pura bad ba laitluid jong ki shijur.
16-02	Ka longiing ka dei ka jnit kynhun ba tynrai bad manbriew jong ka imlang sahlang bad ka don ia ka hok ban ioh jingiada na ka imlang sahlang bad na ka Ri.
17-00	Jinis 17
17-00	Uwei pa kawei ki don ka hok ban long trai halor ki jingdon jingem shimet bad kumjuh ruh kum ka kynhun bad kiwei pat.
17-01	Ym don uwei ne kawei ki ban shah pynduh hok be-ain ia ka jingdon jingem jong ki.
18-00	Jinis 18
18-01	Uwei pa kawei ki don ka hok ba laitluid ha ka pyrkhat pyrdain, ka jingiatiplem bad ka niam; kane ka hok ka kynthup ia ka jinglaitluid ban kylla niam ne jingngeit, la ka dei ha la marwei hi ne ha ka kynhun bad kiwei, haba paw ne barieh, ban phla ia ka niam ne jingngeit ha kaba hikai, leh ne trei da ka kam, mane blei bad leh niam.
19-00	Jinis 19
19-01	Uwei pa kawei ki don ka hok ba laitluid ban pyni nia bad pynpaw nia; kane ka hok ka kynthup ia ka jinglaitluid ban pynieng nia khlem da shah mushlia bad ban wad, pdiang bad ai jingtip bad jingmut lyngba ki lad pathai khubor khlem da khein eh ia ki khappud.
20-00	Jinis 20
20-00	Uwei pa kawei ki don ka hok ba laitluid ban ialum jingialang ne iasnohkti ha kano kano ka lympung ha ka nongrim ba jai jai bad da ka basuk basain.
20-01	Ym don uwei ne kawei ki ban shah pynbor ban long dkhot ha kano kano ka seng.
21-00	Jinis 21
21-00	Uwei pa kawei ki don ka hok ban ia don bynta ha ka riti synshar jong ka ri, la marmet hi ne lyngba ki nongmihkhmat ba la jied laitluid.
21-01	Uwei pa kawei ki don ka hok ban ioh kabu katjuh ha kaba shakri paidbah ia la ka ri.
21-02	Ka mon u paidbah ka dei ka nongrim jong ka bor synshar sorkar; ia kane ka mon lah ban pynpaw na ki por sha ki por ha ki ilekshon ba shisha ba la pynlong da jingjied paidbah salonsar ha ka rukom ba la buhrieh ne da kiwei pat ki rukom jied kiba ia ryngkat dor bad kiba laitluid.
22-00	Jinis 22
22-01	Uwei pa kawei, kum ki dkhot ka imlang sahlang, ki don ka hok ban ioh ia ka jingshongshngain ha ka imlang sahlang bad ki don ruh ia ka hok, lyngba ki bor ri bad jingiasynrop ki ri katkum ka jingsaindur bad ka jingdon jingem jong man kawei pa kawei ka Ri, halor ka ioh ka kot, ka imlang sahlang, ki riti-dustur kiba ym lah ban pyniakhlad na ka burom bad ka jingsan laitluid ka longbriew manbriew jong ki.
23-00	Jinis 23
23-00	Uwei pa kawei ki don ka hok ban trei ne bylla, ban jied laitluid ia ka jingtrei ne jingbylla, ban ioh ia ka rukom long jong ka jingtrei katkum ka jingsngewbit jong ki bad ka jingiada na ka jingsah khlem kam.
23-01	Uwei pa kawei, khlem jingpyniapher, ki don ka hok ban ioh ia ka bainong marryngkat katkum ka kam ba marryngkat.
23-02	Uwei pa kawei kiba trei ki don ka hok ia ka jingsiew kaba iahap dor bad babit babiang ban pynskhem ialade bad ka iing ka sem ia ka jingim ba iahap dur bad ka kyrdan briew, bad bynrap de, lada donkam, da kiwei ki lad jingiada jong ka imlang sahlang.
23-03	Uwei pa kawei ki don ka hok ban seng bad long dkhot ha ki Seng Nongtrei na ka bynta ki jingiada ia ki jingbha jong ki.
24-00	Jinis 24
24-01	Uwei pa kawei ki don ka hok ban ioh shongthait bad pynbyrngia, da kaba kynthup ia ki kynta treikam ba shongnia ryngkat ka bainong ha ki sngi shuti hateng hateng.
25-00	Jinis 25
25-00	Uwei pa kawei ki don ka hok sha ka nisan jingim ba biangthew na ka bynta ka bha ka miat shimet bad ka longiing jong ki hi, kynthup ka bam ka dih, ka kup ka sem, ka iingshong iingsah, ka koit ka khiah, bad ki kam imlang sahlang badonkam, bad ki hok sha ka jingshongshngain ha ki khen jingduhkam, jingpang, jinganna, jinglong riewkynthei, jingnoh tymmen, lane jingduna kamai kajih ha ki khep bym lah kot bor shuh.
25-01	Ka jinglongkmie bad jinglong khyllung ki don ka hok ban ioh ia ka jingiarap bad jingsumar-sukher bakyrpang. Baroh ki khynnah, la ki dei kiba la kha na ka jingiashong kurim ba long ain ne ka jingshong kurim shabar jong ka ain, ki don ka hok ban ioh ia kajuh ka jingiada ha ka imlang sahlang.
26-00	Jinis 26
26-00	Uwei pa kawei ki don ka hok ban ioh ia ka jingnang jingstad. Ka jingnang jingstad ka dei ban long khlem jingsiew la kumno kumno ha ki kyrdan pule ba dang shu sdang bad ba tynrai. Ka Jingpule ba sdang ka dei ban long kaba kongsan tam. Ia ka jingpule lain ne ka jingpule ba dei ia ka jingtrei jingktah da ki buit stad dei ban pynioh paidbah, bad ia ka jingpule kham shajrong dei ban ai lad marryngkat halor ka nongrim ka jingshonghok.
26-01	Ka jingnang jingstad ka dei ban kdew sha ka jingpynsan pynpura ia ka main longbriew manbriew bad sha ka ban pynkhlain ia ka jingburom ia ka hok longbriew manbriew bad jinglaitluid tynrai. Ka dei ban kyntiew ia ka jingshemphang, jingiaishah bad jingialong lok para hima sima, ki kynhun niam ne jaitbynriew, bad ban pyniaid shaphrang shuh shuh ia ki kam ka Synjuk Ki Ri ban pynneh ia ka suk ka sain.
26-02	Ki kmie ki kpa ki don ka hok ba hakhmat eh ban jied ia ka jait jingpule kaba ki lah ban ai ha la ki khun ki kti.
27-00	Jinis 27
27-00	Uwei pa kawei ki don ka hok laitluid ban iashim bynta ha ki kam kolshor jong ka jaitbynriew, ban lehkmen ha ki sap ki phong bad bhah bynta lang ha ka jingmanroi ka saian lem ki jingmyntoi jong ka.
27-01	Uwei pa kawei ki don ka hok ban iada ia ki snap jinglong babha bad ba kynja met kiba mih na ki soh ka saian, ka thoh ka tar, ne ka buit-thaw ia kiba ma ki hi ki long ki nongthaw.
28-00	Jinis 28
28-01	Uwei pa kawei ki don ka bhah ban pynneh pynsah ia ka suk ka sain jong ka imlang sahlang ha shityllup ka pyrthei ha kaba ia ki hok bad ki jinglaitluid ba shynna yn lah ban pynurlong pura katkum ba la buh ha kane ka Jingpynbna-iar.
29-00	Jinis 29
29-00	Uwei pa kawei, ki don ki deiti sha ka jaitbynriew bad dei tang ha ka hi ba ka jingpynroi laitluid bad pynpura ia ka main longbriew manbriew ka long ba lah ban long.
29-01	Ha ka jingpyntrei kam ia ki hok bad ki jinglaitluid, uwei pa kawei kin hap ban pyndem tang ha kito ki pud ba la rai da ka ain thik na ka bynta ban pynioh ia ka jingithuh bad ban burom ia ki hok bad ki jinglaitluid jong kiwei pat bad ha ka ban pynioh ia ki jingdonkam ba dei hok jong ka jingiaid beit iaid ryntih, ka suk ka sain bad ka jingmanbha kyllum ha ka imlang sahlang ha ka synshar paidbah.
29-02	Ia kine ki hok bad ki jinglaitluid yn ym lah ban pyndonkam da kumwei pat ka ban long marpyrshah ia ki jingthmu bad nongrim ka Synjuk Ki Ri.
30-00	Jinis 30
30-01	Ym don kano kano ha kane ka Jingpynbna-iar ba lah ban batai da kumwei pat kum ban ialam bakla ia kano kano ka Ri, ki kynhun  ki riewshimet halor kano kano hok ban iateh ha kino kino ki  ban leh, ban pynjot ne pynduh pyndam ia ki hok bad ki jinglaitluid kiba la buh ha Ka.
