00-00	NUKAN MAAMENI YENEYII BO PELE HU
16-00	Neenu da hulonu da heli kpilayela da di langayela da peli heei di kepo guloju hwe ma yeke la a hugu meni, loilon na meni, ele yala pele meni. Di pelie a di ke niiboo ti hu, e make di tagai lowai.
16-01	Legbooba da laana be a hiletai laa ma.
16-02	Pelen me ba a kpomaayi hootoma, ele maala ka nei gbomayii ti da noi neitowo nuaan di maakongon.
17-00	Don ngoo boukoumeihweele 17
17-00	Nukan lopee jolobo hen gaa a boo, e make g boukouaa kpon ju.
17-01	Di hwa nu yee kpilan di hwe jolobo hen gulo nei.
18-00	Don ngoo boukoumeihaaba 18
18-01	Nui lopee a peli gbowo kilinahie kei, niiba yiibo pele hu. Mukulaa ba a peli niiba kalan gei, e niiba yiibo juwu yii bo pele hu.
19-00	Don ngoo boukoumeinan 19
19-01	Maala kaa nui lopee gele yei ngoo kilinahie le e gweiwoobo, e gilipuju kweli, e jolobo e nei nuta kpeli ngaa die kenakele yi nou hwa ke ju.
20-00	Don ngoo bouhwweele 20
20-00	Maala kaa nukele yei e ngundo ke, ele e kpon naa liilaa hu.
20-01	Di hwa nu yee kpelan di hwe no kpon ju.
21-00	Don ngoo bouhwweele kou tanon 21
21-00	Maala kaa nukele yei, e tooi holobo ngoo loi nawoobo meni hu, a wala ke a yaa kpinii, e ke nui a nee lemai.
21-01	Maala kaa nukele yei, e koloke gahanama ba ngoo loi hu. Yiyan nuta hon betle hwa tege melan ma.
21-02	Loilonnii kilinahie pele be loi nawoboo a kuloju. Gilinahie ti a kolon noi noi naawobo nuan he luwai a ke a noi kwei nuan kele laamaawoo.
22-00	Don ngoo bouhwweele kouweele 22
22-01	Nu kele kemeni a kponjuyii bo mun me ge, ye ke kpon ninimu. Ninin ti be maane e pa bo a yeelaholon; yelogei, kaalonnaa, ele meni kolon nga.
23-00	Don ngoo bouhwweele kou haaba 23
23-00	Maala kaa nukele yei e kolo ke, e niiba koloke telinmo da naane pele mei; e ge hwe pa ke a nui kolo hwo ma.
23-01	Nu kekolo be maane di zalama; e ke a hulonu da nenu.
23-02	Kolokemun lopee a peli kolokenuan maakonga kpon naai; a wala keti e to da hu.
23-03	Kolokemun nopee maala kaa nei e viito, e niiba pele ngaa ke. Ge kolo kei nowai nen e ke a doo; ele yilipulu ngoo hwito lowai ye hala ma.
24-00	Don ngoo bouhwweele kou naan 24
24-01	Maala kaa nukan nei ngoo yii e ke a beliya ju, goloi hwe toa pono, yaa da nainuaan di ke di naane hu; yii hwilenna: konon meni, maayilimeni, yii meni, da hali meni, bele di maameni walawala nei kulo meni kele ba.
25-00	Don ngoo bouhwweele kou looli 25
25-00	Kolo a wala ke nei, non a pelema, kolo hwaa kpe nei, kalanennaa a jolobo, a polo, a wala keti meni ta kpeli a pelema, yi hwa peli gboomu, maala kaa nei yi maakpomaa e bo.
25-01	Maala kaa logaa laa da lokolo di yei di kpomaa holobo. Gbomaa ti a peli kei logele ba, e make a welilon.
26-00	Don ngoo bouhwweele kou meida 26
26-00	Maala kaa nukele yei di juto. Juto ti hongo hwe ma, yi kpo hwilen maakweli kowotoo ba. Maane kolo maakweli lakweli e ke kena kele. Maane lakweli kene kee laa e ke kenaa kele towo, nui lope ge hwanga a ke nei.
26-01	Maakweli ngun ma ya baa e nukan holoon naa bo, e doo gaa nei yene yii hu maawiye. Ya be maane e wooman, neimaa hweli, da welikemaa di lo loi kele lowai, huwu ngaa kele lowai e ge liila e ke diyei.
26-02	Maala kaa a longaanuaan yei di di loni huto pele len.
27-00	Don ngoo bouhwweele koumeihweele 27
27-00	Maala kaa nukele yei e geti ke noi ngoo tetowo laa kpaale mei, e pelima e dolo kulo.
27-01	Maala kaa nukele yei belihen, gulohen, maa e kongo.
28-00	Don ngoo bouhwweele koumeihaaba 28
28-01	Maala kaa nukele yei, e getike, ye don ngoongaa nei bo di le di kpaale mei.
29-00	Don ngoo bouhwweele kou meinaan 29
29-00	Nu yaakpeli geti kaama kpomaa yii hu. Maaholobo gbomaa yii ti be a peli ngoo nukan naa laakuloi a nele.
29-01	Tooi gaa nu yei yeneyii hu da ngoo legboba laa, maala kele holoboo nen lo gaama, ya baa a melaa diwei kowotoi, kpomaa yii hu yi hulu meni hwe laa.
29-02	Maala ngaa ti da legbooba ngaa ti, ge pele hwa peli kei a juwu takpeli yi yene kele puo geba hwe mo li.
30-00	Don ngoo bouhaaba 30
30-01	Kpale ta kpeli hwe laa yi a peli don ngaa nei maameni piliju, ye nu ngoo too gaa nei yeneyii hu da ngoo legbooba laa kuloi nei: ye e ke a loi, a kpon, e make gu teitei.
