00-00	a'lamih jhani hqwq bshr
16-00	hr zn w mrd balghi hq darnd bdwn hitchgwnh mhdwdit az nzr njad, mlit, tab'it ia mthhb ba hmdigr azdwaj knnd w tshkil khanwadh dhnd. dr tmam mdt znashwii w hngam anhlal an, zn w shwhr dr klih amwr mrbwt bh azdwaj, darai hqwq msawi astnd.
16-01	azdwaj baid ba rdait kaml w azadanh' zn w mrd waq' shwd.
16-02	khanwadh rkn tbi'i w asasi ajtma'i ast w hq dard az hmait jam'h w dwlt bhrhmnd shwd.
17-00	madh hfdhm:
17-00	hr shkhs mnfrdan ia btwr ajtma'i hq malkit dard.
17-01	hitchks ra nmitwan az hq malkit mhdwd nmwd.
18-00	madh hjdhm:
18-01	hr ks hq dard kh az azadi fkr, wjdan w mthhb bhrhmnd shwd. in hq mtdmn azadi tghiir mthhb ia 'qidh w hmtchnin mtdmn azadi azhar 'qidh w iman ast w niz shaml t'limat mthhbi w ajrai mrasm dini mibashd. hr ks mitwand az in hqwq tnha ia hmgani ba digran, bh twr khswsi ia btwr 'mwmi brkhwrdar bashd.
19-00	madh nwzdhm:
19-01	hr ks hq azadi 'qidh w bian dard w hq mzbwr shaml anst kh az dashtn 'qaid khwd bim w adtrabi ndashth bashd w dr ksb atla'at w afkar w dr akhth w antshar an bh tmam wsail mmkn w bdwn mlahzat mrzi azad bashd.
20-00	madh bistm:
20-00	hr ks hq dard azadanh mjam' w jm'ithai msalmtamiz tshkil dhd.
20-01	hitchks ra nmitwan mjbwr bh shrkt dr ajtma' krd.
21-00	madh bist w ikm:
21-00	hr ks hq dard dr adarh' amwr 'mwmi kshwr khwd, khwah mstqiman w ia khwah bh wsatt nmaindhgani kh azadanh antkhab shdh bashnd shrkt jwid.
21-01	hr ks hq dard ba tsawi shrait, bh mshaghl 'mwmi kshwr khwd nail aid.
21-02	asas w mnsha qdrt hkwmt, aradh' mrdm ast, in aradh baid bwsilh antkhabati abraz grdd kh az rwi sdaqt w btwr adwari swrt pthird. antkhabat baid 'mwmi w ba r'ait msawat bashd w ba ra'i pnhani ia triqh hmannd an anjam gird kh azadi ra'i ra ta'min nmaid.
22-00	madh bist w dwm:
22-01	hr ks bh 'nwan 'dw ajtma' hq amnit ajtma'i dard w mjaz ast bh wsilh msa'i mli w hmkari binalmlli hqwq aqtsadi, ajtma'i w frhngi ra kh lazmh' mqam w nmwd azadanh shkhsit aw ast ba r'ait tshkilat w mnab' hr kshwr bh dst awrd.
23-00	madh bist w swm:
23-00	hr ks hq dard kar knd, kar khwd ra azadanh antkhab nmaid, shrait mnsfanh w rdait bkhshi brai kar khwastar bashd w dr brabr bikari mwrd hmait qrar gird.
23-01	hmh hq darnd kh bdwn hitch tb'idi dr mqabl kar msawi, ajrt msawi driaft darnd.
23-02	hr ks kh kar miknd msthq mzd mnsfanh w rdait bkhshi mishwd kh zndgi aw w khanwadhash ra mwafq shyewn ansani ta'min knd w an ra dr swrt lzwm ba hr nw' wsail digr hmait ajtma'i tkmil nmaid.
23-03	hr ks hq dard kh brai dfa' az mnaf' khwd ba digran athadih tshkil dhd w dr athadihha niz shrkt knd.
24-00	madh bist w tchharm:
24-01	hr ks hq astraht, fraght w tfrih dard w bh khsws bh mhdwdit m'qwl sa'at kar w mrkhsihai adwari msthq akhth hqwq ast.
25-00	madh bist w pnjm:
25-00	hr ks hq dard kh sth zndgani, slamti w rfah khwd w khanwadhash ra az hith khwrak w mskn w mraqbthai tbi w khdmat lazm ajtma'i ta'min knd w hmtchnin hq dard kh dr mwaq' bikari, bimari, nqs a'da', biwh shdn, piri w ia dr tmam mward digri kh bh 'll kharj az ardh' ansan wsayel  amrar m'ash az dst rfth bashd az shrait abrwmndanh zndgi brkhwrdar shwd.
25-01	madran w kwdkan hq darnd kh az kmk w mraqbt mkhswsi bhrhmnd shwnd. kwdkan (tchh br athr azdwaj w tchh bdwn azdwaj bdnia amdh bashnd) hq darnd kh hmh az ik nw' hmait ajtma'i brkhwrdar shwnd.
26-00	madh bist w shshm:
26-00	hr ks hq dard kh az amwzsh w prwrsh bhrhmnd shwd. amwzsh w prwrsh laaql ta hdwdi kh mrbwt bt'limat abtdaii w asasi ast baid mjani bashd. amwzsh abtdaii ajbari ast. amwzsh hrfhii baid dr shrait tsawi kaml bh rwi hmh baz bashd, ta hmh bna bh ast'dad khwd btwannd az an bhrhmnd grdnd.
26-01	amwzsh w prwrsh baid twri hdait shwd kh shkhsit ansani hr ks ra bh hd kmal rshd an brsand w ahtram hqwq w azadihai bshr ra tqwit knd. amwzsh w prwrsh baid hsn tfahm, gthsht w ahtram 'qaid mkhalf w dwsti bin tmam mll w jm'ithai njadi ia mthhbi w hmtchnin gstrsh f'alithai mll mthd ra dr rah hfz slh tshil nmaid.
26-02	pdr w madr dr antkhab nw' amwzsh w prwrsh frzndan khwd nsbt bh digran awlwit darnd.
27-00	madh bist w hftm:
27-00	hr ks hq dard azadanh dr zndgi frhngi ajtma'i shrkt knd, az fnwn w hnrha bhrhmnd grdd w dr pishrft 'lmi w fwaid an shim bashd.
27-01	hr ks hq dard az hmait mnaf' m'nwi w madi athar 'lmi, frhngi ia hnri khwd brkhwrdar shwd.
28-00	madh bist w hshtm:
28-01	hr ks hq dard brqrari nzmi ra bkhwahd kh az lhaz ajtma'i w binalmlli hqwq w azadihaii ra kh drin a'lamih thkr grdidh ast ta'min knd w anha ra bh mwrd 'ml gthard.
29-00	madh bist w nhm:
29-00	hr ks dr mqabl an jam'hii wzifh dard kh rshd azad w kaml shkhsit aw ra misr sazd.
29-01	hr ks dr ajrai hqwq w astfadh az azadihai khwd fqt tab' mhdwdithaii ast kh bwsilh' qanwn mnhsran bh mnzwr ta'min shnasaii w mra'at hqwq w azadihai digran w brai r'ait mqtdiat shih akhlaqi w nzm 'mwmi w rfah hmgani dr shrait ik jam'h dmwkratik wd' grdidh ast.
29-02	in hqwq w azadiha dr hitch mwrdi nmitwand br khlaf mqasd w aswl mll mthd ajra grdd.
30-00	madh siam:
30-01	hitchik az mqrrat a'lamih hadr nbaid twri tfsir shwd kh mtdmn hqi brai dwlti ia jm'iti ia frdi bashd kh bkh mwjb an btwand hr ik az hqwq w azadihai mndrj dr in a'lamih ra az bin bbrd w ia dr an rah f'aliti bnmaid.
