00-00	mneaiaak𑄴ksa+mr𑄴 bek𑄴unor𑄴 man𑄳raakgoc𑄴
21-02	janagannar𑄴 mun𑄴juk𑄴 haboi sar𑄴krar𑄴 ssan𑄴 khematr𑄴 khudho; aaeai mun𑄴juk𑄴 din𑄴mgene aaak𑄴ta mujime gec𑄴siyyaak𑄴 nir𑄴bcanar𑄴 mt𑄴dhame haba; aar𑄴 b𑄳yyaalat𑄴 ki+mb sa+m sa+myyaae kana aaabhedar𑄴 bhot𑄴 denr𑄴 niyyaaame aaiyyaan𑄴 haba𑅁
22-00	dhr 22
22-01	samjar𑄴 sadas𑄳yyaaa aaijhebe bek𑄴unar𑄴 smjik𑄴 nirpat𑄳h𑄴r𑄴 aak𑄴ks+m aaghe𑅁 jtiiyyaaa ceret𑄳h𑄴 aao pitiimir𑄴 bal𑄴diyyaadir𑄴 mt𑄴dhame roj𑄳yyaaar𑄴 sa+mjadh aao sam𑄴padar𑄴 samre samn𑄴 rgeneai bek𑄴unare aamanar𑄴 aaicjot𑄴 aa𑄳aa mnar𑄴 aaabhedar𑄴 phagadngat𑄳yyaae khmkaiai smjik𑄴, aaar𑄴thanitik𑄴 aao s+mc𑄴k𑄳ritik𑄴 aak𑄴ks+m aadyyaaar𑄴 aak𑄴ks+m rayyaae𑅁
23-00	dhr 23
23-00	bek𑄴unar𑄴 km𑄴 garibr𑄴, sdhiin𑄴gari cguriilabr𑄴, kmar𑄴 tthik𑄴dm𑄴 aa𑄳aa gam𑄴 paribec𑄴 phebr𑄴 aajhyyaa𑄴 aa𑄳aa km𑄴napnt𑄴un𑄴 muk𑄴ta habr𑄴 aak𑄴ks+m rayyaae𑅁
23-01	kanaragam𑄴 bec𑄴kam𑄴 chr sa+m kmat𑄴 sa+m betan𑄴 pnr𑄴 aak𑄴ks+m bek𑄴unar𑄴 aaghe𑅁
23-02	km𑄴 garan𑄴 aaedok𑄳yyaae bek𑄴unar𑄴 aamanar𑄴 aa𑄳aa girir𑄴 mnabik𑄴 aaic𑄴jot𑄴 sa+mgac𑄳yyaae khmkaiai bjithebr𑄴 di pre aaidik𑄳yyaae ttik𑄴 aao gam𑄴 pris𑄳ramik𑄴 pebr𑄴 aajhyyaa𑄴 aak𑄴ks+m rayyaae; dak𑄴kr𑄴 majim𑄴 aaiyyaanare nnk𑄳h𑄴n𑄴 smjik𑄴 nirpat𑄳h𑄴 dineai breai diyyaa yaaeai pre𑅁
23-03	aamanar𑄴 bhlet𑄴 rghebht𑄳yyaae bek𑄴unar𑄴 tt𑄳ret𑄴 aaiuuniyyaaan𑄴 garn aa𑄳aa siyyaanat𑄴 samibr𑄴 aak𑄴ks+m rayyaae𑅁
24-00	dhr 24
24-01	bek𑄴unar𑄴 jhiren aao aajher𑄴 thrn𑄴 aak𑄴ks+m rayyaae; din𑄴mgene aaak𑄴ta mujim𑄴 betan𑄴sumut𑄴d𑄳yyaaa chutti aa𑄳aa pesgata kmar𑄴 yaauk𑄴tisa+m siimaao aae aak𑄴ks+m bhidire rayyaae𑅁
25-00	dhr 25
25-00	khn, chulum𑄴 kbar𑄴, thnr𑄴ghar𑄴, cikit𑄴s𑄳yyaa aao dar𑄴krii samc𑄴 gam𑄴kmniir𑄴 ju aa𑄳aa aae samre pire, laricari nabj𑄳yyaae, lok𑄴dhak𑄳yyaaburo aa𑄳aa jii+mkniit𑄴 khmkaiai ghadibho nnk𑄳h𑄴n𑄴 nabrnr𑄴 lage nirpat𑄳h𑄴 aa𑄳aa bekr𑄴 hale nirpat𑄳h𑄴r𑄴 aak𑄴ks+m sumut𑄴d𑄳yyaaa aamanar𑄴 aa𑄳aa nija girir𑄴 keyyaae aa𑄳aa gamat𑄳yyaa𑄴 aaagur𑄴 jiiban𑄴mnar𑄴 aak𑄴ks+m bek𑄴unar𑄴 rayyaae𑅁
25-01	maaabac𑄴th aa𑄳aa sigon𑄴kla aaabac𑄴thyyaa𑄴 aaikaa𑄱 aaikaa𑄱 mile aa𑄳aa sigon𑄴 guror𑄴 game dleai pln aa𑄳aa bal𑄴 pn𑄳h𑄴r𑄴 aak𑄴ks+m aaghe𑅁 mok𑄴lanaaabac𑄴th-bredi ki+mb mok𑄴lanaaabac𑄴thai bek𑄴 gurogun𑄴 lmlm𑄳yyaae nayyaa𑄴 se bbat𑄳yyaae smjik𑄴 nirpat𑄳h𑄴 pebk𑄴𑅁
26-00	dhr 26
26-00	bek𑄴unar𑄴 sik𑄴khe pebr𑄴 aak𑄴ks+m rayyaae𑅁 na haleaao pat𑄴that𑄴 aao aar+m aaak𑄴taat𑄴 sik𑄴khe bek𑄴unat𑄳yyaae haba𑅁 pat𑄴tham𑄴 sik𑄴khe khmkaiai haba𑅁 krigari aao b𑄳ritiimuulak𑄴 sik𑄴khe aaajeaaac𑄴 aaabac𑄴thai pebr𑄴 ju theba aa𑄳aa aaugurepal𑄳h𑄴 sik𑄴khe b𑄳reaain𑄴 thnr𑄴 aaugure bek𑄴unat𑄳yyaae sa+m gari khulo theba𑅁
26-01	mnujor𑄴 puri ddngar𑄴aaan aa𑄳aa mneaiaaor𑄴 aak𑄴ks+m aao aar+m sdhiinatr𑄴 p𑄳rati s𑄳rat𑄴dhbot𑄴 daramara gariber𑄴 lak𑄴khe sik𑄴khe cln haba𑅁 sik𑄴khe bek𑄴 jti, gutii aa𑄳aa dhar𑄴mar𑄴 mat𑄴dh𑄳yyaaa sa+mbujhon, saj𑄳yyaaagarn aao samr𑄴punaa𑄱 mil𑄴mic𑄳yyaae uujeai neyaaebr𑄴 aaaaoc𑄴 pebk𑄴 aa𑄳aa sn𑄴tirak𑄴kher𑄴 bhledat𑄳yyaae jtisa+mghar𑄴 kmnii aageai neyaan𑅁
26-02	kana dharanar𑄴 sik𑄴khe p𑄱 sbre den, siyyaanii gam𑄴 bhn𑄳yyaae bheai labhr𑄴 aak𑄴-aak𑄴ks+m bp𑄴mr𑄴 theba𑅁
27-00	dhr 27
27-00	bek𑄴unar𑄴 jadhjat𑄴t𑄳yyaae s+mc𑄴k𑄳ritik𑄴 jiibanat𑄴 milen, sil𑄴pakal uuupabhok𑄴 garn aa𑄳aa boignik𑄴 uujonii aao tr𑄴 gam𑄴phalniir𑄴 bhgiidr𑄴 habr𑄴 bec𑄴 aak𑄴ks+m rayyaae𑅁
27-01	bik𑄴g𑄳yyaan𑄴, shit𑄳yyaaa aao sil𑄴pakal dok𑄳yyaae kana kar𑄴mar𑄴 royaaeyyaae aaiyaaebhe aakaal𑄴 aao boisayyaaik𑄴 bhlet𑄴 rak𑄴khet𑄳yyaae aak𑄴ks+m bek𑄴unar𑄴 theba𑅁
28-00	dhr 28
28-01	aae ddk𑄴lresane degeyyaae aak𑄴ks+m aao sdhiinatghniir𑄴 kmat𑄴lgn sam𑄴bhap𑄴 aaeman𑄴 aaek𑄳h𑄴n𑄴 smjik𑄴 aao pitiimi b𑄳yyaabac𑄴thai aaa+msiidrit𑄳yyaaer𑄴 aak𑄴ks+m bek𑄴unar𑄴 aaghe𑅁
29-00	dhr 29
29-00	bek𑄴unar𑄴 se samjar𑄴 p𑄳rati plebr𑄴 km𑄴 rayyaae, yaae samjat𑄴 bn tr𑄴 aamanar𑄴 sdhiin𑄴 aa𑄳aa puri ddngar𑄴aaan sam𑄴bhap𑄴𑅁
29-01	aamanar𑄴 sdhiinat aa𑄳aa aak𑄴ks+maanii pebr𑄴 salt𑄴 bek𑄴unare bn aaoi dharanar𑄴 siimnakuneyyaae dr niyyaaan𑄴t𑄳rita haba yaa aaan𑄳yyaaader𑄴 aak𑄴ks+m aao sdhiinataanii khmkaiai garn aa𑄳aa aaek𑄳h𑄴n𑄴 ganatn𑄴t𑄳rik𑄴 samc𑄴b𑄳yyaabac𑄴thyyaa𑄴 aakaal𑄴, ganas𑄳ri+mkhal aao aaajeaaac𑄴 uupokrat𑄳yyaae gamat𑄳yyaae dar𑄴kr𑄴 purebt𑄳yyaae aaaain𑄴 dr tthik𑄴 haba𑅁
29-02	jtisa+mghar𑄴 tk𑄴 aao muul𑄴niitir𑄴 bengkang kana kic𑄴uloi𑄱 aae aak𑄴ks+m aao sdhiinataanii p𑄳h na yaaeba𑅁
30-00	dhr 30
30-01	kana rej𑄳yyaaa, gutii b mnuc𑄴 aae ddik𑄴lresanar𑄴 kana kic𑄴u aaeman𑄴bhbe b𑄳yyaakh𑄳yyaa gari na pribk𑄴, yaar𑄴 bale tr aaeai ddik𑄴lresane degeyyaae aak𑄴ks+m aao sdhiinataanii srnd gari pran𑄴 aaeman𑄴 kana kme lip𑄴ta hoiyyaa𑄴 pre ki+mb sedhok𑄳yyaae kana km𑄴 aaejhl𑄴den gari pre𑅁
